Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-26 16:28:31.48;0.00:00:00:031;-0.93;0.34;0.15;0.9076;-0.8492;0.3114;0.1354;79.93;4.26;100.77;14.92;99.66;0.9076;0.9146;-0.006958;-0.421;-0.388;-99.990;0.04;0.41;
2019-09-26 16:28:31.51;0.00:00:00:062;-0.93;0.34;0.14;0.9026;-0.8465;0.3118;0.1307;79.89;4.12;101.00;14.48;99.95;0.9026;0.9115;-0.008988;-0.445;-0.402;-99.990;0.04;0.40;
2019-09-26 16:28:31.53;0.00:00:00:078;-0.93;0.34;0.14;0.9026;-0.8465;0.3118;0.1308;79.89;4.12;100.99;14.49;99.95;0.9026;0.9115;-0.008954;-0.445;-0.402;-99.990;0.04;0.40;
2019-09-26 16:28:31.54;0.00:00:00:093;-0.93;0.34;0.14;0.9026;-0.8465;0.3117;0.1306;79.89;4.12;100.99;14.48;99.95;0.9026;0.9115;-0.008942;-0.445;-0.402;-99.990;0.04;0.40;
2019-09-26 16:28:31.56;0.00:00:00:109;-0.93;0.34;0.15;0.9076;-0.8493;0.3113;0.1355;79.93;4.26;100.78;14.93;99.67;0.9076;0.9147;-0.007082;-0.421;-0.387;-99.990;0.04;0.41;
2019-09-26 16:28:31.57;0.00:00:00:125;-0.93;0.34;0.15;0.9076;-0.8494;0.3112;0.1355;79.94;4.26;100.78;14.93;99.67;0.9076;0.9147;-0.007106;-0.421;-0.387;-99.990;0.04;0.41;
2019-09-26 16:28:31.59;0.00:00:00:142;-0.93;0.34;0.14;0.9026;-0.8466;0.3118;0.1306;79.89;4.12;101.00;14.47;99.95;0.9026;0.9116;-0.008992;-0.445;-0.402;-99.990;0.04;0.40;
2019-09-26 16:28:31.61;0.00:00:00:158;-0.93;0.34;0.14;0.9026;-0.8466;0.3118;0.1307;79.89;4.12;101.00;14.48;99.96;0.9026;0.9116;-0.009018;-0.445;-0.402;-99.990;0.04;0.40;
2019-09-26 16:28:31.62;0.00:00:00:173;-0.93;0.34;0.15;0.9076;-0.8493;0.3114;0.1355;79.93;4.26;100.78;14.93;99.67;0.9076;0.9147;-0.007075;-0.421;-0.387;-99.990;0.04;0.41;
2019-09-26 16:28:31.64;0.00:00:00:189;-0.93;0.34;0.15;0.9076;-0.8494;0.3115;0.1355;79.93;4.26;100.79;14.93;99.68;0.9076;0.9148;-0.00715;-0.421;-0.387;-99.990;0.04;0.41;
2019-09-26 16:28:31.65;0.00:00:00:204;-0.93;0.34;0.15;0.9076;-0.8493;0.3113;0.1355;79.94;4.26;100.77;14.92;99.66;0.9076;0.9146;-0.006987;-0.421;-0.388;-99.990;0.04;0.41;
2019-09-26 16:28:31.67;0.00:00:00:220;-0.93;0.34;0.14;0.9026;-0.8466;0.3118;0.1307;79.89;4.12;101.00;14.48;99.96;0.9026;0.9116;-0.009037;-0.445;-0.402;-99.990;0.04;0.40;
2019-09-26 16:28:31.69;0.00:00:00:237;-0.93;0.34;0.14;0.9026;-0.8465;0.3117;0.1307;79.89;4.12;100.98;14.49;99.94;0.9026;0.9115;-0.008881;-0.445;-0.403;-99.990;0.04;0.40;
