Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:12:37.53;0.00:00:00:028;0.53;-0.85;-0.09;0.9057;0.4776;-0.7649;-0.0773;-29.01;-2.45;99.93;8.53;99.56;0.9057;0.9051;0.0006343;-0.430;-0.433;-31.977;0.76;-174.23;
2019-10-03 18:12:37.54;0.00:00:00:037;0.53;-0.85;-0.08;0.904;0.4764;-0.7669;-0.07534;-29.08;-2.39;100.21;8.33;99.87;0.904;0.906;-0.001935;-0.438;-0.429;-99.990;0.76;-174.39;
2019-10-03 18:12:37.57;0.00:00:00:067;0.53;-0.85;-0.09;0.9057;0.4775;-0.7649;-0.0773;-29.01;-2.45;99.93;8.54;99.56;0.9057;0.905;0.0006724;-0.430;-0.434;-31.724;0.76;-174.23;
2019-10-03 18:12:37.60;0.00:00:00:098;0.53;-0.85;-0.08;0.904;0.4763;-0.7669;-0.07531;-29.08;-2.38;100.21;8.33;99.87;0.904;0.9059;-0.001928;-0.438;-0.429;-99.990;0.76;-174.39;
2019-10-03 18:12:37.61;0.00:00:00:114;0.53;-0.85;-0.08;0.9039;0.4762;-0.7669;-0.07533;-29.08;-2.38;100.22;8.33;99.87;0.9039;0.9059;-0.001999;-0.439;-0.429;-99.990;0.76;-174.39;
2019-10-03 18:12:37.63;0.00:00:00:129;0.53;-0.85;-0.09;0.9057;0.4776;-0.7649;-0.07729;-29.01;-2.45;99.93;8.53;99.57;0.9057;0.9051;0.0005967;-0.430;-0.433;-32.243;0.76;-174.23;
2019-10-03 18:12:37.65;0.00:00:00:145;0.53;-0.85;-0.09;0.9056;0.4775;-0.7649;-0.07729;-29.01;-2.45;99.93;8.53;99.57;0.9056;0.905;0.0006032;-0.430;-0.433;-32.196;0.76;-174.23;
2019-10-03 18:12:37.66;0.00:00:00:160;0.53;-0.85;-0.08;0.904;0.4763;-0.7669;-0.07531;-29.08;-2.38;100.21;8.33;99.86;0.904;0.9059;-0.001913;-0.438;-0.429;-99.990;0.76;-174.39;
2019-10-03 18:12:37.68;0.00:00:00:176;0.53;-0.85;-0.08;0.904;0.4763;-0.7668;-0.07534;-29.08;-2.39;100.21;8.33;99.86;0.904;0.9059;-0.001876;-0.438;-0.429;-99.990;0.76;-174.39;
2019-10-03 18:12:37.71;0.00:00:00:207;0.53;-0.85;-0.09;0.9057;0.4776;-0.7649;-0.0773;-29.01;-2.45;99.93;8.53;99.57;0.9057;0.9051;0.0006053;-0.430;-0.433;-32.180;0.76;-174.23;
