Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:19:24.20;0.00:00:00:038;0.85;0.39;-0.35;-3.462E-07;1.389E-07;6.446E-08;-5.655E-08;12.45;-10.13;-47.15;16.34;44.23;-3.462E-07;1.632E-07;-5.094E-07;-99.990;-67.872;-99.990;0.93;-0.72;
2019-09-27 15:19:24.21;0.00:00:00:053;0.83;0.47;-0.31;-3.441E-07;1.399E-07;7.843E-08;-5.139E-08;14.64;-8.88;-48.95;14.94;46.62;-3.441E-07;1.684E-07;-5.125E-07;-99.990;-67.736;-99.990;0.92;-0.58;
2019-09-27 15:19:24.23;0.00:00:00:069;0.85;0.37;-0.37;-3.496E-07;1.371E-07;6.007E-08;-5.92E-08;11.83;-10.79;-46.05;16.94;42.82;-3.496E-07;1.61E-07;-5.106E-07;-99.990;-67.932;-99.990;0.93;-0.78;
2019-09-27 15:19:24.24;0.00:00:00:085;0.85;0.38;-0.36;-3.559E-07;1.305E-07;5.872E-08;-5.505E-08;12.12;-10.52;-43.08;15.47;40.20;-3.559E-07;1.533E-07;-5.091E-07;-99.990;-68.145;-99.990;0.93;-0.75;
2019-09-27 15:19:24.26;0.00:00:00:103;0.80;0.50;-0.34;-3.419E-07;1.288E-07;8.064E-08;-5.525E-08;16.02;-9.99;-47.30;16.16;44.45;-3.419E-07;1.617E-07;-5.036E-07;-99.990;-67.913;-99.990;0.90;-0.60;
2019-09-27 15:19:24.28;0.00:00:00:119;0.85;0.39;-0.36;-3.468E-07;1.311E-07;6.124E-08;-5.591E-08;12.52;-10.57;-44.72;16.12;41.71;-3.468E-07;1.551E-07;-5.019E-07;-99.990;-68.094;-99.990;0.92;-0.74;
2019-09-27 15:19:24.31;0.00:00:00:152;0.85;0.34;-0.41;-3.432E-07;1.316E-07;5.356E-08;-6.312E-08;11.07;-11.98;-45.30;18.39;41.40;-3.432E-07;1.555E-07;-4.987E-07;-99.990;-68.083;-99.990;0.92;-0.87;
2019-09-27 15:19:24.33;0.00:00:00:168;0.81;0.42;-0.40;-3.441E-07;1.284E-07;6.703E-08;-6.25E-08;13.78;-11.67;-45.85;18.16;42.10;-3.441E-07;1.578E-07;-5.019E-07;-99.990;-68.020;-99.990;0.91;-0.75;
2019-09-27 15:19:24.34;0.00:00:00:185;0.83;0.36;-0.42;-3.457E-07;1.262E-07;5.471E-08;-6.442E-08;11.72;-12.55;-43.95;18.64;39.80;-3.457E-07;1.519E-07;-4.976E-07;-99.990;-68.184;-99.990;0.92;-0.87;
2019-09-27 15:19:24.36;0.00:00:00:202;0.80;0.49;-0.35;-3.339E-07;1.384E-07;8.544E-08;-6.174E-08;15.85;-10.40;-52.10;18.49;48.70;-3.339E-07;1.739E-07;-5.078E-07;-99.990;-67.596;-99.990;0.90;-0.63;
2019-09-27 15:19:24.38;0.00:00:00:218;0.84;0.37;-0.40;-3.34E-07;1.38E-07;6.079E-08;-6.658E-08;11.89;-11.91;-49.35;19.94;45.14;-3.34E-07;1.648E-07;-4.988E-07;-99.990;-67.830;-99.990;0.92;-0.83;
2019-09-27 15:19:24.39;0.00:00:00:235;0.86;0.38;-0.34;-3.281E-07;1.435E-07;6.43E-08;-5.664E-08;12.06;-9.90;-50.95;17.26;47.94;-3.281E-07;1.672E-07;-4.953E-07;-99.990;-67.768;-99.990;0.93;-0.72;
2019-09-27 15:19:24.42;0.00:00:00:266;0.79;0.46;-0.40;-3.412E-07;1.245E-07;7.28E-08;-6.265E-08;15.16;-11.74;-46.08;18.36;42.26;-3.412E-07;1.572E-07;-4.984E-07;-99.990;-68.035;-99.990;0.90;-0.71;
2019-09-27 15:19:24.44;0.00:00:00:285;0.86;0.37;-0.36;-3.329E-07;1.403E-07;6.058E-08;-5.907E-08;11.67;-10.56;-49.22;17.74;45.91;-3.329E-07;1.639E-07;-4.968E-07;-99.990;-67.855;-99.990;0.93;-0.77;
2019-09-27 15:19:24.46;0.00:00:00:303;0.85;0.32;-0.42;-3.327E-07;1.422E-07;5.331E-08;-7.125E-08;10.28;-12.57;-50.41;21.41;45.63;-3.327E-07;1.677E-07;-5.004E-07;-99.990;-67.754;-99.990;0.92;-0.93;
2019-09-27 15:19:24.48;0.00:00:00:321;0.80;0.38;-0.46;-3.496E-07;1.201E-07;5.745E-08;-6.961E-08;12.78;-13.80;-42.97;19.91;38.08;-3.496E-07;1.502E-07;-4.999E-07;-99.990;-68.232;-99.990;0.90;-0.88;
2019-09-27 15:19:24.50;0.00:00:00:339;0.83;0.38;-0.40;-3.349E-07;1.385E-07;6.248E-08;-6.68E-08;12.14;-11.87;-49.55;19.94;45.36;-3.349E-07;1.66E-07;-5.009E-07;-99.990;-67.800;-99.990;0.92;-0.82;
2019-09-27 15:19:24.51;0.00:00:00:355;0.82;0.39;-0.41;-3.361E-07;1.308E-07;6.11E-08;-6.583E-08;12.52;-12.26;-47.19;19.58;42.94;-3.361E-07;1.586E-07;-4.948E-07;-99.990;-67.996;-99.990;0.91;-0.82;
2019-09-27 15:19:24.53;0.00:00:00:371;0.83;0.27;-0.48;-3.379E-07;1.284E-07;4.225E-08;-7.386E-08;9.11;-14.33;-45.59;21.86;40.00;-3.379E-07;1.54E-07;-4.919E-07;-99.990;-68.124;-99.990;0.92;-1.05;
2019-09-27 15:19:24.54;0.00:00:00:386;0.83;0.34;-0.44;-3.422E-07;1.299E-07;5.303E-08;-6.782E-08;11.10;-12.90;-45.54;19.82;41.00;-3.422E-07;1.558E-07;-4.981E-07;-99.990;-68.073;-99.990;0.92;-0.91;
2019-09-27 15:19:24.56;0.00:00:00:403;0.83;0.37;-0.42;-3.294E-07;1.473E-07;6.526E-08;-7.378E-08;11.95;-12.30;-53.80;22.40;48.91;-3.294E-07;1.772E-07;-5.065E-07;-99.990;-67.516;-99.990;0.92;-0.85;
2019-09-27 15:19:24.58;0.00:00:00:421;0.82;0.37;-0.45;-3.449E-07;1.219E-07;5.501E-08;-6.692E-08;12.14;-13.29;-43.37;19.40;38.79;-3.449E-07;1.496E-07;-4.945E-07;-99.990;-68.251;-99.990;0.91;-0.88;
2019-09-27 15:19:24.60;0.00:00:00:438;0.82;0.36;-0.45;-3.465E-07;1.204E-07;5.264E-08;-6.53E-08;11.81;-13.21;-42.34;18.84;37.92;-3.465E-07;1.467E-07;-4.933E-07;-99.990;-68.335;-99.990;0.91;-0.89;
