Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:37:45.87;0.00:00:00:033;0.09;-1.00;-0.03;0.3676;0.03364;-0.3655;-0.01108;-42.37;-0.86;99.90;3.02;99.86;0.3676;0.3672;0.000357;-4.347;-4.351;-34.473;0.55;-178.26;
2019-09-27 15:37:45.88;0.00:00:00:041;0.09;-1.00;-0.03;0.3676;0.03365;-0.3655;-0.01113;-42.37;-0.87;99.90;3.03;99.86;0.3676;0.3672;0.0003618;-4.346;-4.351;-34.415;0.55;-178.26;
2019-09-27 15:37:45.90;0.00:00:00:060;0.09;-1.00;-0.03;0.3663;0.03214;-0.3659;-0.01069;-42.49;-0.83;100.32;2.92;100.28;0.3663;0.3675;-0.001191;-4.361;-4.347;-99.990;0.54;-178.33;
2019-09-27 15:37:45.90;0.00:00:00:070;0.09;-1.00;-0.03;0.3676;0.03361;-0.3655;-0.01111;-42.37;-0.87;99.90;3.02;99.85;0.3676;0.3672;0.0003723;-4.347;-4.351;-34.291;0.55;-178.26;
2019-09-27 15:37:45.91;0.00:00:00:080;0.09;-1.00;-0.03;0.3664;0.03219;-0.366;-0.01071;-42.49;-0.83;100.32;2.92;100.27;0.3664;0.3675;-0.00116;-4.361;-4.347;-99.990;0.54;-178.32;
2019-09-27 15:37:45.93;0.00:00:00:099;0.09;-1.00;-0.03;0.3664;0.03217;-0.366;-0.01073;-42.49;-0.84;100.33;2.93;100.29;0.3664;0.3676;-0.001202;-4.361;-4.346;-99.990;0.54;-178.32;
2019-09-27 15:37:45.94;0.00:00:00:107;0.09;-1.00;-0.03;0.3676;0.03362;-0.3655;-0.01117;-42.37;-0.87;99.90;3.04;99.86;0.3676;0.3672;0.0003578;-4.346;-4.350;-34.463;0.55;-178.25;
2019-09-27 15:37:45.95;0.00:00:00:115;0.09;-1.00;-0.03;0.3663;0.03213;-0.366;-0.01075;-42.49;-0.84;100.33;2.93;100.29;0.3663;0.3676;-0.001213;-4.361;-4.347;-99.990;0.54;-178.32;
2019-09-27 15:37:45.96;0.00:00:00:125;0.09;-1.00;-0.03;0.3676;0.03361;-0.3655;-0.01114;-42.37;-0.87;99.90;3.03;99.85;0.3676;0.3672;0.0003766;-4.346;-4.351;-34.242;0.55;-178.25;
2019-09-27 15:37:45.97;0.00:00:00:133;0.09;-1.00;-0.03;0.3664;0.0322;-0.3659;-0.01075;-42.49;-0.84;100.30;2.93;100.26;0.3664;0.3675;-0.001114;-4.360;-4.347;-99.990;0.54;-178.32;
2019-09-27 15:37:45.99;0.00:00:00:151;0.09;-1.00;-0.03;0.3677;0.03365;-0.3655;-0.01116;-42.37;-0.87;99.89;3.03;99.85;0.3677;0.3673;0.0003921;-4.346;-4.350;-34.066;0.55;-178.25;
2019-09-27 15:37:46.00;0.00:00:00:160;0.09;-1.00;-0.03;0.3664;0.03214;-0.366;-0.01075;-42.49;-0.84;100.33;2.93;100.29;0.3664;0.3676;-0.001206;-4.361;-4.346;-99.990;0.54;-178.32;
