Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:42:57.74;0.00:00:00:030;0.10;-0.99;-0.04;0.358;0.03612;-0.3556;-0.01425;-42.10;-1.14;99.92;3.98;99.84;0.358;0.3577;0.000302;-4.462;-4.465;-35.200;0.55;-177.71;
2019-09-27 15:42:57.75;0.00:00:00:038;0.10;-0.99;-0.04;0.3568;0.03478;-0.356;-0.01389;-42.21;-1.11;100.32;3.89;100.24;0.3568;0.358;-0.001143;-4.475;-4.461;-99.990;0.55;-177.77;
2019-09-27 15:42:57.76;0.00:00:00:046;0.10;-0.99;-0.04;0.358;0.03613;-0.3555;-0.01426;-42.10;-1.14;99.91;3.98;99.83;0.358;0.3577;0.0003185;-4.461;-4.465;-34.969;0.55;-177.70;
2019-09-27 15:42:57.77;0.00:00:00:055;0.10;-0.99;-0.04;0.3568;0.03477;-0.356;-0.0139;-42.21;-1.11;100.32;3.90;100.24;0.3568;0.358;-0.001133;-4.475;-4.461;-99.990;0.55;-177.76;
2019-09-27 15:42:57.78;0.00:00:00:064;0.10;-0.99;-0.04;0.358;0.03616;-0.3556;-0.01428;-42.10;-1.14;99.91;3.99;99.83;0.358;0.3577;0.0003178;-4.461;-4.465;-34.978;0.55;-177.70;
2019-09-27 15:42:57.80;0.00:00:00:083;0.10;-0.99;-0.04;0.3568;0.03474;-0.356;-0.0139;-42.21;-1.11;100.32;3.89;100.24;0.3568;0.3579;-0.001126;-4.475;-4.462;-99.990;0.55;-177.76;
2019-09-27 15:42:57.81;0.00:00:00:093;0.10;-0.99;-0.04;0.358;0.03607;-0.3556;-0.01425;-42.10;-1.14;99.92;3.98;99.84;0.358;0.3577;0.0002924;-4.462;-4.465;-35.341;0.55;-177.70;
2019-09-27 15:42:57.82;0.00:00:00:102;0.10;-0.99;-0.04;0.3569;0.03475;-0.356;-0.01389;-42.21;-1.11;100.32;3.89;100.25;0.3569;0.358;-0.001145;-4.475;-4.461;-99.990;0.55;-177.77;
2019-09-27 15:42:57.84;0.00:00:00:123;0.10;-0.99;-0.04;0.3569;0.03478;-0.356;-0.0139;-42.21;-1.11;100.31;3.90;100.24;0.3569;0.358;-0.001118;-4.475;-4.461;-99.990;0.55;-177.76;
2019-09-27 15:42:57.85;0.00:00:00:133;0.10;-0.99;-0.04;0.358;0.03611;-0.3556;-0.01427;-42.10;-1.14;99.92;3.99;99.84;0.358;0.3577;0.000284;-4.461;-4.465;-35.467;0.55;-177.70;
