Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:21:21.44;0.00:00:00:033;0.08;-1.00;-0.04;0.3618;0.02966;-0.3597;-0.01467;-42.64;-1.16;99.84;4.06;99.76;0.3618;0.3612;0.0005874;-4.416;-4.423;-32.311;0.54;-177.66;
2019-09-27 15:21:21.45;0.00:00:00:042;0.08;-1.00;-0.04;0.361;0.02885;-0.36;-0.01439;-42.71;-1.14;100.14;3.99;100.06;0.361;0.3615;-0.0005079;-4.425;-4.419;-99.990;0.54;-177.71;
2019-09-27 15:21:21.46;0.00:00:00:052;0.08;-1.00;-0.04;0.3618;0.02964;-0.3597;-0.01466;-42.64;-1.16;99.84;4.05;99.76;0.3618;0.3612;0.000567;-4.416;-4.423;-32.464;0.54;-177.67;
2019-09-27 15:21:21.47;0.00:00:00:061;0.08;-1.00;-0.04;0.361;0.02886;-0.36;-0.01442;-42.71;-1.14;100.13;3.99;100.05;0.361;0.3614;-0.0004743;-4.425;-4.420;-99.990;0.54;-177.71;
2019-09-27 15:21:21.49;0.00:00:00:083;0.08;-1.00;-0.04;0.3609;0.02884;-0.36;-0.01442;-42.71;-1.14;100.14;4.00;100.06;0.3609;0.3614;-0.0004992;-4.426;-4.420;-99.990;0.54;-177.71;
2019-09-27 15:21:21.50;0.00:00:00:092;0.08;-1.00;-0.04;0.3618;0.02968;-0.3597;-0.01468;-42.64;-1.16;99.83;4.06;99.75;0.3618;0.3612;0.0006005;-4.416;-4.423;-32.215;0.54;-177.66;
2019-09-27 15:21:21.51;0.00:00:00:102;0.08;-1.00;-0.04;0.361;0.02889;-0.36;-0.01441;-42.71;-1.14;100.12;3.99;100.04;0.361;0.3614;-0.000431;-4.425;-4.420;-99.990;0.54;-177.71;
2019-09-27 15:21:21.52;0.00:00:00:111;0.08;-1.00;-0.04;0.3618;0.02965;-0.3597;-0.01467;-42.64;-1.16;99.85;4.05;99.77;0.3618;0.3612;0.0005497;-4.416;-4.422;-32.599;0.54;-177.66;
2019-09-27 15:21:21.53;0.00:00:00:119;0.08;-1.00;-0.04;0.361;0.0289;-0.36;-0.01443;-42.71;-1.14;100.13;4.00;100.05;0.361;0.3615;-0.0004787;-4.425;-4.419;-99.990;0.54;-177.71;
2019-09-27 15:21:21.54;0.00:00:00:128;0.08;-1.00;-0.04;0.3618;0.02964;-0.3597;-0.01468;-42.64;-1.17;99.85;4.06;99.76;0.3618;0.3612;0.0005605;-4.416;-4.423;-32.514;0.54;-177.66;
2019-09-27 15:21:21.54;0.00:00:00:136;0.08;-1.00;-0.04;0.361;0.02886;-0.36;-0.01441;-42.71;-1.14;100.14;3.99;100.06;0.361;0.3615;-0.0005165;-4.425;-4.419;-99.990;0.54;-177.71;
2019-09-27 15:21:21.55;0.00:00:00:144;0.08;-1.00;-0.04;0.3618;0.0297;-0.3597;-0.01467;-42.64;-1.16;99.83;4.06;99.75;0.3618;0.3612;0.0006066;-4.416;-4.423;-32.171;0.54;-177.66;
2019-09-27 15:21:21.57;0.00:00:00:160;0.08;-1.00;-0.04;0.361;0.02888;-0.36;-0.01443;-42.71;-1.14;100.13;4.00;100.05;0.361;0.3614;-0.000474;-4.425;-4.420;-99.990;0.54;-177.70;
2019-09-27 15:21:21.58;0.00:00:00:169;0.08;-1.00;-0.04;0.3618;0.02965;-0.3597;-0.0147;-42.64;-1.17;99.84;4.06;99.76;0.3618;0.3612;0.0005761;-4.416;-4.423;-32.395;0.54;-177.66;
2019-09-27 15:21:21.58;0.00:00:00:177;0.08;-1.00;-0.04;0.361;0.02891;-0.36;-0.01443;-42.70;-1.14;100.12;4.00;100.04;0.361;0.3614;-0.0004487;-4.425;-4.420;-99.990;0.54;-177.70;
2019-09-27 15:21:21.59;0.00:00:00:185;0.08;-1.00;-0.04;0.3617;0.02964;-0.3597;-0.01468;-42.64;-1.16;99.85;4.06;99.77;0.3617;0.3612;0.000529;-4.416;-4.422;-32.765;0.54;-177.66;
2019-09-27 15:21:21.60;0.00:00:00:195;0.08;-1.00;-0.04;0.361;0.02893;-0.36;-0.01443;-42.70;-1.14;100.12;4.00;100.04;0.361;0.3615;-0.0004376;-4.425;-4.419;-99.990;0.54;-177.70;
2019-09-27 15:21:21.62;0.00:00:00:212;0.08;-1.00;-0.04;0.3618;0.02968;-0.3597;-0.01468;-42.64;-1.16;99.84;4.06;99.76;0.3618;0.3612;0.0005657;-4.416;-4.422;-32.474;0.54;-177.66;
2019-09-27 15:21:21.63;0.00:00:00:221;0.08;-1.00;-0.04;0.361;0.02889;-0.36;-0.01443;-42.71;-1.14;100.13;4.00;100.05;0.361;0.3614;-0.0004768;-4.425;-4.420;-99.990;0.54;-177.70;
2019-09-27 15:21:21.64;0.00:00:00:229;0.08;-1.00;-0.04;0.3618;0.02967;-0.3597;-0.0147;-42.64;-1.17;99.84;4.06;99.76;0.3618;0.3612;0.0005648;-4.416;-4.422;-32.481;0.54;-177.66;
2019-09-27 15:21:21.64;0.00:00:00:237;0.08;-1.00;-0.04;0.3609;0.02889;-0.36;-0.01444;-42.71;-1.15;100.14;4.00;100.06;0.3609;0.3614;-0.0005024;-4.426;-4.420;-99.990;0.54;-177.70;
2019-09-27 15:21:21.65;0.00:00:00:245;0.08;-1.00;-0.04;0.3618;0.02967;-0.3597;-0.01469;-42.64;-1.17;99.84;4.06;99.76;0.3618;0.3612;0.000565;-4.416;-4.423;-32.480;0.54;-177.66;
2019-09-27 15:21:21.66;0.00:00:00:254;0.08;-1.00;-0.04;0.361;0.02891;-0.36;-0.01444;-42.70;-1.14;100.13;4.00;100.05;0.361;0.3614;-0.0004696;-4.425;-4.420;-99.990;0.54;-177.70;
2019-09-27 15:21:21.68;0.00:00:00:270;0.08;-1.00;-0.04;0.3618;0.02968;-0.3597;-0.0147;-42.64;-1.17;99.84;4.06;99.76;0.3618;0.3612;0.0005813;-4.416;-4.423;-32.356;0.54;-177.66;
2019-09-27 15:21:21.69;0.00:00:00:278;0.08;-1.00;-0.04;0.361;0.02892;-0.36;-0.01445;-42.70;-1.15;100.14;4.00;100.06;0.361;0.3615;-0.0004891;-4.425;-4.419;-99.990;0.54;-177.70;
2019-09-27 15:21:21.69;0.00:00:00:285;0.08;-1.00;-0.04;0.3617;0.02968;-0.3596;-0.0147;-42.64;-1.17;99.84;4.06;99.76;0.3617;0.3612;0.0005807;-4.416;-4.423;-32.361;0.54;-177.66;
