Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:23:17.72;0.00:00:00:048;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.0006926;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.73;0.00:00:00:064;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05524;-32.20;4.32;99.93;15.01;98.79;0.3679;0.3677;0.000272;-4.342;-4.346;-35.654;0.71;170.43;
2019-09-27 15:23:17.75;0.00:00:00:080;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002744;-4.342;-4.346;-35.616;0.71;170.43;
2019-09-27 15:23:17.77;0.00:00:00:095;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.05601;-32.31;4.38;100.19;15.27;99.02;0.3669;0.3676;-0.0006992;-4.355;-4.347;-99.990;0.71;170.31;
2019-09-27 15:23:17.78;0.00:00:00:114;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.0007003;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.80;0.00:00:00:130;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.20;15.26;99.03;0.3668;0.3676;-0.0007238;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.82;0.00:00:00:145;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.21;4.32;99.92;15.02;98.79;0.3679;0.3676;0.0002765;-4.342;-4.346;-35.584;0.71;170.43;
2019-09-27 15:23:17.83;0.00:00:00:161;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.92;15.02;98.79;0.3679;0.3677;0.0002771;-4.342;-4.346;-35.574;0.71;170.43;
2019-09-27 15:23:17.85;0.00:00:00:177;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.20;15.27;99.03;0.3668;0.3675;-0.0007248;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.87;0.00:00:00:195;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.20;15.26;99.03;0.3668;0.3676;-0.0007172;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.88;0.00:00:00:211;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.19;15.26;99.02;0.3668;0.3675;-0.0007003;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.90;0.00:00:00:226;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3676;0.0002759;-4.342;-4.346;-35.592;0.71;170.43;
2019-09-27 15:23:17.91;0.00:00:00:244;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05526;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002609;-4.342;-4.345;-35.835;0.71;170.43;
2019-09-27 15:23:17.93;0.00:00:00:260;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.05599;-32.31;4.38;100.18;15.26;99.01;0.3669;0.3675;-0.000671;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.95;0.00:00:00:278;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.19;15.26;99.02;0.3668;0.3675;-0.0006948;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.97;0.00:00:00:296;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.19;15.26;99.02;0.3668;0.3675;-0.0006922;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:17.98;0.00:00:00:313;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.0006834;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.00;0.00:00:00:328;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05526;-32.21;4.32;99.93;15.02;98.79;0.3679;0.3676;0.0002579;-4.343;-4.346;-35.885;0.71;170.43;
2019-09-27 15:23:18.02;0.00:00:00:345;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05526;-32.21;4.32;99.93;15.02;98.79;0.3679;0.3676;0.0002575;-4.343;-4.346;-35.893;0.71;170.43;
2019-09-27 15:23:18.03;0.00:00:00:361;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05526;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002587;-4.342;-4.345;-35.872;0.71;170.43;
2019-09-27 15:23:18.05;0.00:00:00:376;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05601;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3676;-0.000708;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.06;0.00:00:00:392;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.26;99.02;0.3669;0.3676;-0.0007128;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.08;0.00:00:00:410;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.21;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002608;-4.342;-4.346;-35.837;0.71;170.43;
2019-09-27 15:23:18.10;0.00:00:00:427;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05524;-32.21;4.32;99.93;15.02;98.79;0.3679;0.3676;0.0002713;-4.343;-4.346;-35.666;0.71;170.43;
2019-09-27 15:23:18.12;0.00:00:00:445;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05527;-32.21;4.32;99.92;15.02;98.79;0.3679;0.3676;0.0002788;-4.342;-4.346;-35.547;0.71;170.43;
2019-09-27 15:23:18.13;0.00:00:00:460;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.05599;-32.31;4.38;100.18;15.26;99.01;0.3669;0.3675;-0.0006757;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.15;0.00:00:00:476;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.19;15.26;99.02;0.3668;0.3676;-0.0007117;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.16;0.00:00:00:492;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.0007062;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.18;0.00:00:00:510;0.43;-0.89;0.15;0.3679;0.157;-0.3279;0.05526;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.000257;-4.342;-4.345;-35.900;0.71;170.43;
2019-09-27 15:23:18.20;0.00:00:00:529;0.43;-0.89;0.15;0.3679;0.157;-0.3279;0.05526;-32.21;4.32;99.93;15.02;98.80;0.3679;0.3677;0.0002502;-4.342;-4.345;-36.017;0.71;170.43;
2019-09-27 15:23:18.22;0.00:00:00:546;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05526;-32.20;4.32;99.92;15.02;98.79;0.3679;0.3677;0.0002762;-4.342;-4.345;-35.588;0.71;170.43;
2019-09-27 15:23:18.23;0.00:00:00:564;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.21;4.32;99.92;15.02;98.79;0.3679;0.3676;0.0002844;-4.343;-4.346;-35.461;0.71;170.43;
2019-09-27 15:23:18.25;0.00:00:00:580;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.000705;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.27;0.00:00:00:598;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.18;15.26;99.01;0.3668;0.3675;-0.0006713;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.29;0.00:00:00:617;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.18;15.26;99.01;0.3668;0.3675;-0.0006757;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.30;0.00:00:00:633;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.0007102;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.32;0.00:00:00:648;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05524;-32.20;4.32;99.93;15.01;98.79;0.3679;0.3677;0.000275;-4.342;-4.345;-35.607;0.71;170.44;
2019-09-27 15:23:18.33;0.00:00:00:664;0.43;-0.89;0.15;0.3679;0.157;-0.3279;0.05524;-32.20;4.32;99.93;15.01;98.80;0.3679;0.3677;0.0002453;-4.342;-4.345;-36.104;0.71;170.44;
2019-09-27 15:23:18.35;0.00:00:00:680;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.26;99.02;0.3669;0.3675;-0.0006919;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.37;0.00:00:00:695;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05599;-32.31;4.38;100.19;15.26;99.02;0.3668;0.3675;-0.0006838;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.38;0.00:00:00:712;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.92;15.02;98.79;0.3679;0.3676;0.0002921;-4.342;-4.346;-35.344;0.71;170.43;
2019-09-27 15:23:18.40;0.00:00:00:727;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002661;-4.342;-4.345;-35.750;0.71;170.43;
2019-09-27 15:23:18.42;0.00:00:00:745;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05527;-32.21;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002656;-4.342;-4.345;-35.758;0.71;170.43;
2019-09-27 15:23:18.43;0.00:00:00:764;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.05598;-32.31;4.38;100.18;15.26;99.02;0.3668;0.3675;-0.0006779;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.45;0.00:00:00:779;0.42;-0.89;0.15;0.3668;0.1557;-0.3282;0.056;-32.31;4.38;100.19;15.27;99.02;0.3668;0.3675;-0.0007131;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.47;0.00:00:00:795;0.42;-0.89;0.15;0.3668;0.1557;-0.3281;0.05598;-32.31;4.38;100.18;15.26;99.01;0.3668;0.3675;-0.0006588;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.48;0.00:00:00:810;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002684;-4.342;-4.346;-35.712;0.71;170.43;
2019-09-27 15:23:18.50;0.00:00:00:829;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05524;-32.21;4.32;99.92;15.01;98.79;0.3679;0.3676;0.0002765;-4.343;-4.346;-35.583;0.71;170.44;
2019-09-27 15:23:18.52;0.00:00:00:845;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.93;15.02;98.79;0.3679;0.3677;0.0002748;-4.342;-4.346;-35.609;0.71;170.43;
2019-09-27 15:23:18.53;0.00:00:00:861;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.05598;-32.31;4.38;100.18;15.26;99.01;0.3669;0.3675;-0.0006747;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.55;0.00:00:00:877;0.42;-0.89;0.15;0.3669;0.1557;-0.3282;0.05599;-32.31;4.38;100.19;15.26;99.02;0.3669;0.3676;-0.000697;-4.355;-4.347;-99.990;0.71;170.32;
2019-09-27 15:23:18.57;0.00:00:00:896;0.43;-0.89;0.15;0.3679;0.157;-0.3279;0.05526;-32.21;4.32;99.93;15.02;98.80;0.3679;0.3677;0.0002556;-4.342;-4.345;-35.924;0.71;170.43;
2019-09-27 15:23:18.58;0.00:00:00:912;0.43;-0.89;0.15;0.3679;0.157;-0.3278;0.05525;-32.20;4.32;99.93;15.02;98.80;0.3679;0.3677;0.0002518;-4.342;-4.345;-35.989;0.71;170.43;
