Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:16:13.71;0.00:00:00:048;0.10;-0.97;0.21;0.3621;0.03565;-0.3508;0.07651;-42.10;6.12;99.64;21.13;97.38;0.3621;0.3609;0.001289;-4.411;-4.427;-28.898;0.55;167.70;
2019-09-27 15:16:13.74;0.00:00:00:079;0.10;-0.97;0.21;0.3621;0.03562;-0.3509;0.07649;-42.10;6.12;99.65;21.12;97.38;0.3621;0.3609;0.001271;-4.411;-4.427;-28.959;0.55;167.70;
2019-09-27 15:16:13.76;0.00:00:00:094;0.10;-0.97;0.21;0.3622;0.03564;-0.351;0.07649;-42.10;6.12;99.66;21.12;97.40;0.3622;0.361;0.001223;-4.411;-4.425;-29.127;0.55;167.70;
2019-09-27 15:16:13.78;0.00:00:00:112;0.10;-0.97;0.21;0.3612;0.03433;-0.3511;0.07675;-42.21;6.14;99.94;21.25;97.66;0.3612;0.361;0.0002021;-4.422;-4.425;-36.945;0.55;167.67;
2019-09-27 15:16:13.79;0.00:00:00:128;0.10;-0.97;0.21;0.3612;0.0343;-0.3511;0.07675;-42.21;6.14;99.96;21.25;97.67;0.3612;0.361;0.0001494;-4.423;-4.424;-38.257;0.55;167.67;
2019-09-27 15:16:13.81;0.00:00:00:143;0.10;-0.97;0.21;0.3621;0.03557;-0.3509;0.0765;-42.11;6.12;99.66;21.12;97.39;0.3621;0.3609;0.001234;-4.411;-4.426;-29.085;0.55;167.70;
2019-09-27 15:16:13.82;0.00:00:00:159;0.10;-0.97;0.21;0.3622;0.03563;-0.351;0.0765;-42.10;6.12;99.67;21.12;97.40;0.3622;0.361;0.001207;-4.411;-4.425;-29.184;0.55;167.70;
2019-09-27 15:16:13.84;0.00:00:00:175;0.10;-0.97;0.21;0.3622;0.03562;-0.3509;0.07647;-42.10;6.12;99.66;21.11;97.40;0.3622;0.3609;0.001222;-4.411;-4.426;-29.130;0.55;167.71;
2019-09-27 15:16:13.86;0.00:00:00:193;0.09;-0.97;0.21;0.3612;0.03427;-0.3511;0.07676;-42.21;6.14;99.96;21.25;97.68;0.3612;0.361;0.0001373;-4.423;-4.424;-38.623;0.55;167.67;
2019-09-27 15:16:13.87;0.00:00:00:209;0.09;-0.97;0.21;0.3612;0.03426;-0.3511;0.07673;-42.21;6.14;99.95;21.25;97.66;0.3612;0.361;0.0001871;-4.423;-4.425;-37.280;0.55;167.67;
2019-09-27 15:16:13.89;0.00:00:00:227;0.10;-0.97;0.21;0.3621;0.03555;-0.351;0.07646;-42.11;6.12;99.67;21.11;97.41;0.3621;0.3609;0.001195;-4.411;-4.426;-29.227;0.55;167.71;
2019-09-27 15:16:13.91;0.00:00:00:242;0.10;-0.97;0.21;0.3622;0.0356;-0.3509;0.07647;-42.10;6.12;99.67;21.12;97.40;0.3622;0.3609;0.001209;-4.411;-4.426;-29.178;0.55;167.71;
2019-09-27 15:16:13.92;0.00:00:00:258;0.10;-0.97;0.21;0.3622;0.03563;-0.3509;0.07648;-42.10;6.12;99.64;21.11;97.38;0.3622;0.3609;0.001297;-4.410;-4.426;-28.870;0.55;167.71;
2019-09-27 15:16:13.94;0.00:00:00:278;0.09;-0.97;0.21;0.3612;0.03427;-0.3511;0.07675;-42.21;6.14;99.95;21.25;97.66;0.3612;0.361;0.0001881;-4.422;-4.424;-37.255;0.55;167.67;
2019-09-27 15:16:13.96;0.00:00:00:295;0.09;-0.97;0.21;0.3612;0.03423;-0.3511;0.07676;-42.22;6.14;99.95;21.25;97.67;0.3612;0.361;0.0001672;-4.423;-4.425;-37.769;0.55;167.67;
2019-09-27 15:16:13.98;0.00:00:00:312;0.10;-0.97;0.21;0.3613;0.03431;-0.3511;0.07673;-42.21;6.14;99.93;21.24;97.64;0.3613;0.361;0.0002633;-4.422;-4.425;-35.796;0.55;167.67;
2019-09-27 15:16:13.99;0.00:00:00:329;0.09;-0.97;0.21;0.3611;0.03416;-0.3511;0.07671;-42.22;6.14;99.95;21.24;97.67;0.3611;0.361;0.0001724;-4.423;-4.425;-37.634;0.55;167.67;
2019-09-27 15:16:14.01;0.00:00:00:345;0.10;-0.97;0.21;0.3621;0.03552;-0.3509;0.07647;-42.11;6.12;99.67;21.12;97.40;0.3621;0.3609;0.001211;-4.411;-4.426;-29.169;0.55;167.71;
2019-09-27 15:16:14.03;0.00:00:00:360;0.10;-0.97;0.21;0.3622;0.03561;-0.3509;0.07646;-42.10;6.12;99.65;21.11;97.39;0.3622;0.3609;0.001278;-4.410;-4.426;-28.934;0.55;167.71;
2019-09-27 15:16:14.04;0.00:00:00:376;0.09;-0.97;0.21;0.3612;0.03423;-0.3511;0.07672;-42.22;6.14;99.94;21.24;97.66;0.3612;0.361;0.0002095;-4.423;-4.425;-36.788;0.55;167.67;
2019-09-27 15:16:14.06;0.00:00:00:394;0.09;-0.97;0.21;0.3612;0.03422;-0.3511;0.07672;-42.22;6.14;99.95;21.24;97.67;0.3612;0.361;0.0001748;-4.423;-4.425;-37.574;0.55;167.67;
2019-09-27 15:16:14.07;0.00:00:00:409;0.09;-0.97;0.21;0.3612;0.03423;-0.3511;0.07669;-42.22;6.13;99.94;21.23;97.66;0.3612;0.361;0.0002083;-4.423;-4.425;-36.814;0.55;167.68;
2019-09-27 15:16:14.09;0.00:00:00:428;0.10;-0.97;0.21;0.3622;0.03556;-0.351;0.07645;-42.11;6.11;99.67;21.11;97.41;0.3622;0.361;0.001194;-4.411;-4.425;-29.231;0.55;167.71;
2019-09-27 15:16:14.11;0.00:00:00:445;0.10;-0.97;0.21;0.3622;0.03557;-0.3509;0.07645;-42.11;6.11;99.64;21.11;97.38;0.3622;0.3609;0.001299;-4.411;-4.426;-28.864;0.55;167.71;
2019-09-27 15:16:14.13;0.00:00:00:460;0.10;-0.97;0.21;0.3622;0.03556;-0.351;0.07644;-42.11;6.11;99.66;21.11;97.40;0.3622;0.361;0.001215;-4.411;-4.425;-29.156;0.55;167.71;
2019-09-27 15:16:14.14;0.00:00:00:476;0.09;-0.97;0.21;0.3612;0.03425;-0.3511;0.0767;-42.21;6.13;99.94;21.23;97.66;0.3612;0.361;0.000207;-4.422;-4.425;-36.841;0.55;167.68;
2019-09-27 15:16:14.16;0.00:00:00:494;0.09;-0.97;0.21;0.3612;0.03416;-0.3511;0.0767;-42.22;6.13;99.96;21.24;97.67;0.3612;0.361;0.0001554;-4.423;-4.425;-38.086;0.55;167.68;
2019-09-27 15:16:14.18;0.00:00:00:512;0.10;-0.97;0.21;0.3622;0.03556;-0.3509;0.07643;-42.11;6.11;99.65;21.10;97.39;0.3622;0.3609;0.001273;-4.411;-4.426;-28.952;0.55;167.71;
2019-09-27 15:16:14.19;0.00:00:00:529;0.10;-0.97;0.21;0.3621;0.03545;-0.351;0.07642;-42.12;6.11;99.67;21.10;97.41;0.3621;0.3609;0.00118;-4.412;-4.426;-29.283;0.55;167.72;
2019-09-27 15:16:14.21;0.00:00:00:546;0.10;-0.97;0.21;0.3622;0.03549;-0.3509;0.07645;-42.11;6.11;99.66;21.11;97.40;0.3622;0.3609;0.001232;-4.411;-4.426;-29.095;0.55;167.71;
2019-09-27 15:16:14.23;0.00:00:00:562;0.10;-0.97;0.21;0.3621;0.03549;-0.3509;0.07643;-42.11;6.11;99.66;21.11;97.40;0.3621;0.3609;0.00122;-4.411;-4.426;-29.136;0.55;167.71;
2019-09-27 15:16:14.24;0.00:00:00:578;0.09;-0.97;0.21;0.3612;0.03419;-0.3511;0.0767;-42.22;6.13;99.95;21.24;97.66;0.3612;0.361;0.0001913;-4.423;-4.425;-37.182;0.55;167.68;
2019-09-27 15:16:14.26;0.00:00:00:595;0.09;-0.97;0.21;0.3612;0.03419;-0.3511;0.07669;-42.22;6.13;99.95;21.23;97.67;0.3612;0.361;0.0001791;-4.422;-4.425;-37.469;0.55;167.68;
2019-09-27 15:16:14.28;0.00:00:00:611;0.09;-0.97;0.21;0.3612;0.03419;-0.3511;0.07669;-42.22;6.13;99.94;21.23;97.66;0.3612;0.361;0.0002167;-4.423;-4.425;-36.641;0.55;167.68;
2019-09-27 15:16:14.29;0.00:00:00:626;0.10;-0.97;0.21;0.3622;0.03552;-0.351;0.0764;-42.11;6.11;99.66;21.09;97.40;0.3622;0.3609;0.001247;-4.411;-4.426;-29.040;0.55;167.72;
2019-09-27 15:16:14.31;0.00:00:00:642;0.10;-0.97;0.21;0.3622;0.03551;-0.3509;0.07641;-42.11;6.11;99.64;21.10;97.38;0.3622;0.3609;0.001314;-4.411;-4.426;-28.815;0.55;167.72;
2019-09-27 15:16:14.32;0.00:00:00:659;0.09;-0.97;0.21;0.3612;0.03416;-0.3511;0.07667;-42.22;6.13;99.94;21.23;97.66;0.3612;0.361;0.000217;-4.423;-4.425;-36.635;0.55;167.68;
2019-09-27 15:16:14.34;0.00:00:00:677;0.09;-0.97;0.21;0.3612;0.03419;-0.351;0.07669;-42.22;6.13;99.93;21.23;97.65;0.3612;0.3609;0.0002657;-4.422;-4.426;-35.756;0.55;167.68;
2019-09-27 15:16:14.36;0.00:00:00:693;0.09;-0.97;0.21;0.3612;0.03409;-0.351;0.07668;-42.23;6.13;99.94;21.23;97.65;0.3612;0.3609;0.0002337;-4.423;-4.426;-36.313;0.55;167.68;
2019-09-27 15:16:14.37;0.00:00:00:709;0.10;-0.97;0.21;0.3622;0.03544;-0.351;0.07638;-42.12;6.11;99.67;21.09;97.42;0.3622;0.361;0.001187;-4.411;-4.425;-29.256;0.55;167.72;
2019-09-27 15:16:14.39;0.00:00:00:725;0.10;-0.97;0.21;0.3621;0.03544;-0.3509;0.07639;-42.12;6.11;99.66;21.09;97.40;0.3621;0.3609;0.001243;-4.411;-4.426;-29.055;0.55;167.72;
2019-09-27 15:16:14.41;0.00:00:00:741;0.09;-0.97;0.21;0.3611;0.03406;-0.3512;0.07667;-42.23;6.13;99.97;21.23;97.69;0.3611;0.361;9.715E-05;-4.423;-4.424;-40.126;0.55;167.68;
2019-09-27 15:16:14.42;0.00:00:00:756;0.09;-0.97;0.21;0.3612;0.03413;-0.3511;0.07666;-42.22;6.13;99.95;21.22;97.67;0.3612;0.361;0.0001776;-4.423;-4.425;-37.505;0.55;167.68;
2019-09-27 15:16:14.44;0.00:00:00:775;0.10;-0.97;0.21;0.3622;0.03548;-0.3509;0.07639;-42.11;6.11;99.64;21.09;97.38;0.3622;0.3609;0.001312;-4.411;-4.426;-28.820;0.55;167.72;
2019-09-27 15:16:14.46;0.00:00:00:791;0.10;-0.97;0.21;0.3622;0.03544;-0.351;0.07639;-42.12;6.11;99.66;21.09;97.40;0.3622;0.3609;0.001228;-4.411;-4.426;-29.108;0.55;167.72;
2019-09-27 15:16:14.47;0.00:00:00:808;0.10;-0.97;0.21;0.3622;0.03546;-0.351;0.07638;-42.12;6.11;99.65;21.09;97.39;0.3622;0.3609;0.001266;-4.411;-4.426;-28.977;0.55;167.72;
2019-09-27 15:16:14.49;0.00:00:00:824;0.10;-0.97;0.21;0.3622;0.03545;-0.3509;0.07636;-42.12;6.11;99.64;21.08;97.38;0.3622;0.3609;0.001303;-4.411;-4.426;-28.850;0.55;167.72;
2019-09-27 15:16:14.51;0.00:00:00:841;0.09;-0.97;0.21;0.3612;0.03407;-0.3511;0.0767;-42.23;6.13;99.96;21.24;97.67;0.3612;0.361;0.00016;-4.423;-4.425;-37.959;0.55;167.68;
2019-09-27 15:16:14.52;0.00:00:00:857;0.09;-0.97;0.21;0.3612;0.03413;-0.351;0.07665;-42.22;6.13;99.92;21.22;97.64;0.3612;0.3609;0.0002921;-4.422;-4.426;-35.345;0.55;167.68;
