Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:14:13.06;0.00:00:00:053;0.25;-0.97;-0.07;0.3537;0.08842;-0.3413;-0.02394;-37.74;-1.94;99.89;6.77;99.66;0.3537;0.3534;0.0003771;-4.513;-4.518;-34.236;0.63;-175.99;
2019-09-27 15:14:13.08;0.00:00:00:071;0.25;-0.97;-0.07;0.3529;0.08759;-0.3417;-0.02344;-37.81;-1.90;100.19;6.64;99.97;0.3529;0.3536;-0.0006768;-4.524;-4.515;-99.990;0.62;-176.08;
2019-09-27 15:14:13.09;0.00:00:00:080;0.25;-0.97;-0.07;0.3538;0.08846;-0.3413;-0.02394;-37.73;-1.94;99.89;6.77;99.66;0.3538;0.3534;0.0003973;-4.513;-4.518;-34.009;0.63;-175.99;
2019-09-27 15:14:13.10;0.00:00:00:089;0.25;-0.97;-0.07;0.3529;0.08755;-0.3417;-0.02346;-37.81;-1.90;100.20;6.65;99.98;0.3529;0.3535;-0.0006958;-4.524;-4.516;-99.990;0.62;-176.07;
2019-09-27 15:14:13.12;0.00:00:00:108;0.25;-0.97;-0.07;0.3538;0.08846;-0.3413;-0.02394;-37.73;-1.94;99.89;6.77;99.66;0.3538;0.3534;0.0003968;-4.513;-4.518;-34.014;0.63;-175.99;
2019-09-27 15:14:13.13;0.00:00:00:117;0.25;-0.97;-0.07;0.3529;0.08758;-0.3417;-0.02347;-37.81;-1.90;100.19;6.65;99.97;0.3529;0.3535;-0.0006775;-4.524;-4.516;-99.990;0.62;-176.07;
2019-09-27 15:14:13.14;0.00:00:00:127;0.25;-0.97;-0.07;0.3538;0.08847;-0.3413;-0.02392;-37.73;-1.94;99.89;6.76;99.66;0.3538;0.3534;0.0004004;-4.513;-4.518;-33.975;0.63;-175.99;
2019-09-27 15:14:13.14;0.00:00:00:136;0.25;-0.97;-0.07;0.3529;0.0876;-0.3417;-0.02346;-37.81;-1.90;100.19;6.65;99.97;0.3529;0.3536;-0.0006849;-4.524;-4.515;-99.990;0.62;-176.07;
2019-09-27 15:14:13.15;0.00:00:00:144;0.25;-0.97;-0.07;0.3537;0.08845;-0.3413;-0.02392;-37.73;-1.94;99.89;6.76;99.66;0.3537;0.3534;0.0003827;-4.513;-4.518;-34.172;0.63;-175.99;
2019-09-27 15:14:13.16;0.00:00:00:152;0.25;-0.97;-0.07;0.3529;0.08757;-0.3417;-0.02346;-37.81;-1.90;100.20;6.65;99.98;0.3529;0.3536;-0.0007166;-4.524;-4.515;-99.990;0.62;-176.07;
