Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:36:37.67;0.00:00:00:019;0.71;-0.63;0.31;-2.809E-07;1.512E-07;-1.358E-07;6.698E-08;-20.97;9.12;-76.17;23.84;72.34;-2.809E-07;2.14E-07;-4.949E-07;-99.990;-66.696;-99.990;0.85;153.75;
2019-09-27 15:36:37.70;0.00:00:00:046;0.71;-0.64;0.31;-9.899E-08;2.731E-07;-2.468E-07;1.18E-07;-21.05;8.89;-390.48;119.22;371.84;-9.899E-08;3.865E-07;-4.855E-07;-99.990;-64.128;-99.990;0.85;154.45;
2019-09-27 15:36:37.71;0.00:00:00:062;0.69;-0.63;0.36;-8.345E-08;2.764E-07;-2.518E-07;1.422E-07;-21.17;10.41;-479.36;170.36;448.07;-8.345E-08;4E-07;-4.835E-07;-99.990;-63.979;-99.990;0.85;150.56;
2019-09-27 15:36:37.73;0.00:00:00:077;0.72;-0.60;0.36;-7.347E-08;2.889E-07;-2.398E-07;1.446E-07;-19.85;10.53;-547.67;196.82;511.08;-7.347E-08;4.024E-07;-4.758E-07;-99.990;-63.954;-99.990;0.86;148.91;
2019-09-27 15:36:37.75;0.00:00:00:093;0.65;-0.64;0.41;-1.252E-07;2.319E-07;-2.266E-07;1.478E-07;-22.17;12.26;-284.60;118.08;258.95;-1.252E-07;3.563E-07;-4.815E-07;-99.990;-64.482;-99.990;0.83;146.88;
2019-09-27 15:36:37.76;0.00:00:00:108;0.64;-0.65;0.41;-1.282E-07;2.271E-07;-2.286E-07;1.458E-07;-22.59;12.17;-275.89;113.75;251.35;-1.282E-07;3.537E-07;-4.819E-07;-99.990;-64.514;-99.990;0.82;147.47;
2019-09-27 15:36:37.78;0.00:00:00:124;0.48;-0.76;0.43;-1.44E-07;1.648E-07;-2.591E-07;1.472E-07;-28.77;12.80;-236.54;102.23;213.31;-1.44E-07;3.406E-07;-4.845E-07;-99.990;-64.678;-99.990;0.74;150.40;
2019-09-27 15:36:37.81;0.00:00:00:155;0.47;-0.80;0.37;-1.012E-07;1.767E-07;-3.04E-07;1.42E-07;-29.92;11.00;-374.89;140.41;347.60;-1.012E-07;3.792E-07;-4.804E-07;-99.990;-64.211;-99.990;0.73;154.96;
2019-09-27 15:36:37.82;0.00:00:00:171;0.50;-0.81;0.30;-4.824E-08;2.107E-07;-3.424E-07;1.266E-07;-29.20;8.74;-873.66;262.32;833.34;-4.824E-08;4.215E-07;-4.697E-07;-99.990;-63.752;-99.990;0.75;159.72;
2019-09-27 15:36:37.84;0.00:00:00:187;0.51;-0.82;0.28;-3.466E-08;2.213E-07;-3.551E-07;1.212E-07;-29.03;8.08;-1256.94;349.76;1207.30;-3.466E-08;4.356E-07;-4.703E-07;-99.990;-63.609;-99.990;0.75;161.15;
2019-09-27 15:36:37.86;0.00:00:00:204;0.53;-0.82;0.24;-9.985E-09;2.408E-07;-3.733E-07;1.098E-07;-28.59;6.94;-4582.50;1099.49;4448.64;-9.985E-09;4.576E-07;-4.675E-07;-99.990;-63.396;-99.990;0.76;163.61;
2019-09-27 15:36:37.87;0.00:00:00:220;0.58;-0.78;0.24;1.654E-08;2.724E-07;-3.676E-07;1.148E-07;-26.73;7.04;2851.92;693.89;2766.22;1.654E-08;4.717E-07;-4.552E-07;-77.814;-63.263;-99.990;0.79;162.66;
2019-09-27 15:36:37.89;0.00:00:00:235;0.59;-0.77;0.25;3.709E-08;2.907E-07;-3.773E-07;1.204E-07;-26.19;7.09;1324.59;324.60;1284.20;3.709E-08;4.913E-07;-4.542E-07;-74.307;-63.086;-99.990;0.80;162.30;
2019-09-27 15:36:37.91;0.00:00:00:253;0.59;-0.77;0.25;3.22E-08;2.979E-07;-3.833E-07;1.229E-07;-26.07;7.11;1555.35;381.82;1507.76;3.22E-08;5.008E-07;-4.686E-07;-74.922;-63.003;-99.990;0.80;162.22;
2019-09-27 15:36:37.92;0.00:00:00:269;0.60;-0.76;0.23;2.728E-08;2.96E-07;-3.766E-07;1.142E-07;-25.92;6.71;1804.83;418.69;1755.59;2.728E-08;4.924E-07;-4.651E-07;-75.641;-63.077;-99.990;0.80;163.13;
2019-09-27 15:36:37.94;0.00:00:00:284;0.61;-0.76;0.25;1.465E-08;3.023E-07;-3.782E-07;1.229E-07;-25.68;7.12;3409.58;838.64;3304.84;1.465E-08;4.995E-07;-4.849E-07;-78.341;-63.014;-99.990;0.80;162.00;
2019-09-27 15:36:37.95;0.00:00:00:300;0.62;-0.77;0.18;-6.112E-08;2.569E-07;-3.187E-07;7.699E-08;-25.56;5.33;-681.46;125.97;669.71;-6.112E-08;4.165E-07;-4.776E-07;-99.990;-63.804;-99.990;0.81;166.42;
2019-09-27 15:36:37.97;0.00:00:00:315;0.64;-0.74;0.20;-9.617E-08;2.453E-07;-2.854E-07;7.499E-08;-24.66;5.63;-399.00;77.97;391.30;-9.617E-08;3.837E-07;-4.799E-07;-99.990;-64.160;-99.990;0.82;165.28;
2019-09-27 15:36:37.98;0.00:00:00:331;0.65;-0.74;0.17;-1.859E-07;1.914E-07;-2.188E-07;4.965E-08;-24.41;4.85;-158.62;26.71;156.35;-1.859E-07;2.949E-07;-4.808E-07;-99.990;-65.303;-99.990;0.82;167.21;
2019-09-27 15:36:38.00;0.00:00:00:347;0.68;-0.72;0.13;-2.349E-07;1.693E-07;-1.809E-07;3.151E-08;-23.45;3.62;-106.34;13.42;105.49;-2.349E-07;2.497E-07;-4.846E-07;-99.990;-66.025;-99.990;0.84;170.12;
2019-09-27 15:36:38.02;0.00:00:00:362;0.67;-0.71;0.23;-3.083E-07;1.199E-07;-1.274E-07;4.129E-08;-23.37;6.64;-58.30;13.39;56.74;-3.083E-07;1.798E-07;-4.881E-07;-99.990;-67.453;-99.990;0.83;162.04;
2019-09-27 15:36:38.03;0.00:00:00:378;0.67;-0.68;0.31;-3.214E-07;1.065E-07;-1.083E-07;4.909E-08;-22.74;8.95;-49.67;15.27;47.26;-3.214E-07;1.597E-07;-4.811E-07;-99.990;-67.968;-99.990;0.83;155.63;
2019-09-27 15:36:38.05;0.00:00:00:394;0.62;-0.67;0.41;-3.1E-07;1.009E-07;-1.1E-07;6.746E-08;-23.73;12.16;-52.84;21.76;48.15;-3.1E-07;1.638E-07;-4.738E-07;-99.990;-67.857;-99.990;0.81;148.48;
2019-09-27 15:36:38.06;0.00:00:00:409;0.59;-0.69;0.42;-2.509E-07;1.297E-07;-1.519E-07;9.219E-08;-24.75;12.39;-87.69;36.75;79.62;-2.509E-07;2.2E-07;-4.708E-07;-99.990;-66.576;-99.990;0.79;148.75;
2019-09-27 15:36:38.08;0.00:00:00:425;0.46;-0.79;0.41;-2.349E-07;1.155E-07;-1.981E-07;1.024E-07;-29.88;12.04;-106.91;43.61;97.61;-2.349E-07;2.511E-07;-4.861E-07;-99.990;-66.001;-99.990;0.73;152.66;
2019-09-27 15:36:38.09;0.00:00:00:440;0.46;-0.80;0.38;-1.509E-07;1.539E-07;-2.682E-07;1.279E-07;-30.08;11.23;-221.71;84.73;204.88;-1.509E-07;3.347E-07;-4.856E-07;-99.990;-64.754;-99.990;0.73;154.51;
2019-09-27 15:36:38.11;0.00:00:00:456;0.41;-0.81;0.43;-1.339E-07;1.392E-07;-2.765E-07;1.457E-07;-31.64;12.61;-255.48;108.83;231.14;-1.339E-07;3.421E-07;-4.76E-07;-99.990;-64.658;-99.990;0.70;152.20;
2019-09-27 15:36:38.12;0.00:00:00:472;0.51;-0.80;0.31;-4.441E-08;2.149E-07;-3.348E-07;1.29E-07;-28.65;8.98;-941.82;290.46;895.91;-4.441E-08;4.182E-07;-4.626E-07;-99.990;-63.786;-99.990;0.76;158.93;
2019-09-27 15:36:38.14;0.00:00:00:487;0.51;-0.81;0.30;-4.629E-08;2.171E-07;-3.469E-07;1.297E-07;-28.98;8.79;-927.58;280.23;884.24;-4.629E-08;4.293E-07;-4.756E-07;-99.990;-63.672;-99.990;0.75;159.50;
2019-09-27 15:36:38.16;0.00:00:00:503;0.53;-0.80;0.28;-5.2E-08;2.325E-07;-3.522E-07;1.213E-07;-28.28;8.02;-844.48;233.30;811.62;-5.2E-08;4.391E-07;-4.911E-07;-99.990;-63.574;-99.990;0.76;160.99;
2019-09-27 15:36:38.17;0.00:00:00:519;0.56;-0.78;0.28;-5.598E-08;2.33E-07;-3.285E-07;1.165E-07;-27.32;8.07;-748.92;208.14;719.42;-5.598E-08;4.192E-07;-4.752E-07;-99.990;-63.775;-99.990;0.78;160.47;
2019-09-27 15:36:38.19;0.00:00:00:534;0.57;-0.77;0.28;-7.278E-08;2.295E-07;-3.074E-07;1.129E-07;-26.63;8.20;-549.43;155.17;527.06;-7.278E-08;3.999E-07;-4.727E-07;-99.990;-63.981;-99.990;0.79;159.83;
2019-09-27 15:36:38.20;0.00:00:00:550;0.53;-0.79;0.32;-1.104E-07;1.905E-07;-2.815E-07;1.13E-07;-27.95;9.19;-324.36;102.31;307.80;-1.104E-07;3.582E-07;-4.686E-07;-99.990;-64.459;-99.990;0.77;158.13;
2019-09-27 15:36:38.22;0.00:00:00:567;0.49;-0.81;0.33;-1.243E-07;1.747E-07;-2.85E-07;1.154E-07;-29.25;9.52;-284.46;92.84;268.89;-1.243E-07;3.537E-07;-4.78E-07;-99.990;-64.514;-99.990;0.75;157.95;
2019-09-27 15:36:38.24;0.00:00:00:584;0.47;-0.81;0.36;-1.138E-07;1.733E-07;-2.964E-07;1.31E-07;-29.84;10.44;-323.10;115.19;301.87;-1.138E-07;3.675E-07;-4.813E-07;-99.990;-64.347;-99.990;0.74;156.15;
2019-09-27 15:36:38.25;0.00:00:00:600;0.43;-0.82;0.38;-7.099E-08;1.74E-07;-3.337E-07;1.529E-07;-31.23;11.05;-572.22;215.32;530.16;-7.099E-08;4.062E-07;-4.772E-07;-99.990;-63.913;-99.990;0.71;155.39;
2019-09-27 15:36:38.27;0.00:00:00:615;0.42;-0.84;0.35;-3.353E-08;1.911E-07;-3.833E-07;1.596E-07;-31.75;10.22;-1363.21;476.05;1277.39;-3.353E-08;4.571E-07;-4.906E-07;-99.990;-63.400;-99.990;0.71;157.39;
2019-09-27 15:36:38.28;0.00:00:00:631;0.40;-0.85;0.34;4.15E-08;2.016E-07;-4.307E-07;1.725E-07;-32.46;9.97;1218.86;415.65;1145.80;4.15E-08;5.059E-07;-4.644E-07;-73.819;-62.960;-99.990;0.70;158.17;
2019-09-27 15:36:38.30;0.00:00:00:646;0.38;-0.87;0.32;7.019E-08;2.125E-07;-4.827E-07;1.774E-07;-33.12;9.29;792.79;252.68;751.45;7.019E-08;5.564E-07;-4.863E-07;-71.537;-62.546;-99.990;0.69;159.83;
2019-09-27 15:36:38.32;0.00:00:00:662;0.38;-0.88;0.30;1.418E-07;2.398E-07;-5.498E-07;1.857E-07;-33.22;8.60;442.89;130.96;423.09;1.418E-07;6.279E-07;-4.861E-07;-68.484;-62.021;-99.990;0.69;161.34;
2019-09-27 15:36:38.33;0.00:00:00:678;0.40;-0.88;0.27;1.859E-07;2.669E-07;-5.827E-07;1.796E-07;-32.69;7.83;358.08;96.61;344.80;1.859E-07;6.656E-07;-4.798E-07;-67.307;-61.768;-99.990;0.70;162.87;
2019-09-27 15:36:38.35;0.00:00:00:693;0.42;-0.88;0.22;2.378E-07;3.015E-07;-6.271E-07;1.541E-07;-32.16;6.24;299.73;64.82;292.64;2.378E-07;7.127E-07;-4.749E-07;-66.238;-61.471;-99.990;0.71;166.19;
2019-09-27 15:36:38.38;0.00:00:00:725;0.44;-0.88;0.19;2.233E-07;3.132E-07;-6.231E-07;1.321E-07;-31.66;5.36;317.79;59.13;312.24;2.233E-07;7.097E-07;-4.864E-07;-66.510;-61.489;-99.990;0.72;168.03;
2019-09-27 15:36:38.39;0.00:00:00:740;0.47;-0.87;0.16;1.8E-07;3.172E-07;-5.86E-07;1.057E-07;-30.78;4.51;374.71;58.69;370.09;1.8E-07;6.747E-07;-4.946E-07;-67.446;-61.709;-99.990;0.74;169.78;
