Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:17:30.30;0.00:00:00:024;0.49;-0.87;-0.09;1.568E-06;9.851E-07;-1.757E-06;-1.767E-07;-30.36;-2.51;128.90;11.27;128.41;1.568E-06;2.022E-06;-4.533E-07;-58.045;-56.943;-99.990;0.74;-174.26;
2019-09-27 15:17:30.32;0.00:00:00:041;0.48;-0.87;-0.08;1.569E-06;9.731E-07;-1.749E-06;-1.632E-07;-30.46;-2.33;127.99;10.40;127.57;1.569E-06;2.008E-06;-4.392E-07;-58.044;-56.972;-99.990;0.74;-174.67;
2019-09-27 15:17:30.33;0.00:00:00:056;0.49;-0.87;-0.08;1.57E-06;9.79E-07;-1.756E-06;-1.685E-07;-30.43;-2.40;128.49;10.73;128.04;1.57E-06;2.017E-06;-4.473E-07;-58.041;-56.952;-99.990;0.74;-174.52;
2019-09-27 15:17:30.35;0.00:00:00:072;0.48;-0.87;-0.08;1.575E-06;9.825E-07;-1.766E-06;-1.7E-07;-30.46;-2.40;128.79;10.80;128.33;1.575E-06;2.028E-06;-4.534E-07;-58.027;-56.928;-99.990;0.74;-174.50;
2019-09-27 15:17:30.36;0.00:00:00:088;0.48;-0.87;-0.07;1.58E-06;9.828E-07;-1.769E-06;-1.515E-07;-30.47;-2.14;128.43;9.59;128.07;1.58E-06;2.029E-06;-4.492E-07;-58.014;-56.927;-99.990;0.74;-175.10;
2019-09-27 15:17:30.38;0.00:00:00:103;0.48;-0.88;-0.08;1.583E-06;9.696E-07;-1.788E-06;-1.603E-07;-30.77;-2.25;128.88;10.12;128.48;1.583E-06;2.041E-06;-4.572E-07;-58.004;-56.902;-99.990;0.74;-174.88;
2019-09-27 15:17:30.40;0.00:00:00:119;0.48;-0.87;-0.08;1.598E-06;9.782E-07;-1.776E-06;-1.635E-07;-30.58;-2.31;127.30;10.23;126.89;1.598E-06;2.034E-06;-4.362E-07;-57.964;-56.916;-99.990;0.74;-174.74;
2019-09-27 15:17:30.43;0.00:00:00:154;0.48;-0.87;-0.08;1.588E-06;9.864E-07;-1.773E-06;-1.601E-07;-30.45;-2.26;128.16;10.08;127.76;1.588E-06;2.035E-06;-4.471E-07;-57.992;-56.914;-99.990;0.74;-174.84;
2019-09-27 15:17:30.45;0.00:00:00:171;0.47;-0.88;-0.07;1.564E-06;9.44E-07;-1.781E-06;-1.501E-07;-31.04;-2.13;129.21;9.60;128.86;1.564E-06;2.021E-06;-4.57E-07;-58.057;-56.944;-99.990;0.73;-175.18;
2019-09-27 15:17:30.46;0.00:00:00:188;0.47;-0.88;-0.08;1.568E-06;9.571E-07;-1.769E-06;-1.646E-07;-30.79;-2.34;128.69;10.50;128.26;1.568E-06;2.018E-06;-4.499E-07;-58.047;-56.951;-99.990;0.74;-174.68;
2019-09-27 15:17:30.48;0.00:00:00:203;0.46;-0.88;-0.07;1.559E-06;9.357E-07;-1.784E-06;-1.441E-07;-31.16;-2.05;129.52;9.24;129.19;1.559E-06;2.02E-06;-4.603E-07;-58.071;-56.947;-99.990;0.73;-175.38;
2019-09-27 15:17:30.50;0.00:00:00:220;0.48;-0.87;-0.08;1.587E-06;9.737E-07;-1.781E-06;-1.579E-07;-30.67;-2.22;128.31;9.95;127.93;1.587E-06;2.036E-06;-4.492E-07;-57.995;-56.913;-99.990;0.74;-174.93;
2019-09-27 15:17:30.51;0.00:00:00:239;0.48;-0.87;-0.08;1.597E-06;9.913E-07;-1.786E-06;-1.548E-07;-30.48;-2.17;128.21;9.69;127.85;1.597E-06;2.048E-06;-4.507E-07;-57.966;-56.886;-99.990;0.74;-175.04;
2019-09-27 15:17:30.55;0.00:00:00:270;0.48;-0.88;-0.07;1.584E-06;9.726E-07;-1.791E-06;-1.5E-07;-30.75;-2.11;128.99;9.47;128.64;1.584E-06;2.044E-06;-4.592E-07;-58.002;-56.896;-99.990;0.74;-175.21;
2019-09-27 15:17:30.56;0.00:00:00:285;0.48;-0.88;-0.07;1.584E-06;9.694E-07;-1.789E-06;-1.525E-07;-30.77;-2.14;128.80;9.63;128.44;1.584E-06;2.04E-06;-4.562E-07;-58.002;-56.903;-99.990;0.74;-175.13;
2019-09-27 15:17:30.58;0.00:00:00:301;0.48;-0.87;-0.08;1.601E-06;9.834E-07;-1.778E-06;-1.63E-07;-30.53;-2.29;127.30;10.18;126.90;1.601E-06;2.038E-06;-4.372E-07;-57.956;-56.907;-99.990;0.74;-174.76;
2019-09-27 15:17:30.59;0.00:00:00:317;0.47;-0.88;-0.08;1.596E-06;9.561E-07;-1.799E-06;-1.536E-07;-31.00;-2.16;128.02;9.63;127.66;1.596E-06;2.043E-06;-4.471E-07;-57.971;-56.898;-99.990;0.73;-175.12;
2019-09-27 15:17:30.61;0.00:00:00:335;0.47;-0.88;-0.08;1.594E-06;9.621E-07;-1.806E-06;-1.643E-07;-30.98;-2.30;128.76;10.31;128.35;1.594E-06;2.053E-06;-4.586E-07;-57.974;-56.876;-99.990;0.73;-174.80;
2019-09-27 15:17:30.63;0.00:00:00:353;0.47;-0.88;-0.07;1.59E-06;9.71E-07;-1.814E-06;-1.376E-07;-30.92;-1.91;129.67;8.65;129.38;1.59E-06;2.062E-06;-4.718E-07;-57.985;-56.857;-99.990;0.74;-175.66;
2019-09-27 15:17:30.64;0.00:00:00:368;0.48;-0.87;-0.08;1.613E-06;9.846E-07;-1.8E-06;-1.604E-07;-30.66;-2.23;127.60;9.94;127.21;1.613E-06;2.058E-06;-4.451E-07;-57.924;-56.866;-99.990;0.74;-174.91;
2019-09-27 15:17:30.66;0.00:00:00:386;0.47;-0.88;-0.07;1.601E-06;9.824E-07;-1.823E-06;-1.496E-07;-30.84;-2.07;129.70;9.34;129.37;1.601E-06;2.077E-06;-4.756E-07;-57.956;-56.826;-99.990;0.74;-175.31;
2019-09-27 15:17:30.68;0.00:00:00:402;0.47;-0.88;-0.07;1.61E-06;9.792E-07;-1.815E-06;-1.512E-07;-30.83;-2.10;128.42;9.39;128.08;1.61E-06;2.068E-06;-4.577E-07;-57.931;-56.844;-99.990;0.74;-175.24;
2019-09-27 15:17:30.69;0.00:00:00:417;0.48;-0.87;-0.07;1.617E-06;9.921E-07;-1.799E-06;-1.511E-07;-30.56;-2.10;127.36;9.34;127.02;1.617E-06;2.06E-06;-4.425E-07;-57.912;-56.861;-99.990;0.74;-175.20;
2019-09-27 15:17:30.71;0.00:00:00:436;0.47;-0.88;-0.08;1.616E-06;9.7E-07;-1.816E-06;-1.589E-07;-30.95;-2.21;127.82;9.83;127.44;1.616E-06;2.065E-06;-4.494E-07;-57.917;-56.851;-99.990;0.73;-175.00;
