Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 15:43:57.80;0.00:00:00:037;0.12;-0.99;0.01;0.3592;0.04332;-0.3576;0.001838;-41.55;0.15;100.26;0.51;100.26;0.3592;0.3602;-0.000934;-4.446;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.81;0.00:00:00:046;0.12;-0.99;0.00;0.3602;0.04451;-0.3572;0.001282;-41.45;0.10;99.92;0.36;99.92;0.3602;0.3599;0.0003014;-4.434;-4.438;-35.209;0.56;179.79;
2019-09-27 15:43:57.82;0.00:00:00:054;0.12;-0.99;0.01;0.3592;0.0433;-0.3575;0.001841;-41.55;0.15;100.26;0.51;100.26;0.3592;0.3602;-0.0009472;-4.446;-4.435;-99.990;0.56;179.70;
2019-09-27 15:43:57.83;0.00:00:00:063;0.12;-0.99;0.00;0.3602;0.04448;-0.3571;0.001273;-41.45;0.10;99.91;0.35;99.91;0.3602;0.3599;0.0003133;-4.434;-4.438;-35.040;0.56;179.80;
2019-09-27 15:43:57.84;0.00:00:00:072;0.12;-0.99;0.01;0.3592;0.04334;-0.3576;0.001829;-41.54;0.15;100.26;0.51;100.26;0.3592;0.3602;-0.000939;-4.446;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.85;0.00:00:00:086;0.12;-0.99;0.00;0.3602;0.04448;-0.3572;0.001273;-41.45;0.10;99.92;0.35;99.92;0.3602;0.3599;0.0002961;-4.434;-4.438;-35.286;0.56;179.80;
2019-09-27 15:43:57.86;0.00:00:00:094;0.12;-0.99;0.01;0.3592;0.04327;-0.3576;0.001837;-41.55;0.15;100.28;0.51;100.28;0.3592;0.3602;-0.001001;-4.447;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.87;0.00:00:00:102;0.12;-0.99;0.00;0.3602;0.0445;-0.3571;0.001274;-41.45;0.10;99.91;0.35;99.91;0.3602;0.3599;0.0003218;-4.434;-4.438;-34.924;0.56;179.80;
2019-09-27 15:43:57.88;0.00:00:00:110;0.12;-0.99;0.01;0.3592;0.04334;-0.3575;0.001815;-41.54;0.14;100.26;0.51;100.26;0.3592;0.3602;-0.0009372;-4.446;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.89;0.00:00:00:119;0.12;-0.99;0.00;0.3602;0.04451;-0.3572;0.001272;-41.45;0.10;99.93;0.35;99.92;0.3602;0.3599;0.0002685;-4.434;-4.438;-35.710;0.56;179.80;
2019-09-27 15:43:57.90;0.00:00:00:137;0.12;-0.99;0.01;0.3592;0.0433;-0.3575;0.001812;-41.55;0.14;100.27;0.50;100.26;0.3592;0.3602;-0.0009537;-4.447;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.91;0.00:00:00:146;0.12;-0.99;0.00;0.3602;0.0445;-0.3572;0.001263;-41.45;0.10;99.92;0.35;99.92;0.3602;0.3599;0.0003005;-4.434;-4.438;-35.222;0.56;179.80;
2019-09-27 15:43:57.92;0.00:00:00:155;0.12;-0.99;0.01;0.3592;0.04333;-0.3576;0.001834;-41.55;0.15;100.27;0.51;100.27;0.3592;0.3602;-0.0009678;-4.446;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.93;0.00:00:00:163;0.12;-0.99;0.00;0.3602;0.04452;-0.3571;0.001282;-41.45;0.10;99.91;0.36;99.91;0.3602;0.3599;0.0003225;-4.434;-4.438;-34.915;0.56;179.79;
2019-09-27 15:43:57.94;0.00:00:00:170;0.12;-0.99;0.01;0.3592;0.04333;-0.3576;0.001838;-41.55;0.15;100.27;0.51;100.26;0.3592;0.3602;-0.0009531;-4.446;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:57.95;0.00:00:00:178;0.12;-0.99;0.00;0.3602;0.04451;-0.3572;0.001277;-41.45;0.10;99.92;0.35;99.92;0.3602;0.3599;0.0002792;-4.434;-4.438;-35.540;0.56;179.80;
2019-09-27 15:43:57.97;0.00:00:00:197;0.12;-0.99;0.01;0.3592;0.04329;-0.3576;0.001842;-41.55;0.15;100.27;0.51;100.27;0.3592;0.3602;-0.0009821;-4.446;-4.435;-99.990;0.56;179.70;
2019-09-27 15:43:57.98;0.00:00:00:207;0.12;-0.99;0.00;0.3602;0.0445;-0.3572;0.001295;-41.45;0.10;99.92;0.36;99.92;0.3602;0.3599;0.0002996;-4.434;-4.438;-35.235;0.56;179.79;
2019-09-27 15:43:58.00;0.00:00:00:227;0.12;-0.99;0.00;0.3602;0.04453;-0.3572;0.001282;-41.45;0.10;99.92;0.36;99.92;0.3602;0.36;0.0002949;-4.434;-4.438;-35.303;0.56;179.79;
2019-09-27 15:43:58.00;0.00:00:00:235;0.12;-0.99;0.01;0.3592;0.04331;-0.3576;0.001836;-41.55;0.15;100.27;0.51;100.27;0.3592;0.3602;-0.0009775;-4.446;-4.434;-99.990;0.56;179.71;
2019-09-27 15:43:58.01;0.00:00:00:243;0.12;-0.99;0.00;0.3602;0.04449;-0.3572;0.001278;-41.45;0.10;99.92;0.35;99.92;0.3602;0.3599;0.0002872;-4.434;-4.438;-35.419;0.56;179.79;
2019-09-27 15:43:58.02;0.00:00:00:252;0.12;-0.99;0.01;0.3593;0.04335;-0.3576;0.001818;-41.54;0.14;100.26;0.51;100.26;0.3593;0.3602;-0.0009294;-4.446;-4.435;-99.990;0.56;179.71;
2019-09-27 15:43:58.03;0.00:00:00:260;0.12;-0.99;0.00;0.3602;0.04454;-0.3572;0.001296;-41.45;0.10;99.91;0.36;99.91;0.3602;0.3599;0.0003151;-4.434;-4.438;-35.016;0.56;179.79;
2019-09-27 15:43:58.04;0.00:00:00:269;0.12;-0.99;0.01;0.3592;0.04333;-0.3575;0.001836;-41.54;0.15;100.26;0.51;100.26;0.3592;0.3602;-0.0009275;-4.446;-4.435;-99.990;0.56;179.71;
