Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 16:31:46.73;0.00:00:00:039;0.36;-0.93;-0.03;0.677;0.2434;-0.6308;-0.01805;-34.45;-0.76;99.90;2.67;99.87;0.677;0.6764;0.0006675;-1.694;-1.698;-31.755;0.68;-178.36;
2019-09-27 16:31:46.74;0.00:00:00:053;0.36;-0.93;-0.02;0.6751;0.2416;-0.6317;-0.01677;-34.53;-0.71;100.22;2.48;100.18;0.6751;0.6766;-0.001452;-1.706;-1.697;-99.990;0.68;-178.48;
2019-09-27 16:31:46.76;0.00:00:00:072;0.36;-0.93;-0.03;0.677;0.2434;-0.6308;-0.01803;-34.45;-0.76;99.90;2.66;99.87;0.677;0.6764;0.000655;-1.694;-1.698;-31.838;0.68;-178.36;
2019-09-27 16:31:46.77;0.00:00:00:081;0.36;-0.93;-0.02;0.6752;0.2417;-0.6318;-0.01684;-34.53;-0.71;100.21;2.49;100.18;0.6752;0.6766;-0.001434;-1.706;-1.696;-99.990;0.68;-178.47;
2019-09-27 16:31:46.78;0.00:00:00:090;0.36;-0.93;-0.03;0.677;0.2433;-0.6308;-0.01808;-34.45;-0.77;99.90;2.67;99.87;0.677;0.6763;0.0006511;-1.694;-1.698;-31.863;0.68;-178.36;
2019-09-27 16:31:46.79;0.00:00:00:098;0.36;-0.93;-0.02;0.6752;0.2417;-0.6318;-0.0168;-34.53;-0.71;100.22;2.49;100.18;0.6752;0.6766;-0.001455;-1.706;-1.696;-99.990;0.68;-178.48;
2019-09-27 16:31:46.80;0.00:00:00:107;0.36;-0.93;-0.03;0.677;0.2434;-0.6308;-0.01804;-34.45;-0.76;99.90;2.66;99.86;0.677;0.6764;0.0006807;-1.694;-1.698;-31.671;0.68;-178.36;
2019-09-27 16:31:46.81;0.00:00:00:115;0.36;-0.93;-0.02;0.6752;0.2417;-0.6317;-0.01679;-34.53;-0.71;100.20;2.49;100.17;0.6752;0.6766;-0.00138;-1.706;-1.697;-99.990;0.68;-178.48;
2019-09-27 16:31:46.81;0.00:00:00:125;0.36;-0.93;-0.03;0.677;0.2434;-0.6308;-0.01807;-34.45;-0.77;99.90;2.67;99.87;0.677;0.6764;0.0006471;-1.694;-1.698;-31.890;0.68;-178.36;
2019-09-27 16:31:46.82;0.00:00:00:134;0.36;-0.93;-0.02;0.6751;0.2416;-0.6318;-0.01677;-34.54;-0.71;100.22;2.48;100.19;0.6751;0.6766;-0.001467;-1.706;-1.697;-99.990;0.68;-178.48;
2019-09-27 16:31:46.84;0.00:00:00:152;0.36;-0.93;-0.03;0.677;0.2434;-0.6308;-0.01808;-34.45;-0.77;99.91;2.67;99.87;0.677;0.6764;0.0006383;-1.694;-1.698;-31.950;0.68;-178.36;
