Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 16:33:52.85;0.00:00:00:031;0.19;-0.98;0.06;0.07508;0.01426;-0.07347;0.004745;-39.51;1.81;99.88;6.32;99.68;0.07508;0.07499;9.317E-05;-11.244;-11.250;-40.307;0.60;176.31;
2019-09-27 16:33:52.89;0.00:00:00:070;0.19;-0.98;0.06;0.07509;0.01427;-0.07345;0.004746;-39.50;1.81;99.85;6.32;99.65;0.07509;0.07498;0.0001151;-11.244;-11.251;-39.388;0.60;176.30;
2019-09-27 16:33:52.91;0.00:00:00:086;0.19;-0.98;0.06;0.07497;0.0141;-0.07353;0.004777;-39.57;1.83;100.07;6.37;99.87;0.07497;0.07503;-5.196E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:52.92;0.00:00:00:101;0.19;-0.98;0.06;0.07497;0.01411;-0.07353;0.004775;-39.57;1.82;100.06;6.37;99.86;0.07497;0.07502;-4.491E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:52.94;0.00:00:00:118;0.19;-0.98;0.06;0.07498;0.0141;-0.07354;0.004773;-39.57;1.82;100.08;6.37;99.87;0.07498;0.07503;-5.713E-05;-11.251;-11.247;-99.990;0.59;176.29;
2019-09-27 16:33:52.95;0.00:00:00:134;0.19;-0.98;0.06;0.0751;0.01428;-0.07346;0.004746;-39.50;1.81;99.85;6.32;99.65;0.0751;0.07499;0.0001103;-11.244;-11.250;-39.572;0.60;176.30;
2019-09-27 16:33:52.97;0.00:00:00:149;0.19;-0.98;0.06;0.07509;0.01427;-0.07346;0.004745;-39.50;1.81;99.86;6.32;99.66;0.07509;0.07498;0.0001078;-11.244;-11.251;-39.673;0.60;176.30;
2019-09-27 16:33:52.98;0.00:00:00:165;0.19;-0.98;0.06;0.07497;0.0141;-0.07354;0.004781;-39.57;1.83;100.08;6.38;99.87;0.07497;0.07503;-5.758E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.00;0.00:00:00:181;0.19;-0.98;0.06;0.07498;0.0141;-0.07353;0.004776;-39.57;1.82;100.06;6.37;99.86;0.07498;0.07502;-4.596E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.02;0.00:00:00:196;0.19;-0.98;0.06;0.07509;0.01427;-0.07347;0.004745;-39.50;1.81;99.87;6.32;99.67;0.07509;0.07499;0.0001009;-11.244;-11.250;-39.960;0.60;176.30;
2019-09-27 16:33:53.03;0.00:00:00:212;0.19;-0.98;0.06;0.0751;0.01428;-0.07347;0.004744;-39.50;1.81;99.87;6.32;99.67;0.0751;0.075;0.0001003;-11.244;-11.250;-39.989;0.60;176.31;
2019-09-27 16:33:53.05;0.00:00:00:230;0.19;-0.98;0.06;0.07497;0.01409;-0.07354;0.004776;-39.58;1.82;100.08;6.37;99.88;0.07497;0.07503;-5.967E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.07;0.00:00:00:245;0.19;-0.98;0.06;0.07498;0.0141;-0.07354;0.004776;-39.57;1.82;100.08;6.37;99.87;0.07498;0.07503;-5.676E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.08;0.00:00:00:261;0.19;-0.98;0.06;0.07498;0.0141;-0.07354;0.004773;-39.57;1.82;100.08;6.37;99.88;0.07498;0.07504;-5.923E-05;-11.251;-11.247;-99.990;0.59;176.29;
2019-09-27 16:33:53.10;0.00:00:00:277;0.19;-0.98;0.06;0.0751;0.01428;-0.07346;0.004745;-39.50;1.81;99.85;6.32;99.65;0.0751;0.07499;0.0001099;-11.244;-11.250;-39.591;0.60;176.30;
2019-09-27 16:33:53.11;0.00:00:00:292;0.19;-0.98;0.06;0.0751;0.01427;-0.07347;0.004745;-39.50;1.81;99.86;6.32;99.66;0.0751;0.07499;0.0001039;-11.244;-11.250;-39.832;0.60;176.30;
2019-09-27 16:33:53.13;0.00:00:00:308;0.19;-0.98;0.06;0.07497;0.01409;-0.07354;0.004781;-39.58;1.83;100.08;6.38;99.88;0.07497;0.07503;-6.14E-05;-11.251;-11.247;-99.990;0.59;176.28;
2019-09-27 16:33:53.14;0.00:00:00:324;0.19;-0.98;0.06;0.07498;0.0141;-0.07354;0.004779;-39.57;1.83;100.07;6.37;99.87;0.07498;0.07503;-5.406E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.16;0.00:00:00:339;0.19;-0.98;0.06;0.07497;0.01409;-0.07354;0.004776;-39.58;1.82;100.08;6.37;99.88;0.07497;0.07503;-5.908E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.17;0.00:00:00:355;0.19;-0.98;0.06;0.0751;0.01428;-0.07346;0.004746;-39.50;1.81;99.86;6.32;99.66;0.0751;0.07499;0.0001085;-11.244;-11.250;-39.645;0.60;176.30;
2019-09-27 16:33:53.19;0.00:00:00:371;0.19;-0.98;0.06;0.0751;0.01428;-0.07346;0.00474;-39.50;1.81;99.86;6.31;99.66;0.0751;0.07499;0.0001087;-11.244;-11.250;-39.638;0.60;176.31;
2019-09-27 16:33:53.21;0.00:00:00:387;0.19;-0.98;0.06;0.07498;0.0141;-0.07354;0.004776;-39.57;1.82;100.07;6.37;99.87;0.07498;0.07503;-5.368E-05;-11.251;-11.248;-99.990;0.59;176.28;
2019-09-27 16:33:53.22;0.00:00:00:403;0.19;-0.98;0.06;0.07498;0.01411;-0.07354;0.00478;-39.57;1.83;100.07;6.37;99.87;0.07498;0.07503;-5.443E-05;-11.251;-11.247;-99.990;0.59;176.28;
2019-09-27 16:33:53.24;0.00:00:00:418;0.19;-0.98;0.06;0.07509;0.01428;-0.07346;0.004746;-39.50;1.81;99.86;6.32;99.66;0.07509;0.07499;0.0001058;-11.244;-11.250;-39.755;0.60;176.30;
