Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 16:36:32.27;0.00:00:00:022;-0.48;-0.04;0.88;-2.205E-07;-9.161E-08;-7.833E-09;1.681E-07;-87.56;30.66;-86.92;76.26;41.70;-2.205E-07;1.916E-07;-4.121E-07;-99.990;-67.176;-99.990;0.26;92.67;
2019-09-27 16:36:32.28;0.00:00:00:030;0.51;0.20;0.84;-1.213E-07;1.814E-07;7.306E-08;3.004E-07;10.97;28.47;-295.60;247.73;161.27;-1.213E-07;3.584E-07;-4.797E-07;-99.990;-64.456;-99.990;0.75;1.33;
2019-09-27 16:36:32.32;0.00:00:00:065;0.88;0.07;0.46;-5.351E-08;3.69E-07;2.792E-08;1.924E-07;2.16;13.74;-779.54;359.65;691.62;-5.351E-08;4.171E-07;-4.706E-07;-99.990;-63.798;-99.990;0.94;1.43;
2019-09-27 16:36:32.33;0.00:00:00:081;0.92;-0.35;-0.19;-2.594E-08;4.172E-07;-1.607E-07;-8.804E-08;-10.53;-5.57;-1756.28;339.35;1723.18;-2.594E-08;4.556E-07;-4.816E-07;-99.990;-63.414;-99.990;0.96;-151.28;
2019-09-27 16:36:32.35;0.00:00:00:096;0.76;-0.50;-0.41;-7.283E-08;3.18E-07;-2.073E-07;-1.715E-07;-16.55;-12.16;-571.94;235.48;521.22;-7.283E-08;4.166E-07;-4.894E-07;-99.990;-63.803;-99.990;0.88;-140.40;
2019-09-27 16:36:32.36;0.00:00:00:112;0.04;-0.71;-0.70;-1.544E-07;1.196E-08;-2.212E-07;-2.16E-07;-43.45;-22.14;-200.46;139.94;143.53;-1.544E-07;3.094E-07;-4.638E-07;-99.990;-65.094;-99.990;0.52;-135.68;
2019-09-27 16:36:32.40;0.00:00:00:143;-0.65;-0.65;-0.40;-1.996E-07;-1.389E-07;-1.38E-07;-8.565E-08;-67.59;-11.81;-107.06;42.91;98.08;-1.996E-07;2.137E-07;-4.133E-07;-99.990;-66.702;-99.990;0.18;-148.17;
2019-09-27 16:36:32.41;0.00:00:00:159;-0.84;-0.23;0.48;-2.078E-07;-1.568E-07;-4.345E-08;8.992E-08;-82.26;14.46;-89.45;43.26;78.29;-2.078E-07;1.859E-07;-3.938E-07;-99.990;-67.307;-99.990;0.08;115.79;
2019-09-27 16:36:32.43;0.00:00:00:175;-0.51;0.07;0.85;-1.966E-07;-1.104E-07;1.587E-08;1.833E-07;85.91;29.34;-109.14;93.23;56.74;-1.966E-07;2.146E-07;-4.112E-07;-99.990;-66.684;-99.990;0.24;1.48;
2019-09-27 16:36:32.44;0.00:00:00:190;0.16;0.33;0.93;-1.492E-07;4.929E-08;1.015E-07;2.848E-07;32.05;34.19;-205.28;190.85;75.61;-1.492E-07;3.063E-07;-4.555E-07;-99.990;-65.138;-99.990;0.58;1.23;
2019-09-27 16:36:32.46;0.00:00:00:208;0.39;0.33;0.86;-1.262E-07;1.368E-07;1.153E-07;2.974E-07;20.07;29.48;-275.12;235.74;141.84;-1.262E-07;3.471E-07;-4.732E-07;-99.990;-64.596;-99.990;0.70;1.20;
2019-09-27 16:36:32.48;0.00:00:00:224;0.79;0.20;0.59;-7.305E-08;3.265E-07;8.223E-08;2.433E-07;7.07;17.92;-568.58;332.99;460.87;-7.305E-08;4.154E-07;-4.884E-07;-99.990;-63.816;-99.990;0.89;1.24;
2019-09-27 16:36:32.49;0.00:00:00:239;0.96;-0.02;0.28;-5.638E-08;4.208E-07;-8.762E-09;1.25E-07;-0.60;8.27;-778.69;221.69;746.46;-5.638E-08;4.39E-07;-4.954E-07;-99.990;-63.575;-99.990;0.98;94.01;
2019-09-27 16:36:32.51;0.00:00:00:255;0.97;-0.21;-0.13;-5.71E-08;4.083E-07;-8.757E-08;-5.568E-08;-6.05;-3.80;-737.83;97.51;731.35;-5.71E-08;4.213E-07;-4.784E-07;-99.990;-63.754;-99.990;0.98;-147.55;
2019-09-27 16:36:32.52;0.00:00:00:270;0.88;-0.36;-0.32;-8.521E-08;3.513E-07;-1.436E-07;-1.284E-07;-11.12;-9.34;-470.21;150.66;445.42;-8.521E-08;4.006E-07;-4.858E-07;-99.990;-63.972;-99.990;0.94;-138.21;
2019-09-27 16:36:32.54;0.00:00:00:286;0.57;-0.56;-0.60;-1.249E-07;2.037E-07;-2.003E-07;-2.165E-07;-22.26;-18.58;-286.93;173.30;228.68;-1.249E-07;3.584E-07;-4.834E-07;-99.990;-64.456;-99.990;0.78;-132.77;
2019-09-27 16:36:32.55;0.00:00:00:302;0.39;-0.66;-0.64;-1.322E-07;1.336E-07;-2.24E-07;-2.197E-07;-29.59;-20.06;-257.90;166.16;197.24;-1.322E-07;3.41E-07;-4.733E-07;-99.990;-64.672;-99.990;0.70;-135.55;
2019-09-27 16:36:32.57;0.00:00:00:319;-0.16;-0.74;-0.65;-1.895E-07;-4.608E-08;-2.111E-07;-1.847E-07;-51.16;-20.26;-150.03;97.48;114.04;-1.895E-07;2.842E-07;-4.737E-07;-99.990;-65.463;-99.990;0.42;-138.82;
2019-09-27 16:36:32.59;0.00:00:00:334;-0.37;-0.73;-0.57;-1.946E-07;-9.085E-08;-1.789E-07;-1.408E-07;-58.46;-17.53;-125.96;72.36;103.10;-1.946E-07;2.451E-07;-4.398E-07;-99.990;-66.106;-99.990;0.31;-141.79;
2019-09-27 16:36:32.60;0.00:00:00:350;-0.88;-0.47;-0.02;-2.444E-07;-1.881E-07;-9.973E-08;-4.048E-09;-76.04;-0.54;-87.15;1.66;87.14;-2.444E-07;2.13E-07;-4.573E-07;-99.990;-66.717;-99.990;0.06;-177.68;
2019-09-27 16:36:32.62;0.00:00:00:366;-0.91;-0.27;0.32;-2.153E-07;-1.569E-07;-4.608E-08;5.597E-08;-81.82;9.45;-80.29;26.00;75.97;-2.153E-07;1.729E-07;-3.881E-07;-99.990;-67.623;-99.990;0.05;129.46;
2019-09-27 16:36:32.63;0.00:00:00:381;-0.51;0.14;0.85;-2.078E-07;-1.055E-07;2.923E-08;1.769E-07;82.26;29.13;-100.14;85.17;52.68;-2.078E-07;2.081E-07;-4.158E-07;-99.990;-66.818;-99.990;0.25;1.41;
2019-09-27 16:36:32.65;0.00:00:00:397;0.03;0.39;0.92;-1.817E-07;9.118E-09;1.06E-07;2.486E-07;42.54;33.42;-148.77;136.77;58.54;-1.817E-07;2.704E-07;-4.521E-07;-99.990;-65.681;-99.990;0.52;1.17;
2019-09-27 16:36:32.67;0.00:00:00:412;0.10;0.44;0.89;-1.929E-07;2.975E-08;1.304E-07;2.632E-07;38.57;31.53;-153.08;136.47;69.33;-1.929E-07;2.952E-07;-4.881E-07;-99.990;-65.298;-99.990;0.55;1.11;
2019-09-27 16:36:32.68;0.00:00:00:428;0.52;0.39;0.76;-1.593E-07;1.716E-07;1.268E-07;2.497E-07;18.23;24.75;-206.16;156.74;133.91;-1.593E-07;3.285E-07;-4.878E-07;-99.990;-64.835;-99.990;0.76;1.10;
2019-09-27 16:36:32.70;0.00:00:00:444;0.70;0.35;0.62;-1.364E-07;2.443E-07;1.231E-07;2.148E-07;13.37;19.07;-255.01;157.49;200.57;-1.364E-07;3.478E-07;-4.842E-07;-99.990;-64.586;-99.990;0.85;1.05;
2019-09-27 16:36:32.71;0.00:00:00:462;0.90;0.24;0.36;-1.164E-07;3.239E-07;8.53E-08;1.293E-07;7.38;10.55;-308.36;111.05;287.67;-1.164E-07;3.59E-07;-4.755E-07;-99.990;-64.449;-99.990;0.95;0.99;
2019-09-27 16:36:32.73;0.00:00:00:477;1.00;0.05;0.07;-1.112E-07;3.619E-07;1.926E-08;2.572E-08;1.52;2.03;-326.66;23.13;325.84;-1.112E-07;3.633E-07;-4.746E-07;-99.990;-64.397;-99.990;1.00;0.93;
2019-09-27 16:36:32.75;0.00:00:00:493;1.00;-0.03;-0.09;-1.297E-07;3.463E-07;-9.001E-09;-3.095E-08;-0.74;-2.55;-268.08;23.86;267.02;-1.297E-07;3.478E-07;-4.775E-07;-99.990;-64.587;-99.990;1.00;-106.22;
2019-09-27 16:36:32.76;0.00:00:00:510;0.91;-0.22;-0.36;-1.339E-07;3.185E-07;-7.56E-08;-1.255E-07;-6.68;-10.49;-261.89;93.76;244.53;-1.339E-07;3.506E-07;-4.844E-07;-99.990;-64.552;-99.990;0.95;-121.06;
2019-09-27 16:36:32.78;0.00:00:00:525;0.81;-0.30;-0.50;-1.479E-07;2.706E-07;-1.001E-07;-1.651E-07;-10.15;-14.89;-224.70;111.61;195.02;-1.479E-07;3.324E-07;-4.804E-07;-99.990;-64.783;-99.990;0.91;-121.23;
2019-09-27 16:36:32.79;0.00:00:00:541;0.37;-0.56;-0.74;-1.951E-07;1.091E-07;-1.643E-07;-2.165E-07;-28.21;-23.83;-150.11;110.96;101.10;-1.951E-07;2.929E-07;-4.88E-07;-99.990;-65.333;-99.990;0.69;-127.20;
2019-09-27 16:36:32.82;0.00:00:00:572;-0.04;-0.69;-0.73;-2.22E-07;-1.128E-08;-1.977E-07;-2.089E-07;-46.63;-23.26;-129.67;94.10;89.22;-2.22E-07;2.878E-07;-5.098E-07;-99.990;-65.409;-99.990;0.48;-133.43;
2019-09-27 16:36:32.84;0.00:00:00:590;-0.36;-0.74;-0.57;-2.292E-07;-9.259E-08;-1.894E-07;-1.447E-07;-58.03;-17.24;-111.54;63.14;91.95;-2.292E-07;2.557E-07;-4.849E-07;-99.990;-65.923;-99.990;0.32;-142.61;
2019-09-27 16:36:32.86;0.00:00:00:605;-0.52;-0.72;-0.45;-2.287E-07;-1.221E-07;-1.678E-07;-1.059E-07;-63.02;-13.52;-101.88;46.33;90.74;-2.287E-07;2.33E-07;-4.616E-07;-99.990;-66.327;-99.990;0.24;-147.73;
