Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 16:35:17.17;0.00:00:00:026;0.19;-0.98;-0.05;0.6833;0.1295;-0.6699;-0.03495;-39.53;-1.47;100.00;5.12;99.87;0.6833;0.6832;2.624E-05;-1.654;-1.654;-45.811;0.59;-177.01;
2019-09-27 16:35:17.18;0.00:00:00:035;0.19;-0.98;-0.05;0.6809;0.1269;-0.6709;-0.0338;-39.64;-1.42;100.40;4.96;100.28;0.6809;0.6837;-0.002746;-1.669;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.19;0.00:00:00:045;0.19;-0.98;-0.05;0.6832;0.1295;-0.67;-0.03491;-39.53;-1.46;100.01;5.11;99.88;0.6832;0.6833;-5.807E-05;-1.654;-1.654;-99.990;0.59;-177.02;
2019-09-27 16:35:17.19;0.00:00:00:054;0.19;-0.98;-0.05;0.6809;0.1268;-0.671;-0.03378;-39.65;-1.42;100.41;4.96;100.29;0.6809;0.6837;-0.002795;-1.669;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.21;0.00:00:00:072;0.19;-0.98;-0.05;0.6831;0.1294;-0.67;-0.03492;-39.53;-1.46;100.01;5.11;99.88;0.6831;0.6832;-9.974E-05;-1.655;-1.654;-99.990;0.59;-177.02;
2019-09-27 16:35:17.22;0.00:00:00:082;0.19;-0.98;-0.05;0.6809;0.1269;-0.671;-0.03377;-39.65;-1.42;100.41;4.96;100.29;0.6809;0.6837;-0.002796;-1.669;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.25;0.00:00:00:104;0.19;-0.98;-0.05;0.681;0.1269;-0.671;-0.03379;-39.64;-1.42;100.41;4.96;100.28;0.681;0.6837;-0.002767;-1.669;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.25;0.00:00:00:113;0.19;-0.98;-0.05;0.6832;0.1295;-0.6699;-0.03494;-39.53;-1.47;100.00;5.11;99.87;0.6832;0.6832;2.432E-05;-1.654;-1.655;-46.140;0.59;-177.01;
2019-09-27 16:35:17.26;0.00:00:00:123;0.19;-0.98;-0.05;0.6808;0.1268;-0.671;-0.03376;-39.65;-1.42;100.42;4.96;100.30;0.6808;0.6837;-0.002886;-1.670;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.27;0.00:00:00:132;0.19;-0.98;-0.05;0.6832;0.1295;-0.6699;-0.03487;-39.53;-1.46;100.00;5.10;99.87;0.6832;0.6832;-3.074E-05;-1.655;-1.654;-99.990;0.59;-177.02;
2019-09-27 16:35:17.28;0.00:00:00:141;0.19;-0.98;-0.05;0.6809;0.1269;-0.671;-0.03376;-39.64;-1.42;100.42;4.96;100.29;0.6809;0.6838;-0.002842;-1.669;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.29;0.00:00:00:151;0.19;-0.98;-0.05;0.6832;0.1295;-0.67;-0.03485;-39.53;-1.46;100.01;5.10;99.88;0.6832;0.6833;-3.963E-05;-1.654;-1.654;-99.990;0.59;-177.02;
2019-09-27 16:35:17.30;0.00:00:00:160;0.19;-0.98;-0.05;0.6808;0.1268;-0.671;-0.03376;-39.65;-1.41;100.43;4.96;100.30;0.6808;0.6837;-0.002906;-1.670;-1.651;-99.990;0.59;-177.12;
2019-09-27 16:35:17.31;0.00:00:00:169;0.19;-0.98;-0.05;0.6832;0.1295;-0.6699;-0.03492;-39.53;-1.46;100.00;5.11;99.87;0.6832;0.6832;7.925E-06;-1.655;-1.655;-51.010;0.59;-177.02;
