Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 16:40:08.29;0.00:00:00:043;0.24;-0.96;0.14;0.07572;0.01824;-0.07255;0.01095;-37.95;4.16;99.85;14.45;98.80;0.07572;0.07561;0.000114;-11.208;-11.214;-39.431;0.62;171.42;
2019-09-27 16:40:08.31;0.00:00:00:058;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01094;-37.95;4.16;99.85;14.45;98.80;0.07572;0.07561;0.0001119;-11.208;-11.214;-39.513;0.62;171.42;
2019-09-27 16:40:08.33;0.00:00:00:074;0.24;-0.96;0.15;0.07545;0.01786;-0.07262;0.01111;-38.09;4.23;100.22;14.73;99.13;0.07545;0.07561;-0.0001644;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.34;0.00:00:00:090;0.24;-0.96;0.15;0.07544;0.01785;-0.07264;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07544;0.07562;-0.0001837;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.36;0.00:00:00:105;0.24;-0.96;0.14;0.07572;0.01823;-0.07255;0.01095;-37.95;4.16;99.85;14.46;98.80;0.07572;0.07561;0.0001125;-11.208;-11.214;-39.489;0.62;171.42;
2019-09-27 16:40:08.37;0.00:00:00:121;0.24;-0.96;0.14;0.07572;0.01824;-0.07255;0.01094;-37.94;4.16;99.84;14.45;98.79;0.07572;0.0756;0.0001193;-11.208;-11.215;-39.234;0.62;171.42;
2019-09-27 16:40:08.39;0.00:00:00:137;0.24;-0.96;0.15;0.07545;0.01787;-0.07263;0.01111;-38.09;4.23;100.23;14.73;99.14;0.07545;0.07562;-0.0001714;-11.223;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.40;0.00:00:00:152;0.24;-0.96;0.15;0.07544;0.01785;-0.07263;0.01112;-38.10;4.23;100.23;14.74;99.14;0.07544;0.07561;-0.0001718;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.42;0.00:00:00:168;0.24;-0.96;0.15;0.07545;0.01785;-0.07264;0.01112;-38.10;4.23;100.23;14.73;99.14;0.07545;0.07562;-0.0001735;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.44;0.00:00:00:186;0.24;-0.96;0.14;0.07573;0.01823;-0.07257;0.01094;-37.95;4.16;99.86;14.45;98.81;0.07573;0.07562;0.0001076;-11.208;-11.214;-39.683;0.62;171.43;
2019-09-27 16:40:08.46;0.00:00:00:204;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07572;0.07561;0.0001042;-11.208;-11.214;-39.822;0.62;171.42;
2019-09-27 16:40:08.47;0.00:00:00:220;0.24;-0.96;0.14;0.07573;0.01824;-0.07256;0.01094;-37.94;4.16;99.85;14.45;98.80;0.07573;0.07561;0.0001153;-11.208;-11.214;-39.381;0.62;171.42;
2019-09-27 16:40:08.49;0.00:00:00:237;0.24;-0.96;0.15;0.07545;0.01787;-0.07264;0.01112;-38.09;4.23;100.22;14.73;99.13;0.07545;0.07562;-0.0001677;-11.223;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.50;0.00:00:00:252;0.24;-0.96;0.15;0.07543;0.01784;-0.07264;0.01112;-38.10;4.23;100.25;14.74;99.16;0.07543;0.07562;-0.0001877;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.52;0.00:00:00:268;0.24;-0.96;0.14;0.07571;0.01822;-0.07257;0.01095;-37.95;4.16;99.87;14.46;98.82;0.07571;0.07562;9.475E-05;-11.208;-11.214;-40.234;0.62;171.42;
2019-09-27 16:40:08.54;0.00:00:00:283;0.24;-0.96;0.14;0.07572;0.01823;-0.07255;0.01094;-37.95;4.16;99.85;14.45;98.80;0.07572;0.0756;0.0001142;-11.208;-11.215;-39.424;0.62;171.42;
2019-09-27 16:40:08.55;0.00:00:00:299;0.24;-0.96;0.14;0.07572;0.01823;-0.07255;0.01095;-37.95;4.16;99.84;14.46;98.79;0.07572;0.0756;0.0001178;-11.208;-11.215;-39.290;0.62;171.42;
2019-09-27 16:40:08.57;0.00:00:00:315;0.24;-0.96;0.15;0.07544;0.01785;-0.07264;0.01112;-38.10;4.23;100.25;14.74;99.16;0.07544;0.07562;-0.0001861;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.59;0.00:00:00:333;0.24;-0.96;0.15;0.07544;0.01785;-0.07264;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07544;0.07562;-0.0001842;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.60;0.00:00:00:349;0.24;-0.96;0.15;0.07544;0.01785;-0.07264;0.01112;-38.10;4.23;100.25;14.74;99.16;0.07544;0.07562;-0.0001857;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.62;0.00:00:00:365;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01095;-37.95;4.16;99.85;14.46;98.80;0.07572;0.07561;0.0001146;-11.208;-11.214;-39.409;0.62;171.42;
2019-09-27 16:40:08.63;0.00:00:00:380;0.24;-0.96;0.14;0.07572;0.01822;-0.07257;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07572;0.07562;0.0001026;-11.208;-11.214;-39.887;0.62;171.42;
2019-09-27 16:40:08.66;0.00:00:00:412;0.24;-0.96;0.15;0.07544;0.01785;-0.07264;0.01111;-38.10;4.22;100.24;14.73;99.16;0.07544;0.07563;-0.0001837;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.68;0.00:00:00:431;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01094;-37.95;4.16;99.86;14.45;98.81;0.07572;0.07561;0.0001066;-11.208;-11.214;-39.724;0.62;171.42;
2019-09-27 16:40:08.70;0.00:00:00:446;0.24;-0.96;0.14;0.07572;0.01822;-0.07255;0.01094;-37.95;4.16;99.84;14.45;98.79;0.07572;0.0756;0.0001195;-11.208;-11.215;-39.226;0.62;171.42;
2019-09-27 16:40:08.71;0.00:00:00:462;0.24;-0.96;0.14;0.07573;0.01823;-0.07256;0.01094;-37.95;4.16;99.85;14.45;98.80;0.07573;0.07561;0.0001155;-11.208;-11.214;-39.375;0.62;171.42;
2019-09-27 16:40:08.73;0.00:00:00:478;0.24;-0.96;0.15;0.07545;0.01785;-0.07265;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07545;0.07563;-0.0001818;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.74;0.00:00:00:493;0.24;-0.96;0.15;0.07543;0.01783;-0.07263;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07543;0.07561;-0.0001803;-11.225;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.76;0.00:00:00:509;0.24;-0.96;0.14;0.07572;0.01822;-0.07256;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07572;0.07561;0.000103;-11.208;-11.214;-39.870;0.62;171.42;
2019-09-27 16:40:08.78;0.00:00:00:524;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01094;-37.95;4.16;99.85;14.45;98.80;0.07572;0.07561;0.0001106;-11.208;-11.214;-39.561;0.62;171.42;
2019-09-27 16:40:08.79;0.00:00:00:540;0.24;-0.96;0.14;0.07571;0.01821;-0.07256;0.01094;-37.95;4.16;99.86;14.46;98.80;0.07571;0.0756;0.0001086;-11.208;-11.215;-39.641;0.62;171.42;
2019-09-27 16:40:08.81;0.00:00:00:558;0.24;-0.96;0.15;0.07543;0.01784;-0.07263;0.01112;-38.10;4.23;100.23;14.74;99.14;0.07543;0.07561;-0.0001758;-11.224;-11.214;-99.990;0.62;171.29;
2019-09-27 16:40:08.83;0.00:00:00:574;0.24;-0.96;0.15;0.07544;0.01784;-0.07264;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07544;0.07562;-0.0001807;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.84;0.00:00:00:589;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01095;-37.95;4.16;99.86;14.46;98.80;0.07572;0.07561;0.0001078;-11.208;-11.214;-39.673;0.62;171.42;
2019-09-27 16:40:08.86;0.00:00:00:607;0.24;-0.96;0.14;0.07572;0.01822;-0.07256;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07572;0.07561;0.0001063;-11.208;-11.214;-39.734;0.62;171.42;
2019-09-27 16:40:08.87;0.00:00:00:623;0.24;-0.96;0.14;0.07573;0.01822;-0.07256;0.01095;-37.95;4.16;99.85;14.46;98.80;0.07573;0.07562;0.0001104;-11.208;-11.214;-39.569;0.62;171.42;
2019-09-27 16:40:08.89;0.00:00:00:638;0.24;-0.96;0.15;0.07545;0.01785;-0.07264;0.01112;-38.10;4.23;100.23;14.74;99.14;0.07545;0.07562;-0.0001742;-11.223;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:08.91;0.00:00:00:654;0.24;-0.96;0.15;0.07544;0.01784;-0.07264;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07544;0.07562;-0.0001788;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.92;0.00:00:00:669;0.24;-0.96;0.14;0.07572;0.01823;-0.07256;0.01095;-37.95;4.16;99.85;14.46;98.80;0.07572;0.07561;0.0001124;-11.208;-11.214;-39.492;0.62;171.42;
2019-09-27 16:40:08.94;0.00:00:00:685;0.24;-0.96;0.14;0.07572;0.01821;-0.07257;0.01095;-37.95;4.16;99.87;14.46;98.82;0.07572;0.07562;9.884E-05;-11.208;-11.214;-40.051;0.62;171.42;
2019-09-27 16:40:08.95;0.00:00:00:701;0.24;-0.96;0.14;0.07571;0.01821;-0.07257;0.01095;-37.96;4.16;99.87;14.46;98.81;0.07571;0.07561;0.0001001;-11.208;-11.214;-39.996;0.62;171.42;
2019-09-27 16:40:08.97;0.00:00:00:716;0.24;-0.96;0.15;0.07545;0.01784;-0.07264;0.01112;-38.10;4.23;100.23;14.74;99.14;0.07545;0.07562;-0.0001734;-11.223;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:08.98;0.00:00:00:732;0.24;-0.96;0.15;0.07544;0.01784;-0.07264;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07544;0.07562;-0.0001789;-11.224;-11.214;-99.990;0.62;171.30;
2019-09-27 16:40:09.00;0.00:00:00:750;0.24;-0.96;0.14;0.07572;0.01821;-0.07255;0.01095;-37.96;4.16;99.85;14.46;98.79;0.07572;0.0756;0.0001162;-11.208;-11.215;-39.346;0.62;171.42;
2019-09-27 16:40:09.02;0.00:00:00:766;0.24;-0.96;0.14;0.07573;0.01822;-0.07257;0.01095;-37.95;4.16;99.86;14.47;98.80;0.07573;0.07562;0.0001077;-11.207;-11.214;-39.680;0.62;171.42;
2019-09-27 16:40:09.03;0.00:00:00:782;0.24;-0.96;0.14;0.07573;0.01822;-0.07257;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07573;0.07562;0.0001077;-11.208;-11.214;-39.677;0.62;171.42;
2019-09-27 16:40:09.05;0.00:00:00:799;0.24;-0.96;0.15;0.07544;0.01783;-0.07264;0.01112;-38.10;4.23;100.25;14.75;99.16;0.07544;0.07562;-0.0001852;-11.224;-11.214;-99.990;0.62;171.29;
2019-09-27 16:40:09.07;0.00:00:00:815;0.24;-0.96;0.15;0.07544;0.01784;-0.07264;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07544;0.07562;-0.0001843;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:09.08;0.00:00:00:831;0.24;-0.96;0.14;0.07572;0.01822;-0.07257;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07572;0.07562;0.0001073;-11.208;-11.214;-39.694;0.62;171.42;
2019-09-27 16:40:09.10;0.00:00:00:846;0.24;-0.96;0.14;0.07572;0.01822;-0.07257;0.01095;-37.95;4.16;99.86;14.46;98.81;0.07572;0.07562;0.0001059;-11.208;-11.214;-39.751;0.62;171.42;
2019-09-27 16:40:09.11;0.00:00:00:862;0.24;-0.96;0.14;0.07572;0.01822;-0.07256;0.01096;-37.95;4.17;99.85;14.47;98.80;0.07572;0.07561;0.0001111;-11.208;-11.214;-39.541;0.62;171.41;
2019-09-27 16:40:09.13;0.00:00:00:877;0.24;-0.96;0.15;0.07545;0.01784;-0.07265;0.01112;-38.10;4.23;100.24;14.74;99.15;0.07545;0.07563;-0.0001809;-11.224;-11.213;-99.990;0.62;171.30;
2019-09-27 16:40:09.14;0.00:00:00:893;0.24;-0.96;0.15;0.07544;0.01783;-0.07264;0.01112;-38.10;4.23;100.25;14.75;99.15;0.07544;0.07562;-0.000185;-11.224;-11.213;-99.990;0.62;171.29;
2019-09-27 16:40:09.16;0.00:00:00:909;0.24;-0.96;0.14;0.07572;0.01821;-0.07257;0.01095;-37.96;4.16;99.86;14.47;98.81;0.07572;0.07561;0.0001024;-11.208;-11.214;-39.895;0.62;171.42;
2019-09-27 16:40:09.18;0.00:00:00:924;0.24;-0.96;0.14;0.07573;0.01822;-0.07257;0.01095;-37.95;4.16;99.86;14.46;98.80;0.07573;0.07562;0.0001094;-11.208;-11.214;-39.611;0.62;171.42;
