Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-09-27 16:38:32.38;0.00:00:00:022;-0.26;-0.63;0.73;-1.285E-07;-8.847E-08;-2.129E-07;2.45E-07;-56.28;23.37;-261.75;190.61;179.39;-1.285E-07;3.365E-07;-4.65E-07;-99.990;-64.731;-99.990;0.37;130.99;
2019-09-27 16:38:32.39;0.00:00:00:031;-0.31;-0.62;0.72;-1.396E-07;-1.067E-07;-2.173E-07;2.512E-07;-58.08;23.03;-249.83;179.89;173.36;-1.396E-07;3.488E-07;-4.885E-07;-99.990;-64.574;-99.990;0.35;130.86;
2019-09-27 16:38:32.43;0.00:00:00:065;-0.30;-0.60;0.74;-1.432E-07;-1.001E-07;-2.027E-07;2.5E-07;-58.15;23.94;-235.37;174.58;157.87;-1.432E-07;3.37E-07;-4.802E-07;-99.990;-64.723;-99.990;0.35;129.03;
2019-09-27 16:38:32.44;0.00:00:00:081;-0.32;-0.61;0.72;-1.359E-07;-1.086E-07;-2.069E-07;2.457E-07;-58.85;23.22;-249.44;180.74;171.91;-1.359E-07;3.391E-07;-4.75E-07;-99.990;-64.697;-99.990;0.34;130.10;
2019-09-27 16:38:32.47;0.00:00:00:112;-0.23;-0.66;0.72;-1.063E-07;-8.077E-08;-2.351E-07;2.573E-07;-54.48;22.99;-336.55;242.02;233.86;-1.063E-07;3.578E-07;-4.641E-07;-99.990;-64.464;-99.990;0.39;132.42;
2019-09-27 16:38:32.49;0.00:00:00:130;-0.22;-0.67;0.70;-1.077E-07;-7.92E-08;-2.382E-07;2.49E-07;-54.20;22.39;-328.25;231.19;233.03;-1.077E-07;3.536E-07;-4.613E-07;-99.990;-64.515;-99.990;0.39;133.73;
2019-09-27 16:38:32.51;0.00:00:00:145;-0.26;-0.61;0.75;-1.245E-07;-8.604E-08;-1.99E-07;2.424E-07;-56.69;24.09;-261.13;194.63;174.09;-1.245E-07;3.252E-07;-4.497E-07;-99.990;-64.879;-99.990;0.37;129.39;
2019-09-27 16:38:32.52;0.00:00:00:161;-0.19;-0.65;0.74;-1.025E-07;-6.5E-08;-2.176E-07;2.485E-07;-53.32;23.79;-328.30;242.35;221.47;-1.025E-07;3.366E-07;-4.391E-07;-99.990;-64.729;-99.990;0.40;131.21;
2019-09-27 16:38:32.54;0.00:00:00:177;-0.31;-0.62;0.72;-1.371E-07;-1.091E-07;-2.211E-07;2.567E-07;-58.13;23.08;-259.60;187.22;179.83;-1.371E-07;3.559E-07;-4.93E-07;-99.990;-64.487;-99.990;0.35;130.74;
2019-09-27 16:38:32.55;0.00:00:00:192;-0.26;-0.62;0.75;-1.162E-07;-8.9E-08;-2.136E-07;2.587E-07;-56.31;24.09;-298.64;222.59;199.09;-1.162E-07;3.471E-07;-4.634E-07;-99.990;-64.595;-99.990;0.37;129.54;
2019-09-27 16:38:32.58;0.00:00:00:224;-0.30;-0.61;0.73;-1.302E-07;-1.136E-07;-2.309E-07;2.743E-07;-58.10;23.41;-288.98;210.75;197.72;-1.302E-07;3.762E-07;-5.064E-07;-99.990;-64.246;-99.990;0.35;130.09;
2019-09-27 16:38:32.60;0.00:00:00:239;-0.21;-0.70;0.69;-9.701E-08;-7.668E-08;-2.564E-07;2.537E-07;-53.32;21.74;-380.15;261.55;275.88;-9.701E-08;3.688E-07;-4.658E-07;-99.990;-64.332;-99.990;0.40;135.30;
2019-09-27 16:38:32.62;0.00:00:00:258;-0.26;-0.69;0.68;-1.087E-07;-9.904E-08;-2.661E-07;2.598E-07;-55.21;21.23;-354.10;239.04;261.24;-1.087E-07;3.848E-07;-4.935E-07;-99.990;-64.147;-99.990;0.37;135.69;
2019-09-27 16:38:32.63;0.00:00:00:273;-0.20;-0.70;0.69;-8.197E-08;-7.338E-08;-2.609E-07;2.573E-07;-52.85;21.76;-455.97;313.94;330.68;-8.197E-08;3.738E-07;-4.557E-07;-99.990;-64.274;-99.990;0.40;135.40;
2019-09-27 16:38:32.65;0.00:00:00:289;-0.26;-0.68;0.69;-1.096E-07;-9.467E-08;-2.462E-07;2.513E-07;-55.52;21.81;-332.44;229.31;240.69;-1.096E-07;3.644E-07;-4.74E-07;-99.990;-64.385;-99.990;0.37;134.41;
2019-09-27 16:38:32.67;0.00:00:00:304;-0.26;-0.68;0.69;-1.105E-07;-8.931E-08;-2.365E-07;2.423E-07;-55.34;21.89;-316.94;219.31;228.81;-1.105E-07;3.502E-07;-4.607E-07;-99.990;-64.557;-99.990;0.37;134.31;
2019-09-27 16:38:32.68;0.00:00:00:320;-0.25;-0.64;0.72;-9.923E-08;-9.335E-08;-2.391E-07;2.679E-07;-55.66;23.11;-373.89;269.99;258.65;-9.923E-08;3.71E-07;-4.702E-07;-99.990;-64.306;-99.990;0.37;131.75;
2019-09-27 16:38:32.70;0.00:00:00:336;-0.22;-0.67;0.71;-1.052E-07;-8.038E-08;-2.404E-07;2.531E-07;-54.24;22.48;-340.37;240.48;240.87;-1.052E-07;3.582E-07;-4.635E-07;-99.990;-64.458;-99.990;0.39;133.53;
2019-09-27 16:38:32.71;0.00:00:00:351;-0.21;-0.66;0.72;-8.991E-08;-8.162E-08;-2.506E-07;2.771E-07;-54.02;23.22;-425.35;308.21;293.14;-8.991E-08;3.824E-07;-4.723E-07;-99.990;-64.174;-99.990;0.39;132.12;
2019-09-27 16:38:32.75;0.00:00:00:385;-0.24;-0.67;0.70;-9.607E-08;-8.544E-08;-2.35E-07;2.459E-07;-54.99;22.26;-365.08;255.96;260.33;-9.607E-08;3.507E-07;-4.468E-07;-99.990;-64.550;-99.990;0.38;133.71;
2019-09-27 16:38:32.76;0.00:00:00:403;-0.25;-0.68;0.69;-9.731E-08;-9.295E-08;-2.522E-07;2.584E-07;-55.12;21.94;-383.13;265.54;276.18;-9.731E-08;3.728E-07;-4.701E-07;-99.990;-64.285;-99.990;0.38;134.30;
2019-09-27 16:38:32.78;0.00:00:00:419;-0.24;-0.68;0.69;-9.536E-08;-8.995E-08;-2.529E-07;2.587E-07;-54.79;21.97;-390.96;271.33;281.48;-9.536E-08;3.728E-07;-4.682E-07;-99.990;-64.285;-99.990;0.38;134.35;
2019-09-27 16:38:32.79;0.00:00:00:434;-0.28;-0.69;0.67;-1.097E-07;-1.067E-07;-2.644E-07;2.541E-07;-55.99;20.85;-348.07;231.57;259.86;-1.097E-07;3.819E-07;-4.916E-07;-99.990;-64.181;-99.990;0.36;136.14;
2019-09-27 16:38:32.81;0.00:00:00:450;-0.26;-0.68;0.68;-9.723E-08;-9.873E-08;-2.602E-07;2.598E-07;-55.39;21.52;-391.58;267.22;286.23;-9.723E-08;3.808E-07;-4.78E-07;-99.990;-64.194;-99.990;0.37;135.04;
2019-09-27 16:38:32.83;0.00:00:00:466;-0.22;-0.70;0.68;-8.084E-08;-8.246E-08;-2.678E-07;2.619E-07;-53.56;21.53;-474.44;323.97;346.61;-8.084E-08;3.835E-07;-4.644E-07;-99.990;-64.162;-99.990;0.39;135.64;
2019-09-27 16:38:32.84;0.00:00:00:481;-0.20;-0.72;0.66;-7.566E-08;-7.589E-08;-2.727E-07;2.517E-07;-52.78;20.82;-500.61;332.68;374.08;-7.566E-08;3.788E-07;-4.544E-07;-99.990;-64.216;-99.990;0.40;137.29;
2019-09-27 16:38:32.86;0.00:00:00:497;-0.29;-0.69;0.66;-1.022E-07;-1.143E-07;-2.691E-07;2.562E-07;-56.51;20.61;-380.50;250.72;286.21;-1.022E-07;3.887E-07;-4.909E-07;-99.990;-64.103;-99.990;0.35;136.42;
2019-09-27 16:38:32.89;0.00:00:00:528;-0.27;-0.69;0.67;-9.582E-08;-1.055E-07;-2.729E-07;2.676E-07;-55.57;21.22;-413.81;279.26;305.37;-9.582E-08;3.965E-07;-4.923E-07;-99.990;-64.018;-99.990;0.37;135.57;
2019-09-27 16:38:32.90;0.00:00:00:544;-0.28;-0.65;0.71;-9.095E-08;-1.015E-07;-2.378E-07;2.581E-07;-56.55;22.47;-401.69;283.77;284.30;-9.095E-08;3.653E-07;-4.563E-07;-99.990;-64.373;-99.990;0.36;132.66;
2019-09-27 16:38:32.92;0.00:00:00:559;-0.19;-0.73;0.66;-7.111E-08;-7.406E-08;-2.78E-07;2.505E-07;-52.46;20.52;-536.39;352.21;404.54;-7.111E-08;3.814E-07;-4.525E-07;-99.990;-64.186;-99.990;0.40;137.98;
2019-09-27 16:38:32.94;0.00:00:00:576;-0.25;-0.71;0.65;-9.195E-08;-9.892E-08;-2.779E-07;2.546E-07;-54.80;20.40;-423.73;276.83;320.80;-9.195E-08;3.896E-07;-4.816E-07;-99.990;-64.093;-99.990;0.37;137.51;
2019-09-27 16:38:32.95;0.00:00:00:592;-0.27;-0.71;0.65;-8.847E-08;-1.124E-07;-2.917E-07;2.671E-07;-55.54;20.26;-464.81;301.96;353.37;-8.847E-08;4.112E-07;-4.997E-07;-99.990;-63.859;-99.990;0.36;137.52;
2019-09-27 16:38:32.97;0.00:00:00:607;-0.18;-0.74;0.65;-6.303E-08;-7.054E-08;-2.98E-07;2.591E-07;-51.66;20.12;-636.46;411.06;485.91;-6.303E-08;4.011E-07;-4.642E-07;-99.990;-63.967;-99.990;0.41;139.00;
2019-09-27 16:38:32.98;0.00:00:00:623;-0.19;-0.72;0.66;-6.553E-08;-7.605E-08;-2.942E-07;2.705E-07;-52.25;20.84;-620.80;412.74;463.72;-6.553E-08;4.068E-07;-4.724E-07;-99.990;-63.906;-99.990;0.41;137.41;
2019-09-27 16:38:33.00;0.00:00:00:638;-0.18;-0.78;0.60;-4.19E-08;-7.349E-08;-3.241E-07;2.516E-07;-51.39;18.56;-994.71;600.40;793.07;-4.19E-08;4.168E-07;-4.587E-07;-99.990;-63.801;-99.990;0.41;142.18;
2019-09-27 16:38:33.03;0.00:00:00:670;-0.20;-0.76;0.62;-4.375E-08;-8.433E-08;-3.115E-07;2.552E-07;-52.57;19.17;-940.49;583.35;737.72;-4.375E-08;4.115E-07;-4.552E-07;-99.990;-63.857;-99.990;0.40;140.68;
2019-09-27 16:38:33.05;0.00:00:00:685;-0.20;-0.76;0.62;-3.578E-08;-8.391E-08;-3.164E-07;2.61E-07;-52.43;19.28;-1169.92;729.34;914.76;-3.578E-08;4.186E-07;-4.544E-07;-99.990;-63.782;-99.990;0.40;140.48;
2019-09-27 16:38:33.06;0.00:00:00:702;-0.22;-0.73;0.65;-4.264E-08;-8.907E-08;-2.972E-07;2.66E-07;-53.34;20.30;-958.26;623.70;727.50;-4.264E-08;4.086E-07;-4.513E-07;-99.990;-63.887;-99.990;0.39;138.17;
2019-09-27 16:38:33.08;0.00:00:00:718;-0.18;-0.74;0.65;-4.098E-08;-7.073E-08;-2.958E-07;2.586E-07;-51.72;20.19;-974.26;631.12;742.21;-4.098E-08;3.992E-07;-4.402E-07;-99.990;-63.988;-99.990;0.41;138.84;
2019-09-27 16:38:33.09;0.00:00:00:733;-0.19;-0.79;0.59;-3.399E-08;-8.184E-08;-3.423E-07;2.558E-07;-51.72;18.01;-1280.13;752.66;1035.49;-3.399E-08;4.351E-07;-4.691E-07;-99.990;-63.614;-99.990;0.41;143.23;
2019-09-27 16:38:33.11;0.00:00:00:749;-0.16;-0.78;0.60;-1.159E-08;-7.156E-08;-3.463E-07;2.662E-07;-50.84;18.48;-3820.10;2297.21;3052.20;-1.159E-08;4.426E-07;-4.542E-07;-99.990;-63.540;-99.990;0.42;142.46;
2019-09-27 16:38:33.13;0.00:00:00:765;-0.22;-0.76;0.61;-3.088E-08;-9.69E-08;-3.269E-07;2.65E-07;-53.26;18.93;-1398.55;858.31;1104.19;-3.088E-08;4.319E-07;-4.627E-07;-99.990;-63.647;-99.990;0.39;140.97;
2019-09-27 16:38:33.14;0.00:00:00:780;-0.17;-0.79;0.58;-1.381E-08;-7.307E-08;-3.482E-07;2.558E-07;-50.93;17.86;-3172.65;1852.27;2575.81;-1.381E-08;4.382E-07;-4.52E-07;-99.990;-63.584;-99.990;0.42;143.69;
2019-09-27 16:38:33.18;0.00:00:00:814;-0.23;-0.77;0.60;-3.351E-08;-1.008E-07;-3.397E-07;2.665E-07;-53.26;18.47;-1323.46;795.52;1057.69;-3.351E-08;4.434E-07;-4.769E-07;-99.990;-63.532;-99.990;0.39;141.88;
2019-09-27 16:38:33.19;0.00:00:00:830;-0.16;-0.79;0.60;-8.406E-09;-6.752E-08;-3.357E-07;2.546E-07;-50.69;18.32;-5076.50;3029.19;4073.67;-8.406E-09;4.267E-07;-4.351E-07;-99.990;-63.699;-99.990;0.42;142.82;
2019-09-27 16:38:33.21;0.00:00:00:846;-0.22;-0.76;0.60;-2.703E-08;-1.024E-07;-3.497E-07;2.769E-07;-53.16;18.61;-1692.96;1024.17;1348.03;-2.703E-08;4.576E-07;-4.847E-07;-99.990;-63.395;-99.990;0.39;141.63;
2019-09-27 16:38:33.22;0.00:00:00:861;-0.14;-0.78;0.61;-8.244E-10;-6.123E-08;-3.358E-07;2.654E-07;-50.17;18.93;-52447.60;32194.49;41403.69;-8.244E-10;4.324E-07;-4.332E-07;-99.990;-63.641;-99.990;0.43;141.68;
