Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:19:15.37;0.00:00:00:047;0.21;-0.91;0.34;0.7563;0.1615;-0.6929;0.2598;-38.44;10.03;100.15;34.36;94.07;0.7563;0.7574;-0.001134;-1.213;-1.207;-99.990;0.61;159.44;
2019-10-03 18:19:15.40;0.00:00:00:078;0.22;-0.91;0.34;0.7578;0.1651;-0.6918;0.2578;-38.29;9.96;99.82;34.01;93.85;0.7578;0.7565;0.001357;-1.204;-1.212;-28.675;0.61;159.56;
2019-10-03 18:19:15.42;0.00:00:00:094;0.22;-0.91;0.34;0.7578;0.1652;-0.6917;0.2577;-38.29;9.96;99.81;34.01;93.84;0.7578;0.7564;0.00142;-1.204;-1.212;-28.478;0.61;159.56;
2019-10-03 18:19:15.43;0.00:00:00:110;0.21;-0.91;0.34;0.7562;0.1614;-0.6929;0.2598;-38.44;10.03;100.16;34.36;94.08;0.7562;0.7574;-0.001173;-1.214;-1.207;-99.990;0.61;159.44;
2019-10-03 18:19:15.45;0.00:00:00:125;0.21;-0.91;0.34;0.7562;0.1614;-0.6929;0.2598;-38.45;10.03;100.17;34.36;94.09;0.7562;0.7574;-0.001248;-1.214;-1.207;-99.990;0.61;159.44;
2019-10-03 18:19:15.47;0.00:00:00:141;0.22;-0.91;0.34;0.7578;0.1652;-0.6917;0.2578;-38.29;9.96;99.82;34.02;93.84;0.7578;0.7565;0.001394;-1.204;-1.212;-28.556;0.61;159.56;
2019-10-03 18:19:15.48;0.00:00:00:157;0.22;-0.91;0.34;0.7578;0.1651;-0.6917;0.2578;-38.29;9.96;99.82;34.02;93.85;0.7578;0.7565;0.001366;-1.204;-1.212;-28.645;0.61;159.56;
2019-10-03 18:19:15.50;0.00:00:00:172;0.21;-0.91;0.34;0.7562;0.1614;-0.6929;0.2599;-38.44;10.03;100.16;34.36;94.09;0.7562;0.7574;-0.001245;-1.214;-1.207;-99.990;0.61;159.44;
2019-10-03 18:19:15.51;0.00:00:00:188;0.21;-0.91;0.34;0.7562;0.1615;-0.6929;0.2598;-38.44;10.03;100.15;34.36;94.08;0.7562;0.7574;-0.001162;-1.213;-1.207;-99.990;0.61;159.44;
2019-10-03 18:19:15.54;0.00:00:00:219;0.22;-0.91;0.34;0.7578;0.1651;-0.6917;0.2578;-38.29;9.96;99.82;34.02;93.84;0.7578;0.7564;0.001371;-1.205;-1.212;-28.628;0.61;159.56;
2019-10-03 18:19:15.56;0.00:00:00:235;0.22;-0.91;0.34;0.7578;0.1651;-0.6916;0.2578;-38.29;9.96;99.81;34.02;93.83;0.7578;0.7564;0.001448;-1.204;-1.213;-28.391;0.61;159.56;
2019-10-03 18:19:15.58;0.00:00:00:250;0.21;-0.91;0.34;0.7562;0.1614;-0.6929;0.2598;-38.44;10.03;100.16;34.36;94.09;0.7562;0.7575;-0.001237;-1.214;-1.206;-99.990;0.61;159.45;
2019-10-03 18:19:15.59;0.00:00:00:266;0.21;-0.91;0.34;0.7562;0.1614;-0.6929;0.2598;-38.45;10.03;100.17;34.36;94.09;0.7562;0.7574;-0.001277;-1.214;-1.207;-99.990;0.61;159.45;
2019-10-03 18:19:15.61;0.00:00:00:282;0.22;-0.91;0.34;0.7578;0.1651;-0.6917;0.2578;-38.29;9.96;99.82;34.02;93.84;0.7578;0.7564;0.001374;-1.205;-1.213;-28.620;0.61;159.56;
2019-10-03 18:19:15.62;0.00:00:00:297;0.22;-0.91;0.34;0.7578;0.1651;-0.6917;0.2578;-38.29;9.96;99.81;34.02;93.84;0.7578;0.7564;0.001403;-1.205;-1.213;-28.528;0.61;159.56;
2019-10-03 18:19:15.64;0.00:00:00:313;0.22;-0.91;0.34;0.7578;0.1652;-0.6917;0.2578;-38.29;9.96;99.81;34.01;93.84;0.7578;0.7564;0.001424;-1.204;-1.212;-28.465;0.61;159.56;
2019-10-03 18:19:15.65;0.00:00:00:328;0.21;-0.91;0.34;0.7562;0.1614;-0.6929;0.2598;-38.44;10.03;100.16;34.36;94.08;0.7562;0.7574;-0.00122;-1.214;-1.207;-99.990;0.61;159.45;
2019-10-03 18:19:15.67;0.00:00:00:344;0.21;-0.91;0.34;0.7563;0.1615;-0.6929;0.2598;-38.44;10.03;100.15;34.35;94.08;0.7563;0.7574;-0.001154;-1.213;-1.207;-99.990;0.61;159.45;
2019-10-03 18:19:15.68;0.00:00:00:360;0.22;-0.91;0.34;0.7578;0.1652;-0.6917;0.2577;-38.29;9.96;99.81;34.01;93.84;0.7578;0.7564;0.00141;-1.204;-1.212;-28.508;0.61;159.56;
2019-10-03 18:19:15.70;0.00:00:00:375;0.22;-0.91;0.34;0.7577;0.165;-0.6916;0.2577;-38.29;9.96;99.81;34.02;93.84;0.7577;0.7563;0.001419;-1.205;-1.213;-28.480;0.61;159.56;
