Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:20:32.39;0.00:00:00:024;-0.28;-0.94;0.17;0.0886;-0.02483;-0.08363;0.01537;-53.27;5.00;99.98;17.35;98.47;0.0886;0.08858;1.628E-05;-10.526;-10.526;-47.882;0.36;169.59;
2019-10-03 18:20:32.40;0.00:00:00:031;-0.28;-0.94;0.17;0.08858;-0.02507;-0.08371;0.01529;-53.34;4.96;100.14;17.26;98.65;0.08858;0.08871;-0.0001273;-10.527;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.42;0.00:00:00:049;-0.28;-0.94;0.17;0.08859;-0.02485;-0.08363;0.01537;-53.28;4.99;99.99;17.34;98.47;0.08859;0.08858;9.852E-06;-10.526;-10.526;-50.065;0.36;169.59;
2019-10-03 18:20:32.42;0.00:00:00:058;-0.28;-0.94;0.17;0.08858;-0.02506;-0.08371;0.01529;-53.33;4.96;100.14;17.26;98.64;0.08858;0.08871;-0.0001208;-10.526;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.43;0.00:00:00:066;-0.28;-0.94;0.17;0.0886;-0.02484;-0.08363;0.01536;-53.27;4.99;99.98;17.34;98.46;0.0886;0.08858;2.079E-05;-10.526;-10.527;-46.822;0.36;169.59;
2019-10-03 18:20:32.44;0.00:00:00:074;-0.28;-0.94;0.17;0.08857;-0.02509;-0.08371;0.01529;-53.34;4.96;100.17;17.26;98.67;0.08857;0.08872;-0.0001505;-10.527;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.45;0.00:00:00:082;-0.28;-0.94;0.17;0.08859;-0.02485;-0.08363;0.01537;-53.28;4.99;99.99;17.35;98.48;0.08859;0.08859;6.042E-06;-10.526;-10.526;-52.188;0.36;169.59;
2019-10-03 18:20:32.47;0.00:00:00:101;-0.28;-0.94;0.17;0.08858;-0.02506;-0.0837;0.01528;-53.34;4.96;100.13;17.25;98.63;0.08858;0.0887;-0.0001162;-10.527;-10.521;-99.990;0.36;169.65;
2019-10-03 18:20:32.49;0.00:00:00:124;-0.28;-0.94;0.17;0.08859;-0.02485;-0.08362;0.01536;-53.27;4.99;99.99;17.34;98.47;0.08859;0.08858;1.288E-05;-10.526;-10.527;-48.900;0.36;169.59;
2019-10-03 18:20:32.50;0.00:00:00:132;-0.28;-0.94;0.17;0.08857;-0.02508;-0.0837;0.01528;-53.34;4.96;100.15;17.25;98.66;0.08857;0.0887;-0.0001367;-10.527;-10.521;-99.990;0.36;169.65;
2019-10-03 18:20:32.52;0.00:00:00:150;-0.28;-0.94;0.17;0.08859;-0.02485;-0.08363;0.01537;-53.27;5.00;99.99;17.35;98.47;0.08859;0.08858;8.381E-06;-10.526;-10.526;-50.767;0.36;169.59;
2019-10-03 18:20:32.52;0.00:00:00:158;-0.28;-0.94;0.17;0.08858;-0.02507;-0.08371;0.01528;-53.33;4.96;100.14;17.25;98.65;0.08858;0.08871;-0.0001278;-10.527;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.53;0.00:00:00:166;-0.28;-0.94;0.17;0.08859;-0.02485;-0.08363;0.01537;-53.27;4.99;100.00;17.34;98.48;0.08859;0.08859;3.225E-06;-10.526;-10.526;-54.915;0.36;169.59;
2019-10-03 18:20:32.54;0.00:00:00:174;-0.28;-0.94;0.17;0.08858;-0.02507;-0.08371;0.01528;-53.34;4.96;100.15;17.25;98.65;0.08858;0.08871;-0.0001331;-10.527;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.55;0.00:00:00:182;-0.28;-0.94;0.17;0.08859;-0.02486;-0.08361;0.01537;-53.28;5.00;99.99;17.35;98.47;0.08859;0.08857;1.111E-05;-10.526;-10.527;-49.543;0.36;169.59;
2019-10-03 18:20:32.57;0.00:00:00:201;-0.28;-0.94;0.17;0.08858;-0.02507;-0.08371;0.01528;-53.34;4.96;100.14;17.25;98.65;0.08858;0.08871;-0.0001282;-10.527;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.58;0.00:00:00:211;-0.28;-0.94;0.17;0.0886;-0.02485;-0.08362;0.01537;-53.27;5.00;99.98;17.35;98.46;0.0886;0.08858;2.162E-05;-10.526;-10.527;-46.652;0.36;169.59;
2019-10-03 18:20:32.59;0.00:00:00:221;-0.28;-0.94;0.17;0.08858;-0.02507;-0.08371;0.01528;-53.34;4.96;100.15;17.25;98.65;0.08858;0.08871;-0.0001303;-10.527;-10.520;-99.990;0.36;169.65;
2019-10-03 18:20:32.60;0.00:00:00:231;-0.28;-0.94;0.17;0.0886;-0.02484;-0.08361;0.01536;-53.27;5.00;99.96;17.34;98.45;0.0886;0.08856;3.358E-05;-10.526;-10.527;-44.739;0.36;169.59;
2019-10-03 18:20:32.62;0.00:00:00:253;-0.28;-0.94;0.17;0.08858;-0.02506;-0.08371;0.01528;-53.33;4.96;100.14;17.25;98.65;0.08858;0.08871;-0.0001269;-10.526;-10.520;-99.990;0.36;169.65;
