Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:29:48.33;0.00:00:00:034;-0.16;-0.92;-0.36;-2.763E-07;-3.386E-08;-1.953E-07;-7.689E-08;-49.92;-10.60;-76.95;27.83;71.74;-2.763E-07;2.126E-07;-4.89E-07;-99.990;-66.724;-99.990;0.42;-158.51;
2019-10-03 18:29:48.34;0.00:00:00:050;-0.07;-0.93;-0.35;-2.775E-07;-1.496E-08;-2.022E-07;-7.639E-08;-47.12;-10.32;-78.08;27.53;73.07;-2.775E-07;2.167E-07;-4.942E-07;-99.990;-66.642;-99.990;0.47;-159.31;
2019-10-03 18:29:48.36;0.00:00:00:068;-0.09;-0.95;-0.31;-2.828E-07;-2.089E-08;-2.099E-07;-6.922E-08;-47.84;-9.08;-78.49;24.47;74.58;-2.828E-07;2.22E-07;-5.048E-07;-99.990;-66.537;-99.990;0.45;-161.75;
2019-10-03 18:29:48.38;0.00:00:00:087;-0.15;-0.93;-0.33;-2.805E-07;-3.141E-08;-2.006E-07;-6.985E-08;-49.45;-9.49;-76.54;24.90;72.38;-2.805E-07;2.147E-07;-4.952E-07;-99.990;-66.682;-99.990;0.43;-160.80;
2019-10-03 18:29:48.40;0.00:00:00:103;-0.10;-0.93;-0.34;-2.757E-07;-2.311E-08;-2.081E-07;-7.574E-08;-48.17;-9.94;-80.76;27.48;75.95;-2.757E-07;2.226E-07;-4.983E-07;-99.990;-66.524;-99.990;0.45;-160.00;
2019-10-03 18:29:48.41;0.00:00:00:118;-0.04;-0.95;-0.32;-2.665E-07;-8.905E-09;-2.05E-07;-7.023E-08;-46.24;-9.45;-81.40;26.36;77.02;-2.665E-07;2.169E-07;-4.834E-07;-99.990;-66.637;-99.990;0.48;-161.09;
2019-10-03 18:29:48.43;0.00:00:00:137;-0.08;-0.94;-0.33;-2.735E-07;-1.85E-08;-2.079E-07;-7.291E-08;-47.54;-9.63;-80.82;26.66;76.30;-2.735E-07;2.211E-07;-4.946E-07;-99.990;-66.555;-99.990;0.46;-160.67;
2019-10-03 18:29:48.45;0.00:00:00:155;-0.07;-0.94;-0.35;-2.77E-07;-1.629E-08;-2.036E-07;-7.537E-08;-47.29;-10.13;-78.60;27.21;73.74;-2.77E-07;2.177E-07;-4.947E-07;-99.990;-66.621;-99.990;0.46;-159.69;
2019-10-03 18:29:48.46;0.00:00:00:170;-0.10;-0.94;-0.33;-2.77E-07;-2.158E-08;-2.11E-07;-7.389E-08;-47.92;-9.60;-81.08;26.67;76.56;-2.77E-07;2.246E-07;-5.016E-07;-99.990;-66.486;-99.990;0.45;-160.70;
2019-10-03 18:29:48.48;0.00:00:00:188;-0.20;-0.92;-0.35;-2.908E-07;-4.555E-08;-2.106E-07;-8.056E-08;-51.10;-10.25;-79.10;27.70;74.09;-2.908E-07;2.3E-07;-5.209E-07;-99.990;-66.382;-99.990;0.40;-159.07;
2019-10-03 18:29:48.50;0.00:00:00:205;-0.05;-0.93;-0.36;-2.694E-07;-1.135E-08;-1.959E-07;-7.577E-08;-46.66;-10.56;-78.08;28.13;72.83;-2.694E-07;2.103E-07;-4.797E-07;-99.990;-66.772;-99.990;0.47;-158.85;
2019-10-03 18:29:48.52;0.00:00:00:221;-0.07;-0.94;-0.34;-2.754E-07;-1.557E-08;-2.058E-07;-7.562E-08;-47.16;-10.06;-79.79;27.45;74.91;-2.754E-07;2.198E-07;-4.952E-07;-99.990;-66.580;-99.990;0.46;-159.82;
2019-10-03 18:29:48.53;0.00:00:00:237;-0.06;-0.95;-0.32;-2.684E-07;-1.252E-08;-2.131E-07;-7.121E-08;-46.68;-9.22;-83.84;26.53;79.54;-2.684E-07;2.25E-07;-4.934E-07;-99.990;-66.477;-99.990;0.47;-161.52;
