Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:28:48.45;0.00:00:00:025;0.26;-0.94;0.23;0.7649;0.2005;-0.7157;0.1734;-37.17;6.57;99.78;22.67;97.17;0.7649;0.7632;0.001658;-1.164;-1.173;-27.803;0.63;166.38;
2019-10-03 18:28:48.48;0.00:00:00:051;0.26;-0.94;0.23;0.7649;0.2004;-0.7157;0.1735;-37.18;6.57;99.78;22.68;97.17;0.7649;0.7632;0.001649;-1.164;-1.174;-27.827;0.63;166.38;
2019-10-03 18:28:48.50;0.00:00:00:067;0.26;-0.94;0.23;0.7649;0.2004;-0.7158;0.1734;-37.18;6.57;99.79;22.67;97.18;0.7649;0.7632;0.001641;-1.164;-1.173;-27.849;0.63;166.38;
2019-10-03 18:28:48.51;0.00:00:00:082;0.26;-0.94;0.23;0.7649;0.2004;-0.7158;0.1735;-37.18;6.57;99.79;22.68;97.18;0.7649;0.7632;0.001624;-1.164;-1.173;-27.894;0.63;166.38;
2019-10-03 18:28:48.53;0.00:00:00:098;0.26;-0.94;0.23;0.7619;0.1962;-0.7165;0.1749;-37.34;6.62;100.17;22.96;97.50;0.7619;0.7632;-0.001267;-1.181;-1.174;-99.990;0.63;166.28;
2019-10-03 18:28:48.54;0.00:00:00:115;0.26;-0.94;0.23;0.7619;0.1961;-0.7165;0.1749;-37.35;6.62;100.17;22.96;97.50;0.7619;0.7631;-0.00129;-1.181;-1.174;-99.990;0.63;166.28;
2019-10-03 18:28:48.56;0.00:00:00:131;0.26;-0.94;0.23;0.7618;0.1961;-0.7165;0.1749;-37.35;6.62;100.17;22.96;97.51;0.7618;0.7632;-0.001325;-1.181;-1.174;-99.990;0.63;166.28;
2019-10-03 18:28:48.58;0.00:00:00:150;0.26;-0.94;0.23;0.7649;0.2003;-0.7157;0.1735;-37.18;6.57;99.78;22.68;97.17;0.7649;0.7632;0.001684;-1.164;-1.174;-27.736;0.63;166.37;
2019-10-03 18:28:48.60;0.00:00:00:168;0.26;-0.94;0.23;0.7649;0.2002;-0.7158;0.1735;-37.19;6.57;99.79;22.69;97.18;0.7649;0.7633;0.001619;-1.164;-1.173;-27.908;0.63;166.37;
2019-10-03 18:28:48.62;0.00:00:00:187;0.26;-0.94;0.23;0.7648;0.2001;-0.7157;0.1736;-37.19;6.57;99.79;22.70;97.17;0.7648;0.7632;0.001625;-1.164;-1.174;-27.892;0.63;166.37;
2019-10-03 18:28:48.63;0.00:00:00:202;0.26;-0.94;0.23;0.7649;0.2002;-0.7158;0.1736;-37.19;6.57;99.79;22.70;97.18;0.7649;0.7633;0.001589;-1.164;-1.173;-27.989;0.63;166.37;
2019-10-03 18:28:48.65;0.00:00:00:222;0.26;-0.94;0.23;0.7619;0.1961;-0.7165;0.175;-37.35;6.63;100.17;22.96;97.50;0.7619;0.7632;-0.001288;-1.181;-1.174;-99.990;0.63;166.28;
2019-10-03 18:28:48.67;0.00:00:00:237;0.26;-0.94;0.23;0.7619;0.196;-0.7165;0.175;-37.35;6.63;100.17;22.97;97.50;0.7619;0.7632;-0.001291;-1.181;-1.174;-99.990;0.63;166.27;
2019-10-03 18:28:48.68;0.00:00:00:256;0.26;-0.94;0.23;0.7619;0.196;-0.7165;0.175;-37.35;6.63;100.16;22.97;97.49;0.7619;0.7631;-0.001243;-1.181;-1.174;-99.990;0.63;166.28;
2019-10-03 18:28:48.70;0.00:00:00:272;0.26;-0.94;0.23;0.7618;0.1959;-0.7165;0.175;-37.36;6.63;100.18;22.98;97.51;0.7618;0.7632;-0.001367;-1.182;-1.174;-99.990;0.63;166.27;
2019-10-03 18:28:48.72;0.00:00:00:287;0.26;-0.94;0.23;0.7648;0.2001;-0.7158;0.1737;-37.19;6.58;99.80;22.71;97.18;0.7648;0.7633;0.001567;-1.164;-1.173;-28.049;0.63;166.36;
2019-10-03 18:28:48.73;0.00:00:00:305;0.26;-0.94;0.23;0.7649;0.2001;-0.7159;0.1737;-37.19;6.57;99.80;22.70;97.18;0.7649;0.7633;0.001556;-1.164;-1.173;-28.080;0.63;166.36;
2019-10-03 18:28:48.75;0.00:00:00:322;0.26;-0.94;0.23;0.7649;0.2;-0.7158;0.1737;-37.19;6.58;99.79;22.71;97.17;0.7649;0.7633;0.001627;-1.164;-1.173;-27.887;0.63;166.36;
2019-10-03 18:28:48.78;0.00:00:00:353;0.26;-0.94;0.23;0.7619;0.1959;-0.7166;0.1751;-37.35;6.63;100.17;22.98;97.50;0.7619;0.7632;-0.001295;-1.181;-1.173;-99.990;0.63;166.27;
2019-10-03 18:28:48.80;0.00:00:00:369;0.26;-0.94;0.23;0.7618;0.1958;-0.7166;0.1751;-37.36;6.63;100.18;22.99;97.50;0.7618;0.7632;-0.001345;-1.181;-1.174;-99.990;0.63;166.27;
2019-10-03 18:28:48.82;0.00:00:00:388;0.26;-0.94;0.23;0.7648;0.1999;-0.7159;0.1737;-37.20;6.58;99.80;22.71;97.18;0.7648;0.7633;0.001554;-1.164;-1.173;-28.086;0.63;166.36;
2019-10-03 18:28:48.83;0.00:00:00:404;0.26;-0.94;0.23;0.7649;0.2;-0.7159;0.1737;-37.20;6.58;99.79;22.71;97.17;0.7649;0.7633;0.001579;-1.164;-1.173;-28.017;0.63;166.36;
2019-10-03 18:28:48.85;0.00:00:00:423;0.26;-0.94;0.23;0.7649;0.1999;-0.7159;0.1738;-37.20;6.58;99.79;22.72;97.17;0.7649;0.7633;0.001587;-1.164;-1.173;-27.993;0.63;166.36;
2019-10-03 18:28:48.87;0.00:00:00:438;0.26;-0.94;0.23;0.765;0.2;-0.7158;0.1738;-37.20;6.58;99.78;22.72;97.15;0.765;0.7633;0.001716;-1.163;-1.173;-27.654;0.63;166.35;
2019-10-03 18:28:48.88;0.00:00:00:454;0.26;-0.94;0.23;0.7619;0.1957;-0.7166;0.1752;-37.36;6.63;100.18;22.99;97.50;0.7619;0.7632;-0.001347;-1.181;-1.173;-99.990;0.63;166.26;
