Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:26:05.08;0.00:00:00:048;0.51;-0.81;0.28;-1.624E-07;1.663E-07;-2.636E-07;9.044E-08;-28.87;8.09;-199.83;55.69;191.92;-1.624E-07;3.245E-07;-4.869E-07;-99.990;-64.887;-99.990;0.76;161.06;
2019-10-03 18:26:05.09;0.00:00:00:064;0.49;-0.81;0.32;-1.659E-07;1.611E-07;-2.653E-07;1.036E-07;-29.36;9.23;-197.25;62.44;187.11;-1.659E-07;3.272E-07;-4.931E-07;-99.990;-64.852;-99.990;0.75;158.67;
2019-10-03 18:26:05.11;0.00:00:00:079;0.47;-0.82;0.31;-1.821E-07;1.443E-07;-2.525E-07;9.547E-08;-30.13;9.09;-168.13;52.43;159.74;-1.821E-07;3.061E-07;-4.882E-07;-99.990;-65.141;-99.990;0.74;159.29;
2019-10-03 18:26:05.13;0.00:00:00:095;0.48;-0.82;0.31;-1.651E-07;1.604E-07;-2.78E-07;1.036E-07;-30.01;8.94;-204.26;62.72;194.39;-1.651E-07;3.373E-07;-5.024E-07;-99.990;-64.720;-99.990;0.74;159.57;
2019-10-03 18:26:05.14;0.00:00:00:114;0.51;-0.81;0.30;-1.613E-07;1.666E-07;-2.632E-07;9.89E-08;-28.83;8.81;-202.64;61.32;193.14;-1.613E-07;3.268E-07;-4.881E-07;-99.990;-64.857;-99.990;0.75;159.41;
2019-10-03 18:26:05.16;0.00:00:00:131;0.55;-0.78;0.29;-1.559E-07;1.733E-07;-2.466E-07;9.19E-08;-27.45;8.48;-202.10;58.93;193.32;-1.559E-07;3.152E-07;-4.711E-07;-99.990;-65.015;-99.990;0.78;159.56;
2019-10-03 18:26:05.18;0.00:00:00:146;0.51;-0.81;0.29;-1.523E-07;1.74E-07;-2.759E-07;9.933E-08;-28.89;8.47;-223.83;65.20;214.12;-1.523E-07;3.41E-07;-4.933E-07;-99.990;-64.673;-99.990;0.76;160.20;
2019-10-03 18:26:05.19;0.00:00:00:164;0.51;-0.80;0.31;-1.357E-07;1.879E-07;-2.973E-07;1.158E-07;-28.85;9.11;-272.85;85.32;259.17;-1.357E-07;3.702E-07;-5.059E-07;-99.990;-64.315;-99.990;0.75;158.72;
2019-10-03 18:26:05.21;0.00:00:00:180;0.52;-0.80;0.30;-1.574E-07;1.675E-07;-2.565E-07;9.609E-08;-28.43;8.71;-204.00;61.06;194.65;-1.574E-07;3.21E-07;-4.784E-07;-99.990;-64.934;-99.990;0.76;159.46;
2019-10-03 18:26:05.23;0.00:00:00:196;0.48;-0.82;0.31;-1.642E-07;1.6E-07;-2.765E-07;1.033E-07;-29.97;8.96;-204.53;62.94;194.60;-1.642E-07;3.358E-07;-4.999E-07;-99.990;-64.740;-99.990;0.74;159.51;
2019-10-03 18:26:05.24;0.00:00:00:212;0.52;-0.81;0.29;-1.646E-07;1.705E-07;-2.659E-07;9.514E-08;-28.67;8.38;-200.42;57.80;191.91;-1.646E-07;3.299E-07;-4.945E-07;-99.990;-64.816;-99.990;0.76;160.31;
2019-10-03 18:26:05.26;0.00:00:00:230;0.50;-0.81;0.29;-1.707E-07;1.629E-07;-2.641E-07;9.514E-08;-29.17;8.52;-190.11;55.72;181.76;-1.707E-07;3.246E-07;-4.953E-07;-99.990;-64.887;-99.990;0.75;160.19;
2019-10-03 18:26:05.28;0.00:00:00:246;0.51;-0.81;0.31;-1.633E-07;1.619E-07;-2.573E-07;9.786E-08;-28.91;8.92;-195.61;59.94;186.20;-1.633E-07;3.194E-07;-4.826E-07;-99.990;-64.957;-99.990;0.75;159.18;
2019-10-03 18:26:05.29;0.00:00:00:262;0.50;-0.81;0.31;-1.629E-07;1.677E-07;-2.688E-07;1.028E-07;-29.02;8.99;-204.48;63.13;194.49;-1.629E-07;3.331E-07;-4.959E-07;-99.990;-64.775;-99.990;0.75;159.06;
2019-10-03 18:26:05.31;0.00:00:00:278;0.47;-0.83;0.30;-1.687E-07;1.537E-07;-2.74E-07;1.006E-07;-30.35;8.88;-195.60;59.66;186.28;-1.687E-07;3.299E-07;-4.986E-07;-99.990;-64.816;-99.990;0.73;159.84;
2019-10-03 18:26:05.32;0.00:00:00:293;0.50;-0.81;0.29;-1.605E-07;1.704E-07;-2.746E-07;9.964E-08;-29.09;8.57;-210.72;62.08;201.36;-1.605E-07;3.382E-07;-4.987E-07;-99.990;-64.708;-99.990;0.75;160.06;
2019-10-03 18:26:05.34;0.00:00:00:311;0.55;-0.79;0.29;-1.46E-07;1.799E-07;-2.583E-07;9.478E-08;-27.57;8.38;-225.15;64.91;215.59;-1.46E-07;3.288E-07;-4.748E-07;-99.990;-64.831;-99.990;0.77;159.85;
2019-10-03 18:26:05.36;0.00:00:00:329;0.52;-0.80;0.29;-1.536E-07;1.775E-07;-2.746E-07;9.971E-08;-28.56;8.48;-222.61;64.93;212.93;-1.536E-07;3.418E-07;-4.954E-07;-99.990;-64.662;-99.990;0.76;160.04;
2019-10-03 18:26:05.39;0.00:00:00:360;0.50;-0.81;0.32;-1.571E-07;1.611E-07;-2.625E-07;1.029E-07;-29.23;9.23;-206.69;65.47;196.05;-1.571E-07;3.247E-07;-4.818E-07;-99.990;-64.885;-99.990;0.75;158.60;
2019-10-03 18:26:05.41;0.00:00:00:376;0.51;-0.81;0.29;-1.466E-07;1.745E-07;-2.788E-07;9.867E-08;-28.98;8.35;-234.30;67.32;224.42;-1.466E-07;3.434E-07;-4.899E-07;-99.990;-64.642;-99.990;0.75;160.51;
2019-10-03 18:26:05.43;0.00:00:00:395;0.48;-0.83;0.29;-1.571E-07;1.574E-07;-2.718E-07;9.493E-08;-29.96;8.41;-208.82;60.42;199.89;-1.571E-07;3.281E-07;-4.853E-07;-99.990;-64.840;-99.990;0.74;160.75;
2019-10-03 18:26:05.44;0.00:00:00:411;0.50;-0.82;0.29;-1.583E-07;1.646E-07;-2.713E-07;9.448E-08;-29.38;8.29;-209.12;59.67;200.43;-1.583E-07;3.311E-07;-4.894E-07;-99.990;-64.800;-99.990;0.75;160.80;
2019-10-03 18:26:05.46;0.00:00:00:428;0.56;-0.78;0.29;-1.438E-07;1.822E-07;-2.551E-07;9.421E-08;-27.23;8.36;-227.59;65.50;217.96;-1.438E-07;3.273E-07;-4.712E-07;-99.990;-64.850;-99.990;0.78;159.73;
2019-10-03 18:26:05.48;0.00:00:00:445;0.50;-0.82;0.30;-1.604E-07;1.676E-07;-2.754E-07;1.011E-07;-29.34;8.71;-210.64;63.03;200.99;-1.604E-07;3.378E-07;-4.982E-07;-99.990;-64.713;-99.990;0.75;159.84;
2019-10-03 18:26:05.49;0.00:00:00:460;0.50;-0.82;0.29;-1.588E-07;1.65E-07;-2.729E-07;9.639E-08;-29.42;8.41;-209.76;60.68;200.79;-1.588E-07;3.332E-07;-4.92E-07;-99.990;-64.773;-99.990;0.75;160.55;
2019-10-03 18:26:05.51;0.00:00:00:476;0.53;-0.79;0.31;-1.483E-07;1.767E-07;-2.667E-07;1.032E-07;-28.24;8.94;-226.63;69.54;215.70;-1.483E-07;3.361E-07;-4.845E-07;-99.990;-64.735;-99.990;0.76;158.86;
2019-10-03 18:26:05.54;0.00:00:00:507;0.53;-0.80;0.29;-1.579E-07;1.745E-07;-2.626E-07;9.696E-08;-28.20;8.55;-208.91;61.41;199.69;-1.579E-07;3.299E-07;-4.878E-07;-99.990;-64.816;-99.990;0.76;159.74;
