Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:24:37.72;0.00:00:00:047;0.09;-0.94;0.32;0.07622;0.006572;-0.07214;0.02414;-42.40;9.22;100.19;31.68;95.05;0.07622;0.07636;-0.0001442;-11.180;-11.171;-99.990;0.54;161.50;
2019-10-03 18:24:37.75;0.00:00:00:078;0.09;-0.94;0.32;0.07622;0.006569;-0.07214;0.02414;-42.40;9.22;100.18;31.67;95.04;0.07622;0.07636;-0.0001372;-11.179;-11.172;-99.990;0.54;161.50;
2019-10-03 18:24:37.77;0.00:00:00:094;0.09;-0.94;0.31;0.07656;0.007085;-0.07211;0.02402;-42.19;9.17;99.71;31.37;94.64;0.07656;0.07634;0.0002238;-11.160;-11.173;-36.501;0.55;161.58;
2019-10-03 18:24:37.78;0.00:00:00:110;0.09;-0.94;0.31;0.07656;0.00708;-0.07211;0.02402;-42.20;9.17;99.71;31.37;94.65;0.07656;0.07634;0.000223;-11.160;-11.173;-36.516;0.55;161.58;
2019-10-03 18:24:37.80;0.00:00:00:125;0.09;-0.94;0.32;0.07622;0.006562;-0.07214;0.02414;-42.40;9.22;100.18;31.67;95.04;0.07622;0.07635;-0.0001347;-11.179;-11.172;-99.990;0.54;161.50;
2019-10-03 18:24:37.81;0.00:00:00:141;0.09;-0.94;0.32;0.07621;0.006551;-0.07214;0.02414;-42.41;9.21;100.18;31.67;95.04;0.07621;0.07635;-0.0001352;-11.180;-11.172;-99.990;0.54;161.50;
2019-10-03 18:24:37.83;0.00:00:00:156;0.09;-0.94;0.31;0.07656;0.007069;-0.07212;0.02401;-42.20;9.17;99.71;31.37;94.65;0.07656;0.07634;0.0002191;-11.160;-11.173;-36.593;0.55;161.58;
2019-10-03 18:24:37.84;0.00:00:00:172;0.09;-0.94;0.31;0.07656;0.007062;-0.07213;0.02401;-42.20;9.17;99.73;31.37;94.67;0.07656;0.07635;0.0002071;-11.160;-11.172;-36.837;0.55;161.59;
2019-10-03 18:24:37.86;0.00:00:00:189;0.09;-0.94;0.32;0.07621;0.006543;-0.07214;0.02414;-42.41;9.21;100.18;31.67;95.04;0.07621;0.07635;-0.000137;-11.180;-11.172;-99.990;0.54;161.50;
2019-10-03 18:24:37.88;0.00:00:00:204;0.09;-0.94;0.32;0.07623;0.006558;-0.07214;0.02413;-42.40;9.21;100.16;31.66;95.03;0.07623;0.07635;-0.0001228;-11.179;-11.172;-99.990;0.54;161.51;
