Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:42:31.64;0.00:00:00:049;0.10;-0.99;0.14;0.7062;0.06773;-0.6948;0.09947;-42.22;4.05;99.84;14.08;98.84;0.7062;0.7051;0.001135;-1.510;-1.517;-29.451;0.55;171.85;
2019-10-03 18:42:31.66;0.00:00:00:067;0.10;-0.99;0.14;0.7063;0.06781;-0.6948;0.09945;-42.21;4.05;99.83;14.08;98.83;0.7063;0.7051;0.001187;-1.510;-1.517;-29.256;0.55;171.85;
2019-10-03 18:42:31.67;0.00:00:00:083;0.10;-0.99;0.14;0.7062;0.06767;-0.6949;0.09942;-42.22;4.05;99.86;14.08;98.86;0.7062;0.7052;0.001013;-1.511;-1.517;-29.945;0.55;171.86;
2019-10-03 18:42:31.69;0.00:00:00:099;0.10;-0.99;0.14;0.7072;0.06723;-0.6968;0.09968;-42.24;4.05;99.99;14.09;98.99;0.7072;0.7071;9.18E-05;-1.504;-1.505;-40.372;0.55;171.86;
2019-10-03 18:42:31.70;0.00:00:00:114;0.10;-0.99;0.14;0.7072;0.06723;-0.6969;0.09964;-42.24;4.05;99.99;14.09;98.99;0.7072;0.7071;6.917E-05;-1.504;-1.505;-41.601;0.55;171.86;
2019-10-03 18:42:31.72;0.00:00:00:130;0.09;-0.99;0.14;0.7072;0.06714;-0.6969;0.09969;-42.25;4.05;100.00;14.10;99.00;0.7072;0.7072;1.839E-05;-1.505;-1.505;-47.355;0.55;171.86;
2019-10-03 18:42:31.73;0.00:00:00:146;0.10;-0.99;0.14;0.7062;0.06763;-0.6948;0.09944;-42.22;4.05;99.85;14.08;98.85;0.7062;0.7052;0.001059;-1.510;-1.517;-29.752;0.55;171.86;
2019-10-03 18:42:31.75;0.00:00:00:164;0.10;-0.99;0.14;0.7063;0.06766;-0.6948;0.09941;-42.22;4.05;99.85;14.08;98.85;0.7063;0.7052;0.001092;-1.510;-1.517;-29.617;0.55;171.86;
2019-10-03 18:42:31.77;0.00:00:00:184;0.10;-0.99;0.14;0.7062;0.06765;-0.6949;0.09942;-42.22;4.05;99.86;14.08;98.86;0.7062;0.7052;0.001021;-1.511;-1.517;-29.910;0.55;171.86;
2019-10-03 18:42:31.79;0.00:00:00:203;0.09;-0.99;0.14;0.7072;0.06716;-0.6969;0.09964;-42.25;4.05;100.00;14.09;99.00;0.7072;0.7072;1.895E-05;-1.505;-1.505;-47.223;0.55;171.86;
2019-10-03 18:42:31.81;0.00:00:00:222;0.10;-0.99;0.14;0.7072;0.0672;-0.6969;0.09964;-42.25;4.05;99.99;14.09;99.00;0.7072;0.7072;4.328E-05;-1.504;-1.505;-43.637;0.55;171.86;
2019-10-03 18:42:31.83;0.00:00:00:238;0.09;-0.99;0.14;0.7072;0.06715;-0.6969;0.09963;-42.25;4.05;100.00;14.09;99.00;0.7072;0.7072;2.178E-05;-1.504;-1.505;-46.619;0.55;171.86;
2019-10-03 18:42:31.84;0.00:00:00:253;0.10;-0.99;0.14;0.7072;0.06719;-0.6969;0.09961;-42.25;4.05;100.00;14.09;99.00;0.7072;0.7072;1.004E-05;-1.504;-1.504;-49.982;0.55;171.87;
2019-10-03 18:42:31.86;0.00:00:00:272;0.10;-0.99;0.14;0.7063;0.0677;-0.6949;0.0994;-42.22;4.05;99.85;14.07;98.85;0.7063;0.7052;0.001074;-1.510;-1.517;-29.688;0.55;171.86;
2019-10-03 18:42:31.88;0.00:00:00:291;0.10;-0.99;0.14;0.7062;0.06763;-0.6949;0.0994;-42.22;4.05;99.85;14.07;98.86;0.7062;0.7052;0.001039;-1.510;-1.517;-29.833;0.55;171.86;
2019-10-03 18:42:31.90;0.00:00:00:309;0.10;-0.99;0.14;0.7063;0.06767;-0.6949;0.0994;-42.22;4.05;99.84;14.07;98.85;0.7063;0.7052;0.001097;-1.510;-1.517;-29.600;0.55;171.86;
2019-10-03 18:42:31.92;0.00:00:00:327;0.10;-0.99;0.14;0.7063;0.06762;-0.6948;0.09938;-42.22;4.05;99.84;14.07;98.85;0.7063;0.7052;0.0011;-1.510;-1.517;-29.585;0.55;171.86;
2019-10-03 18:42:31.93;0.00:00:00:343;0.10;-0.99;0.14;0.7063;0.06765;-0.6949;0.09938;-42.22;4.05;99.84;14.07;98.85;0.7063;0.7052;0.001106;-1.510;-1.517;-29.561;0.55;171.86;
2019-10-03 18:42:31.95;0.00:00:00:363;0.09;-0.99;0.14;0.7072;0.0671;-0.6969;0.09958;-42.25;4.05;99.99;14.08;99.00;0.7072;0.7072;5.884E-05;-1.504;-1.505;-42.303;0.55;171.87;
2019-10-03 18:42:31.97;0.00:00:00:380;0.09;-0.99;0.14;0.7072;0.06708;-0.697;0.0996;-42.25;4.05;100.01;14.08;99.01;0.7072;0.7073;-4.951E-05;-1.504;-1.504;-99.990;0.55;171.87;
2019-10-03 18:42:31.98;0.00:00:00:396;0.09;-0.99;0.14;0.7072;0.06709;-0.6969;0.09957;-42.25;4.05;100.00;14.08;99.00;0.7072;0.7072;8.204E-06;-1.505;-1.505;-50.860;0.55;171.87;
2019-10-03 18:42:32.00;0.00:00:00:413;0.09;-0.99;0.14;0.7072;0.06707;-0.6969;0.09957;-42.25;4.05;99.99;14.08;98.99;0.7072;0.7071;0.0001037;-1.504;-1.505;-39.843;0.55;171.87;
2019-10-03 18:42:32.02;0.00:00:00:428;0.10;-0.99;0.14;0.7063;0.06756;-0.6949;0.09935;-42.22;4.05;99.85;14.07;98.85;0.7063;0.7052;0.00109;-1.510;-1.517;-29.625;0.55;171.86;
2019-10-03 18:42:32.03;0.00:00:00:444;0.10;-0.99;0.14;0.7063;0.06758;-0.6948;0.09932;-42.22;4.05;99.84;14.06;98.85;0.7063;0.7052;0.001113;-1.510;-1.517;-29.536;0.55;171.87;
