Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:44:34.72;0.00:00:00:051;0.09;-0.99;-0.12;0.07867;0.006994;-0.07758;-0.009155;-42.42;-3.35;99.70;11.64;99.02;0.07867;0.07843;0.0002336;-11.042;-11.055;-36.316;0.54;-173.27;
2019-10-03 18:44:34.74;0.00:00:00:067;0.09;-0.99;-0.12;0.07877;0.007011;-0.07784;-0.009196;-42.43;-3.36;99.90;11.67;99.22;0.07877;0.07869;7.77E-05;-11.037;-11.041;-41.096;0.54;-173.26;
2019-10-03 18:44:34.77;0.00:00:00:098;0.09;-0.99;-0.12;0.07877;0.007021;-0.07783;-0.009195;-42.42;-3.36;99.88;11.67;99.20;0.07877;0.07868;9.068E-05;-11.036;-11.041;-40.425;0.54;-173.26;
2019-10-03 18:44:34.79;0.00:00:00:115;0.09;-0.99;-0.12;0.07876;0.007006;-0.07783;-0.009195;-42.43;-3.36;99.89;11.67;99.21;0.07876;0.07868;8.466E-05;-11.037;-11.041;-40.723;0.54;-173.26;
2019-10-03 18:44:34.80;0.00:00:00:131;0.09;-0.99;-0.12;0.07878;0.007026;-0.07782;-0.009197;-42.42;-3.36;99.87;11.67;99.18;0.07878;0.07867;0.0001058;-11.036;-11.042;-39.754;0.54;-173.26;
2019-10-03 18:44:34.82;0.00:00:00:146;0.09;-0.99;-0.12;0.07867;0.006998;-0.07759;-0.009166;-42.42;-3.36;99.71;11.65;99.02;0.07867;0.07844;0.0002298;-11.042;-11.055;-36.387;0.54;-173.26;
2019-10-03 18:44:34.83;0.00:00:00:162;0.09;-0.99;-0.12;0.07868;0.006997;-0.07758;-0.009159;-42.42;-3.35;99.69;11.64;99.01;0.07868;0.07843;0.0002427;-11.042;-11.055;-36.149;0.54;-173.27;
2019-10-03 18:44:34.85;0.00:00:00:178;0.09;-0.99;-0.12;0.07877;0.007015;-0.07783;-0.009198;-42.42;-3.36;99.89;11.68;99.20;0.07877;0.07868;9.023E-05;-11.036;-11.041;-40.447;0.54;-173.26;
2019-10-03 18:44:34.86;0.00:00:00:193;0.09;-0.99;-0.12;0.07878;0.007026;-0.07782;-0.009199;-42.42;-3.36;99.87;11.68;99.18;0.07878;0.07867;0.0001042;-11.036;-11.042;-39.823;0.54;-173.26;
2019-10-03 18:44:34.88;0.00:00:00:209;0.09;-0.99;-0.12;0.07877;0.007013;-0.07782;-0.009199;-42.43;-3.36;99.88;11.68;99.19;0.07877;0.07868;9.675E-05;-11.036;-11.042;-40.144;0.54;-173.26;
2019-10-03 18:44:34.89;0.00:00:00:225;0.09;-0.99;-0.12;0.07867;0.006988;-0.07758;-0.009162;-42.43;-3.35;99.71;11.65;99.02;0.07867;0.07844;0.0002317;-11.042;-11.055;-36.351;0.54;-173.27;
2019-10-03 18:44:34.91;0.00:00:00:244;0.09;-0.99;-0.12;0.07868;0.007;-0.07759;-0.009165;-42.42;-3.35;99.70;11.65;99.02;0.07868;0.07844;0.0002357;-11.042;-11.055;-36.277;0.54;-173.26;
2019-10-03 18:44:34.93;0.00:00:00:260;0.09;-0.99;-0.12;0.07878;0.007016;-0.07782;-0.009197;-42.42;-3.36;99.87;11.68;99.19;0.07878;0.07867;0.0001008;-11.036;-11.042;-39.965;0.54;-173.26;
2019-10-03 18:44:34.95;0.00:00:00:276;0.09;-0.99;-0.12;0.07878;0.007024;-0.07783;-0.009201;-42.42;-3.36;99.88;11.68;99.20;0.07878;0.07868;9.408E-05;-11.036;-11.041;-40.265;0.54;-173.26;
2019-10-03 18:44:34.96;0.00:00:00:291;0.09;-0.99;-0.12;0.07878;0.007025;-0.07782;-0.009203;-42.42;-3.36;99.88;11.68;99.19;0.07878;0.07868;9.741E-05;-11.036;-11.041;-40.114;0.54;-173.26;
2019-10-03 18:44:34.98;0.00:00:00:309;0.09;-0.99;-0.12;0.07867;0.006993;-0.07758;-0.00917;-42.42;-3.36;99.69;11.66;99.01;0.07867;0.07843;0.0002406;-11.042;-11.055;-36.187;0.54;-173.26;
2019-10-03 18:44:34.99;0.00:00:00:324;0.09;-0.99;-0.12;0.07866;0.006983;-0.07757;-0.009168;-42.43;-3.36;99.70;11.66;99.02;0.07866;0.07842;0.0002362;-11.042;-11.056;-36.267;0.54;-173.26;
2019-10-03 18:44:35.01;0.00:00:00:340;0.09;-0.99;-0.12;0.07867;0.006993;-0.07758;-0.009172;-42.42;-3.36;99.70;11.66;99.01;0.07867;0.07843;0.000237;-11.042;-11.055;-36.252;0.54;-173.26;
2019-10-03 18:44:35.03;0.00:00:00:355;0.09;-0.99;-0.12;0.07877;0.007015;-0.07782;-0.009206;-42.42;-3.36;99.87;11.69;99.18;0.07877;0.07867;0.0001016;-11.036;-11.042;-39.932;0.54;-173.25;
2019-10-03 18:44:35.04;0.00:00:00:371;0.09;-0.99;-0.12;0.07877;0.007014;-0.07782;-0.009203;-42.42;-3.36;99.88;11.68;99.19;0.07877;0.07867;9.436E-05;-11.037;-11.042;-40.252;0.54;-173.26;
2019-10-03 18:44:35.06;0.00:00:00:387;0.09;-0.99;-0.12;0.07866;0.006983;-0.07758;-0.009169;-42.43;-3.36;99.71;11.66;99.02;0.07866;0.07843;0.0002305;-11.042;-11.055;-36.374;0.54;-173.26;
2019-10-03 18:44:35.07;0.00:00:00:405;0.09;-0.99;-0.12;0.07867;0.006986;-0.07758;-0.009175;-42.43;-3.36;99.71;11.66;99.02;0.07867;0.07843;0.0002315;-11.042;-11.055;-36.354;0.54;-173.26;
2019-10-03 18:44:35.09;0.00:00:00:420;0.09;-0.99;-0.12;0.07877;0.007007;-0.07782;-0.009206;-42.43;-3.36;99.88;11.69;99.20;0.07877;0.07868;9.203E-05;-11.036;-11.042;-40.361;0.54;-173.25;
2019-10-03 18:44:35.11;0.00:00:00:438;0.09;-0.99;-0.12;0.07878;0.007023;-0.07782;-0.00921;-42.42;-3.36;99.88;11.69;99.19;0.07878;0.07868;9.707E-05;-11.036;-11.041;-40.129;0.54;-173.25;
2019-10-03 18:44:35.12;0.00:00:00:454;0.09;-0.99;-0.12;0.07876;0.007001;-0.07781;-0.009204;-42.43;-3.36;99.88;11.69;99.19;0.07876;0.07867;9.523E-05;-11.037;-11.042;-40.212;0.54;-173.25;
2019-10-03 18:44:35.14;0.00:00:00:469;0.09;-0.99;-0.12;0.07866;0.006978;-0.07757;-0.009179;-42.43;-3.36;99.70;11.67;99.01;0.07866;0.07842;0.0002363;-11.043;-11.056;-36.265;0.54;-173.25;
2019-10-03 18:44:35.15;0.00:00:00:485;0.09;-0.99;-0.12;0.07867;0.006989;-0.07759;-0.009171;-42.43;-3.36;99.71;11.66;99.03;0.07867;0.07844;0.0002243;-11.042;-11.055;-36.491;0.54;-173.26;
2019-10-03 18:44:35.17;0.00:00:00:502;0.09;-0.99;-0.12;0.07877;0.007008;-0.07782;-0.009212;-42.43;-3.36;99.88;11.70;99.20;0.07877;0.07867;9.179E-05;-11.037;-11.042;-40.372;0.54;-173.25;
2019-10-03 18:44:35.19;0.00:00:00:518;0.09;-0.99;-0.12;0.07876;0.007005;-0.07782;-0.009211;-42.43;-3.36;99.90;11.70;99.21;0.07876;0.07868;8.235E-05;-11.037;-11.041;-40.843;0.54;-173.25;
2019-10-03 18:44:35.20;0.00:00:00:534;0.09;-0.99;-0.12;0.07878;0.007019;-0.07781;-0.009212;-42.42;-3.36;99.86;11.69;99.17;0.07878;0.07867;0.0001093;-11.036;-11.042;-39.614;0.54;-173.25;
2019-10-03 18:44:35.22;0.00:00:00:549;0.09;-0.99;-0.12;0.07866;0.006982;-0.07758;-0.009175;-42.43;-3.36;99.71;11.66;99.03;0.07866;0.07843;0.000228;-11.042;-11.055;-36.421;0.54;-173.25;
