Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:46:20.86;0.00:00:00:040;-0.10;-0.16;-0.98;8.105E-08;-5.743E-08;-9.297E-08;-5.552E-07;-60.85;-39.43;698.21;685.07;134.83;8.105E-08;5.659E-07;-4.848E-07;-70.913;-62.473;-99.990;0.45;-99.51;
2019-10-03 18:46:20.88;0.00:00:00:056;-0.07;-0.16;-0.98;8.04E-08;-4.204E-08;-9.233E-08;-5.554E-07;-57.24;-39.82;702.22;690.79;126.17;8.04E-08;5.646E-07;-4.842E-07;-70.947;-62.483;-99.990;0.46;-99.44;
2019-10-03 18:46:20.89;0.00:00:00:072;-0.09;-0.19;-0.98;7.775E-08;-5.215E-08;-1.062E-07;-5.53E-07;-58.08;-38.96;727.37;711.28;152.12;7.775E-08;5.655E-07;-4.878E-07;-71.093;-62.475;-99.990;0.45;-100.87;
2019-10-03 18:46:20.91;0.00:00:00:087;-0.07;-0.17;-0.98;8.429E-08;-4.137E-08;-9.796E-08;-5.633E-07;-56.45;-39.66;680.09;668.29;126.15;8.429E-08;5.733E-07;-4.89E-07;-70.742;-62.417;-99.990;0.46;-99.86;
2019-10-03 18:46:20.92;0.00:00:00:103;-0.08;-0.15;-0.99;9.375E-08;-4.3E-08;-8.658E-08;-5.638E-07;-58.21;-40.14;610.16;601.38;103.12;9.375E-08;5.72E-07;-4.783E-07;-70.280;-62.426;-99.990;0.46;-98.73;
2019-10-03 18:46:20.95;0.00:00:00:134;-0.07;-0.17;-0.98;9.447E-08;-4.108E-08;-9.902E-08;-5.602E-07;-56.27;-39.58;603.73;592.97;113.48;9.447E-08;5.703E-07;-4.759E-07;-70.247;-62.439;-99.990;0.46;-100.02;
2019-10-03 18:46:20.97;0.00:00:00:150;-0.11;-0.20;-0.97;7.912E-08;-6.373E-08;-1.131E-07;-5.449E-07;-59.70;-38.30;707.95;688.68;164.04;7.912E-08;5.601E-07;-4.81E-07;-71.017;-62.517;-99.990;0.44;-101.72;
2019-10-03 18:46:20.98;0.00:00:00:165;-0.06;-0.17;-0.98;9.229E-08;-3.722E-08;-1.002E-07;-5.642E-07;-55.19;-39.64;622.24;611.37;115.84;9.229E-08;5.743E-07;-4.82E-07;-70.348;-62.409;-99.990;0.47;-100.07;
2019-10-03 18:46:21.00;0.00:00:00:183;-0.06;-0.16;-0.98;9.542E-08;-3.27E-08;-9.514E-08;-5.679E-07;-54.48;-39.98;604.36;595.10;105.43;9.542E-08;5.767E-07;-4.813E-07;-70.203;-62.390;-99.990;0.47;-99.51;
2019-10-03 18:46:21.02;0.00:00:00:202;-0.08;-0.17;-0.98;9.266E-08;-4.771E-08;-9.566E-08;-5.559E-07;-58.25;-39.56;610.89;599.90;115.36;9.266E-08;5.661E-07;-4.734E-07;-70.331;-62.471;-99.990;0.46;-99.76;
2019-10-03 18:46:21.04;0.00:00:00:221;-0.07;-0.16;-0.99;9.421E-08;-3.945E-08;-8.93E-08;-5.591E-07;-56.92;-40.05;602.40;593.42;103.63;9.421E-08;5.675E-07;-4.733E-07;-70.259;-62.460;-99.990;0.47;-99.08;
2019-10-03 18:46:21.06;0.00:00:00:237;-0.07;-0.14;-0.99;9.22E-08;-4.101E-08;-8.072E-08;-5.633E-07;-58.47;-40.43;618.75;610.91;98.20;9.22E-08;5.705E-07;-4.783E-07;-70.353;-62.437;-99.990;0.46;-98.16;
2019-10-03 18:46:21.07;0.00:00:00:252;-0.08;-0.15;-0.99;9.013E-08;-4.713E-08;-8.39E-08;-5.613E-07;-59.66;-40.14;631.92;622.84;106.77;9.013E-08;5.695E-07;-4.794E-07;-70.452;-62.445;-99.990;0.46;-98.50;
