Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:47:52.72;0.00:00:00:022;0.04;-0.99;0.14;0.719;0.02719;-0.7128;0.1012;-43.91;4.04;100.20;14.07;99.21;0.719;0.7204;-0.001447;-1.433;-1.424;-99.990;0.52;171.92;
2019-10-03 18:47:52.73;0.00:00:00:032;0.04;-0.99;0.14;0.7189;0.02708;-0.7128;0.1012;-43.91;4.04;100.21;14.08;99.22;0.7189;0.7205;-0.001533;-1.433;-1.424;-99.990;0.52;171.92;
2019-10-03 18:47:52.74;0.00:00:00:041;0.04;-0.99;0.14;0.72;0.02927;-0.7111;0.1004;-43.82;4.02;99.83;13.95;98.85;0.72;0.7188;0.001198;-1.427;-1.434;-29.215;0.52;171.96;
2019-10-03 18:47:52.75;0.00:00:00:050;0.04;-0.99;0.14;0.719;0.02709;-0.7127;0.1012;-43.91;4.04;100.19;14.07;99.20;0.719;0.7204;-0.001401;-1.433;-1.425;-99.990;0.52;171.92;
2019-10-03 18:47:52.76;0.00:00:00:060;0.04;-0.99;0.14;0.72;0.02933;-0.7112;0.1004;-43.82;4.01;99.84;13.94;98.86;0.72;0.7188;0.001177;-1.427;-1.434;-29.292;0.52;171.97;
2019-10-03 18:47:52.77;0.00:00:00:069;0.04;-0.99;0.14;0.7189;0.02709;-0.7128;0.1012;-43.91;4.04;100.21;14.07;99.22;0.7189;0.7204;-0.001496;-1.433;-1.424;-99.990;0.52;171.92;
2019-10-03 18:47:52.78;0.00:00:00:077;0.04;-0.99;0.14;0.72;0.02927;-0.7113;0.1004;-43.82;4.01;99.85;13.95;98.87;0.72;0.7189;0.001092;-1.427;-1.433;-29.617;0.52;171.96;
2019-10-03 18:47:52.79;0.00:00:00:092;0.04;-0.99;0.14;0.7188;0.02695;-0.7128;0.1012;-43.92;4.04;100.22;14.08;99.23;0.7188;0.7204;-0.001576;-1.434;-1.424;-99.990;0.52;171.92;
2019-10-03 18:47:52.80;0.00:00:00:101;0.04;-0.99;0.14;0.72;0.02928;-0.7111;0.1004;-43.82;4.01;99.83;13.94;98.85;0.72;0.7187;0.001245;-1.427;-1.434;-29.050;0.52;171.96;
2019-10-03 18:47:52.81;0.00:00:00:111;0.04;-0.99;0.14;0.719;0.0271;-0.7127;0.1011;-43.91;4.03;100.20;14.06;99.21;0.719;0.7204;-0.001434;-1.433;-1.424;-99.990;0.52;171.93;
2019-10-03 18:47:52.82;0.00:00:00:121;0.04;-0.99;0.14;0.72;0.02925;-0.7112;0.1003;-43.82;4.01;99.84;13.93;98.86;0.72;0.7188;0.001154;-1.427;-1.434;-29.378;0.52;171.97;
2019-10-03 18:47:52.83;0.00:00:00:129;0.04;-0.99;0.14;0.7189;0.02693;-0.7127;0.1011;-43.92;4.03;100.21;14.07;99.22;0.7189;0.7204;-0.001505;-1.434;-1.424;-99.990;0.52;171.92;
2019-10-03 18:47:52.84;0.00:00:00:138;0.04;-0.99;0.14;0.72;0.02919;-0.7112;0.1004;-43.82;4.01;99.84;13.94;98.86;0.72;0.7188;0.001171;-1.427;-1.434;-29.316;0.52;171.97;
2019-10-03 18:47:52.84;0.00:00:00:145;0.04;-0.99;0.14;0.719;0.0271;-0.7128;0.1011;-43.91;4.03;100.20;14.06;99.21;0.719;0.7204;-0.001449;-1.433;-1.424;-99.990;0.52;171.93;
2019-10-03 18:47:52.85;0.00:00:00:154;0.04;-0.99;0.14;0.72;0.02925;-0.7112;0.1004;-43.82;4.01;99.83;13.94;98.86;0.72;0.7188;0.001196;-1.427;-1.434;-29.223;0.52;171.97;
2019-10-03 18:47:52.87;0.00:00:00:172;0.04;-0.99;0.14;0.7189;0.02699;-0.7128;0.1011;-43.92;4.03;100.21;14.06;99.22;0.7189;0.7204;-0.001494;-1.433;-1.424;-99.990;0.52;171.93;
2019-10-03 18:47:52.88;0.00:00:00:182;0.04;-0.99;0.14;0.72;0.02927;-0.7111;0.1003;-43.82;4.01;99.82;13.93;98.85;0.72;0.7188;0.001264;-1.427;-1.434;-28.983;0.52;171.97;
