Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:53:38.69;0.00:00:00:024;-0.39;-0.92;-0.05;0.08132;-0.03158;-0.07483;-0.004058;-56.44;-1.43;100.00;4.99;99.88;0.08132;0.08132;-1.139E-06;-10.898;-10.898;-99.990;0.31;-176.90;
2019-10-03 18:53:38.70;0.00:00:00:033;-0.39;-0.92;-0.05;0.08132;-0.03158;-0.07484;-0.004059;-56.44;-1.43;100.01;4.99;99.89;0.08132;0.08133;-1.204E-05;-10.898;-10.897;-99.990;0.31;-176.90;
2019-10-03 18:53:38.70;0.00:00:00:041;-0.39;-0.92;-0.05;0.08128;-0.03179;-0.07496;-0.004102;-56.49;-1.44;100.31;5.05;100.18;0.08128;0.08152;-0.0002485;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.71;0.00:00:00:049;-0.39;-0.92;-0.05;0.08134;-0.03156;-0.07483;-0.00406;-56.43;-1.43;99.97;4.99;99.85;0.08134;0.08131;2.349E-05;-10.897;-10.898;-46.291;0.31;-176.89;
2019-10-03 18:53:38.72;0.00:00:00:059;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.004097;-56.50;-1.44;100.31;5.04;100.18;0.08127;0.08152;-0.0002492;-10.901;-10.888;-99.990;0.30;-176.87;
2019-10-03 18:53:38.73;0.00:00:00:067;-0.39;-0.92;-0.05;0.08133;-0.03156;-0.07483;-0.004057;-56.43;-1.43;99.98;4.99;99.85;0.08133;0.08131;1.719E-05;-10.897;-10.898;-47.646;0.31;-176.90;
2019-10-03 18:53:38.74;0.00:00:00:076;-0.39;-0.92;-0.05;0.08127;-0.03179;-0.07495;-0.004103;-56.49;-1.44;100.30;5.05;100.18;0.08127;0.08152;-0.0002463;-10.901;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.75;0.00:00:00:091;-0.39;-0.92;-0.05;0.08132;-0.03157;-0.07483;-0.004067;-56.44;-1.43;100.00;5.00;99.88;0.08132;0.08133;-1.545E-06;-10.898;-10.898;-99.990;0.31;-176.89;
2019-10-03 18:53:38.76;0.00:00:00:099;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.004099;-56.49;-1.44;100.31;5.04;100.19;0.08127;0.08152;-0.0002556;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:38.77;0.00:00:00:107;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004055;-56.44;-1.43;99.99;4.99;99.86;0.08133;0.08132;9.483E-06;-10.898;-10.898;-50.231;0.31;-176.90;
2019-10-03 18:53:38.78;0.00:00:00:116;-0.39;-0.92;-0.05;0.08127;-0.03179;-0.07496;-0.004104;-56.49;-1.44;100.31;5.05;100.18;0.08127;0.08152;-0.0002515;-10.901;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.79;0.00:00:00:126;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004062;-56.44;-1.43;99.99;5.00;99.87;0.08133;0.08132;5.384E-06;-10.898;-10.898;-52.689;0.31;-176.89;
2019-10-03 18:53:38.81;0.00:00:00:145;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07496;-0.0041;-56.49;-1.44;100.32;5.04;100.19;0.08127;0.08153;-0.000258;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.82;0.00:00:00:155;-0.39;-0.92;-0.05;0.08134;-0.03157;-0.07484;-0.004063;-56.43;-1.43;99.98;5.00;99.86;0.08134;0.08132;1.513E-05;-10.897;-10.898;-48.202;0.31;-176.89;
2019-10-03 18:53:38.83;0.00:00:00:164;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.004101;-56.49;-1.44;100.32;5.05;100.19;0.08127;0.08152;-0.0002568;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:38.84;0.00:00:00:174;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004061;-56.44;-1.43;99.99;4.99;99.87;0.08133;0.08132;7.45E-06;-10.898;-10.898;-51.279;0.31;-176.89;
2019-10-03 18:53:38.84;0.00:00:00:181;-0.39;-0.92;-0.05;0.08128;-0.03179;-0.07496;-0.004097;-56.49;-1.44;100.30;5.04;100.17;0.08128;0.08152;-0.0002442;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.85;0.00:00:00:189;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004064;-56.44;-1.43;99.99;5.00;99.86;0.08133;0.08132;1.075E-05;-10.897;-10.898;-49.685;0.31;-176.89;
2019-10-03 18:53:38.86;0.00:00:00:196;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.004102;-56.50;-1.44;100.31;5.05;100.18;0.08127;0.08152;-0.0002523;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:38.87;0.00:00:00:207;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004064;-56.44;-1.43;99.99;5.00;99.87;0.08133;0.08132;6.474E-06;-10.898;-10.898;-51.888;0.31;-176.89;
2019-10-03 18:53:38.89;0.00:00:00:224;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07484;-0.004059;-56.44;-1.43;99.99;4.99;99.87;0.08133;0.08133;5.482E-06;-10.897;-10.898;-52.611;0.31;-176.90;
2019-10-03 18:53:38.91;0.00:00:00:244;-0.39;-0.92;-0.05;0.08128;-0.03179;-0.07495;-0.004098;-56.49;-1.44;100.29;5.04;100.17;0.08128;0.08152;-0.0002397;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.92;0.00:00:00:252;-0.39;-0.92;-0.05;0.08134;-0.03156;-0.07484;-0.004063;-56.43;-1.43;99.99;5.00;99.86;0.08134;0.08133;1.205E-05;-10.897;-10.898;-49.189;0.31;-176.89;
2019-10-03 18:53:38.92;0.00:00:00:261;-0.39;-0.92;-0.05;0.08128;-0.03178;-0.07497;-0.004096;-56.49;-1.44;100.31;5.04;100.18;0.08128;0.08153;-0.0002495;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.93;0.00:00:00:270;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004056;-56.44;-1.43;99.99;4.99;99.86;0.08133;0.08132;9.532E-06;-10.898;-10.898;-50.208;0.31;-176.90;
2019-10-03 18:53:38.94;0.00:00:00:278;-0.39;-0.92;-0.05;0.08128;-0.03179;-0.07495;-0.004101;-56.49;-1.44;100.30;5.05;100.17;0.08128;0.08152;-0.0002402;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:38.95;0.00:00:00:287;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07484;-0.004056;-56.43;-1.43;99.99;4.99;99.87;0.08133;0.08133;5.026E-06;-10.897;-10.898;-52.987;0.31;-176.90;
2019-10-03 18:53:38.96;0.00:00:00:297;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07496;-0.004093;-56.49;-1.44;100.33;5.04;100.20;0.08127;0.08153;-0.0002668;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:38.98;0.00:00:00:315;-0.39;-0.92;-0.05;0.08132;-0.03158;-0.07484;-0.004055;-56.44;-1.43;100.00;4.99;99.88;0.08132;0.08133;-1.708E-06;-10.898;-10.898;-99.990;0.31;-176.90;
2019-10-03 18:53:38.99;0.00:00:00:323;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.004101;-56.50;-1.44;100.32;5.05;100.19;0.08127;0.08153;-0.0002579;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:38.99;0.00:00:00:331;-0.39;-0.92;-0.05;0.08133;-0.03156;-0.07483;-0.00406;-56.43;-1.43;99.98;4.99;99.86;0.08133;0.08132;1.262E-05;-10.897;-10.898;-48.988;0.31;-176.89;
2019-10-03 18:53:39.00;0.00:00:00:339;-0.39;-0.92;-0.05;0.08128;-0.03179;-0.07496;-0.004098;-56.49;-1.44;100.30;5.04;100.18;0.08128;0.08152;-0.0002459;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:39.01;0.00:00:00:347;-0.39;-0.92;-0.05;0.08132;-0.03158;-0.07482;-0.004059;-56.44;-1.43;100.00;4.99;99.87;0.08132;0.08132;3.09E-06;-10.898;-10.898;-55.100;0.31;-176.89;
2019-10-03 18:53:39.03;0.00:00:00:364;-0.39;-0.92;-0.05;0.08126;-0.03181;-0.07494;-0.004101;-56.50;-1.44;100.31;5.05;100.19;0.08126;0.08151;-0.0002548;-10.901;-10.888;-99.990;0.30;-176.87;
2019-10-03 18:53:39.04;0.00:00:00:372;-0.39;-0.92;-0.05;0.08133;-0.03156;-0.07483;-0.004053;-56.43;-1.43;99.98;4.98;99.85;0.08133;0.08131;1.929E-05;-10.897;-10.898;-47.146;0.31;-176.90;
2019-10-03 18:53:39.04;0.00:00:00:380;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07494;-0.004097;-56.50;-1.44;100.30;5.04;100.17;0.08127;0.08151;-0.0002419;-10.901;-10.888;-99.990;0.30;-176.87;
2019-10-03 18:53:39.05;0.00:00:00:388;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004059;-56.44;-1.43;99.99;4.99;99.86;0.08133;0.08132;1.093E-05;-10.898;-10.898;-49.614;0.31;-176.90;
2019-10-03 18:53:39.07;0.00:00:00:407;-0.39;-0.92;-0.05;0.08127;-0.03181;-0.07496;-0.004096;-56.50;-1.44;100.33;5.04;100.20;0.08127;0.08153;-0.000267;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:39.08;0.00:00:00:416;-0.39;-0.92;-0.05;0.08133;-0.03158;-0.07483;-0.004063;-56.44;-1.43;99.99;5.00;99.87;0.08133;0.08132;6.376E-06;-10.898;-10.898;-51.954;0.31;-176.89;
2019-10-03 18:53:39.09;0.00:00:00:426;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07494;-0.004099;-56.50;-1.44;100.30;5.04;100.18;0.08127;0.08152;-0.0002456;-10.901;-10.888;-99.990;0.30;-176.87;
2019-10-03 18:53:39.10;0.00:00:00:434;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07484;-0.004055;-56.43;-1.43;99.99;4.99;99.86;0.08133;0.08132;9.418E-06;-10.897;-10.898;-50.260;0.31;-176.90;
2019-10-03 18:53:39.11;0.00:00:00:442;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.004099;-56.50;-1.44;100.31;5.04;100.19;0.08127;0.08152;-0.0002545;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:39.11;0.00:00:00:450;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07484;-0.004056;-56.44;-1.43;99.99;4.99;99.87;0.08133;0.08132;5.693E-06;-10.898;-10.898;-52.447;0.31;-176.90;
2019-10-03 18:53:39.12;0.00:00:00:459;-0.39;-0.92;-0.05;0.08127;-0.0318;-0.07495;-0.0041;-56.49;-1.44;100.30;5.04;100.18;0.08127;0.08152;-0.0002456;-10.900;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:39.14;0.00:00:00:477;-0.39;-0.92;-0.05;0.08132;-0.03158;-0.07483;-0.004057;-56.44;-1.43;99.99;4.99;99.87;0.08132;0.08132;4.424E-06;-10.898;-10.898;-53.542;0.31;-176.90;
2019-10-03 18:53:39.15;0.00:00:00:485;-0.39;-0.92;-0.05;0.08128;-0.03179;-0.07495;-0.004101;-56.49;-1.44;100.29;5.05;100.17;0.08128;0.08152;-0.0002381;-10.900;-10.887;-99.990;0.31;-176.87;
2019-10-03 18:53:39.17;0.00:00:00:502;-0.39;-0.92;-0.05;0.08127;-0.03181;-0.07496;-0.004099;-56.50;-1.44;100.33;5.04;100.20;0.08127;0.08153;-0.0002653;-10.901;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:39.17;0.00:00:00:510;-0.39;-0.92;-0.05;0.08133;-0.03157;-0.07483;-0.004056;-56.44;-1.43;99.98;4.99;99.86;0.08133;0.08132;1.335E-05;-10.897;-10.898;-48.744;0.31;-176.90;
2019-10-03 18:53:39.18;0.00:00:00:521;-0.39;-0.92;-0.05;0.08128;-0.0318;-0.07495;-0.004098;-56.50;-1.44;100.31;5.04;100.18;0.08128;0.08152;-0.0002481;-10.900;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:39.19;0.00:00:00:530;-0.39;-0.92;-0.05;0.08134;-0.03157;-0.07484;-0.004057;-56.44;-1.43;99.99;4.99;99.86;0.08134;0.08132;1.155E-05;-10.897;-10.898;-49.374;0.31;-176.90;
2019-10-03 18:53:39.21;0.00:00:00:549;-0.39;-0.92;-0.05;0.08128;-0.0318;-0.07497;-0.004091;-56.49;-1.44;100.31;5.03;100.19;0.08128;0.08154;-0.0002551;-10.900;-10.887;-99.990;0.31;-176.88;
2019-10-03 18:53:39.22;0.00:00:00:558;-0.39;-0.92;-0.05;0.08134;-0.03157;-0.07483;-0.004057;-56.44;-1.43;99.98;4.99;99.86;0.08134;0.08132;1.57E-05;-10.897;-10.898;-48.041;0.31;-176.90;
2019-10-03 18:53:39.23;0.00:00:00:568;-0.39;-0.92;-0.05;0.08128;-0.03181;-0.07496;-0.004094;-56.50;-1.44;100.32;5.04;100.19;0.08128;0.08153;-0.0002578;-10.900;-10.887;-99.990;0.30;-176.87;
2019-10-03 18:53:39.24;0.00:00:00:576;-0.39;-0.92;-0.05;0.08134;-0.03157;-0.07484;-0.004054;-56.44;-1.43;99.98;4.98;99.86;0.08134;0.08133;1.57E-05;-10.897;-10.898;-48.041;0.31;-176.90;
2019-10-03 18:53:39.25;0.00:00:00:585;-0.39;-0.92;-0.05;0.08128;-0.0318;-0.07495;-0.004097;-56.49;-1.44;100.30;5.04;100.17;0.08128;0.08152;-0.0002402;-10.900;-10.887;-99.990;0.30;-176.87;
