Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 18:54:57.61;0.00:00:00:039;-0.63;-0.61;0.49;-5.333E-08;-2.491E-07;-2.416E-07;1.929E-07;-67.94;14.53;-744.43;361.68;650.67;-5.333E-08;3.97E-07;-4.504E-07;-99.990;-64.012;-99.990;0.19;141.40;
2019-10-03 18:54:57.63;0.00:00:00:054;-0.65;-0.59;0.48;-7.369E-08;-2.678E-07;-2.449E-07;1.99E-07;-68.78;14.37;-561.74;270.12;492.53;-7.369E-08;4.139E-07;-4.876E-07;-99.990;-63.831;-99.990;0.18;140.90;
2019-10-03 18:54:57.64;0.00:00:00:070;-0.67;-0.58;0.47;-7.063E-08;-2.734E-07;-2.37E-07;1.907E-07;-69.54;13.90;-579.08;270.06;512.25;-7.063E-08;4.09E-07;-4.796E-07;-99.990;-63.883;-99.990;0.17;141.17;
2019-10-03 18:54:57.66;0.00:00:00:088;-0.61;-0.63;0.48;-5.969E-08;-2.416E-07;-2.51E-07;1.925E-07;-66.95;14.46;-666.79;322.52;583.60;-5.969E-08;3.98E-07;-4.577E-07;-99.990;-64.001;-99.990;0.20;142.51;
2019-10-03 18:54:57.68;0.00:00:00:104;-0.59;-0.63;0.51;-5.168E-08;-2.36E-07;-2.512E-07;2.061E-07;-66.61;15.44;-777.10;398.82;666.95;-5.168E-08;4.016E-07;-4.533E-07;-99.990;-63.962;-99.990;0.21;140.63;
2019-10-03 18:54:57.69;0.00:00:00:120;-0.63;-0.60;0.49;-7.168E-08;-2.58E-07;-2.455E-07;2.012E-07;-68.21;14.73;-570.59;280.65;496.80;-7.168E-08;4.09E-07;-4.807E-07;-99.990;-63.883;-99.990;0.18;140.67;
2019-10-03 18:54:57.71;0.00:00:00:137;-0.65;-0.58;0.49;-6.926E-08;-2.598E-07;-2.339E-07;1.949E-07;-69.00;14.57;-577.89;281.38;504.75;-6.926E-08;4.002E-07;-4.695E-07;-99.990;-63.977;-99.990;0.18;140.20;
2019-10-03 18:54:57.72;0.00:00:00:153;-0.64;-0.61;0.47;-7.17E-08;-2.623E-07;-2.482E-07;1.919E-07;-68.29;13.99;-570.30;267.59;503.62;-7.17E-08;4.089E-07;-4.806E-07;-99.990;-63.884;-99.990;0.18;142.29;
2019-10-03 18:54:57.74;0.00:00:00:170;-0.62;-0.62;0.49;-6.496E-08;-2.479E-07;-2.47E-07;1.95E-07;-67.55;14.56;-616.69;300.14;538.73;-6.496E-08;4.006E-07;-4.656E-07;-99.990;-63.973;-99.990;0.19;141.72;
2019-10-03 18:54:57.76;0.00:00:00:187;-0.61;-0.61;0.50;-7.343E-08;-2.449E-07;-2.418E-07;2.012E-07;-67.68;15.16;-543.00;274.08;468.75;-7.343E-08;3.987E-07;-4.721E-07;-99.990;-63.993;-99.990;0.19;140.23;
