Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:06:31.83;0.00:00:00:056;0.29;-0.92;0.27;0.7459;0.215;-0.6856;0.2027;-36.30;7.88;100.08;27.17;96.33;0.7459;0.7465;-0.0006288;-1.273;-1.270;-99.990;0.64;163.53;
2019-10-03 19:06:31.84;0.00:00:00:071;0.29;-0.92;0.27;0.7487;0.2186;-0.6844;0.2013;-36.14;7.83;99.66;26.89;95.96;0.7487;0.7461;0.002566;-1.257;-1.272;-25.908;0.65;163.61;
2019-10-03 19:06:31.86;0.00:00:00:087;0.29;-0.92;0.27;0.7487;0.2187;-0.6843;0.2013;-36.14;7.83;99.65;26.89;95.96;0.7487;0.7461;0.002589;-1.257;-1.272;-25.869;0.65;163.61;
2019-10-03 19:06:31.88;0.00:00:00:104;0.29;-0.92;0.27;0.7459;0.2149;-0.6855;0.2027;-36.30;7.88;100.08;27.18;96.32;0.7459;0.7465;-0.0006064;-1.273;-1.270;-99.990;0.64;163.53;
2019-10-03 19:06:31.89;0.00:00:00:122;0.29;-0.92;0.27;0.7458;0.2149;-0.6856;0.2027;-36.30;7.88;100.09;27.17;96.33;0.7458;0.7465;-0.0006399;-1.274;-1.270;-99.990;0.64;163.53;
2019-10-03 19:06:31.91;0.00:00:00:141;0.29;-0.92;0.27;0.7458;0.2148;-0.6856;0.2027;-36.30;7.88;100.09;27.18;96.33;0.7458;0.7465;-0.0007078;-1.274;-1.270;-99.990;0.64;163.53;
2019-10-03 19:06:31.93;0.00:00:00:156;0.29;-0.92;0.27;0.7459;0.2149;-0.6855;0.2027;-36.30;7.88;100.08;27.18;96.32;0.7459;0.7465;-0.0005885;-1.273;-1.270;-99.990;0.64;163.53;
2019-10-03 19:06:31.94;0.00:00:00:172;0.29;-0.92;0.27;0.7486;0.2186;-0.6843;0.2014;-36.14;7.83;99.65;26.90;95.95;0.7486;0.746;0.002608;-1.257;-1.273;-25.838;0.65;163.60;
2019-10-03 19:06:31.96;0.00:00:00:189;0.29;-0.92;0.27;0.7487;0.2186;-0.6844;0.2014;-36.14;7.83;99.66;26.90;95.96;0.7487;0.7461;0.002536;-1.257;-1.272;-25.958;0.65;163.61;
2019-10-03 19:06:31.99;0.00:00:00:220;0.29;-0.92;0.27;0.7459;0.2148;-0.6856;0.2027;-36.30;7.88;100.08;27.18;96.32;0.7459;0.7465;-0.000628;-1.273;-1.270;-99.990;0.64;163.53;
