Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:08:09.85;0.00:00:00:028;0.64;-0.77;0.03;0.08998;0.05762;-0.06882;0.003003;-25.03;0.96;99.81;3.34;99.75;0.08998;0.08981;0.000172;-10.459;-10.467;-37.644;0.82;177.50;
2019-10-03 19:08:09.86;0.00:00:00:037;0.64;-0.77;0.03;0.09002;0.05768;-0.06903;0.003083;-25.06;0.98;99.99;3.42;99.94;0.09002;0.09001;5.563E-06;-10.457;-10.457;-52.547;0.82;177.44;
2019-10-03 19:08:09.87;0.00:00:00:046;0.64;-0.77;0.03;0.08998;0.05762;-0.06882;0.003012;-25.03;0.96;99.81;3.35;99.75;0.08998;0.0898;0.0001736;-10.459;-10.467;-37.604;0.82;177.49;
2019-10-03 19:08:09.87;0.00:00:00:054;0.64;-0.77;0.03;0.09001;0.05768;-0.06904;0.003087;-25.06;0.98;100.00;3.43;99.94;0.09001;0.09001;5.581E-07;-10.457;-10.457;-62.533;0.82;177.44;
2019-10-03 19:08:09.88;0.00:00:00:063;0.64;-0.77;0.03;0.08997;0.05761;-0.06881;0.003015;-25.03;0.96;99.80;3.35;99.75;0.08997;0.0898;0.0001764;-10.459;-10.467;-37.536;0.82;177.49;
2019-10-03 19:08:09.90;0.00:00:00:079;0.64;-0.77;0.03;0.09001;0.05768;-0.06902;0.003091;-25.06;0.98;99.99;3.43;99.93;0.09001;0.09;9.811E-06;-10.457;-10.457;-50.083;0.82;177.44;
2019-10-03 19:08:09.91;0.00:00:00:088;0.64;-0.77;0.03;0.08998;0.05762;-0.06882;0.00302;-25.03;0.96;99.81;3.36;99.75;0.08998;0.0898;0.0001745;-10.459;-10.467;-37.581;0.82;177.49;
2019-10-03 19:08:09.92;0.00:00:00:096;0.64;-0.77;0.03;0.09002;0.05768;-0.06903;0.003096;-25.06;0.99;99.99;3.44;99.93;0.09002;0.09001;5.347E-06;-10.457;-10.457;-52.719;0.82;177.43;
2019-10-03 19:08:09.93;0.00:00:00:104;0.64;-0.77;0.03;0.08997;0.05762;-0.06882;0.003023;-25.03;0.96;99.81;3.36;99.76;0.08997;0.0898;0.0001686;-10.459;-10.467;-37.732;0.82;177.48;
2019-10-03 19:08:09.93;0.00:00:00:114;0.64;-0.77;0.03;0.09001;0.05768;-0.06903;0.0031;-25.06;0.99;100.00;3.44;99.94;0.09001;0.09001;3.636E-06;-10.457;-10.457;-54.393;0.82;177.43;
2019-10-03 19:08:09.94;0.00:00:00:123;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003028;-25.03;0.97;99.80;3.36;99.75;0.08997;0.0898;0.0001772;-10.459;-10.467;-37.516;0.82;177.48;
2019-10-03 19:08:09.96;0.00:00:00:141;0.64;-0.77;0.03;0.09001;0.05768;-0.06903;0.003104;-25.06;0.99;99.99;3.45;99.93;0.09001;0.09001;6.355E-06;-10.457;-10.457;-51.969;0.82;177.43;
2019-10-03 19:08:09.97;0.00:00:00:151;0.64;-0.77;0.03;0.08997;0.05761;-0.06881;0.003028;-25.03;0.97;99.81;3.37;99.75;0.08997;0.0898;0.0001711;-10.459;-10.467;-37.668;0.82;177.48;
2019-10-03 19:08:09.98;0.00:00:00:160;0.64;-0.77;0.03;0.09001;0.05767;-0.06903;0.003105;-25.06;0.99;99.99;3.45;99.93;0.09001;0.09;6.499E-06;-10.457;-10.457;-51.872;0.82;177.42;
2019-10-03 19:08:09.99;0.00:00:00:170;0.64;-0.77;0.03;0.08997;0.05761;-0.06881;0.003038;-25.03;0.97;99.81;3.38;99.75;0.08997;0.0898;0.000171;-10.459;-10.467;-37.669;0.82;177.47;
2019-10-03 19:08:10.00;0.00:00:00:179;0.64;-0.77;0.03;0.09001;0.05768;-0.06902;0.003109;-25.06;0.99;99.99;3.45;99.93;0.09001;0.09;1.093E-05;-10.457;-10.457;-49.615;0.82;177.42;
2019-10-03 19:08:10.01;0.00:00:00:186;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003036;-25.03;0.97;99.81;3.37;99.75;0.08997;0.0898;0.0001736;-10.459;-10.467;-37.605;0.82;177.47;
2019-10-03 19:08:10.02;0.00:00:00:196;0.64;-0.77;0.03;0.09001;0.05768;-0.06903;0.003113;-25.06;0.99;100.00;3.46;99.94;0.09001;0.09001;3.222E-06;-10.457;-10.457;-54.918;0.82;177.42;
2019-10-03 19:08:10.04;0.00:00:00:216;0.64;-0.77;0.03;0.09001;0.05768;-0.06902;0.00312;-25.06;0.99;99.99;3.47;99.93;0.09001;0.09;6.625E-06;-10.457;-10.457;-51.788;0.82;177.41;
2019-10-03 19:08:10.04;0.00:00:00:224;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003047;-25.03;0.97;99.81;3.39;99.75;0.08997;0.0898;0.0001726;-10.459;-10.467;-37.629;0.82;177.46;
2019-10-03 19:08:10.05;0.00:00:00:233;0.64;-0.77;0.03;0.09002;0.05768;-0.06903;0.003123;-25.06;0.99;99.99;3.47;99.93;0.09002;0.09001;9.488E-06;-10.457;-10.457;-50.228;0.82;177.41;
2019-10-03 19:08:10.07;0.00:00:00:251;0.64;-0.77;0.03;0.08998;0.05762;-0.06881;0.003049;-25.03;0.97;99.80;3.39;99.75;0.08998;0.0898;0.0001768;-10.459;-10.467;-37.525;0.82;177.46;
2019-10-03 19:08:10.08;0.00:00:00:260;0.64;-0.77;0.03;0.09001;0.05767;-0.06903;0.003126;-25.06;1.00;100.00;3.47;99.93;0.09001;0.09;4.302E-06;-10.457;-10.457;-53.663;0.82;177.41;
2019-10-03 19:08:10.09;0.00:00:00:268;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003056;-25.03;0.97;99.81;3.40;99.75;0.08997;0.0898;0.0001715;-10.459;-10.467;-37.657;0.82;177.46;
2019-10-03 19:08:10.10;0.00:00:00:277;0.64;-0.77;0.03;0.09002;0.05769;-0.06902;0.00313;-25.06;1.00;99.99;3.48;99.93;0.09002;0.09001;8.984E-06;-10.457;-10.457;-50.465;0.82;177.40;
2019-10-03 19:08:10.11;0.00:00:00:285;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003057;-25.03;0.98;99.81;3.40;99.75;0.08997;0.0898;0.0001751;-10.459;-10.467;-37.567;0.82;177.46;
2019-10-03 19:08:10.12;0.00:00:00:295;0.64;-0.77;0.03;0.09001;0.05768;-0.06903;0.003131;-25.06;1.00;100.00;3.48;99.94;0.09001;0.09001;2.376E-06;-10.457;-10.457;-56.241;0.82;177.40;
2019-10-03 19:08:10.12;0.00:00:00:304;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003061;-25.03;0.98;99.81;3.40;99.75;0.08997;0.0898;0.0001729;-10.459;-10.467;-37.621;0.82;177.45;
2019-10-03 19:08:10.14;0.00:00:00:322;0.64;-0.77;0.03;0.09001;0.05768;-0.06903;0.003136;-25.06;1.00;99.99;3.48;99.93;0.09001;0.09001;5.149E-06;-10.457;-10.457;-52.883;0.82;177.40;
2019-10-03 19:08:10.15;0.00:00:00:332;0.64;-0.77;0.03;0.08998;0.05762;-0.06881;0.003064;-25.03;0.98;99.81;3.41;99.75;0.08998;0.0898;0.0001742;-10.459;-10.467;-37.589;0.82;177.45;
2019-10-03 19:08:10.17;0.00:00:00:350;0.64;-0.77;0.03;0.08998;0.05762;-0.06881;0.003067;-25.03;0.98;99.81;3.41;99.75;0.08998;0.0898;0.0001732;-10.459;-10.467;-37.615;0.82;177.45;
2019-10-03 19:08:10.18;0.00:00:00:358;0.64;-0.77;0.03;0.09001;0.05768;-0.06903;0.003142;-25.06;1.00;100.00;3.49;99.94;0.09001;0.09001;2.286E-06;-10.457;-10.457;-56.409;0.82;177.39;
2019-10-03 19:08:10.19;0.00:00:00:366;0.64;-0.77;0.03;0.08997;0.05762;-0.06881;0.003076;-25.03;0.98;99.81;3.42;99.75;0.08997;0.0898;0.0001694;-10.459;-10.467;-37.710;0.82;177.44;
2019-10-03 19:08:10.20;0.00:00:00:375;0.64;-0.77;0.03;0.09001;0.05768;-0.06902;0.003145;-25.06;1.00;99.99;3.49;99.93;0.09001;0.09;9.433E-06;-10.457;-10.458;-50.253;0.82;177.39;
2019-10-03 19:08:10.21;0.00:00:00:393;0.64;-0.77;0.03;0.08998;0.05762;-0.06881;0.003075;-25.03;0.98;99.81;3.42;99.75;0.08998;0.0898;0.0001743;-10.459;-10.467;-37.588;0.82;177.44;
2019-10-03 19:08:10.22;0.00:00:00:402;0.64;-0.77;0.04;0.09001;0.05768;-0.06903;0.003152;-25.06;1.00;100.00;3.50;99.93;0.09001;0.09001;4.249E-06;-10.457;-10.457;-53.717;0.82;177.39;
2019-10-03 19:08:10.23;0.00:00:00:413;0.64;-0.77;0.03;0.08998;0.05762;-0.06881;0.003079;-25.03;0.98;99.81;3.42;99.75;0.08998;0.0898;0.0001732;-10.459;-10.467;-37.614;0.82;177.44;
2019-10-03 19:08:10.24;0.00:00:00:421;0.64;-0.77;0.04;0.09001;0.05768;-0.06902;0.003155;-25.06;1.00;99.99;3.51;99.93;0.09001;0.09;6.427E-06;-10.457;-10.457;-51.920;0.82;177.38;
2019-10-03 19:08:10.25;0.00:00:00:429;0.64;-0.77;0.03;0.08998;0.05762;-0.06881;0.003081;-25.03;0.98;99.81;3.42;99.75;0.08998;0.0898;0.0001747;-10.459;-10.467;-37.576;0.82;177.44;
