Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:10:06.90;0.00:00:00:032;-0.45;-0.71;0.54;-3.345E-07;-6.787E-08;-1.055E-07;8.134E-08;-61.38;16.48;-44.70;24.32;37.50;-3.345E-07;1.495E-07;-4.84E-07;-99.990;-68.253;-99.990;0.27;142.37;
2019-10-03 19:10:06.93;0.00:00:00:055;-0.48;-0.71;0.52;-3.345E-07;-7.737E-08;-1.141E-07;8.315E-08;-62.07;15.55;-48.14;24.86;41.22;-3.345E-07;1.61E-07;-4.955E-07;-99.990;-67.931;-99.990;0.26;143.92;
2019-10-03 19:10:06.94;0.00:00:00:071;-0.46;-0.71;0.53;-3.251E-07;-6.987E-08;-1.09E-07;8.167E-08;-61.33;16.12;-47.09;25.12;39.83;-3.251E-07;1.531E-07;-4.782E-07;-99.990;-68.151;-99.990;0.27;143.16;
2019-10-03 19:10:06.96;0.00:00:00:087;-0.41;-0.72;0.56;-3.235E-07;-6.069E-08;-1.061E-07;8.171E-08;-59.88;16.88;-45.45;25.26;37.79;-3.235E-07;1.47E-07;-4.705E-07;-99.990;-68.326;-99.990;0.29;142.40;
2019-10-03 19:10:06.97;0.00:00:00:102;-0.35;-0.77;0.54;-3.164E-07;-5.376E-08;-1.194E-07;8.308E-08;-57.12;16.20;-49.00;26.26;41.37;-3.164E-07;1.55E-07;-4.714E-07;-99.990;-68.096;-99.990;0.33;145.16;
2019-10-03 19:10:06.99;0.00:00:00:118;-0.52;-0.65;0.55;-3.314E-07;-7.934E-08;-9.936E-08;8.319E-08;-64.30;16.60;-45.85;25.10;38.37;-3.314E-07;1.519E-07;-4.833E-07;-99.990;-68.183;-99.990;0.24;140.06;
2019-10-03 19:10:07.01;0.00:00:00:133;-0.54;-0.66;0.52;-3.356E-07;-9.755E-08;-1.182E-07;9.385E-08;-64.77;15.74;-53.55;27.96;45.67;-3.356E-07;1.797E-07;-5.153E-07;-99.990;-67.454;-99.990;0.23;141.55;
2019-10-03 19:10:07.02;0.00:00:00:152;-0.49;-0.71;0.50;-3.318E-07;-7.798E-08;-1.12E-07;7.941E-08;-62.42;15.10;-47.59;23.93;41.13;-3.318E-07;1.579E-07;-4.897E-07;-99.990;-68.016;-99.990;0.25;144.66;
2019-10-03 19:10:07.04;0.00:00:00:169;-0.34;-0.78;0.52;-3.161E-07;-5.423E-08;-1.237E-07;8.178E-08;-56.83;15.60;-49.96;25.87;42.74;-3.161E-07;1.579E-07;-4.74E-07;-99.990;-68.016;-99.990;0.33;146.54;
2019-10-03 19:10:07.06;0.00:00:00:188;-0.46;-0.72;0.53;-3.29E-07;-7.071E-08;-1.111E-07;8.162E-08;-61.24;15.90;-47.08;24.81;40.02;-3.29E-07;1.549E-07;-4.839E-07;-99.990;-68.099;-99.990;0.27;143.69;
2019-10-03 19:10:07.08;0.00:00:00:205;-0.42;-0.72;0.55;-3.212E-07;-6.43E-08;-1.098E-07;8.472E-08;-60.18;16.83;-47.59;26.38;39.61;-3.212E-07;1.528E-07;-4.74E-07;-99.990;-68.158;-99.990;0.29;142.33;
2019-10-03 19:10:07.09;0.00:00:00:221;-0.42;-0.73;0.54;-3.23E-07;-6.624E-08;-1.165E-07;8.588E-08;-59.81;16.33;-49.28;26.59;41.49;-3.23E-07;1.592E-07;-4.821E-07;-99.990;-67.982;-99.990;0.29;143.60;
2019-10-03 19:10:07.11;0.00:00:00:237;-0.48;-0.72;0.50;-3.281E-07;-7.837E-08;-1.185E-07;8.269E-08;-61.74;15.10;-50.10;25.21;43.30;-3.281E-07;1.644E-07;-4.925E-07;-99.990;-67.842;-99.990;0.26;145.09;
