Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:11:14.63;0.00:00:00:029;0.52;-0.85;0.06;0.7467;0.3898;-0.6347;0.0414;-29.22;1.59;99.91;5.55;99.76;0.7467;0.746;0.0006626;-1.269;-1.273;-31.788;0.76;176.27;
2019-10-03 19:11:14.64;0.00:00:00:038;0.52;-0.85;0.06;0.7458;0.3887;-0.6362;0.04278;-29.29;1.64;100.13;5.74;99.97;0.7458;0.7468;-0.0009897;-1.274;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.65;0.00:00:00:047;0.52;-0.85;0.06;0.7466;0.3898;-0.6347;0.0414;-29.22;1.59;99.91;5.54;99.76;0.7466;0.746;0.0006364;-1.269;-1.273;-31.962;0.76;176.27;
2019-10-03 19:11:14.66;0.00:00:00:054;0.52;-0.85;0.06;0.7458;0.3888;-0.6361;0.04278;-29.28;1.64;100.13;5.74;99.96;0.7458;0.7468;-0.0009509;-1.274;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.67;0.00:00:00:064;0.52;-0.85;0.06;0.7467;0.3898;-0.6347;0.04138;-29.22;1.59;99.91;5.54;99.76;0.7467;0.746;0.0006771;-1.269;-1.273;-31.694;0.76;176.27;
2019-10-03 19:11:14.67;0.00:00:00:072;0.52;-0.85;0.06;0.7458;0.3888;-0.6361;0.04282;-29.28;1.64;100.12;5.74;99.96;0.7458;0.7467;-0.0009233;-1.274;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.69;0.00:00:00:091;0.52;-0.85;0.06;0.7467;0.3898;-0.6348;0.04141;-29.22;1.59;99.92;5.55;99.77;0.7467;0.7461;0.0005981;-1.269;-1.272;-32.232;0.76;176.27;
2019-10-03 19:11:14.71;0.00:00:00:109;0.52;-0.85;0.06;0.7466;0.3898;-0.6347;0.04142;-29.22;1.59;99.91;5.55;99.76;0.7466;0.746;0.0006564;-1.269;-1.273;-31.828;0.76;176.27;
2019-10-03 19:11:14.72;0.00:00:00:118;0.52;-0.85;0.06;0.7459;0.3888;-0.6361;0.04278;-29.28;1.64;100.12;5.74;99.95;0.7459;0.7467;-0.0008674;-1.273;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.73;0.00:00:00:127;0.52;-0.85;0.06;0.7467;0.3899;-0.6347;0.0414;-29.22;1.59;99.91;5.54;99.76;0.7467;0.746;0.0006637;-1.268;-1.272;-31.780;0.76;176.27;
2019-10-03 19:11:14.74;0.00:00:00:135;0.52;-0.85;0.06;0.7457;0.3887;-0.6361;0.04278;-29.29;1.64;100.13;5.74;99.96;0.7457;0.7467;-0.0009568;-1.274;-1.269;-99.990;0.76;176.15;
2019-10-03 19:11:14.75;0.00:00:00:144;0.52;-0.85;0.06;0.7466;0.3898;-0.6347;0.04144;-29.22;1.59;99.91;5.55;99.76;0.7466;0.746;0.0006578;-1.269;-1.273;-31.819;0.76;176.26;
2019-10-03 19:11:14.75;0.00:00:00:153;0.52;-0.85;0.06;0.7459;0.3888;-0.6361;0.04276;-29.28;1.64;100.12;5.73;99.96;0.7459;0.7468;-0.0008965;-1.273;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.77;0.00:00:00:171;0.52;-0.85;0.06;0.7467;0.3898;-0.6347;0.04145;-29.22;1.59;99.91;5.55;99.75;0.7467;0.746;0.0006772;-1.269;-1.273;-31.693;0.76;176.26;
2019-10-03 19:11:14.78;0.00:00:00:181;0.52;-0.85;0.06;0.7459;0.3889;-0.6361;0.04278;-29.28;1.64;100.12;5.74;99.96;0.7459;0.7468;-0.0009047;-1.273;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.79;0.00:00:00:189;0.52;-0.85;0.06;0.7466;0.3898;-0.6347;0.04137;-29.22;1.59;99.91;5.54;99.76;0.7466;0.746;0.0006665;-1.269;-1.273;-31.762;0.76;176.27;
2019-10-03 19:11:14.80;0.00:00:00:198;0.52;-0.85;0.06;0.7458;0.3888;-0.6361;0.04278;-29.28;1.64;100.12;5.74;99.96;0.7458;0.7467;-0.0008995;-1.274;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.81;0.00:00:00:207;0.52;-0.85;0.06;0.7467;0.3898;-0.6346;0.04141;-29.22;1.59;99.90;5.55;99.75;0.7467;0.7459;0.0007199;-1.269;-1.273;-31.427;0.76;176.27;
2019-10-03 19:11:14.82;0.00:00:00:215;0.52;-0.85;0.06;0.7459;0.3889;-0.6361;0.04276;-29.28;1.64;100.12;5.73;99.95;0.7459;0.7467;-0.0008652;-1.273;-1.268;-99.990;0.76;176.15;
2019-10-03 19:11:14.83;0.00:00:00:224;0.52;-0.85;0.06;0.7466;0.3898;-0.6347;0.04137;-29.22;1.59;99.91;5.54;99.76;0.7466;0.746;0.00068;-1.269;-1.273;-31.675;0.76;176.27;
