Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:12:40.48;0.00:00:00:029;0.69;-0.68;-0.24;0.09068;0.06243;-0.06205;-0.02154;-22.41;-6.87;99.93;23.75;97.07;0.09068;0.09062;6.095E-05;-10.425;-10.428;-42.150;0.84;-160.86;
2019-10-03 19:12:40.51;0.00:00:00:065;0.69;-0.68;-0.24;0.09064;0.06228;-0.06185;-0.02164;-22.40;-6.92;99.74;23.87;96.84;0.09064;0.0904;0.0002368;-10.427;-10.438;-36.256;0.84;-160.72;
2019-10-03 19:12:40.53;0.00:00:00:083;0.69;-0.68;-0.24;0.09069;0.06245;-0.06203;-0.02152;-22.40;-6.87;99.92;23.73;97.06;0.09069;0.09062;7.3E-05;-10.424;-10.428;-41.367;0.84;-160.86;
2019-10-03 19:12:40.55;0.00:00:00:098;0.69;-0.68;-0.24;0.09068;0.06244;-0.06203;-0.02151;-22.41;-6.87;99.93;23.72;97.07;0.09068;0.09061;6.54E-05;-10.425;-10.428;-41.844;0.84;-160.88;
2019-10-03 19:12:40.56;0.00:00:00:114;0.69;-0.68;-0.24;0.09069;0.06247;-0.06203;-0.02151;-22.40;-6.86;99.92;23.72;97.07;0.09069;0.09062;6.918E-05;-10.424;-10.428;-41.600;0.84;-160.88;
2019-10-03 19:12:40.58;0.00:00:00:131;0.69;-0.68;-0.24;0.09063;0.06228;-0.06182;-0.02162;-22.39;-6.92;99.72;23.85;96.83;0.09063;0.09038;0.0002509;-10.427;-10.439;-36.004;0.84;-160.73;
2019-10-03 19:12:40.59;0.00:00:00:147;0.69;-0.68;-0.24;0.09064;0.0623;-0.06182;-0.02161;-22.39;-6.92;99.72;23.84;96.83;0.09064;0.09039;0.000251;-10.427;-10.439;-36.004;0.84;-160.73;
2019-10-03 19:12:40.61;0.00:00:00:166;0.69;-0.68;-0.24;0.09069;0.06247;-0.06202;-0.0215;-22.40;-6.86;99.92;23.71;97.07;0.09069;0.09062;7.068E-05;-10.425;-10.428;-41.507;0.84;-160.88;
2019-10-03 19:12:40.63;0.00:00:00:182;0.69;-0.68;-0.24;0.0907;0.06248;-0.06202;-0.0215;-22.39;-6.86;99.91;23.70;97.06;0.0907;0.09062;7.76E-05;-10.424;-10.428;-41.101;0.84;-160.88;
2019-10-03 19:12:40.64;0.00:00:00:197;0.69;-0.68;-0.24;0.09068;0.06247;-0.06203;-0.02149;-22.40;-6.86;99.93;23.70;97.08;0.09068;0.09062;6.239E-05;-10.425;-10.428;-42.049;0.84;-160.89;
2019-10-03 19:12:40.66;0.00:00:00:213;0.69;-0.68;-0.24;0.09069;0.06248;-0.06202;-0.02148;-22.39;-6.86;99.92;23.69;97.08;0.09069;0.09062;6.829E-05;-10.424;-10.428;-41.656;0.84;-160.89;
2019-10-03 19:12:40.69;0.00:00:00:244;0.69;-0.68;-0.24;0.09063;0.06231;-0.06182;-0.02158;-22.39;-6.91;99.73;23.81;96.85;0.09063;0.09039;0.0002442;-10.427;-10.439;-36.123;0.84;-160.76;
2019-10-03 19:12:40.71;0.00:00:00:260;0.69;-0.68;-0.24;0.09069;0.06249;-0.06202;-0.02147;-22.39;-6.85;99.93;23.67;97.08;0.09069;0.09062;6.493E-05;-10.425;-10.428;-41.875;0.84;-160.91;
2019-10-03 19:12:40.72;0.00:00:00:276;0.69;-0.68;-0.24;0.09069;0.0625;-0.06202;-0.02147;-22.39;-6.85;99.92;23.67;97.08;0.09069;0.09063;6.898E-05;-10.424;-10.427;-41.613;0.84;-160.91;
2019-10-03 19:12:40.74;0.00:00:00:293;0.69;-0.68;-0.24;0.09063;0.06231;-0.06181;-0.02157;-22.39;-6.90;99.72;23.80;96.84;0.09063;0.09038;0.0002535;-10.427;-10.439;-35.961;0.84;-160.76;
2019-10-03 19:12:40.76;0.00:00:00:311;0.69;-0.68;-0.24;0.09064;0.06232;-0.06182;-0.02156;-22.38;-6.90;99.73;23.79;96.85;0.09064;0.09039;0.0002452;-10.427;-10.439;-36.105;0.84;-160.77;
2019-10-03 19:12:40.77;0.00:00:00:328;0.69;-0.68;-0.24;0.09064;0.06233;-0.0618;-0.02156;-22.38;-6.90;99.72;23.79;96.84;0.09064;0.09039;0.0002552;-10.427;-10.439;-35.931;0.84;-160.77;
2019-10-03 19:12:40.79;0.00:00:00:347;0.69;-0.68;-0.24;0.09069;0.0625;-0.06202;-0.02145;-22.39;-6.85;99.93;23.65;97.09;0.09069;0.09062;6.223E-05;-10.425;-10.428;-42.060;0.84;-160.92;
2019-10-03 19:12:40.81;0.00:00:00:365;0.69;-0.68;-0.24;0.09069;0.0625;-0.06202;-0.02144;-22.39;-6.84;99.93;23.65;97.09;0.09069;0.09062;6.323E-05;-10.425;-10.428;-41.991;0.84;-160.93;
2019-10-03 19:12:40.84;0.00:00:00:396;0.69;-0.68;-0.24;0.09067;0.06249;-0.06202;-0.02143;-22.39;-6.84;99.93;23.64;97.10;0.09067;0.09062;5.945E-05;-10.425;-10.428;-42.259;0.84;-160.94;
2019-10-03 19:12:40.86;0.00:00:00:416;0.69;-0.68;-0.24;0.09064;0.06234;-0.0618;-0.02154;-22.38;-6.89;99.72;23.76;96.85;0.09064;0.09038;0.0002523;-10.427;-10.439;-35.981;0.84;-160.79;
2019-10-03 19:12:40.88;0.00:00:00:431;0.69;-0.68;-0.24;0.09064;0.06234;-0.0618;-0.02153;-22.38;-6.89;99.72;23.75;96.85;0.09064;0.09038;0.0002571;-10.427;-10.439;-35.900;0.84;-160.79;
2019-10-03 19:12:40.90;0.00:00:00:450;0.69;-0.68;-0.24;0.09064;0.06235;-0.06181;-0.02153;-22.38;-6.89;99.73;23.75;96.86;0.09064;0.09039;0.0002485;-10.427;-10.439;-36.047;0.84;-160.80;
2019-10-03 19:12:40.91;0.00:00:00:465;0.69;-0.68;-0.24;0.09064;0.06235;-0.0618;-0.02152;-22.37;-6.89;99.73;23.75;96.86;0.09064;0.09039;0.0002484;-10.427;-10.439;-36.048;0.84;-160.80;
2019-10-03 19:12:40.93;0.00:00:00:483;0.69;-0.68;-0.24;0.09069;0.06253;-0.062;-0.02141;-22.38;-6.83;99.92;23.61;97.09;0.09069;0.09062;7.056E-05;-10.424;-10.428;-41.514;0.84;-160.95;
