Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:13:38.83;0.00:00:00:040;-0.55;-0.65;-0.53;-3.045E-07;-1.16E-07;-1.369E-07;-1.131E-07;-65.14;-16.11;-69.65;37.12;58.93;-3.045E-07;2.121E-07;-5.166E-07;-99.990;-66.735;-99.990;0.23;-140.45;
2019-10-03 19:13:38.83;0.00:00:00:048;0.39;-0.70;-0.59;-2.025E-07;1.072E-07;-1.914E-07;-1.606E-07;-30.38;-18.11;-134.26;79.32;108.32;-2.025E-07;2.718E-07;-4.743E-07;-99.990;-65.657;-99.990;0.70;-140.00;
2019-10-03 19:13:38.84;0.00:00:00:055;0.56;-0.70;-0.44;-2.212E-07;1.323E-07;-1.656E-07;-1.036E-07;-25.69;-13.02;-106.65;46.82;95.83;-2.212E-07;2.359E-07;-4.571E-07;-99.990;-66.272;-99.990;0.78;-147.98;
2019-10-03 19:13:38.86;0.00:00:00:070;0.48;-0.85;-0.23;-2.776E-07;9.751E-08;-1.74E-07;-4.609E-08;-30.37;-6.50;-73.77;16.61;71.88;-2.776E-07;2.048E-07;-4.823E-07;-99.990;-66.888;-99.990;0.74;-165.17;
2019-10-03 19:13:38.87;0.00:00:00:086;0.09;-0.95;0.29;-3.503E-07;1.079E-08;-1.2E-07;3.607E-08;-42.43;8.34;-35.90;10.30;34.39;-3.503E-07;1.257E-07;-4.76E-07;-99.990;-69.005;-99.990;0.54;163.27;
2019-10-03 19:13:38.89;0.00:00:00:105;-0.48;-0.82;0.31;-3.788E-07;-6.455E-08;-1.096E-07;4.222E-08;-60.25;9.18;-35.38;11.15;33.58;-3.788E-07;1.34E-07;-5.128E-07;-99.990;-68.728;-99.990;0.26;158.94;
2019-10-03 19:13:38.91;0.00:00:00:120;-0.83;-0.55;-0.07;-3.723E-07;-1.702E-07;-1.115E-07;-1.361E-08;-73.39;-1.91;-54.77;3.66;54.64;-3.723E-07;2.039E-07;-5.762E-07;-99.990;-66.906;-99.990;0.08;-173.04;
2019-10-03 19:13:38.92;0.00:00:00:136;-0.69;-0.55;-0.46;-3.106E-07;-1.735E-07;-1.38E-07;-1.161E-07;-70.75;-13.82;-80.56;37.37;71.37;-3.106E-07;2.502E-07;-5.608E-07;-99.990;-66.017;-99.990;0.15;-139.94;
2019-10-03 19:13:38.94;0.00:00:00:152;-0.36;-0.65;-0.67;-2.496E-07;-9.694E-08;-1.743E-07;-1.78E-07;-59.54;-20.87;-107.10;71.31;79.91;-2.496E-07;2.673E-07;-5.17E-07;-99.990;-65.729;-99.990;0.32;-134.40;
2019-10-03 19:13:38.95;0.00:00:00:167;0.06;-0.70;-0.72;-2.017E-07;1.782E-08;-1.982E-07;-2.036E-07;-42.43;-22.83;-141.11;100.92;98.62;-2.017E-07;2.847E-07;-4.864E-07;-99.990;-65.456;-99.990;0.53;-134.22;
2019-10-03 19:13:38.97;0.00:00:00:183;0.28;-0.68;-0.68;-1.977E-07;7.33E-08;-1.795E-07;-1.79E-07;-33.89;-21.36;-133.44;90.52;98.05;-1.977E-07;2.638E-07;-4.616E-07;-99.990;-65.787;-99.990;0.64;-135.08;
2019-10-03 19:13:38.98;0.00:00:00:198;0.47;-0.76;-0.45;-2.507E-07;1.005E-07;-1.614E-07;-9.515E-08;-29.05;-13.29;-84.81;37.95;75.85;-2.507E-07;2.126E-07;-4.633E-07;-99.990;-66.724;-99.990;0.74;-149.48;
2019-10-03 19:13:39.00;0.00:00:00:214;0.42;-0.85;-0.31;-2.92E-07;7.416E-08;-1.512E-07;-5.408E-08;-31.94;-8.90;-60.56;18.52;57.66;-2.92E-07;1.769E-07;-4.689E-07;-99.990;-67.524;-99.990;0.71;-160.32;
2019-10-03 19:13:39.02;0.00:00:00:230;-0.07;-0.99;0.08;-3.692E-07;-8.849E-09;-1.312E-07;9.997E-09;-46.93;2.17;-35.72;2.71;35.62;-3.692E-07;1.319E-07;-5.01E-07;-99.990;-68.798;-99.990;0.47;175.64;
2019-10-03 19:13:39.04;0.00:00:00:249;-0.63;-0.77;0.01;-3.883E-07;-9.585E-08;-1.169E-07;1.621E-09;-64.68;0.31;-38.94;0.42;38.93;-3.883E-07;1.512E-07;-5.394E-07;-99.990;-68.205;-99.990;0.18;179.21;
2019-10-03 19:13:39.05;0.00:00:00:264;-0.65;-0.68;-0.34;-3.335E-07;-1.201E-07;-1.265E-07;-6.235E-08;-66.75;-9.83;-55.56;18.70;52.32;-3.335E-07;1.853E-07;-5.187E-07;-99.990;-67.322;-99.990;0.18;-153.77;
2019-10-03 19:13:39.07;0.00:00:00:280;-0.55;-0.69;-0.47;-3.092E-07;-1.235E-07;-1.541E-07;-1.047E-07;-64.35;-13.97;-72.28;33.86;63.86;-3.092E-07;2.235E-07;-5.328E-07;-99.990;-66.507;-99.990;0.22;-145.81;
2019-10-03 19:13:39.08;0.00:00:00:296;-0.23;-0.73;-0.64;-2.273E-07;-5.799E-08;-1.882E-07;-1.647E-07;-53.56;-19.95;-112.97;72.46;86.67;-2.273E-07;2.568E-07;-4.84E-07;-99.990;-65.905;-99.990;0.39;-138.82;
2019-10-03 19:13:39.10;0.00:00:00:314;-0.01;-0.79;-0.62;-1.963E-07;-1.852E-09;-2.18E-07;-1.717E-07;-45.24;-19.11;-141.37;87.47;111.06;-1.963E-07;2.775E-07;-4.738E-07;-99.990;-65.567;-99.990;0.50;-141.78;
2019-10-03 19:13:39.12;0.00:00:00:332;0.19;-0.76;-0.62;-1.919E-07;5.233E-08;-2.091E-07;-1.69E-07;-37.97;-19.05;-142.76;88.08;112.35;-1.919E-07;2.739E-07;-4.658E-07;-99.990;-65.624;-99.990;0.60;-141.06;
2019-10-03 19:13:39.13;0.00:00:00:347;0.38;-0.80;-0.47;-2.287E-07;8.398E-08;-1.765E-07;-1.043E-07;-32.28;-14.05;-96.90;45.62;85.48;-2.287E-07;2.216E-07;-4.503E-07;-99.990;-66.544;-99.990;0.69;-149.41;
2019-10-03 19:13:39.15;0.00:00:00:366;0.39;-0.87;-0.30;-2.551E-07;7.824E-08;-1.75E-07;-6.135E-08;-32.95;-8.87;-78.90;24.05;75.14;-2.551E-07;2.013E-07;-4.563E-07;-99.990;-66.963;-99.990;0.69;-160.68;
2019-10-03 19:13:39.17;0.00:00:00:382;0.28;-0.96;0.02;-3.457E-07;3.573E-08;-1.239E-07;2.147E-09;-36.95;0.48;-37.30;0.62;37.29;-3.457E-07;1.289E-07;-4.746E-07;-99.990;-68.897;-99.990;0.64;179.01;
2019-10-03 19:13:39.20;0.00:00:00:413;-0.82;-0.56;0.09;-4.171E-07;-8.352E-08;-5.715E-08;9.629E-09;-72.81;2.72;-24.37;2.31;24.26;-4.171E-07;1.017E-07;-5.188E-07;-99.990;-69.928;-99.990;0.09;170.44;
2019-10-03 19:13:39.22;0.00:00:00:429;-0.82;-0.55;-0.15;-4.112E-07;-9.171E-08;-6.135E-08;-1.643E-08;-73.11;-4.24;-27.13;4.00;26.83;-4.112E-07;1.116E-07;-5.228E-07;-99.990;-69.525;-99.990;0.09;-165.01;
2019-10-03 19:13:39.23;0.00:00:00:445;-0.85;-0.45;-0.28;-4.006E-07;-1.049E-07;-5.603E-08;-3.513E-08;-75.94;-8.23;-30.95;8.77;29.69;-4.006E-07;1.24E-07;-5.246E-07;-99.990;-69.066;-99.990;0.08;-147.92;
2019-10-03 19:13:39.25;0.00:00:00:460;-0.58;-0.47;-0.66;-3.533E-07;-8.679E-08;-6.989E-08;-9.878E-08;-70.58;-20.78;-42.15;27.96;31.54;-3.533E-07;1.489E-07;-5.022E-07;-99.990;-68.271;-99.990;0.21;-125.28;
2019-10-03 19:13:39.26;0.00:00:00:476;-0.16;-0.50;-0.85;-2.992E-07;-2.777E-08;-8.649E-08;-1.455E-07;-53.90;-29.01;-57.32;48.62;30.36;-2.992E-07;1.715E-07;-4.707E-07;-99.990;-67.657;-99.990;0.42;-120.73;
2019-10-03 19:13:39.28;0.00:00:00:491;-0.10;-0.64;-0.76;-3.058E-07;-1.944E-08;-1.312E-07;-1.545E-07;-49.21;-24.68;-66.60;50.53;43.38;-3.058E-07;2.036E-07;-5.094E-07;-99.990;-66.911;-99.990;0.45;-130.34;
2019-10-03 19:13:39.30;0.00:00:00:509;0.18;-0.70;-0.69;-2.778E-07;3.934E-08;-1.518E-07;-1.477E-07;-37.74;-21.64;-77.55;53.16;56.45;-2.778E-07;2.155E-07;-4.933E-07;-99.990;-66.666;-99.990;0.59;-135.79;
2019-10-03 19:13:39.31;0.00:00:00:527;0.30;-0.71;-0.63;-2.72E-07;6.382E-08;-1.509E-07;-1.344E-07;-33.54;-19.69;-77.93;49.44;60.24;-2.72E-07;2.119E-07;-4.839E-07;-99.990;-66.738;-99.990;0.65;-138.29;
2019-10-03 19:13:39.33;0.00:00:00:543;0.34;-0.88;-0.33;-3.241E-07;5.734E-08;-1.477E-07;-5.629E-08;-34.39;-9.78;-51.89;17.37;48.90;-3.241E-07;1.682E-07;-4.923E-07;-99.990;-67.742;-99.990;0.67;-159.14;
2019-10-03 19:13:39.34;0.00:00:00:559;0.48;-0.84;-0.25;-3.22E-07;6.751E-08;-1.18E-07;-3.521E-08;-30.11;-7.26;-43.61;10.94;42.21;-3.22E-07;1.404E-07;-4.623E-07;-99.990;-68.527;-99.990;0.74;-163.38;
2019-10-03 19:13:39.36;0.00:00:00:574;0.26;-0.96;-0.13;-3.524E-07;3.27E-08;-1.213E-07;-1.682E-08;-37.45;-3.81;-35.96;4.77;35.64;-3.524E-07;1.267E-07;-4.791E-07;-99.990;-68.972;-99.990;0.63;-172.10;
2019-10-03 19:13:39.38;0.00:00:00:590;-0.09;-0.99;0.10;-3.781E-07;-9.197E-09;-9.727E-08;9.568E-09;-47.70;2.80;-25.96;2.53;25.84;-3.781E-07;9.817E-08;-4.763E-07;-99.990;-70.080;-99.990;0.45;174.38;
2019-10-03 19:13:39.40;0.00:00:00:609;-0.34;-0.93;0.11;-3.9E-07;-3.345E-08;-9.109E-08;1.108E-08;-55.08;3.26;-25.04;2.84;24.88;-3.9E-07;9.767E-08;-4.877E-07;-99.990;-70.102;-99.990;0.33;173.06;
2019-10-03 19:13:39.41;0.00:00:00:625;-0.68;-0.73;-0.03;-3.917E-07;-8.046E-08;-8.721E-08;-3.099E-09;-66.35;-0.75;-30.30;0.79;30.29;-3.917E-07;1.187E-07;-5.104E-07;-99.990;-69.256;-99.990;0.16;-177.96;
2019-10-03 19:13:39.43;0.00:00:00:643;-0.71;-0.59;-0.39;-3.679E-07;-9.572E-08;-7.968E-08;-5.296E-08;-70.11;-11.52;-36.78;14.39;33.85;-3.679E-07;1.353E-07;-5.033E-07;-99.990;-68.686;-99.990;0.15;-146.39;
2019-10-03 19:13:39.45;0.00:00:00:659;-0.52;-0.65;-0.55;-3.34E-07;-8.426E-08;-1.043E-07;-8.861E-08;-64.47;-16.73;-48.13;26.53;40.15;-3.34E-07;1.607E-07;-4.947E-07;-99.990;-67.939;-99.990;0.24;-139.65;
2019-10-03 19:13:39.48;0.00:00:00:690;-0.26;-0.67;-0.69;-2.96E-07;-5.651E-08;-1.441E-07;-1.483E-07;-55.71;-21.89;-72.42;50.11;52.29;-2.96E-07;2.143E-07;-5.103E-07;-99.990;-66.689;-99.990;0.37;-134.17;
2019-10-03 19:13:39.49;0.00:00:00:706;-0.05;-0.68;-0.73;-2.483E-07;-1.113E-08;-1.596E-07;-1.709E-07;-47.00;-23.45;-94.29;68.85;64.43;-2.483E-07;2.341E-07;-4.824E-07;-99.990;-66.306;-99.990;0.48;-133.03;
2019-10-03 19:13:39.51;0.00:00:00:722;0.06;-0.70;-0.71;-2.369E-07;1.462E-08;-1.667E-07;-1.701E-07;-42.49;-22.74;-100.75;71.83;70.65;-2.369E-07;2.386E-07;-4.755E-07;-99.990;-66.223;-99.990;0.53;-134.42;
2019-10-03 19:13:39.52;0.00:00:00:737;0.25;-0.75;-0.61;-2.148E-07;6.578E-08;-2.019E-07;-1.632E-07;-35.98;-18.77;-124.69;75.99;98.86;-2.148E-07;2.678E-07;-4.827E-07;-99.990;-65.721;-99.990;0.62;-141.05;
2019-10-03 19:13:39.54;0.00:00:00:756;0.27;-0.76;-0.59;-2.221E-07;7.03E-08;-1.94E-07;-1.52E-07;-35.04;-18.19;-115.40;68.44;92.91;-2.221E-07;2.563E-07;-4.784E-07;-99.990;-65.913;-99.990;0.64;-141.92;
2019-10-03 19:13:39.56;0.00:00:00:773;0.34;-0.84;-0.42;-2.279E-07;8.412E-08;-2.062E-07;-1.038E-07;-33.90;-12.49;-107.78;45.53;97.69;-2.279E-07;2.457E-07;-4.736E-07;-99.990;-66.096;-99.990;0.67;-153.28;
2019-10-03 19:13:39.58;0.00:00:00:789;0.36;-0.88;-0.30;-2.434E-07;8.496E-08;-2.094E-07;-7.121E-08;-33.96;-8.75;-97.35;29.26;92.85;-2.434E-07;2.369E-07;-4.803E-07;-99.990;-66.254;-99.990;0.68;-161.22;
2019-10-03 19:13:39.59;0.00:00:00:807;0.37;-0.90;-0.22;-2.461E-07;8.01E-08;-1.921E-07;-4.8E-08;-33.68;-6.49;-86.80;19.50;84.58;-2.461E-07;2.136E-07;-4.597E-07;-99.990;-66.704;-99.990;0.69;-165.97;
2019-10-03 19:13:39.61;0.00:00:00:823;0.32;-0.95;0.00;-2.933E-07;5.852E-08;-1.761E-07;-9.069E-11;-35.81;-0.01;-63.28;0.03;63.28;-2.933E-07;1.856E-07;-4.789E-07;-99.990;-67.314;-99.990;0.66;-179.97;
2019-10-03 19:13:39.62;0.00:00:00:838;0.29;-0.96;0.07;-3.039E-07;4.555E-08;-1.513E-07;1.031E-08;-36.62;1.87;-52.11;3.39;52.00;-3.039E-07;1.584E-07;-4.623E-07;-99.990;-68.003;-99.990;0.64;176.10;
2019-10-03 19:13:39.64;0.00:00:00:854;0.11;-0.99;0.14;-3.263E-07;1.738E-08;-1.61E-07;2.213E-08;-41.92;3.89;-50.07;6.78;49.61;-3.263E-07;1.634E-07;-4.897E-07;-99.990;-67.867;-99.990;0.55;172.17;
2019-10-03 19:13:39.66;0.00:00:00:870;-0.24;-0.94;0.23;-3.589E-07;-3.516E-08;-1.392E-07;3.326E-08;-52.09;6.52;-41.06;9.27;40.00;-3.589E-07;1.474E-07;-5.063E-07;-99.990;-68.316;-99.990;0.38;166.56;
2019-10-03 19:13:39.67;0.00:00:00:885;-0.23;-0.94;0.24;-3.489E-07;-2.986E-08;-1.22E-07;3.117E-08;-51.88;6.97;-37.09;8.93;36.00;-3.489E-07;1.294E-07;-4.784E-07;-99.990;-68.879;-99.990;0.38;165.67;
2019-10-03 19:13:39.69;0.00:00:00:903;-0.47;-0.87;0.14;-3.558E-07;-6.239E-08;-1.154E-07;1.883E-08;-59.20;4.09;-37.24;5.29;36.86;-3.558E-07;1.325E-07;-4.883E-07;-99.990;-68.778;-99.990;0.26;170.73;
2019-10-03 19:13:39.71;0.00:00:00:922;-0.61;-0.79;0.04;-3.512E-07;-8.474E-08;-1.104E-07;6.008E-09;-63.76;1.24;-39.66;1.71;39.62;-3.512E-07;1.393E-07;-4.904E-07;-99.990;-68.562;-99.990;0.20;176.88;
2019-10-03 19:13:39.73;0.00:00:00:940;-0.70;-0.69;-0.18;-3.517E-07;-1.077E-07;-1.051E-07;-2.761E-08;-67.84;-5.20;-43.50;7.85;42.78;-3.517E-07;1.53E-07;-5.047E-07;-99.990;-68.154;-99.990;0.15;-165.28;
2019-10-03 19:13:39.74;0.00:00:00:956;-0.62;-0.71;-0.33;-3.328E-07;-1.055E-07;-1.206E-07;-5.608E-08;-65.58;-9.65;-50.99;16.85;48.13;-3.328E-07;1.697E-07;-5.026E-07;-99.990;-67.702;-99.990;0.19;-155.06;
2019-10-03 19:13:39.76;0.00:00:00:971;-0.60;-0.65;-0.47;-3.265E-07;-9.705E-08;-1.043E-07;-7.512E-08;-66.47;-13.90;-49.32;23.01;43.63;-3.265E-07;1.61E-07;-4.875E-07;-99.990;-67.931;-99.990;0.20;-144.23;
2019-10-03 19:13:39.77;0.00:00:00:987;-0.44;-0.70;-0.57;-3.128E-07;-8.175E-08;-1.29E-07;-1.047E-07;-61.18;-17.22;-59.20;33.47;48.83;-3.128E-07;1.851E-07;-4.979E-07;-99.990;-67.325;-99.990;0.28;-140.93;
2019-10-03 19:13:39.79;0.00:00:01:003;-0.45;-0.66;-0.61;-3.116E-07;-8.631E-08;-1.256E-07;-1.158E-07;-62.24;-18.62;-61.44;37.18;48.92;-3.116E-07;1.914E-07;-5.031E-07;-99.990;-67.180;-99.990;0.27;-137.32;
2019-10-03 19:13:39.80;0.00:00:01:018;-0.30;-0.67;-0.68;-2.9E-07;-6.235E-08;-1.377E-07;-1.402E-07;-57.18;-21.42;-71.07;48.33;52.10;-2.9E-07;2.061E-07;-4.962E-07;-99.990;-66.859;-99.990;0.35;-134.48;
2019-10-03 19:13:39.82;0.00:00:01:035;-0.29;-0.69;-0.67;-2.829E-07;-6.28E-08;-1.509E-07;-1.468E-07;-56.30;-20.97;-77.63;51.88;57.75;-2.829E-07;2.197E-07;-5.026E-07;-99.990;-66.583;-99.990;0.36;-135.78;
2019-10-03 19:13:39.84;0.00:00:01:050;-0.09;-0.69;-0.72;-2.583E-07;-2.012E-08;-1.514E-07;-1.595E-07;-48.78;-23.12;-85.51;61.76;59.14;-2.583E-07;2.209E-07;-4.792E-07;-99.990;-66.559;-99.990;0.45;-133.51;
2019-10-03 19:13:39.85;0.00:00:01:066;-0.02;-0.73;-0.68;-2.601E-07;-4.939E-09;-1.759E-07;-1.637E-07;-45.80;-21.47;-92.37;62.92;67.63;-2.601E-07;2.403E-07;-5.005E-07;-99.990;-66.192;-99.990;0.49;-137.06;
2019-10-03 19:13:39.87;0.00:00:01:082;-0.01;-0.70;-0.72;-2.56E-07;-1.37E-09;-1.591E-07;-1.635E-07;-45.25;-22.89;-89.12;63.87;62.15;-2.56E-07;2.281E-07;-4.841E-07;-99.990;-66.418;-99.990;0.50;-134.22;
2019-10-03 19:13:39.88;0.00:00:01:097;0.09;-0.76;-0.65;-2.54E-07;2.053E-08;-1.777E-07;-1.526E-07;-41.71;-20.23;-92.56;60.06;70.43;-2.54E-07;2.351E-07;-4.892E-07;-99.990;-66.287;-99.990;0.54;-139.35;
2019-10-03 19:13:39.90;0.00:00:01:113;0.10;-0.78;-0.62;-2.565E-07;2.585E-08;-1.921E-07;-1.542E-07;-41.17;-19.25;-96.55;60.10;75.56;-2.565E-07;2.477E-07;-5.042E-07;-99.990;-66.061;-99.990;0.55;-141.25;
2019-10-03 19:13:39.91;0.00:00:01:128;0.18;-0.77;-0.61;-2.519E-07;4.225E-08;-1.787E-07;-1.403E-07;-38.35;-18.68;-91.73;55.67;72.90;-2.519E-07;2.311E-07;-4.83E-07;-99.990;-66.362;-99.990;0.59;-141.88;
2019-10-03 19:13:39.93;0.00:00:01:147;0.11;-0.77;-0.62;-2.699E-07;2.561E-08;-1.73E-07;-1.399E-07;-40.79;-19.33;-82.98;51.83;64.80;-2.699E-07;2.239E-07;-4.938E-07;-99.990;-66.499;-99.990;0.56;-141.04;
2019-10-03 19:13:39.95;0.00:00:01:165;0.33;-0.79;-0.51;-2.536E-07;7.532E-08;-1.801E-07;-1.172E-07;-33.65;-15.48;-89.80;46.21;77.00;-2.536E-07;2.277E-07;-4.813E-07;-99.990;-66.426;-99.990;0.67;-146.96;
2019-10-03 19:13:39.97;0.00:00:01:182;0.36;-0.83;-0.42;-2.573E-07;8.435E-08;-1.929E-07;-9.852E-08;-33.19;-12.54;-90.33;38.29;81.81;-2.573E-07;2.324E-07;-4.898E-07;-99.990;-66.337;-99.990;0.68;-152.94;
2019-10-03 19:13:39.98;0.00:00:01:198;0.36;-0.85;-0.39;-2.659E-07;8.17E-08;-1.914E-07;-8.874E-08;-33.44;-11.55;-85.07;33.37;78.26;-2.659E-07;2.262E-07;-4.922E-07;-99.990;-66.454;-99.990;0.68;-155.13;
2019-10-03 19:13:40.00;0.00:00:01:214;0.32;-0.88;-0.35;-2.816E-07;6.722E-08;-1.857E-07;-7.478E-08;-35.05;-10.37;-74.98;26.55;70.12;-2.816E-07;2.112E-07;-4.928E-07;-99.990;-66.753;-99.990;0.66;-158.07;
2019-10-03 19:13:40.02;0.00:00:01:229;0.36;-0.89;-0.28;-2.859E-07;7.259E-08;-1.805E-07;-5.586E-08;-34.05;-8.01;-70.80;19.54;68.05;-2.859E-07;2.024E-07;-4.884E-07;-99.990;-66.937;-99.990;0.68;-162.81;
2019-10-03 19:13:40.03;0.00:00:01:245;0.33;-0.91;-0.24;-2.982E-07;6.462E-08;-1.792E-07;-4.732E-08;-35.09;-6.97;-65.83;15.87;63.89;-2.982E-07;1.963E-07;-4.945E-07;-99.990;-67.071;-99.990;0.66;-165.21;
2019-10-03 19:13:40.05;0.00:00:01:260;0.39;-0.91;-0.14;-2.995E-07;6.937E-08;-1.634E-07;-2.551E-08;-33.50;-4.09;-59.88;8.52;59.27;-2.995E-07;1.793E-07;-4.788E-07;-99.990;-67.464;-99.990;0.69;-171.13;
2019-10-03 19:13:40.06;0.00:00:01:276;0.36;-0.92;-0.15;-3.098E-07;6.425E-08;-1.639E-07;-2.643E-08;-34.30;-4.27;-57.45;8.53;56.81;-3.098E-07;1.78E-07;-4.878E-07;-99.990;-67.496;-99.990;0.68;-170.84;
2019-10-03 19:13:40.08;0.00:00:01:294;0.37;-0.93;-0.08;-3.205E-07;5.888E-08;-1.484E-07;-1.359E-08;-34.18;-2.43;-50.01;4.24;49.83;-3.205E-07;1.603E-07;-4.807E-07;-99.990;-67.952;-99.990;0.68;-174.77;
2019-10-03 19:13:40.10;0.00:00:01:312;0.48;-0.88;0.08;-3.073E-07;7.761E-08;-1.428E-07;1.243E-08;-30.74;2.19;-53.04;4.04;52.89;-3.073E-07;1.63E-07;-4.703E-07;-99.990;-67.878;-99.990;0.74;175.03;
2019-10-03 19:13:40.11;0.00:00:01:328;0.30;-0.95;0.09;-3.426E-07;4.278E-08;-1.379E-07;1.3E-08;-36.38;2.57;-42.33;3.80;42.16;-3.426E-07;1.45E-07;-4.875E-07;-99.990;-68.386;-99.990;0.65;174.62;
2019-10-03 19:13:40.13;0.00:00:01:347;0.32;-0.94;0.14;-3.392E-07;4.75E-08;-1.372E-07;1.989E-08;-35.45;3.90;-43.21;5.86;42.81;-3.392E-07;1.466E-07;-4.858E-07;-99.990;-68.340;-99.990;0.66;171.75;
2019-10-03 19:13:40.15;0.00:00:01:363;0.26;-0.95;0.16;-3.432E-07;3.654E-08;-1.325E-07;2.242E-08;-37.29;4.63;-40.56;6.53;40.03;-3.432E-07;1.392E-07;-4.825E-07;-99.990;-68.563;-99.990;0.63;170.40;
2019-10-03 19:13:40.16;0.00:00:01:378;0.19;-0.95;0.26;-3.527E-07;2.261E-08;-1.132E-07;3.094E-08;-39.35;7.51;-33.87;8.77;32.71;-3.527E-07;1.195E-07;-4.722E-07;-99.990;-69.228;-99.990;0.59;164.71;
2019-10-03 19:13:40.18;0.00:00:01:394;0.08;-0.96;0.28;-3.602E-07;1.02E-08;-1.283E-07;3.744E-08;-42.73;8.11;-37.21;10.39;35.73;-3.602E-07;1.34E-07;-4.942E-07;-99.990;-68.728;-99.990;0.54;163.73;
2019-10-03 19:13:40.20;0.00:00:01:413;0.02;-0.95;0.30;-3.582E-07;3.082E-09;-1.202E-07;3.85E-08;-44.27;8.88;-35.25;10.75;33.57;-3.582E-07;1.263E-07;-4.845E-07;-99.990;-68.987;-99.990;0.51;162.24;
2019-10-03 19:13:40.21;0.00:00:01:428;-0.07;-0.94;0.35;-3.69E-07;-7.981E-09;-1.1E-07;4.059E-08;-47.07;10.10;-31.85;11.00;29.89;-3.69E-07;1.175E-07;-4.865E-07;-99.990;-69.298;-99.990;0.47;159.75;
2019-10-03 19:13:40.23;0.00:00:01:444;-0.09;-0.92;0.39;-3.65E-07;-1.087E-08;-1.12E-07;4.793E-08;-47.77;11.54;-33.51;13.13;30.83;-3.65E-07;1.223E-07;-4.873E-07;-99.990;-69.126;-99.990;0.46;156.83;
2019-10-03 19:13:40.25;0.00:00:01:460;0.00;-0.92;0.38;-3.589E-07;-2.126E-10;-9.894E-08;4.114E-08;-45.06;11.29;-29.85;11.46;27.57;-3.589E-07;1.072E-07;-4.661E-07;-99.990;-69.700;-99.990;0.50;157.42;
2019-10-03 19:13:40.26;0.00:00:01:478;-0.15;-0.93;0.34;-3.696E-07;-1.718E-08;-1.06E-07;3.912E-08;-49.60;10.01;-30.92;10.58;29.06;-3.696E-07;1.143E-07;-4.839E-07;-99.990;-69.420;-99.990;0.42;159.74;
2019-10-03 19:13:40.28;0.00:00:01:494;-0.17;-0.91;0.38;-3.651E-07;-1.786E-08;-9.8E-08;4.106E-08;-50.16;11.20;-29.51;11.24;27.28;-3.651E-07;1.077E-07;-4.729E-07;-99.990;-69.676;-99.990;0.42;157.27;
2019-10-03 19:13:40.30;0.00:00:01:509;-0.22;-0.91;0.34;-3.716E-07;-2.696E-08;-1.115E-07;4.112E-08;-51.80;9.86;-32.79;11.07;30.87;-3.716E-07;1.218E-07;-4.934E-07;-99.990;-69.142;-99.990;0.39;159.75;
2019-10-03 19:13:40.31;0.00:00:01:525;-0.32;-0.88;0.36;-3.729E-07;-3.436E-08;-9.309E-08;3.822E-08;-55.13;10.53;-28.52;10.25;26.61;-3.729E-07;1.063E-07;-4.792E-07;-99.990;-69.733;-99.990;0.34;157.68;
2019-10-03 19:13:40.33;0.00:00:01:542;-0.30;-0.89;0.34;-3.716E-07;-3.174E-08;-9.474E-08;3.605E-08;-54.26;9.92;-28.58;9.70;26.88;-3.716E-07;1.062E-07;-4.779E-07;-99.990;-69.738;-99.990;0.35;159.17;
2019-10-03 19:13:40.34;0.00:00:01:557;-0.31;-0.87;0.39;-3.628E-07;-3.209E-08;-9.003E-08;4.108E-08;-54.81;11.63;-28.68;11.32;26.35;-3.628E-07;1.04E-07;-4.668E-07;-99.990;-69.828;-99.990;0.35;155.48;
2019-10-03 19:13:40.36;0.00:00:01:573;-0.47;-0.83;0.31;-3.813E-07;-5.154E-08;-9.171E-08;3.438E-08;-59.67;9.05;-29.03;9.02;27.59;-3.813E-07;1.107E-07;-4.92E-07;-99.990;-69.560;-99.990;0.27;159.45;
2019-10-03 19:13:40.38;0.00:00:01:590;-0.32;-0.88;0.35;-3.64E-07;-3.498E-08;-9.636E-08;3.845E-08;-54.98;10.28;-30.08;10.56;28.16;-3.64E-07;1.095E-07;-4.735E-07;-99.990;-69.606;-99.990;0.34;158.24;
