Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:27:14.04;0.00:00:00:034;0.09;-0.99;-0.14;0.8129;0.07111;-0.8036;-0.1139;-42.47;-4.02;100.23;14.02;99.25;0.8129;0.8147;-0.00187;-0.900;-0.890;-99.990;0.54;-171.93;
2019-10-03 19:27:14.05;0.00:00:00:045;0.09;-0.99;-0.14;0.8129;0.07114;-0.8036;-0.114;-42.47;-4.02;100.23;14.02;99.25;0.8129;0.8148;-0.0019;-0.900;-0.890;-99.990;0.54;-171.93;
2019-10-03 19:27:14.06;0.00:00:00:054;0.09;-0.99;-0.14;0.8152;0.07359;-0.8022;-0.1151;-42.38;-4.06;99.82;14.11;98.81;0.8152;0.8137;0.001503;-0.887;-0.895;-28.230;0.55;-171.84;
2019-10-03 19:27:14.07;0.00:00:00:063;0.09;-0.99;-0.14;0.8129;0.07121;-0.8036;-0.114;-42.47;-4.02;100.23;14.03;99.24;0.8129;0.8147;-0.001867;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.09;0.00:00:00:083;0.09;-0.99;-0.14;0.8152;0.07356;-0.8022;-0.1151;-42.38;-4.06;99.82;14.11;98.82;0.8152;0.8138;0.001463;-0.887;-0.895;-28.348;0.55;-171.84;
2019-10-03 19:27:14.10;0.00:00:00:092;0.09;-0.99;-0.14;0.8128;0.07111;-0.8036;-0.114;-42.47;-4.02;100.23;14.02;99.25;0.8128;0.8147;-0.001886;-0.900;-0.890;-99.990;0.54;-171.93;
2019-10-03 19:27:14.11;0.00:00:00:102;0.09;-0.99;-0.14;0.8153;0.07362;-0.8022;-0.1151;-42.38;-4.06;99.82;14.11;98.82;0.8153;0.8138;0.001475;-0.887;-0.895;-28.312;0.55;-171.84;
2019-10-03 19:27:14.12;0.00:00:00:110;0.09;-0.99;-0.14;0.8129;0.07123;-0.8036;-0.114;-42.47;-4.02;100.23;14.02;99.24;0.8129;0.8148;-0.001847;-0.900;-0.890;-99.990;0.54;-171.93;
2019-10-03 19:27:14.15;0.00:00:00:139;0.09;-0.99;-0.14;0.8153;0.07369;-0.8022;-0.1151;-42.38;-4.07;99.82;14.12;98.81;0.8153;0.8138;0.001497;-0.887;-0.895;-28.248;0.55;-171.83;
2019-10-03 19:27:14.16;0.00:00:00:148;0.09;-0.99;-0.14;0.8128;0.07117;-0.8035;-0.114;-42.47;-4.02;100.23;14.02;99.24;0.8128;0.8147;-0.001832;-0.900;-0.890;-99.990;0.54;-171.93;
2019-10-03 19:27:14.16;0.00:00:00:156;0.09;-0.99;-0.14;0.8153;0.07367;-0.8022;-0.1151;-42.38;-4.07;99.82;14.12;98.82;0.8153;0.8138;0.001455;-0.887;-0.895;-28.373;0.55;-171.83;
2019-10-03 19:27:14.17;0.00:00:00:165;0.09;-0.99;-0.14;0.8128;0.0712;-0.8036;-0.114;-42.47;-4.02;100.23;14.03;99.25;0.8128;0.8147;-0.0019;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.18;0.00:00:00:175;0.09;-0.99;-0.14;0.8152;0.07362;-0.8022;-0.1151;-42.38;-4.07;99.82;14.12;98.81;0.8152;0.8138;0.001486;-0.887;-0.895;-28.279;0.55;-171.83;
2019-10-03 19:27:14.20;0.00:00:00:193;0.09;-0.99;-0.14;0.8129;0.07127;-0.8035;-0.1141;-42.47;-4.02;100.21;14.03;99.23;0.8129;0.8147;-0.001745;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.21;0.00:00:00:201;0.09;-0.99;-0.14;0.8153;0.0737;-0.8023;-0.1151;-42.38;-4.07;99.83;14.12;98.83;0.8153;0.8139;0.001384;-0.887;-0.894;-28.588;0.55;-171.83;
2019-10-03 19:27:14.22;0.00:00:00:209;0.09;-0.99;-0.14;0.8128;0.07119;-0.8036;-0.114;-42.47;-4.02;100.24;14.03;99.25;0.8128;0.8147;-0.001923;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.23;0.00:00:00:218;0.09;-0.99;-0.14;0.8153;0.07382;-0.8023;-0.1151;-42.37;-4.07;99.82;14.12;98.82;0.8153;0.8138;0.00147;-0.887;-0.895;-28.326;0.55;-171.83;
2019-10-03 19:27:14.23;0.00:00:00:226;0.09;-0.99;-0.14;0.8129;0.07125;-0.8035;-0.114;-42.47;-4.02;100.23;14.03;99.24;0.8129;0.8147;-0.001858;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.24;0.00:00:00:235;0.09;-0.99;-0.14;0.8152;0.0737;-0.8022;-0.1151;-42.38;-4.07;99.83;14.12;98.82;0.8152;0.8138;0.001419;-0.887;-0.895;-28.481;0.55;-171.83;
2019-10-03 19:27:14.26;0.00:00:00:254;0.09;-0.99;-0.14;0.8129;0.0713;-0.8035;-0.1141;-42.46;-4.02;100.23;14.03;99.24;0.8129;0.8147;-0.001838;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.28;0.00:00:00:269;0.09;-0.99;-0.14;0.8129;0.07131;-0.8035;-0.1141;-42.46;-4.03;100.21;14.04;99.23;0.8129;0.8147;-0.001747;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.28;0.00:00:00:277;0.09;-0.99;-0.14;0.8152;0.07368;-0.8022;-0.1152;-42.38;-4.07;99.82;14.13;98.82;0.8152;0.8137;0.001468;-0.887;-0.895;-28.333;0.55;-171.83;
2019-10-03 19:27:14.29;0.00:00:00:286;0.09;-0.99;-0.14;0.8129;0.07131;-0.8035;-0.1141;-42.46;-4.03;100.23;14.04;99.24;0.8129;0.8147;-0.001852;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.31;0.00:00:00:304;0.09;-0.99;-0.14;0.8153;0.07377;-0.8023;-0.1152;-42.37;-4.07;99.83;14.13;98.82;0.8153;0.8138;0.001409;-0.887;-0.895;-28.510;0.55;-171.83;
2019-10-03 19:27:14.32;0.00:00:00:313;0.09;-0.99;-0.14;0.8129;0.07131;-0.8035;-0.1141;-42.46;-4.02;100.23;14.03;99.24;0.8129;0.8147;-0.00184;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.33;0.00:00:00:323;0.09;-0.99;-0.14;0.8152;0.07373;-0.8022;-0.1152;-42.37;-4.07;99.82;14.13;98.81;0.8152;0.8137;0.001469;-0.887;-0.895;-28.331;0.55;-171.83;
2019-10-03 19:27:14.34;0.00:00:00:332;0.09;-0.99;-0.14;0.8129;0.07133;-0.8035;-0.1141;-42.46;-4.03;100.23;14.04;99.24;0.8129;0.8147;-0.00185;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.35;0.00:00:00:340;0.09;-0.99;-0.14;0.8153;0.07383;-0.8023;-0.1152;-42.37;-4.07;99.83;14.13;98.82;0.8153;0.8139;0.0014;-0.887;-0.895;-28.539;0.55;-171.83;
2019-10-03 19:27:14.36;0.00:00:00:348;0.09;-0.99;-0.14;0.8128;0.0713;-0.8035;-0.1141;-42.46;-4.03;100.23;14.04;99.24;0.8128;0.8147;-0.001875;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.36;0.00:00:00:356;0.09;-0.99;-0.14;0.8152;0.07381;-0.8022;-0.1152;-42.37;-4.07;99.82;14.13;98.81;0.8152;0.8138;0.001482;-0.887;-0.895;-28.291;0.55;-171.83;
2019-10-03 19:27:14.38;0.00:00:00:373;0.09;-0.99;-0.14;0.8128;0.07134;-0.8035;-0.1141;-42.46;-4.03;100.24;14.04;99.25;0.8128;0.8147;-0.001926;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.39;0.00:00:00:384;0.09;-0.99;-0.14;0.8152;0.0738;-0.8021;-0.1153;-42.37;-4.07;99.81;14.14;98.81;0.8152;0.8137;0.00151;-0.887;-0.895;-28.210;0.55;-171.82;
2019-10-03 19:27:14.40;0.00:00:00:392;0.09;-0.99;-0.14;0.8128;0.0714;-0.8034;-0.1142;-42.46;-4.03;100.22;14.04;99.23;0.8128;0.8146;-0.001787;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.41;0.00:00:00:406;0.09;-0.99;-0.14;0.8128;0.07134;-0.8035;-0.1141;-42.46;-4.03;100.23;14.04;99.24;0.8128;0.8147;-0.001861;-0.900;-0.890;-99.990;0.54;-171.92;
2019-10-03 19:27:14.43;0.00:00:00:425;0.09;-0.99;-0.14;0.8152;0.07385;-0.8023;-0.1152;-42.37;-4.07;99.83;14.14;98.83;0.8152;0.8139;0.001371;-0.887;-0.894;-28.629;0.55;-171.83;
2019-10-03 19:27:14.44;0.00:00:00:435;0.09;-0.99;-0.14;0.8128;0.07137;-0.8035;-0.1141;-42.46;-4.03;100.24;14.04;99.25;0.8128;0.8147;-0.001911;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.45;0.00:00:00:444;0.09;-0.99;-0.14;0.8153;0.07395;-0.8021;-0.1153;-42.37;-4.07;99.81;14.14;98.80;0.8153;0.8137;0.001583;-0.887;-0.895;-28.006;0.55;-171.82;
2019-10-03 19:27:14.46;0.00:00:00:453;0.09;-0.99;-0.14;0.8127;0.07131;-0.8034;-0.1141;-42.46;-4.03;100.23;14.04;99.24;0.8127;0.8146;-0.001869;-0.901;-0.891;-99.990;0.54;-171.92;
2019-10-03 19:27:14.47;0.00:00:00:460;0.09;-0.99;-0.14;0.8152;0.07386;-0.8022;-0.1153;-42.37;-4.07;99.82;14.14;98.82;0.8152;0.8138;0.001429;-0.887;-0.895;-28.450;0.55;-171.82;
2019-10-03 19:27:14.48;0.00:00:00:468;0.09;-0.99;-0.14;0.8128;0.07137;-0.8034;-0.1142;-42.46;-4.03;100.23;14.05;99.24;0.8128;0.8146;-0.001841;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.48;0.00:00:00:476;0.09;-0.99;-0.14;0.8152;0.07378;-0.8022;-0.1153;-42.37;-4.07;99.83;14.14;98.82;0.8152;0.8138;0.001425;-0.887;-0.895;-28.461;0.55;-171.82;
2019-10-03 19:27:14.50;0.00:00:00:495;0.09;-0.99;-0.14;0.8129;0.07146;-0.8034;-0.1142;-42.46;-4.03;100.22;14.04;99.23;0.8129;0.8146;-0.001754;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.51;0.00:00:00:505;0.09;-0.99;-0.14;0.8152;0.0739;-0.8022;-0.1153;-42.37;-4.07;99.82;14.14;98.81;0.8152;0.8138;0.001456;-0.887;-0.895;-28.370;0.55;-171.82;
2019-10-03 19:27:14.52;0.00:00:00:514;0.09;-0.99;-0.14;0.8129;0.07147;-0.8035;-0.1142;-42.46;-4.03;100.23;14.04;99.24;0.8129;0.8147;-0.001832;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.53;0.00:00:00:523;0.09;-0.99;-0.14;0.8152;0.07389;-0.8021;-0.1153;-42.37;-4.07;99.81;14.14;98.81;0.8152;0.8137;0.001523;-0.887;-0.895;-28.172;0.55;-171.82;
2019-10-03 19:27:14.55;0.00:00:00:541;0.09;-0.99;-0.14;0.8153;0.07394;-0.8021;-0.1153;-42.37;-4.07;99.81;14.14;98.80;0.8153;0.8137;0.00156;-0.887;-0.895;-28.068;0.55;-171.82;
2019-10-03 19:27:14.56;0.00:00:00:548;0.09;-0.99;-0.14;0.8128;0.07143;-0.8035;-0.1142;-42.46;-4.03;100.24;14.05;99.25;0.8128;0.8147;-0.001912;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.57;0.00:00:00:558;0.09;-0.99;-0.14;0.8152;0.0739;-0.8021;-0.1153;-42.37;-4.07;99.82;14.14;98.82;0.8152;0.8138;0.001446;-0.887;-0.895;-28.399;0.55;-171.82;
2019-10-03 19:27:14.58;0.00:00:00:567;0.09;-0.99;-0.14;0.8128;0.0715;-0.8034;-0.1142;-42.46;-4.03;100.22;14.05;99.23;0.8128;0.8146;-0.001787;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.58;0.00:00:00:577;0.09;-0.99;-0.14;0.8152;0.07395;-0.8021;-0.1153;-42.37;-4.07;99.81;14.15;98.80;0.8152;0.8137;0.001559;-0.887;-0.895;-28.071;0.55;-171.82;
2019-10-03 19:27:14.59;0.00:00:00:587;0.09;-0.99;-0.14;0.8129;0.0715;-0.8036;-0.1143;-42.46;-4.03;100.23;14.06;99.24;0.8129;0.8148;-0.001909;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.61;0.00:00:00:605;0.09;-0.99;-0.14;0.8152;0.07391;-0.8022;-0.1154;-42.37;-4.07;99.82;14.15;98.82;0.8152;0.8138;0.001443;-0.887;-0.895;-28.407;0.55;-171.82;
2019-10-03 19:27:14.62;0.00:00:00:615;0.09;-0.99;-0.14;0.8129;0.07154;-0.8035;-0.1142;-42.46;-4.03;100.23;14.05;99.24;0.8129;0.8147;-0.001854;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.63;0.00:00:00:624;0.09;-0.99;-0.14;0.8153;0.074;-0.8021;-0.1154;-42.36;-4.07;99.82;14.15;98.81;0.8153;0.8138;0.001501;-0.887;-0.895;-28.236;0.55;-171.82;
2019-10-03 19:27:14.64;0.00:00:00:633;0.09;-0.99;-0.14;0.8128;0.07149;-0.8035;-0.1142;-42.46;-4.03;100.23;14.05;99.24;0.8128;0.8147;-0.001854;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.65;0.00:00:00:642;0.09;-0.99;-0.14;0.8152;0.07394;-0.8022;-0.1153;-42.37;-4.07;99.83;14.15;98.82;0.8152;0.8138;0.001408;-0.887;-0.895;-28.514;0.55;-171.82;
2019-10-03 19:27:14.66;0.00:00:00:651;0.09;-0.99;-0.14;0.8128;0.07148;-0.8034;-0.1143;-42.46;-4.03;100.22;14.06;99.23;0.8128;0.8146;-0.001804;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.67;0.00:00:00:659;0.09;-0.99;-0.14;0.8152;0.07401;-0.8021;-0.1154;-42.36;-4.08;99.82;14.16;98.81;0.8152;0.8137;0.001507;-0.887;-0.895;-28.218;0.55;-171.81;
2019-10-03 19:27:14.68;0.00:00:00:674;0.09;-0.99;-0.14;0.8128;0.07153;-0.8034;-0.1143;-42.46;-4.03;100.23;14.06;99.24;0.8128;0.8147;-0.00184;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.69;0.00:00:00:682;0.09;-0.99;-0.14;0.8153;0.07407;-0.8021;-0.1154;-42.36;-4.08;99.81;14.15;98.80;0.8153;0.8137;0.001547;-0.887;-0.895;-28.105;0.55;-171.81;
2019-10-03 19:27:14.70;0.00:00:00:690;0.09;-0.99;-0.14;0.8128;0.07143;-0.8034;-0.1142;-42.46;-4.03;100.23;14.05;99.24;0.8128;0.8146;-0.001857;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.71;0.00:00:00:698;0.09;-0.99;-0.14;0.8152;0.07395;-0.8021;-0.1154;-42.37;-4.08;99.83;14.15;98.82;0.8152;0.8138;0.001422;-0.887;-0.895;-28.470;0.55;-171.81;
2019-10-03 19:27:14.72;0.00:00:00:708;0.09;-0.99;-0.14;0.8129;0.07156;-0.8034;-0.1143;-42.46;-4.03;100.22;14.06;99.23;0.8129;0.8147;-0.001828;-0.900;-0.890;-99.990;0.54;-171.90;
2019-10-03 19:27:14.73;0.00:00:00:718;0.09;-0.99;-0.14;0.8152;0.07402;-0.8022;-0.1154;-42.36;-4.08;99.82;14.15;98.81;0.8152;0.8138;0.001442;-0.887;-0.895;-28.410;0.55;-171.81;
2019-10-03 19:27:14.74;0.00:00:00:727;0.09;-0.99;-0.14;0.8128;0.07152;-0.8034;-0.1143;-42.46;-4.03;100.23;14.06;99.24;0.8128;0.8146;-0.001856;-0.900;-0.890;-99.990;0.54;-171.91;
2019-10-03 19:27:14.74;0.00:00:00:736;0.09;-0.99;-0.14;0.8152;0.07398;-0.8021;-0.1154;-42.37;-4.08;99.82;14.15;98.81;0.8152;0.8137;0.001477;-0.887;-0.895;-28.307;0.55;-171.82;
2019-10-03 19:27:14.76;0.00:00:00:755;0.09;-0.99;-0.14;0.8128;0.07156;-0.8034;-0.1143;-42.46;-4.03;100.23;14.06;99.23;0.8128;0.8147;-0.001837;-0.900;-0.890;-99.990;0.54;-171.90;
2019-10-03 19:27:14.77;0.00:00:00:764;0.09;-0.99;-0.14;0.8153;0.07405;-0.8021;-0.1154;-42.36;-4.08;99.82;14.16;98.81;0.8153;0.8138;0.001489;-0.887;-0.895;-28.272;0.55;-171.81;
2019-10-03 19:27:14.78;0.00:00:00:773;0.09;-0.99;-0.14;0.8128;0.07158;-0.8034;-0.1143;-42.45;-4.03;100.22;14.06;99.23;0.8128;0.8146;-0.001795;-0.900;-0.890;-99.990;0.54;-171.90;
