Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-03 19:29:26.09;0.00:00:00:079;0.13;-0.73;-0.67;-4.431E-07;4.923E-09;-2.668E-08;-2.472E-08;-39.77;-21.17;-8.28;5.58;6.12;-4.431E-07;3.67E-08;-4.798E-07;-99.990;-74.353;-99.990;0.57;-137.19;
2019-10-03 19:29:26.10;0.00:00:00:095;0.17;-0.45;-0.87;-4.451E-07;4.55E-09;-1.214E-08;-2.339E-08;-34.73;-30.50;-6.01;5.25;2.91;-4.451E-07;2.674E-08;-4.718E-07;-99.990;-75.728;-99.990;0.59;-117.44;
2019-10-03 19:29:26.12;0.00:00:00:110;-0.11;-0.65;-0.75;-4.48E-07;-3.238E-09;-1.869E-08;-2.182E-08;-49.92;-24.50;-6.45;4.87;4.23;-4.48E-07;2.891E-08;-4.769E-07;-99.990;-75.390;-99.990;0.44;-130.58;
2019-10-03 19:29:26.13;0.00:00:00:126;-0.23;-0.56;-0.80;-4.557E-07;-7.932E-09;-1.953E-08;-2.793E-08;-56.05;-26.48;-7.68;6.13;4.63;-4.557E-07;3.5E-08;-4.907E-07;-99.990;-74.560;-99.990;0.39;-124.96;
2019-10-03 19:29:26.15;0.00:00:00:145;-0.39;-0.63;-0.67;-4.566E-07;-1.241E-08;-1.975E-08;-2.129E-08;-61.07;-21.19;-6.92;4.66;5.11;-4.566E-07;3.158E-08;-4.881E-07;-99.990;-75.006;-99.990;0.30;-132.85;
2019-10-03 19:29:26.17;0.00:00:00:161;-0.80;-0.35;-0.49;-4.69E-07;-3.971E-08;-1.724E-08;-2.442E-08;-78.27;-14.71;-10.60;5.21;9.23;-4.69E-07;4.97E-08;-5.187E-07;-99.990;-73.037;-99.990;0.10;-125.22;
2019-10-03 19:29:26.18;0.00:00:00:176;-0.19;-0.66;-0.72;-4.466E-07;-6.881E-09;-2.464E-08;-2.685E-08;-52.80;-23.19;-8.30;6.01;5.73;-4.466E-07;3.708E-08;-4.837E-07;-99.990;-74.308;-99.990;0.41;-132.55;
2019-10-03 19:29:26.20;0.00:00:00:194;-0.12;-0.77;-0.63;-4.381E-07;-3.615E-09;-2.305E-08;-1.889E-08;-49.46;-19.50;-6.85;4.31;5.33;-4.381E-07;3.002E-08;-4.681E-07;-99.990;-75.226;-99.990;0.44;-140.66;
2019-10-03 19:29:26.23;0.00:00:00:225;-0.52;-0.64;-0.57;-4.53E-07;-1.316E-08;-1.62E-08;-1.456E-08;-64.54;-17.44;-5.62;3.21;4.61;-4.53E-07;2.545E-08;-4.784E-07;-99.990;-75.944;-99.990;0.24;-138.06;
2019-10-03 19:29:26.25;0.00:00:00:240;-0.06;-0.74;-0.67;-4.505E-07;-2.706E-09;-3.186E-08;-2.9E-08;-47.43;-21.10;-9.58;6.44;7.10;-4.505E-07;4.317E-08;-4.937E-07;-99.990;-73.649;-99.990;0.47;-137.69;
