Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-04 21:25:25.06;0.00:00:00:048;-0.52;0.82;-0.25;0.002136;-0.001118;0.001763;-0.000548;61.19;-7.35;101.07;25.66;97.76;0.002136;0.002158;-2.279E-05;-26.705;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.09;0.00:00:00:079;-0.51;0.82;-0.26;0.002161;-0.001084;0.001762;-0.0005614;60.80;-7.59;99.19;25.98;95.73;0.002161;0.002144;1.742E-05;-26.653;-26.688;-47.590;0.25;-0.31;
2019-10-04 21:25:25.11;0.00:00:00:095;-0.52;0.82;-0.25;0.002135;-0.001117;0.001762;-0.0005477;61.19;-7.35;101.04;25.65;97.73;0.002135;0.002157;-2.212E-05;-26.706;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.12;0.00:00:00:110;-0.52;0.82;-0.25;0.002136;-0.001117;0.001764;-0.0005482;61.17;-7.36;101.06;25.67;97.74;0.002136;0.002158;-2.26E-05;-26.704;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.14;0.00:00:00:126;-0.52;0.82;-0.25;0.002136;-0.001116;0.001763;-0.0005483;61.17;-7.36;101.00;25.67;97.68;0.002136;0.002158;-2.134E-05;-26.703;-26.660;-99.990;0.24;-0.30;
2019-10-04 21:25:25.15;0.00:00:00:142;-0.51;0.82;-0.26;0.002162;-0.001084;0.001763;-0.0005614;60.79;-7.59;99.19;25.97;95.73;0.002162;0.002144;1.759E-05;-26.652;-26.688;-47.548;0.25;-0.31;
2019-10-04 21:25:25.17;0.00:00:00:157;-0.51;0.82;-0.26;0.002161;-0.001084;0.001762;-0.0005614;60.80;-7.59;99.20;25.98;95.74;0.002161;0.002144;1.724E-05;-26.653;-26.688;-47.633;0.25;-0.31;
2019-10-04 21:25:25.19;0.00:00:00:174;-0.52;0.82;-0.25;0.002135;-0.001117;0.001763;-0.0005484;61.18;-7.36;101.06;25.68;97.75;0.002135;0.002158;-2.27E-05;-26.705;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.21;0.00:00:00:193;-0.52;0.82;-0.25;0.002136;-0.001117;0.001762;-0.0005483;61.18;-7.36;101.01;25.67;97.69;0.002136;0.002157;-2.149E-05;-26.705;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.24;0.00:00:00:224;-0.52;0.82;-0.25;0.002136;-0.001116;0.001763;-0.0005483;61.17;-7.36;101.01;25.67;97.70;0.002136;0.002157;-2.165E-05;-26.705;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.25;0.00:00:00:240;-0.51;0.82;-0.26;0.002161;-0.001084;0.001762;-0.0005618;60.80;-7.60;99.20;26.00;95.73;0.002161;0.002144;1.727E-05;-26.653;-26.688;-47.627;0.25;-0.31;
2019-10-04 21:25:25.27;0.00:00:00:255;-0.52;0.82;-0.25;0.002136;-0.001117;0.001763;-0.0005482;61.18;-7.36;101.02;25.67;97.71;0.002136;0.002157;-2.187E-05;-26.705;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.28;0.00:00:00:271;-0.52;0.82;-0.25;0.002136;-0.001117;0.001763;-0.0005485;61.17;-7.36;101.05;25.68;97.73;0.002136;0.002158;-2.233E-05;-26.705;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.30;0.00:00:00:289;-0.52;0.82;-0.25;0.002136;-0.001116;0.001763;-0.0005484;61.17;-7.36;101.02;25.68;97.70;0.002136;0.002157;-2.172E-05;-26.705;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.32;0.00:00:00:307;-0.51;0.82;-0.26;0.002161;-0.001083;0.001762;-0.0005617;60.79;-7.60;99.19;25.99;95.72;0.002161;0.002143;1.756E-05;-26.653;-26.689;-47.555;0.25;-0.31;
2019-10-04 21:25:25.34;0.00:00:00:324;-0.51;0.82;-0.26;0.002161;-0.001083;0.001762;-0.0005621;60.79;-7.60;99.19;26.01;95.72;0.002161;0.002144;1.754E-05;-26.653;-26.689;-47.561;0.25;-0.31;
2019-10-04 21:25:25.35;0.00:00:00:340;-0.51;0.82;-0.26;0.002161;-0.001084;0.001762;-0.0005621;60.80;-7.60;99.22;26.02;95.74;0.002161;0.002144;1.693E-05;-26.654;-26.688;-47.714;0.25;-0.31;
2019-10-04 21:25:25.38;0.00:00:00:371;-0.52;0.82;-0.25;0.002136;-0.001116;0.001763;-0.0005487;61.17;-7.37;100.99;25.69;97.67;0.002136;0.002157;-2.125E-05;-26.705;-26.662;-99.990;0.24;-0.30;
2019-10-04 21:25:25.40;0.00:00:00:389;-0.52;0.82;-0.25;0.002136;-0.001116;0.001764;-0.000549;61.16;-7.37;101.04;25.70;97.72;0.002136;0.002158;-2.221E-05;-26.704;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.42;0.00:00:00:407;-0.51;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005621;60.78;-7.60;99.18;26.01;95.71;0.002161;0.002144;1.764E-05;-26.653;-26.689;-47.535;0.25;-0.31;
2019-10-04 21:25:25.44;0.00:00:00:426;-0.51;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005625;60.78;-7.61;99.21;26.03;95.73;0.002161;0.002144;1.717E-05;-26.653;-26.688;-47.652;0.25;-0.31;
2019-10-04 21:25:25.45;0.00:00:00:441;-0.51;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005623;60.78;-7.60;99.20;26.02;95.73;0.002161;0.002144;1.719E-05;-26.653;-26.688;-47.647;0.25;-0.31;
2019-10-04 21:25:25.47;0.00:00:00:457;-0.51;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005622;60.78;-7.60;99.19;26.01;95.71;0.002161;0.002144;1.76E-05;-26.653;-26.689;-47.545;0.25;-0.31;
2019-10-04 21:25:25.49;0.00:00:00:476;-0.52;0.82;-0.25;0.002136;-0.001115;0.001763;-0.0005487;61.16;-7.37;101.00;25.69;97.68;0.002136;0.002157;-2.136E-05;-26.704;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.50;0.00:00:00:491;-0.51;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005624;60.78;-7.60;99.22;26.03;95.74;0.002161;0.002144;1.689E-05;-26.654;-26.688;-47.723;0.25;-0.31;
2019-10-04 21:25:25.52;0.00:00:00:507;-0.52;0.82;-0.25;0.002135;-0.001116;0.001764;-0.0005489;61.16;-7.37;101.07;25.70;97.75;0.002135;0.002158;-2.29E-05;-26.705;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.54;0.00:00:00:526;-0.51;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005621;60.78;-7.60;99.20;26.01;95.73;0.002161;0.002144;1.726E-05;-26.654;-26.689;-47.630;0.25;-0.31;
2019-10-04 21:25:25.56;0.00:00:00:544;-0.51;0.82;-0.26;0.002161;-0.001083;0.001762;-0.0005624;60.79;-7.61;99.21;26.03;95.73;0.002161;0.002143;1.708E-05;-26.654;-26.689;-47.674;0.25;-0.31;
2019-10-04 21:25:25.57;0.00:00:00:560;-0.50;0.82;-0.26;0.002162;-0.001082;0.001763;-0.0005626;60.77;-7.61;99.18;26.03;95.71;0.002162;0.002144;1.765E-05;-26.652;-26.688;-47.533;0.25;-0.31;
2019-10-04 21:25:25.59;0.00:00:00:576;-0.51;0.82;-0.26;0.002161;-0.001083;0.001762;-0.0005627;60.79;-7.61;99.22;26.05;95.74;0.002161;0.002144;1.689E-05;-26.654;-26.688;-47.724;0.25;-0.31;
2019-10-04 21:25:25.61;0.00:00:00:593;-0.52;0.82;-0.25;0.002135;-0.001116;0.001764;-0.0005493;61.16;-7.37;101.07;25.72;97.74;0.002135;0.002158;-2.278E-05;-26.705;-26.659;-99.990;0.24;-0.30;
2019-10-04 21:25:25.62;0.00:00:00:609;-0.52;0.82;-0.25;0.002136;-0.001115;0.001763;-0.0005492;61.15;-7.37;100.99;25.71;97.66;0.002136;0.002157;-2.114E-05;-26.704;-26.661;-99.990;0.24;-0.30;
2019-10-04 21:25:25.65;0.00:00:00:640;-0.51;0.82;-0.26;0.002161;-0.001082;0.001762;-0.0005627;60.78;-7.61;99.18;26.04;95.70;0.002161;0.002143;1.766E-05;-26.654;-26.689;-47.531;0.25;-0.31;
2019-10-04 21:25:25.67;0.00:00:00:656;-0.50;0.82;-0.26;0.002161;-0.001083;0.001763;-0.0005627;60.78;-7.61;99.22;26.04;95.75;0.002161;0.002144;1.678E-05;-26.653;-26.687;-47.753;0.25;-0.31;
2019-10-04 21:25:25.68;0.00:00:00:671;-0.52;0.82;-0.25;0.002136;-0.001116;0.001764;-0.0005496;61.16;-7.38;101.05;25.73;97.72;0.002136;0.002158;-2.244E-05;-26.705;-26.659;-99.990;0.24;-0.30;
