Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-04 21:27:52.35;0.00:00:00:025;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002402;-28.23;2.01;100.05;7.01;99.80;0.003426;0.003427;-1.744E-06;-24.653;-24.651;-99.990;0.78;175.18;
2019-10-04 21:27:52.36;0.00:00:00:035;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002359;-28.17;1.98;99.81;6.88;99.58;0.00343;0.003424;6.415E-06;-24.647;-24.655;-51.928;0.78;175.26;
2019-10-04 21:27:52.36;0.00:00:00:044;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002403;-28.23;2.01;100.05;7.02;99.80;0.003426;0.003427;-1.74E-06;-24.653;-24.650;-99.990;0.78;175.18;
2019-10-04 21:27:52.37;0.00:00:00:054;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002361;-28.17;1.98;99.82;6.89;99.58;0.00343;0.003424;6.112E-06;-24.647;-24.655;-52.138;0.78;175.25;
2019-10-04 21:27:52.38;0.00:00:00:062;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002404;-28.23;2.01;100.05;7.02;99.80;0.003426;0.003427;-1.692E-06;-24.652;-24.650;-99.990;0.78;175.18;
2019-10-04 21:27:52.39;0.00:00:00:072;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002362;-28.17;1.98;99.82;6.89;99.58;0.00343;0.003424;6.231E-06;-24.647;-24.655;-52.055;0.78;175.25;
2019-10-04 21:27:52.41;0.00:00:00:090;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002361;-28.17;1.98;99.83;6.88;99.59;0.00343;0.003424;5.799E-06;-24.647;-24.655;-52.367;0.78;175.25;
2019-10-04 21:27:52.42;0.00:00:00:100;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002407;-28.23;2.01;100.05;7.03;99.81;0.003426;0.003428;-1.853E-06;-24.653;-24.650;-99.990;0.78;175.17;
2019-10-04 21:27:52.43;0.00:00:00:108;0.55;-0.83;0.07;0.00343;0.001894;-0.002843;0.0002364;-28.17;1.98;99.83;6.89;99.59;0.00343;0.003424;5.893E-06;-24.647;-24.654;-52.297;0.78;175.25;
2019-10-04 21:27:52.44;0.00:00:00:116;0.55;-0.83;0.07;0.003426;0.00189;-0.00285;0.0002409;-28.22;2.01;100.04;7.03;99.80;0.003426;0.003428;-1.531E-06;-24.652;-24.650;-99.990;0.78;175.17;
2019-10-04 21:27:52.45;0.00:00:00:135;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002364;-28.17;1.98;99.82;6.89;99.58;0.00343;0.003424;6.197E-06;-24.647;-24.655;-52.078;0.78;175.25;
2019-10-04 21:27:52.46;0.00:00:00:144;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002409;-28.23;2.01;100.05;7.03;99.80;0.003426;0.003427;-1.733E-06;-24.653;-24.650;-99.990;0.78;175.17;
2019-10-04 21:27:52.47;0.00:00:00:153;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002365;-28.17;1.98;99.82;6.90;99.58;0.00343;0.003424;6.113E-06;-24.647;-24.655;-52.137;0.78;175.24;
2019-10-04 21:27:52.48;0.00:00:00:162;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002408;-28.23;2.01;100.05;7.03;99.81;0.003426;0.003428;-1.823E-06;-24.652;-24.650;-99.990;0.78;175.17;
2019-10-04 21:27:52.49;0.00:00:00:170;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002365;-28.17;1.98;99.82;6.90;99.58;0.00343;0.003424;6.251E-06;-24.647;-24.655;-52.041;0.78;175.24;
2019-10-04 21:27:52.50;0.00:00:00:178;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002409;-28.23;2.02;100.05;7.03;99.81;0.003426;0.003428;-1.877E-06;-24.652;-24.650;-99.990;0.78;175.17;
2019-10-04 21:27:52.51;0.00:00:00:187;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002366;-28.17;1.98;99.82;6.90;99.59;0.00343;0.003424;6.006E-06;-24.647;-24.655;-52.214;0.78;175.24;
2019-10-04 21:27:52.52;0.00:00:00:197;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002411;-28.23;2.02;100.05;7.04;99.80;0.003426;0.003427;-1.785E-06;-24.653;-24.650;-99.990;0.78;175.16;
2019-10-04 21:27:52.53;0.00:00:00:215;0.55;-0.83;0.07;0.00343;0.001893;-0.002844;0.0002367;-28.17;1.98;99.84;6.90;99.60;0.00343;0.003424;5.539E-06;-24.647;-24.654;-52.566;0.78;175.24;
2019-10-04 21:27:52.56;0.00:00:00:236;0.55;-0.83;0.07;0.00343;0.001894;-0.002843;0.0002367;-28.17;1.98;99.83;6.90;99.59;0.00343;0.003424;5.969E-06;-24.647;-24.654;-52.241;0.78;175.24;
2019-10-04 21:27:52.57;0.00:00:00:246;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002411;-28.23;2.02;100.06;7.04;99.82;0.003426;0.003428;-2.155E-06;-24.652;-24.650;-99.990;0.78;175.16;
2019-10-04 21:27:52.57;0.00:00:00:255;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002368;-28.17;1.98;99.81;6.90;99.58;0.00343;0.003424;6.36E-06;-24.647;-24.655;-51.965;0.78;175.24;
2019-10-04 21:27:52.58;0.00:00:00:264;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002413;-28.23;2.02;100.06;7.04;99.81;0.003426;0.003428;-1.977E-06;-24.652;-24.650;-99.990;0.78;175.16;
2019-10-04 21:27:52.59;0.00:00:00:273;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002369;-28.17;1.98;99.81;6.91;99.58;0.00343;0.003424;6.362E-06;-24.647;-24.655;-51.964;0.78;175.24;
2019-10-04 21:27:52.60;0.00:00:00:282;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002413;-28.23;2.02;100.05;7.04;99.81;0.003426;0.003428;-1.867E-06;-24.652;-24.650;-99.990;0.78;175.16;
2019-10-04 21:27:52.61;0.00:00:00:291;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002371;-28.17;1.99;99.83;6.91;99.59;0.00343;0.003424;5.878E-06;-24.647;-24.655;-52.308;0.78;175.23;
2019-10-04 21:27:52.62;0.00:00:00:299;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002415;-28.23;2.02;100.05;7.05;99.80;0.003426;0.003427;-1.641E-06;-24.653;-24.650;-99.990;0.78;175.16;
2019-10-04 21:27:52.63;0.00:00:00:308;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002372;-28.17;1.99;99.83;6.92;99.59;0.00343;0.003424;5.846E-06;-24.647;-24.655;-52.331;0.78;175.23;
2019-10-04 21:27:52.64;0.00:00:00:317;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002416;-28.23;2.02;100.05;7.05;99.80;0.003426;0.003428;-1.744E-06;-24.652;-24.650;-99.990;0.78;175.15;
2019-10-04 21:27:52.68;0.00:00:00:364;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002373;-28.17;1.99;99.83;6.92;99.59;0.00343;0.003424;5.852E-06;-24.647;-24.655;-52.327;0.78;175.23;
2019-10-04 21:27:52.70;0.00:00:00:380;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002418;-28.23;2.02;100.06;7.06;99.81;0.003426;0.003428;-1.922E-06;-24.653;-24.650;-99.990;0.78;175.15;
2019-10-04 21:27:52.72;0.00:00:00:398;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002419;-28.23;2.02;100.05;7.06;99.80;0.003426;0.003428;-1.833E-06;-24.652;-24.650;-99.990;0.78;175.15;
2019-10-04 21:27:52.73;0.00:00:00:414;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002376;-28.17;1.99;99.83;6.93;99.59;0.00343;0.003424;5.794E-06;-24.647;-24.655;-52.370;0.78;175.22;
2019-10-04 21:27:52.75;0.00:00:00:430;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002377;-28.17;1.99;99.83;6.93;99.59;0.00343;0.003424;5.96E-06;-24.647;-24.655;-52.247;0.78;175.22;
2019-10-04 21:27:52.77;0.00:00:00:446;0.55;-0.83;0.07;0.00343;0.001893;-0.002843;0.0002379;-28.17;1.99;99.83;6.94;99.59;0.00343;0.003424;5.708E-06;-24.647;-24.655;-52.435;0.78;175.22;
2019-10-04 21:27:52.78;0.00:00:00:464;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002421;-28.23;2.02;100.06;7.07;99.81;0.003426;0.003428;-2.056E-06;-24.652;-24.650;-99.990;0.78;175.14;
2019-10-04 21:27:52.80;0.00:00:00:482;0.55;-0.83;0.07;0.003426;0.001889;-0.00285;0.0002423;-28.23;2.03;100.06;7.07;99.81;0.003426;0.003428;-2.056E-06;-24.652;-24.650;-99.990;0.78;175.14;
