Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 21:27:28.53;0.00:00:00:049;-0.34;0.40;-0.85;-4.718E-07;-4.783E-09;5.558E-09;-1.178E-08;65.36;-29.05;-2.94;2.50;1.55;-4.718E-07;1.388E-08;-4.857E-07;-99.990;-78.577;-99.990;0.33;-1.13;
2019-10-11 21:27:28.55;0.00:00:00:064;-0.61;0.76;0.20;-4.71E-07;-9.724E-09;1.216E-08;3.216E-09;64.32;5.83;-3.38;0.68;3.31;-4.71E-07;1.59E-08;-4.869E-07;-99.990;-77.986;-99.990;0.19;0.26;
2019-10-11 21:27:28.56;0.00:00:00:080;-0.10;0.97;-0.21;-4.624E-07;-2.204E-09;2.231E-08;-4.706E-09;47.82;-5.93;-4.95;1.02;4.85;-4.624E-07;2.291E-08;-4.853E-07;-99.990;-76.400;-99.990;0.45;-0.21;
2019-10-11 21:27:28.58;0.00:00:00:096;-0.29;0.90;-0.33;-4.671E-07;-7.92E-09;2.474E-08;-9.07E-09;53.88;-9.62;-5.89;1.94;5.56;-4.671E-07;2.752E-08;-4.946E-07;-99.990;-75.604;-99.990;0.36;-0.35;
2019-10-11 21:27:28.60;0.00:00:00:111;0.45;0.79;-0.42;-4.581E-07;6.294E-09;1.112E-08;-5.985E-09;30.24;-12.55;-3.08;1.31;2.79;-4.581E-07;1.411E-08;-4.722E-07;-99.990;-78.506;-99.990;0.72;-0.49;
2019-10-11 21:27:28.61;0.00:00:00:127;-0.25;0.83;-0.50;-4.707E-07;-4.719E-09;1.586E-08;-9.466E-09;53.29;-14.89;-4.05;2.01;3.52;-4.707E-07;1.906E-08;-4.897E-07;-99.990;-77.198;-99.990;0.38;-0.54;
2019-10-11 21:27:28.63;0.00:00:00:142;0.24;0.86;-0.45;-4.647E-07;3.408E-09;1.228E-08;-6.458E-09;37.25;-13.43;-3.08;1.39;2.74;-4.647E-07;1.429E-08;-4.79E-07;-99.990;-78.449;-99.990;0.62;-0.48;
2019-10-11 21:27:28.64;0.00:00:00:158;-0.79;0.44;-0.43;-4.795E-07;-2.337E-08;1.31E-08;-1.282E-08;75.36;-12.79;-6.19;2.67;5.59;-4.795E-07;2.97E-08;-5.092E-07;-99.990;-75.273;-99.990;0.11;-0.77;
2019-10-11 21:27:28.66;0.00:00:00:174;-0.46;0.83;-0.31;-4.732E-07;-1.287E-08;2.318E-08;-8.491E-09;59.52;-8.88;-5.88;1.79;5.60;-4.732E-07;2.784E-08;-5.01E-07;-99.990;-75.553;-99.990;0.27;-0.35;
2019-10-11 21:27:28.67;0.00:00:00:189;-0.92;0.22;-0.32;-4.937E-07;-4.055E-08;9.859E-09;-1.406E-08;83.17;-9.31;-8.92;2.85;8.45;-4.937E-07;4.403E-08;-5.378E-07;-99.990;-73.562;-99.990;0.04;-0.96;
2019-10-11 21:27:28.71;0.00:00:00:221;-0.21;0.94;-0.26;-4.65E-07;-9.318E-09;4.194E-08;-1.17E-08;51.26;-7.61;-9.58;2.51;9.24;-4.65E-07;4.453E-08;-5.096E-07;-99.990;-73.513;-99.990;0.40;-0.27;
2019-10-11 21:27:28.72;0.00:00:00:236;-0.90;0.40;-0.19;-4.73E-07;-1.613E-08;7.089E-09;-3.322E-09;78.14;-5.34;-3.79;0.70;3.72;-4.73E-07;1.793E-08;-4.91E-07;-99.990;-77.465;-99.990;0.05;-0.44;
2019-10-11 21:27:28.74;0.00:00:00:252;-0.14;0.95;-0.30;-4.675E-07;-2.496E-09;1.747E-08;-5.463E-09;49.07;-8.60;-3.95;1.17;3.77;-4.675E-07;1.847E-08;-4.86E-07;-99.990;-77.335;-99.990;0.43;-0.30;
2019-10-11 21:27:28.75;0.00:00:00:267;0.21;0.94;-0.27;-4.715E-07;6.023E-09;2.701E-08;-7.608E-09;38.72;-7.69;-6.09;1.61;5.87;-4.715E-07;2.87E-08;-5.002E-07;-99.990;-75.421;-99.990;0.60;-0.27;
2019-10-11 21:27:28.77;0.00:00:00:283;-0.26;0.89;-0.38;-4.722E-07;-5.929E-09;2.031E-08;-8.665E-09;53.14;-11.13;-4.84;1.84;4.48;-4.722E-07;2.287E-08;-4.95E-07;-99.990;-76.408;-99.990;0.37;-0.40;
2019-10-11 21:27:28.78;0.00:00:00:299;-0.56;0.82;-0.13;-4.713E-07;-1.553E-08;2.286E-08;-3.5E-09;62.10;-3.61;-5.91;0.74;5.86;-4.713E-07;2.786E-08;-4.992E-07;-99.990;-75.550;-99.990;0.22;-0.15;
2019-10-11 21:27:28.80;0.00:00:00:316;-0.86;0.44;-0.28;-4.728E-07;-1.245E-08;6.365E-09;-4.014E-09;76.46;-8.01;-3.08;0.85;2.96;-4.728E-07;1.455E-08;-4.873E-07;-99.990;-78.372;-99.990;0.07;-0.56;
2019-10-11 21:27:28.82;0.00:00:00:332;-0.89;0.40;-0.22;-4.818E-07;-1.563E-08;7.114E-09;-3.908E-09;77.76;-6.41;-3.65;0.81;3.56;-4.818E-07;1.761E-08;-4.994E-07;-99.990;-77.542;-99.990;0.06;-0.50;
2019-10-11 21:27:28.86;0.00:00:00:379;-0.28;0.79;-0.54;-4.683E-07;-4.385E-09;1.228E-08;-8.382E-09;54.83;-16.37;-3.31;1.79;2.78;-4.683E-07;1.55E-08;-4.838E-07;-99.990;-78.097;-99.990;0.36;-0.60;
2019-10-11 21:27:28.88;0.00:00:00:394;0.13;0.67;-0.73;-4.581E-07;1.684E-09;8.797E-09;-9.666E-09;39.58;-23.59;-2.88;2.11;1.96;-4.581E-07;1.318E-08;-4.713E-07;-99.990;-78.801;-99.990;0.56;-0.83;
2019-10-11 21:27:28.90;0.00:00:00:412;0.08;0.97;-0.23;-4.626E-07;1.68E-09;1.969E-08;-4.668E-09;42.56;-6.64;-4.39;1.01;4.27;-4.626E-07;2.031E-08;-4.829E-07;-99.990;-76.923;-99.990;0.54;-0.23;
