Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 14:55:53.60;0.00:00:00:065;0.55;-0.83;-0.06;0.313;0.1709;-0.2603;-0.01963;-28.36;-1.80;99.68;6.27;99.48;0.313;0.312;0.001016;-5.045;-5.059;-29.930;0.77;-175.69;
2019-10-11 14:55:53.64;0.00:00:00:102;0.55;-0.83;-0.06;0.313;0.1711;-0.2612;-0.01939;-28.39;-1.78;99.95;6.20;99.75;0.313;0.3128;0.0001676;-5.045;-5.047;-37.758;0.77;-175.75;
2019-10-11 14:55:53.66;0.00:00:00:117;0.55;-0.83;-0.06;0.313;0.1711;-0.2612;-0.0194;-28.39;-1.78;99.95;6.20;99.75;0.313;0.3128;0.0001666;-5.045;-5.047;-37.784;0.77;-175.75;
2019-10-11 14:55:53.67;0.00:00:00:133;0.55;-0.84;-0.06;0.313;0.171;-0.2612;-0.01939;-28.39;-1.78;99.95;6.20;99.76;0.313;0.3128;0.0001448;-5.045;-5.047;-38.391;0.77;-175.75;
2019-10-11 14:55:53.69;0.00:00:00:149;0.55;-0.84;-0.06;0.313;0.171;-0.2612;-0.0194;-28.39;-1.78;99.95;6.20;99.75;0.313;0.3128;0.000169;-5.045;-5.048;-37.721;0.77;-175.75;
2019-10-11 14:55:53.70;0.00:00:00:164;0.55;-0.83;-0.06;0.313;0.1709;-0.2603;-0.01963;-28.36;-1.80;99.67;6.27;99.47;0.313;0.312;0.001025;-5.045;-5.059;-29.893;0.77;-175.69;
2019-10-11 14:55:53.72;0.00:00:00:180;0.55;-0.83;-0.06;0.313;0.1709;-0.2603;-0.01963;-28.36;-1.80;99.68;6.27;99.48;0.313;0.312;0.0009957;-5.045;-5.059;-30.019;0.77;-175.69;
2019-10-11 14:55:53.75;0.00:00:00:211;0.55;-0.83;-0.06;0.313;0.171;-0.2612;-0.01939;-28.39;-1.78;99.95;6.20;99.75;0.313;0.3128;0.0001672;-5.045;-5.047;-37.768;0.77;-175.75;
2019-10-11 14:55:53.77;0.00:00:00:227;0.55;-0.83;-0.06;0.313;0.1709;-0.2603;-0.01963;-28.36;-1.80;99.68;6.27;99.49;0.313;0.312;0.000987;-5.045;-5.059;-30.057;0.77;-175.69;
2019-10-11 14:55:53.78;0.00:00:00:242;0.55;-0.83;-0.06;0.313;0.1708;-0.2603;-0.01961;-28.36;-1.80;99.68;6.27;99.48;0.313;0.312;0.001001;-5.045;-5.059;-29.996;0.77;-175.69;
