Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 14:41:07.86;0.00:00:00:041;-0.33;0.95;0.02;0.002141;-0.0006981;0.002027;4.212E-05;54.50;0.56;100.14;1.97;100.12;0.002141;0.002144;-2.964E-06;-26.693;-26.687;-99.990;0.34;0.02;
2019-10-11 14:41:07.89;0.00:00:00:072;-0.32;0.95;0.02;0.002148;-0.0006852;0.002026;3.778E-05;54.34;0.51;99.58;1.76;99.57;0.002148;0.002139;9.006E-06;-26.679;-26.697;-50.455;0.34;0.02;
2019-10-11 14:41:07.91;0.00:00:00:088;-0.32;0.95;0.02;0.002148;-0.0006854;0.002026;3.738E-05;54.35;0.50;99.57;1.74;99.56;0.002148;0.002139;9.15E-06;-26.679;-26.698;-50.386;0.34;0.02;
2019-10-11 14:41:07.94;0.00:00:00:119;-0.33;0.95;0.02;0.002142;-0.0006978;0.002027;4.246E-05;54.50;0.57;100.12;1.98;100.10;0.002142;0.002144;-2.472E-06;-26.692;-26.687;-99.990;0.34;0.02;
2019-10-11 14:41:07.96;0.00:00:00:135;-0.32;0.95;0.02;0.002149;-0.0006846;0.002026;3.772E-05;54.33;0.51;99.54;1.76;99.53;0.002149;0.002139;9.847E-06;-26.678;-26.698;-50.067;0.34;0.02;
2019-10-11 14:41:07.98;0.00:00:00:153;-0.32;0.95;0.02;0.002148;-0.0006859;0.002027;3.738E-05;54.35;0.50;99.63;1.74;99.62;0.002148;0.00214;7.866E-06;-26.679;-26.695;-51.043;0.34;0.02;
2019-10-11 14:41:07.99;0.00:00:00:169;-0.32;0.95;0.02;0.002149;-0.0006848;0.002026;3.769E-05;54.34;0.50;99.56;1.75;99.55;0.002149;0.002139;9.436E-06;-26.678;-26.697;-50.252;0.34;0.02;
2019-10-11 14:41:08.01;0.00:00:00:184;-0.33;0.95;0.02;0.002142;-0.0006983;0.002027;4.237E-05;54.51;0.57;100.12;1.98;100.10;0.002142;0.002144;-2.469E-06;-26.693;-26.688;-99.990;0.34;0.02;
2019-10-11 14:41:08.02;0.00:00:00:200;-0.33;0.95;0.02;0.002142;-0.000698;0.002027;4.24E-05;54.50;0.57;100.13;1.98;100.11;0.002142;0.002145;-2.71E-06;-26.692;-26.686;-99.990;0.34;0.02;
2019-10-11 14:41:08.04;0.00:00:00:216;-0.32;0.95;0.02;0.002149;-0.0006855;0.002027;3.769E-05;54.34;0.50;99.58;1.75;99.57;0.002149;0.00214;8.954E-06;-26.678;-26.697;-50.480;0.34;0.02;
2019-10-11 14:41:08.06;0.00:00:00:234;-0.32;0.95;0.02;0.002149;-0.0006851;0.002027;3.745E-05;54.34;0.50;99.58;1.74;99.56;0.002149;0.00214;9.122E-06;-26.678;-26.697;-50.399;0.34;0.02;
2019-10-11 14:41:08.10;0.00:00:00:281;-0.33;0.95;0.02;0.002142;-0.000698;0.002027;4.23E-05;54.50;0.57;100.12;1.97;100.10;0.002142;0.002144;-2.57E-06;-26.692;-26.687;-99.990;0.34;0.02;
2019-10-11 14:41:08.12;0.00:00:00:296;-0.32;0.95;0.02;0.002148;-0.0006853;0.002026;3.754E-05;54.34;0.50;99.58;1.75;99.56;0.002148;0.002139;9.076E-06;-26.679;-26.697;-50.421;0.34;0.02;
2019-10-11 14:41:08.13;0.00:00:00:312;-0.32;0.95;0.02;0.002148;-0.0006856;0.002027;3.765E-05;54.34;0.50;99.61;1.75;99.59;0.002148;0.00214;8.458E-06;-26.679;-26.696;-50.727;0.34;0.02;
