Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 14:43:43.78;0.00:00:00:048;0.32;-0.94;0.04;0.003341;0.001087;-0.003166;0.0001388;-35.52;1.19;100.28;4.16;100.19;0.003341;0.00335;-9.255E-06;-24.761;-24.749;-99.990;0.66;177.49;
2019-10-11 14:43:43.79;0.00:00:00:063;0.32;-0.95;0.04;0.003341;0.001087;-0.003167;0.000139;-35.53;1.19;100.30;4.16;100.21;0.003341;0.003351;-9.942E-06;-24.762;-24.749;-99.990;0.66;177.49;
2019-10-11 14:43:43.81;0.00:00:00:079;0.32;-0.95;0.04;0.003341;0.001087;-0.003167;0.0001389;-35.53;1.19;100.29;4.16;100.20;0.003341;0.003351;-9.666E-06;-24.761;-24.749;-99.990;0.66;177.49;
2019-10-11 14:43:43.82;0.00:00:00:094;0.33;-0.94;0.04;0.003353;0.001101;-0.003161;0.0001295;-35.40;1.11;99.89;3.86;99.82;0.003353;0.003349;3.587E-06;-24.746;-24.750;-54.453;0.66;177.65;
2019-10-11 14:43:43.84;0.00:00:00:110;0.33;-0.94;0.04;0.003353;0.0011;-0.003161;0.0001296;-35.40;1.11;99.90;3.86;99.82;0.003353;0.00335;3.391E-06;-24.746;-24.750;-54.696;0.66;177.65;
2019-10-11 14:43:43.85;0.00:00:00:126;0.32;-0.94;0.04;0.003341;0.001087;-0.003166;0.0001388;-35.52;1.19;100.28;4.15;100.19;0.003341;0.003351;-9.336E-06;-24.761;-24.749;-99.990;0.66;177.49;
2019-10-11 14:43:43.87;0.00:00:00:141;0.32;-0.95;0.04;0.003341;0.001087;-0.003167;0.0001389;-35.53;1.19;100.30;4.16;100.22;0.003341;0.003351;-1.007E-05;-24.761;-24.748;-99.990;0.66;177.49;
2019-10-11 14:43:43.89;0.00:00:00:157;0.33;-0.94;0.04;0.003353;0.0011;-0.003161;0.0001295;-35.40;1.11;99.89;3.86;99.82;0.003353;0.003349;3.531E-06;-24.746;-24.750;-54.521;0.66;177.65;
2019-10-11 14:43:43.90;0.00:00:00:173;0.33;-0.94;0.04;0.003353;0.001101;-0.00316;0.0001294;-35.40;1.11;99.88;3.86;99.80;0.003353;0.003349;4.118E-06;-24.746;-24.751;-53.853;0.66;177.65;
2019-10-11 14:43:43.92;0.00:00:00:188;0.32;-0.95;0.04;0.003341;0.001087;-0.003166;0.0001391;-35.53;1.19;100.30;4.16;100.21;0.003341;0.003351;-9.952E-06;-24.762;-24.749;-99.990;0.66;177.49;
2019-10-11 14:43:43.93;0.00:00:00:204;0.32;-0.94;0.04;0.003341;0.001087;-0.003166;0.000139;-35.53;1.19;100.28;4.16;100.20;0.003341;0.003351;-9.465E-06;-24.761;-24.749;-99.990;0.66;177.49;
2019-10-11 14:43:43.95;0.00:00:00:219;0.33;-0.94;0.04;0.003353;0.001101;-0.00316;0.0001296;-35.40;1.11;99.88;3.87;99.81;0.003353;0.003349;3.859E-06;-24.746;-24.751;-54.135;0.66;177.65;
2019-10-11 14:43:43.96;0.00:00:00:235;0.33;-0.94;0.04;0.003353;0.001101;-0.00316;0.0001295;-35.40;1.11;99.88;3.86;99.81;0.003353;0.003349;3.859E-06;-24.746;-24.751;-54.136;0.66;177.65;
