Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 15:56:24.41;0.00:00:00:047;0.45;-0.89;0.02;0.002338;0.001048;-0.002089;4.68E-05;-31.68;0.57;99.95;2.00;99.93;0.002338;0.002337;1.118E-06;-26.311;-26.313;-59.515;0.72;178.72;
2019-10-11 15:56:24.43;0.00:00:00:063;0.45;-0.89;0.02;0.002339;0.001048;-0.002089;4.672E-05;-31.68;0.57;99.94;2.00;99.92;0.002339;0.002337;1.359E-06;-26.310;-26.313;-58.667;0.72;178.72;
2019-10-11 15:56:24.46;0.00:00:00:094;0.45;-0.89;0.02;0.002339;0.001048;-0.002089;4.699E-05;-31.68;0.58;99.95;2.01;99.93;0.002339;0.002338;1.224E-06;-26.310;-26.312;-59.121;0.72;178.71;
2019-10-11 15:56:24.47;0.00:00:00:110;0.45;-0.89;0.02;0.002338;0.001048;-0.002088;4.681E-05;-31.68;0.57;99.94;2.00;99.92;0.002338;0.002337;1.302E-06;-26.311;-26.314;-58.853;0.72;178.72;
2019-10-11 15:56:24.49;0.00:00:00:125;0.45;-0.89;0.02;0.002341;0.001051;-0.002081;4.216E-05;-31.60;0.52;99.62;1.80;99.60;0.002341;0.002332;8.872E-06;-26.307;-26.323;-50.520;0.73;178.84;
2019-10-11 15:56:24.51;0.00:00:00:144;0.45;-0.89;0.02;0.002341;0.001052;-0.00208;4.19E-05;-31.59;0.51;99.60;1.79;99.58;0.002341;0.002331;9.463E-06;-26.306;-26.324;-50.239;0.73;178.85;
2019-10-11 15:56:24.52;0.00:00:00:160;0.45;-0.89;0.02;0.002341;0.001052;-0.002081;4.225E-05;-31.59;0.52;99.62;1.80;99.60;0.002341;0.002332;8.925E-06;-26.306;-26.323;-50.494;0.73;178.84;
2019-10-11 15:56:24.54;0.00:00:00:175;0.45;-0.89;0.02;0.002339;0.001048;-0.002089;4.691E-05;-31.68;0.57;99.96;2.01;99.94;0.002339;0.002337;1.045E-06;-26.311;-26.312;-59.809;0.72;178.71;
2019-10-11 15:56:24.55;0.00:00:00:191;0.45;-0.89;0.02;0.002338;0.001047;-0.002089;4.693E-05;-31.68;0.58;99.96;2.01;99.94;0.002338;0.002337;1.044E-06;-26.312;-26.314;-59.813;0.72;178.71;
2019-10-11 15:56:24.57;0.00:00:00:206;0.45;-0.89;0.02;0.002341;0.001052;-0.002081;4.207E-05;-31.59;0.52;99.62;1.80;99.60;0.002341;0.002332;8.9E-06;-26.306;-26.322;-50.506;0.73;178.84;
2019-10-11 15:56:24.59;0.00:00:00:222;0.45;-0.89;0.02;0.00234;0.001051;-0.002081;4.206E-05;-31.60;0.52;99.63;1.80;99.61;0.00234;0.002332;8.727E-06;-26.307;-26.323;-50.591;0.73;178.84;
2019-10-11 15:56:24.60;0.00:00:00:238;0.45;-0.89;0.02;0.002338;0.001047;-0.002089;4.694E-05;-31.69;0.58;99.96;2.01;99.94;0.002338;0.002337;1.025E-06;-26.312;-26.314;-59.893;0.72;178.71;
2019-10-11 15:56:24.62;0.00:00:00:253;0.45;-0.89;0.02;0.002338;0.001047;-0.002088;4.675E-05;-31.68;0.57;99.95;2.00;99.93;0.002338;0.002337;1.133E-06;-26.312;-26.314;-59.460;0.72;178.72;
2019-10-11 15:56:24.63;0.00:00:00:269;0.45;-0.89;0.02;0.00234;0.001051;-0.00208;4.204E-05;-31.59;0.52;99.62;1.80;99.60;0.00234;0.002331;8.916E-06;-26.308;-26.324;-50.498;0.73;178.84;
2019-10-11 15:56:24.65;0.00:00:00:285;0.45;-0.89;0.02;0.002341;0.001052;-0.002081;4.2E-05;-31.59;0.52;99.61;1.79;99.60;0.002341;0.002332;9.072E-06;-26.306;-26.323;-50.423;0.73;178.84;
2019-10-11 15:56:24.67;0.00:00:00:303;0.45;-0.89;0.02;0.00234;0.001051;-0.00208;4.206E-05;-31.59;0.52;99.61;1.80;99.59;0.00234;0.002331;9.143E-06;-26.308;-26.325;-50.389;0.73;178.84;
2019-10-11 15:56:24.68;0.00:00:00:318;0.45;-0.89;0.02;0.002338;0.001047;-0.002088;4.686E-05;-31.68;0.57;99.94;2.00;99.92;0.002338;0.002337;1.331E-06;-26.312;-26.314;-58.759;0.72;178.71;
2019-10-11 15:56:24.70;0.00:00:00:334;0.45;-0.89;0.02;0.002337;0.001047;-0.002088;4.683E-05;-31.68;0.57;99.95;2.00;99.93;0.002337;0.002336;1.164E-06;-26.313;-26.315;-59.341;0.72;178.71;
2019-10-11 15:56:24.71;0.00:00:00:349;0.45;-0.89;0.02;0.002338;0.001048;-0.002088;4.691E-05;-31.68;0.58;99.94;2.01;99.92;0.002338;0.002337;1.297E-06;-26.311;-26.314;-58.871;0.72;178.71;
2019-10-11 15:56:24.73;0.00:00:00:365;0.45;-0.89;0.02;0.00234;0.001051;-0.00208;4.188E-05;-31.59;0.51;99.62;1.79;99.60;0.00234;0.002331;8.95E-06;-26.307;-26.324;-50.482;0.73;178.85;
