Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 15:55:05.63;0.00:00:00:062;0.45;-0.89;0.02;0.002214;0.0009914;-0.001977;4.505E-05;-31.69;0.58;99.94;2.03;99.92;0.002214;0.002212;1.346E-06;-26.549;-26.551;-58.710;0.72;178.70;
2019-10-11 15:55:05.66;0.00:00:00:094;0.45;-0.89;0.02;0.002216;0.0009955;-0.00197;4.016E-05;-31.59;0.52;99.59;1.81;99.57;0.002216;0.002207;9.116E-06;-26.544;-26.561;-50.402;0.73;178.83;
2019-10-11 15:55:05.68;0.00:00:00:109;0.45;-0.89;0.02;0.002213;0.0009914;-0.001977;4.491E-05;-31.68;0.58;99.93;2.03;99.91;0.002213;0.002212;1.552E-06;-26.549;-26.552;-58.092;0.72;178.70;
2019-10-11 15:55:05.69;0.00:00:00:125;0.45;-0.89;0.02;0.002214;0.0009918;-0.001977;4.482E-05;-31.68;0.58;99.92;2.02;99.90;0.002214;0.002212;1.808E-06;-26.548;-26.552;-57.427;0.72;178.70;
2019-10-11 15:55:05.71;0.00:00:00:141;0.45;-0.89;0.02;0.002215;0.0009948;-0.001969;4.024E-05;-31.60;0.52;99.60;1.82;99.58;0.002215;0.002206;8.888E-06;-26.546;-26.563;-50.512;0.73;178.83;
2019-10-11 15:55:05.72;0.00:00:00:156;0.45;-0.89;0.02;0.002216;0.0009955;-0.001969;4.036E-05;-31.59;0.52;99.59;1.82;99.57;0.002216;0.002207;9.159E-06;-26.544;-26.562;-50.382;0.73;178.83;
2019-10-11 15:55:05.74;0.00:00:00:172;0.45;-0.89;0.02;0.002214;0.0009916;-0.001977;4.488E-05;-31.68;0.58;99.93;2.03;99.91;0.002214;0.002212;1.553E-06;-26.549;-26.552;-58.088;0.72;178.70;
2019-10-11 15:55:05.75;0.00:00:00:188;0.45;-0.89;0.02;0.002213;0.0009907;-0.001977;4.503E-05;-31.69;0.58;99.95;2.03;99.93;0.002213;0.002212;1.194E-06;-26.550;-26.552;-59.231;0.72;178.70;
2019-10-11 15:55:05.78;0.00:00:00:219;0.45;-0.89;0.02;0.002213;0.0009911;-0.001977;4.5E-05;-31.69;0.58;99.94;2.03;99.92;0.002213;0.002212;1.345E-06;-26.550;-26.552;-58.712;0.72;178.70;
2019-10-11 15:55:05.82;0.00:00:00:250;0.45;-0.89;0.02;0.002213;0.0009911;-0.001976;4.471E-05;-31.68;0.58;99.93;2.02;99.91;0.002213;0.002211;1.49E-06;-26.551;-26.553;-58.268;0.72;178.70;
2019-10-11 15:55:05.83;0.00:00:00:267;0.45;-0.89;0.02;0.002213;0.000991;-0.001976;4.502E-05;-31.69;0.58;99.93;2.03;99.91;0.002213;0.002211;1.594E-06;-26.550;-26.553;-57.976;0.72;178.70;
2019-10-11 15:55:05.85;0.00:00:00:283;0.45;-0.89;0.02;0.002212;0.0009903;-0.001976;4.47E-05;-31.69;0.58;99.93;2.02;99.91;0.002212;0.002211;1.488E-06;-26.552;-26.555;-58.275;0.72;178.70;
2019-10-11 15:55:05.87;0.00:00:00:300;0.45;-0.89;0.02;0.002214;0.0009945;-0.001969;4.038E-05;-31.60;0.52;99.61;1.82;99.59;0.002214;0.002206;8.635E-06;-26.547;-26.564;-50.638;0.73;178.82;
