Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 16:14:06.69;0.00:00:00:048;0.17;-0.98;0.05;4.586E-07;1.61E-07;-9.13E-07;5.1E-08;-40.00;1.57;202.45;11.12;202.14;4.586E-07;9.285E-07;-4.699E-07;-63.385;-60.322;-99.990;0.59;176.80;
2019-10-11 16:14:06.70;0.00:00:00:064;0.16;-0.99;0.07;4.48E-07;1.496E-07;-9.324E-07;6.369E-08;-40.44;1.93;211.26;14.22;210.78;4.48E-07;9.464E-07;-4.984E-07;-63.487;-60.239;-99.990;0.58;176.09;
2019-10-11 16:14:06.72;0.00:00:00:080;0.18;-0.98;0.06;4.546E-07;1.641E-07;-9.174E-07;5.635E-08;-39.93;1.73;205.40;12.40;205.03;4.546E-07;9.337E-07;-4.791E-07;-63.424;-60.298;-99.990;0.59;176.49;
2019-10-11 16:14:06.73;0.00:00:00:095;0.16;-0.99;0.06;4.401E-07;1.477E-07;-9.254E-07;5.77E-08;-40.46;1.76;213.34;13.11;212.94;4.401E-07;9.389E-07;-4.988E-07;-63.565;-60.274;-99.990;0.58;176.43;
2019-10-11 16:14:06.75;0.00:00:00:111;0.16;-0.98;0.06;4.488E-07;1.528E-07;-9.197E-07;5.784E-08;-40.28;1.77;208.13;12.89;207.73;4.488E-07;9.341E-07;-4.853E-07;-63.479;-60.296;-99.990;0.58;176.40;
2019-10-11 16:14:06.77;0.00:00:00:127;0.16;-0.99;0.05;4.425E-07;1.465E-07;-9.322E-07;4.861E-08;-40.53;1.47;213.54;10.98;213.25;4.425E-07;9.449E-07;-5.024E-07;-63.541;-60.246;-99.990;0.58;177.02;
2019-10-11 16:14:06.78;0.00:00:00:142;0.14;-0.99;0.05;4.283E-07;1.285E-07;-9.164E-07;4.585E-08;-41.01;1.42;216.34;10.71;216.08;4.283E-07;9.265E-07;-4.983E-07;-63.683;-60.331;-99.990;0.57;177.14;
2019-10-11 16:14:06.80;0.00:00:00:158;0.18;-0.98;0.04;4.532E-07;1.679E-07;-9.232E-07;4.205E-08;-39.85;1.28;207.25;9.28;207.04;4.532E-07;9.392E-07;-4.861E-07;-63.437;-60.272;-99.990;0.59;177.39;
2019-10-11 16:14:06.81;0.00:00:00:173;0.18;-0.98;0.06;4.457E-07;1.651E-07;-9.1E-07;5.406E-08;-39.86;1.67;207.89;12.13;207.54;4.457E-07;9.265E-07;-4.808E-07;-63.510;-60.332;-99.990;0.59;176.60;
2019-10-11 16:14:06.83;0.00:00:00:189;0.17;-0.98;0.05;4.42E-07;1.573E-07;-9.099E-07;5.086E-08;-40.10;1.58;209.24;11.51;208.93;4.42E-07;9.248E-07;-4.828E-07;-63.546;-60.340;-99.990;0.59;176.80;
2019-10-11 16:14:06.84;0.00:00:00:205;0.16;-0.98;0.06;4.424E-07;1.535E-07;-9.281E-07;5.469E-08;-40.30;1.66;213.00;12.36;212.65;4.424E-07;9.423E-07;-4.999E-07;-63.542;-60.258;-99.990;0.58;176.63;
2019-10-11 16:14:06.86;0.00:00:00:220;0.16;-0.99;0.06;4.419E-07;1.461E-07;-9.201E-07;5.267E-08;-40.49;1.62;211.14;11.92;210.80;4.419E-07;9.331E-07;-4.912E-07;-63.546;-60.301;-99.990;0.58;176.72;
2019-10-11 16:14:06.88;0.00:00:00:237;0.17;-0.98;0.05;4.417E-07;1.581E-07;-9.227E-07;4.856E-08;-40.14;1.48;212.22;10.99;211.94;4.417E-07;9.374E-07;-4.957E-07;-63.549;-60.281;-99.990;0.58;176.99;
2019-10-11 16:14:06.89;0.00:00:00:252;0.18;-0.98;0.06;4.461E-07;1.623E-07;-9.087E-07;5.44E-08;-39.94;1.69;207.28;12.19;206.92;4.461E-07;9.247E-07;-4.786E-07;-63.505;-60.340;-99.990;0.59;176.57;
2019-10-11 16:14:06.91;0.00:00:00:268;0.18;-0.98;0.06;4.467E-07;1.687E-07;-9.231E-07;6.09E-08;-39.82;1.86;210.49;13.63;210.05;4.467E-07;9.403E-07;-4.936E-07;-63.500;-60.267;-99.990;0.59;176.23;
2019-10-11 16:14:06.92;0.00:00:00:284;0.16;-0.99;0.05;4.429E-07;1.49E-07;-9.215E-07;5.012E-08;-40.41;1.54;211.07;11.32;210.76;4.429E-07;9.348E-07;-4.919E-07;-63.537;-60.293;-99.990;0.58;176.89;
2019-10-11 16:14:06.94;0.00:00:00:299;0.17;-0.98;0.04;4.46E-07;1.588E-07;-9.16E-07;3.981E-08;-40.08;1.23;208.62;8.93;208.43;4.46E-07;9.305E-07;-4.845E-07;-63.506;-60.313;-99.990;0.59;177.51;
2019-10-11 16:14:06.95;0.00:00:00:315;0.17;-0.98;0.05;4.447E-07;1.6E-07;-9.283E-07;4.829E-08;-40.11;1.47;212.12;10.86;211.84;4.447E-07;9.432E-07;-4.985E-07;-63.520;-60.254;-99.990;0.58;177.02;
