Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 16:39:44.30;0.00:00:00:041;0.48;-0.87;0.11;0.007821;0.003722;-0.006831;0.0008325;-30.71;3.05;100.04;10.65;99.47;0.007821;0.007824;-3.011E-06;-21.068;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.31;0.00:00:00:056;0.48;-0.87;0.11;0.00782;0.003722;-0.00683;0.0008323;-30.71;3.05;100.03;10.64;99.46;0.00782;0.007823;-2.487E-06;-21.068;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.33;0.00:00:00:072;0.48;-0.87;0.10;0.007826;0.003737;-0.006804;0.0008169;-30.61;3.00;99.74;10.44;99.19;0.007826;0.007805;2.045E-05;-21.065;-21.076;-46.893;0.74;173.15;
2019-10-11 16:39:44.34;0.00:00:00:087;0.48;-0.87;0.10;0.007826;0.003737;-0.006805;0.000817;-30.61;3.00;99.75;10.44;99.20;0.007826;0.007806;1.991E-05;-21.065;-21.076;-47.009;0.74;173.15;
2019-10-11 16:39:44.36;0.00:00:00:103;0.48;-0.87;0.11;0.007821;0.003723;-0.006831;0.0008326;-30.70;3.05;100.03;10.65;99.47;0.007821;0.007824;-2.722E-06;-21.067;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.39;0.00:00:00:134;0.48;-0.87;0.10;0.007825;0.003736;-0.006804;0.0008169;-30.61;3.00;99.74;10.44;99.20;0.007825;0.007805;2E-05;-21.065;-21.076;-46.990;0.74;173.15;
2019-10-11 16:39:44.41;0.00:00:00:150;0.48;-0.87;0.10;0.007826;0.003737;-0.006804;0.0008169;-30.61;3.00;99.74;10.44;99.19;0.007826;0.007805;2.052E-05;-21.065;-21.076;-46.878;0.74;173.15;
2019-10-11 16:39:44.42;0.00:00:00:166;0.48;-0.87;0.11;0.007821;0.003722;-0.006831;0.0008322;-30.71;3.05;100.04;10.64;99.47;0.007821;0.007824;-2.988E-06;-21.067;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.44;0.00:00:00:181;0.48;-0.87;0.11;0.00782;0.003721;-0.006831;0.0008323;-30.71;3.05;100.05;10.64;99.48;0.00782;0.007823;-3.605E-06;-21.068;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.45;0.00:00:00:198;0.48;-0.87;0.11;0.00782;0.003722;-0.006831;0.0008323;-30.71;3.05;100.04;10.64;99.48;0.00782;0.007823;-3.362E-06;-21.068;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.47;0.00:00:00:213;0.48;-0.87;0.10;0.007825;0.003736;-0.006803;0.0008168;-30.61;3.00;99.74;10.44;99.19;0.007825;0.007805;2.033E-05;-21.065;-21.076;-46.919;0.74;173.15;
2019-10-11 16:39:44.49;0.00:00:00:229;0.48;-0.87;0.10;0.007824;0.003736;-0.006804;0.0008169;-30.62;3.00;99.75;10.44;99.20;0.007824;0.007805;1.984E-05;-21.065;-21.076;-47.024;0.74;173.15;
2019-10-11 16:39:44.50;0.00:00:00:245;0.48;-0.87;0.11;0.007819;0.003722;-0.00683;0.0008321;-30.71;3.05;100.04;10.64;99.47;0.007819;0.007823;-3.237E-06;-21.068;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.53;0.00:00:00:276;0.48;-0.87;0.10;0.007825;0.003736;-0.006803;0.0008169;-30.61;3.00;99.75;10.44;99.20;0.007825;0.007805;1.98E-05;-21.065;-21.076;-47.032;0.74;173.15;
2019-10-11 16:39:44.55;0.00:00:00:291;0.48;-0.87;0.10;0.007824;0.003735;-0.006802;0.0008169;-30.61;3.00;99.73;10.44;99.19;0.007824;0.007803;2.086E-05;-21.066;-21.077;-46.806;0.74;173.15;
2019-10-11 16:39:44.56;0.00:00:00:307;0.48;-0.87;0.10;0.007824;0.003736;-0.006803;0.0008166;-30.61;3.00;99.74;10.44;99.19;0.007824;0.007804;2.033E-05;-21.066;-21.077;-46.920;0.74;173.16;
2019-10-11 16:39:44.58;0.00:00:00:323;0.48;-0.87;0.11;0.00782;0.003722;-0.00683;0.0008324;-30.70;3.05;100.04;10.64;99.47;0.00782;0.007823;-3.159E-06;-21.068;-21.066;-99.990;0.74;173.05;
2019-10-11 16:39:44.59;0.00:00:00:338;0.48;-0.87;0.11;0.007818;0.003721;-0.006829;0.0008321;-30.71;3.05;100.04;10.64;99.47;0.007818;0.007821;-3.088E-06;-21.069;-21.067;-99.990;0.74;173.05;
2019-10-11 16:39:44.61;0.00:00:00:354;0.48;-0.87;0.10;0.007824;0.003735;-0.006803;0.000817;-30.61;3.00;99.74;10.44;99.19;0.007824;0.007803;2.011E-05;-21.066;-21.077;-46.965;0.74;173.15;
2019-10-11 16:39:44.63;0.00:00:00:370;0.48;-0.87;0.10;0.007823;0.003735;-0.006802;0.0008164;-30.61;3.00;99.74;10.44;99.19;0.007823;0.007803;2.017E-05;-21.066;-21.077;-46.953;0.74;173.16;
2019-10-11 16:39:44.64;0.00:00:00:386;0.48;-0.87;0.11;0.007818;0.003721;-0.006829;0.000832;-30.71;3.05;100.04;10.64;99.47;0.007818;0.007821;-2.791E-06;-21.069;-21.067;-99.990;0.74;173.05;
2019-10-11 16:39:44.67;0.00:00:00:417;0.48;-0.87;0.11;0.007819;0.003722;-0.006829;0.0008319;-30.70;3.05;100.03;10.64;99.46;0.007819;0.007822;-2.447E-06;-21.068;-21.067;-99.990;0.74;173.05;
2019-10-11 16:39:44.69;0.00:00:00:433;0.48;-0.87;0.10;0.007823;0.003735;-0.006803;0.0008168;-30.62;3.00;99.75;10.44;99.20;0.007823;0.007804;1.937E-05;-21.066;-21.077;-47.129;0.74;173.15;
2019-10-11 16:39:44.70;0.00:00:00:448;0.48;-0.87;0.10;0.007824;0.003736;-0.006802;0.000817;-30.61;3.00;99.74;10.44;99.19;0.007824;0.007803;2.062E-05;-21.066;-21.077;-46.857;0.74;173.15;
2019-10-11 16:39:44.72;0.00:00:00:464;0.48;-0.87;0.11;0.007818;0.003721;-0.006828;0.0008321;-30.71;3.05;100.04;10.64;99.47;0.007818;0.007821;-2.885E-06;-21.069;-21.067;-99.990;0.74;173.05;
2019-10-11 16:39:44.74;0.00:00:00:480;0.48;-0.87;0.11;0.007818;0.003721;-0.006829;0.000832;-30.71;3.05;100.04;10.64;99.48;0.007818;0.007821;-3.416E-06;-21.069;-21.067;-99.990;0.74;173.05;
2019-10-11 16:39:44.75;0.00:00:00:495;0.48;-0.87;0.10;0.007822;0.003734;-0.006801;0.0008166;-30.61;3.00;99.74;10.44;99.19;0.007822;0.007802;2.023E-05;-21.067;-21.078;-46.941;0.74;173.15;
2019-10-11 16:39:44.77;0.00:00:00:511;0.48;-0.87;0.10;0.007823;0.003735;-0.006802;0.0008165;-30.61;3.00;99.74;10.44;99.20;0.007823;0.007803;2.013E-05;-21.066;-21.077;-46.961;0.74;173.15;
2019-10-11 16:39:44.78;0.00:00:00:526;0.48;-0.87;0.11;0.007818;0.003721;-0.006829;0.0008323;-30.71;3.05;100.04;10.65;99.47;0.007818;0.007821;-3.33E-06;-21.069;-21.067;-99.990;0.74;173.05;
2019-10-11 16:39:44.80;0.00:00:00:542;0.48;-0.87;0.10;0.007823;0.003735;-0.006801;0.0008163;-30.61;3.00;99.74;10.44;99.19;0.007823;0.007802;2.034E-05;-21.066;-21.078;-46.916;0.74;173.16;
2019-10-11 16:39:44.81;0.00:00:00:558;0.48;-0.87;0.11;0.007818;0.003721;-0.006828;0.0008319;-30.71;3.05;100.04;10.64;99.47;0.007818;0.007821;-3.025E-06;-21.069;-21.068;-99.990;0.74;173.05;
2019-10-11 16:39:44.83;0.00:00:00:575;0.48;-0.87;0.10;0.007823;0.003735;-0.006802;0.0008169;-30.61;3.00;99.74;10.44;99.19;0.007823;0.007803;2.013E-05;-21.066;-21.077;-46.962;0.74;173.15;
2019-10-11 16:39:44.85;0.00:00:00:591;0.48;-0.87;0.10;0.007822;0.003734;-0.006801;0.0008166;-30.62;3.00;99.74;10.44;99.19;0.007822;0.007802;2.019E-05;-21.067;-21.078;-46.948;0.74;173.15;
2019-10-11 16:39:44.86;0.00:00:00:607;0.48;-0.87;0.11;0.007818;0.003721;-0.006827;0.0008322;-30.70;3.05;100.03;10.65;99.46;0.007818;0.00782;-2.423E-06;-21.069;-21.068;-99.990;0.74;173.05;
2019-10-11 16:39:44.88;0.00:00:00:625;0.48;-0.87;0.11;0.007817;0.003721;-0.006827;0.0008319;-30.71;3.05;100.04;10.64;99.47;0.007817;0.00782;-2.986E-06;-21.070;-21.068;-99.990;0.74;173.05;
