Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 16:42:18.68;0.00:00:00:030;0.47;-0.87;0.11;0.006358;0.003019;-0.005553;0.0006688;-30.73;3.02;99.97;10.52;99.41;0.006358;0.006356;2.121E-06;-21.967;-21.968;-56.735;0.74;173.13;
2019-10-11 16:42:18.71;0.00:00:00:056;0.48;-0.87;0.10;0.006363;0.003031;-0.005532;0.0006563;-30.64;2.97;99.68;10.31;99.14;0.006363;0.006342;2.053E-05;-21.964;-21.978;-46.877;0.74;173.23;
2019-10-11 16:42:18.72;0.00:00:00:072;0.48;-0.87;0.10;0.006362;0.00303;-0.005533;0.0006563;-30.65;2.97;99.69;10.32;99.15;0.006362;0.006342;1.972E-05;-21.964;-21.978;-47.052;0.74;173.23;
2019-10-11 16:42:18.74;0.00:00:00:088;0.48;-0.87;0.10;0.006363;0.003031;-0.005532;0.0006566;-30.64;2.97;99.68;10.32;99.14;0.006363;0.006342;2.046E-05;-21.964;-21.978;-46.892;0.74;173.23;
2019-10-11 16:42:18.75;0.00:00:00:103;0.48;-0.87;0.11;0.006359;0.003019;-0.005554;0.0006688;-30.73;3.02;99.96;10.52;99.41;0.006359;0.006357;2.234E-06;-21.966;-21.968;-56.508;0.74;173.13;
2019-10-11 16:42:18.77;0.00:00:00:119;0.47;-0.87;0.11;0.006359;0.003019;-0.005554;0.0006689;-30.74;3.02;99.98;10.52;99.42;0.006359;0.006357;1.522E-06;-21.966;-21.967;-58.175;0.74;173.13;
2019-10-11 16:42:18.79;0.00:00:00:135;0.48;-0.87;0.10;0.006363;0.00303;-0.005533;0.0006563;-30.65;2.97;99.69;10.32;99.15;0.006363;0.006343;1.995E-05;-21.964;-21.977;-47.000;0.74;173.24;
2019-10-11 16:42:18.80;0.00:00:00:153;0.48;-0.87;0.10;0.006363;0.003031;-0.005533;0.0006563;-30.64;2.97;99.68;10.31;99.15;0.006363;0.006343;2.03E-05;-21.963;-21.977;-46.926;0.74;173.24;
2019-10-11 16:42:18.82;0.00:00:00:169;0.48;-0.87;0.10;0.006364;0.003031;-0.005533;0.0006566;-30.64;2.97;99.68;10.32;99.14;0.006364;0.006343;2.063E-05;-21.963;-21.977;-46.854;0.74;173.23;
2019-10-11 16:42:18.84;0.00:00:00:184;0.47;-0.87;0.11;0.006359;0.003019;-0.005555;0.000669;-30.74;3.02;99.98;10.52;99.42;0.006359;0.006358;1.572E-06;-21.966;-21.967;-58.036;0.74;173.13;
2019-10-11 16:42:18.85;0.00:00:00:202;0.47;-0.87;0.11;0.006359;0.00302;-0.005555;0.000669;-30.74;3.02;99.98;10.52;99.43;0.006359;0.006358;1.21E-06;-21.966;-21.967;-59.174;0.74;173.13;
