Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 16:55:42.43;0.00:00:00:062;-0.49;-0.58;0.65;-3.871E-07;-4.761E-08;-5.645E-08;6.27E-08;-65.07;20.17;-25.03;16.20;19.08;-3.871E-07;9.688E-08;-4.84E-07;-99.990;-70.138;-99.990;0.25;132.00;
2019-10-11 16:55:42.45;0.00:00:00:078;-0.33;-0.72;0.62;-3.799E-07;-3.124E-08;-6.891E-08;5.909E-08;-57.19;18.99;-25.27;15.55;19.91;-3.799E-07;9.6E-08;-4.759E-07;-99.990;-70.177;-99.990;0.34;139.39;
2019-10-11 16:55:42.47;0.00:00:00:096;-0.38;-0.65;0.66;-3.831E-07;-3.307E-08;-5.67E-08;5.75E-08;-60.13;20.61;-22.78;15.01;17.13;-3.831E-07;8.727E-08;-4.704E-07;-99.990;-70.592;-99.990;0.31;134.60;
2019-10-11 16:55:42.49;0.00:00:00:120;-0.39;-0.68;0.62;-3.891E-07;-3.634E-08;-6.369E-08;5.816E-08;-59.85;19.21;-24.05;14.95;18.84;-3.891E-07;9.359E-08;-4.827E-07;-99.990;-70.288;-99.990;0.31;137.60;
2019-10-11 16:55:42.51;0.00:00:00:136;-0.55;-0.68;0.48;-4.017E-07;-5.685E-08;-7.085E-08;4.985E-08;-64.37;14.38;-25.79;12.41;22.61;-4.017E-07;1.036E-07;-5.053E-07;-99.990;-69.846;-99.990;0.23;144.87;
2019-10-11 16:55:42.52;0.00:00:00:151;-0.33;-0.68;0.66;-3.806E-07;-3.145E-08;-6.493E-08;6.349E-08;-57.92;20.67;-25.25;16.68;18.95;-3.806E-07;9.61E-08;-4.767E-07;-99.990;-70.173;-99.990;0.34;135.64;
2019-10-11 16:55:42.54;0.00:00:00:167;-0.37;-0.68;0.63;-3.822E-07;-3.952E-08;-7.151E-08;6.68E-08;-59.46;19.63;-27.61;17.48;21.38;-3.822E-07;1.055E-07;-4.877E-07;-99.990;-69.766;-99.990;0.31;136.95;
2019-10-11 16:55:42.55;0.00:00:00:182;-0.40;-0.53;0.75;-3.796E-07;-3.147E-08;-4.146E-08;5.818E-08;-63.60;24.09;-20.57;15.33;13.71;-3.796E-07;7.806E-08;-4.576E-07;-99.990;-71.076;-99.990;0.30;125.47;
2019-10-11 16:55:42.59;0.00:00:00:214;-0.42;-0.66;0.62;-3.919E-07;-4.649E-08;-7.273E-08;6.745E-08;-61.29;19.00;-27.95;17.21;22.03;-3.919E-07;1.095E-07;-5.014E-07;-99.990;-69.604;-99.990;0.29;137.16;
2019-10-11 16:55:42.60;0.00:00:00:229;-0.44;-0.56;0.71;-3.755E-07;-3.691E-08;-4.71E-08;5.964E-08;-64.04;22.45;-22.50;15.88;15.94;-3.755E-07;8.449E-08;-4.6E-07;-99.990;-70.732;-99.990;0.28;128.30;
2019-10-11 16:55:42.62;0.00:00:00:245;-0.47;-0.54;0.70;-3.868E-07;-4.532E-08;-5.148E-08;6.66E-08;-65.68;22.08;-24.72;17.22;17.73;-3.868E-07;9.56E-08;-4.824E-07;-99.990;-70.195;-99.990;0.26;127.70;
2019-10-11 16:55:42.63;0.00:00:00:261;-0.47;-0.60;0.65;-3.922E-07;-4.889E-08;-6.207E-08;6.768E-08;-64.11;20.29;-26.53;17.26;20.14;-3.922E-07;1.04E-07;-4.962E-07;-99.990;-69.828;-99.990;0.27;132.52;
2019-10-11 16:55:42.65;0.00:00:00:276;-0.50;-0.56;0.66;-3.903E-07;-4.735E-08;-5.292E-08;6.312E-08;-65.91;20.82;-24.34;16.17;18.19;-3.903E-07;9.501E-08;-4.854E-07;-99.990;-70.222;-99.990;0.25;129.98;
2019-10-11 16:55:42.66;0.00:00:00:292;-0.31;-0.62;0.72;-3.825E-07;-3.021E-08;-5.975E-08;6.975E-08;-58.41;23.09;-25.28;18.23;17.50;-3.825E-07;9.668E-08;-4.792E-07;-99.990;-70.146;-99.990;0.34;130.58;
2019-10-11 16:55:42.68;0.00:00:00:307;-0.45;-0.62;0.64;-3.922E-07;-5.957E-08;-8.147E-08;8.455E-08;-63.09;19.98;-33.57;21.56;25.73;-3.922E-07;1.317E-07;-5.239E-07;-99.990;-68.805;-99.990;0.27;133.94;
2019-10-11 16:55:42.69;0.00:00:00:323;-0.40;-0.66;0.64;-3.739E-07;-3.978E-08;-6.622E-08;6.453E-08;-60.50;19.94;-26.92;17.26;20.66;-3.739E-07;1.007E-07;-4.746E-07;-99.990;-69.971;-99.990;0.30;135.74;
2019-10-11 16:55:42.74;0.00:00:00:370;-0.40;-0.60;0.70;-3.762E-07;-3.677E-08;-5.566E-08;6.457E-08;-61.72;22.03;-24.68;17.16;17.73;-3.762E-07;9.284E-08;-4.691E-07;-99.990;-70.323;-99.990;0.30;130.76;
2019-10-11 16:55:42.76;0.00:00:00:386;-0.34;-0.63;0.70;-3.83E-07;-3.142E-08;-5.821E-08;6.408E-08;-59.18;22.04;-24.05;16.73;17.27;-3.83E-07;9.21E-08;-4.751E-07;-99.990;-70.358;-99.990;0.33;132.25;
