Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 17:47:29.85;0.00:00:00:048;0.48;-0.87;0.00;0.006363;0.003076;-0.00555;-3.095E-05;-30.50;-0.14;99.74;0.49;99.74;0.006363;0.006346;1.667E-05;-21.964;-21.975;-47.781;0.74;-179.68;
2019-10-11 17:47:29.86;0.00:00:00:063;0.48;-0.87;0.00;0.006362;0.003076;-0.005551;-3.111E-05;-30.50;-0.14;99.75;0.49;99.75;0.006362;0.006347;1.572E-05;-21.964;-21.974;-48.036;0.74;-179.68;
2019-10-11 17:47:29.88;0.00:00:00:079;0.48;-0.88;0.00;0.006361;0.003075;-0.005567;-2.461E-05;-30.54;-0.11;99.99;0.39;99.99;0.006361;0.00636;3.638E-07;-21.965;-21.965;-64.391;0.74;-179.75;
2019-10-11 17:47:29.89;0.00:00:00:095;0.48;-0.87;0.00;0.006362;0.003077;-0.00555;-3.12E-05;-30.50;-0.14;99.74;0.49;99.74;0.006362;0.006346;1.639E-05;-21.964;-21.975;-47.853;0.74;-179.68;
2019-10-11 17:47:29.91;0.00:00:00:110;0.48;-0.88;0.00;0.006359;0.003073;-0.005567;-2.468E-05;-30.55;-0.11;100.00;0.39;99.99;0.006359;0.006359;3.167E-07;-21.966;-21.966;-64.994;0.74;-179.75;
2019-10-11 17:47:29.93;0.00:00:00:126;0.48;-0.88;0.00;0.00636;0.003075;-0.005566;-2.488E-05;-30.54;-0.11;99.99;0.39;99.99;0.00636;0.006359;7.734E-07;-21.965;-21.966;-61.116;0.74;-179.74;
2019-10-11 17:47:29.94;0.00:00:00:142;0.48;-0.87;0.00;0.006362;0.003076;-0.005549;-3.12E-05;-30.50;-0.14;99.74;0.49;99.73;0.006362;0.006345;1.684E-05;-21.964;-21.976;-47.735;0.74;-179.68;
2019-10-11 17:47:29.96;0.00:00:00:157;0.48;-0.87;0.00;0.006361;0.003076;-0.00555;-3.134E-05;-30.50;-0.14;99.74;0.49;99.74;0.006361;0.006345;1.627E-05;-21.965;-21.976;-47.885;0.74;-179.68;
2019-10-11 17:47:29.97;0.00:00:00:173;0.48;-0.88;0.00;0.006359;0.003074;-0.005566;-2.486E-05;-30.54;-0.11;99.99;0.39;99.99;0.006359;0.006358;7.109E-07;-21.966;-21.967;-61.482;0.74;-179.74;
2019-10-11 17:47:29.99;0.00:00:00:188;0.48;-0.88;0.00;0.006359;0.003073;-0.005566;-2.451E-05;-30.55;-0.11;99.99;0.39;99.99;0.006359;0.006358;6.995E-07;-21.966;-21.967;-61.552;0.74;-179.75;
