Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 17:46:03.51;0.00:00:00:042;0.48;-0.87;-0.01;0.006322;0.003057;-0.005514;-3.373E-05;-30.50;-0.15;99.74;0.53;99.74;0.006322;0.006305;1.655E-05;-21.992;-22.003;-47.813;0.74;-179.65;
2019-10-11 17:46:03.53;0.00:00:00:058;0.48;-0.88;0.00;0.006319;0.003056;-0.00553;-2.718E-05;-30.54;-0.12;99.98;0.43;99.98;0.006319;0.006318;1.264E-06;-21.993;-21.994;-58.983;0.74;-179.72;
2019-10-11 17:46:03.54;0.00:00:00:073;0.48;-0.88;0.00;0.006319;0.003055;-0.005531;-2.707E-05;-30.54;-0.12;99.99;0.43;99.99;0.006319;0.006319;7.116E-07;-21.993;-21.994;-61.478;0.74;-179.72;
2019-10-11 17:46:03.56;0.00:00:00:089;0.48;-0.88;0.00;0.006319;0.003055;-0.005531;-2.736E-05;-30.54;-0.12;100.00;0.43;99.99;0.006319;0.006319;3.109E-07;-21.993;-21.994;-65.074;0.74;-179.72;
2019-10-11 17:46:03.58;0.00:00:00:105;0.48;-0.87;-0.01;0.006322;0.003057;-0.005514;-3.353E-05;-30.50;-0.15;99.74;0.53;99.74;0.006322;0.006305;1.655E-05;-21.992;-22.003;-47.813;0.74;-179.65;
2019-10-11 17:46:03.59;0.00:00:00:120;0.48;-0.87;-0.01;0.006321;0.003056;-0.005515;-3.379E-05;-30.50;-0.15;99.75;0.53;99.75;0.006321;0.006305;1.56E-05;-21.992;-22.003;-48.068;0.74;-179.65;
2019-10-11 17:46:03.61;0.00:00:00:136;0.48;-0.88;0.00;0.00632;0.003056;-0.005531;-2.729E-05;-30.54;-0.12;99.98;0.43;99.98;0.00632;0.006319;9.619E-07;-21.993;-21.993;-60.169;0.74;-179.72;
2019-10-11 17:46:03.62;0.00:00:00:151;0.48;-0.88;0.00;0.006319;0.003055;-0.005531;-2.735E-05;-30.54;-0.12;99.99;0.43;99.99;0.006319;0.006318;5.788E-07;-21.993;-21.994;-62.375;0.74;-179.72;
2019-10-11 17:46:03.64;0.00:00:00:167;0.48;-0.88;0.00;0.006319;0.003054;-0.005531;-2.689E-05;-30.55;-0.12;100.00;0.43;100.00;0.006319;0.006318;2.224E-07;-21.994;-21.994;-66.528;0.74;-179.72;
2019-10-11 17:46:03.65;0.00:00:00:183;0.48;-0.87;-0.01;0.006321;0.003057;-0.005515;-3.307E-05;-30.50;-0.15;99.75;0.52;99.75;0.006321;0.006305;1.573E-05;-21.992;-22.003;-48.034;0.74;-179.66;
