Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 18:01:24.54;0.00:00:00:047;0.49;-0.87;0.07;0.8672;0.425;-0.7538;0.05927;-30.29;1.96;100.02;6.83;99.78;0.8672;0.8674;-0.0001622;-0.619;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.57;0.00:00:00:078;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05823;-30.22;1.93;99.72;6.71;99.50;0.8679;0.8655;0.002412;-0.615;-0.627;-26.177;0.75;175.57;
2019-10-11 18:01:24.59;0.00:00:00:094;0.49;-0.87;0.07;0.8673;0.425;-0.7539;0.05925;-30.29;1.96;100.03;6.83;99.79;0.8673;0.8675;-0.000222;-0.619;-0.617;-99.990;0.74;175.51;
2019-10-11 18:01:24.60;0.00:00:00:110;0.49;-0.87;0.07;0.8672;0.425;-0.7538;0.0593;-30.29;1.96;100.02;6.84;99.78;0.8672;0.8674;-0.0001431;-0.619;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.62;0.00:00:00:125;0.49;-0.87;0.07;0.8673;0.425;-0.7538;0.0593;-30.29;1.96;100.02;6.84;99.79;0.8673;0.8674;-0.0001656;-0.618;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.64;0.00:00:00:144;0.49;-0.87;0.07;0.8678;0.426;-0.7512;0.05828;-30.22;1.93;99.73;6.72;99.50;0.8678;0.8655;0.002334;-0.616;-0.627;-26.319;0.75;175.56;
2019-10-11 18:01:24.65;0.00:00:00:160;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05826;-30.22;1.93;99.73;6.71;99.50;0.8679;0.8655;0.002376;-0.615;-0.627;-26.242;0.75;175.56;
2019-10-11 18:01:24.67;0.00:00:00:175;0.49;-0.87;0.07;0.8679;0.4261;-0.7512;0.05825;-30.22;1.93;99.73;6.71;99.50;0.8679;0.8656;0.002357;-0.615;-0.627;-26.276;0.75;175.57;
2019-10-11 18:01:24.69;0.00:00:00:193;0.49;-0.87;0.07;0.8673;0.425;-0.7539;0.05928;-30.29;1.96;100.02;6.84;99.79;0.8673;0.8675;-0.0002107;-0.618;-0.617;-99.990;0.74;175.50;
2019-10-11 18:01:24.70;0.00:00:00:209;0.49;-0.87;0.07;0.8673;0.425;-0.7539;0.05932;-30.29;1.96;100.02;6.84;99.79;0.8673;0.8675;-0.0001761;-0.618;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.72;0.00:00:00:224;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05826;-30.22;1.93;99.72;6.71;99.50;0.8679;0.8655;0.002403;-0.615;-0.627;-26.192;0.75;175.56;
2019-10-11 18:01:24.73;0.00:00:00:240;0.49;-0.87;0.07;0.8679;0.4261;-0.7512;0.05827;-30.22;1.93;99.73;6.71;99.50;0.8679;0.8656;0.002338;-0.615;-0.627;-26.312;0.75;175.56;
2019-10-11 18:01:24.75;0.00:00:00:256;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05828;-30.22;1.93;99.72;6.71;99.49;0.8679;0.8655;0.00242;-0.615;-0.627;-26.162;0.75;175.56;
2019-10-11 18:01:24.77;0.00:00:00:271;0.49;-0.87;0.07;0.8673;0.425;-0.7538;0.0593;-30.29;1.96;100.02;6.84;99.78;0.8673;0.8674;-0.0001622;-0.618;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.78;0.00:00:00:287;0.49;-0.87;0.07;0.8672;0.425;-0.7539;0.0593;-30.29;1.96;100.02;6.84;99.79;0.8672;0.8675;-0.000209;-0.619;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.80;0.00:00:00:302;0.49;-0.87;0.07;0.8678;0.4259;-0.7511;0.05829;-30.22;1.93;99.73;6.72;99.51;0.8678;0.8655;0.002314;-0.616;-0.627;-26.356;0.75;175.56;
2019-10-11 18:01:24.81;0.00:00:00:319;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05828;-30.22;1.93;99.72;6.72;99.50;0.8679;0.8655;0.002407;-0.615;-0.627;-26.184;0.75;175.56;
2019-10-11 18:01:24.83;0.00:00:00:335;0.49;-0.87;0.07;0.8679;0.4261;-0.7512;0.0583;-30.22;1.93;99.73;6.72;99.51;0.8679;0.8656;0.002307;-0.615;-0.627;-26.370;0.75;175.56;
2019-10-11 18:01:24.85;0.00:00:00:351;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05831;-30.22;1.93;99.73;6.72;99.50;0.8679;0.8655;0.002371;-0.615;-0.627;-26.251;0.75;175.56;
2019-10-11 18:01:24.86;0.00:00:00:368;0.49;-0.87;0.07;0.8673;0.4251;-0.7538;0.05932;-30.29;1.96;100.02;6.84;99.78;0.8673;0.8675;-0.0001466;-0.618;-0.618;-99.990;0.75;175.50;
2019-10-11 18:01:24.88;0.00:00:00:384;0.49;-0.87;0.07;0.8679;0.426;-0.7512;0.0583;-30.22;1.93;99.73;6.72;99.51;0.8679;0.8655;0.002323;-0.616;-0.627;-26.339;0.75;175.56;
2019-10-11 18:01:24.89;0.00:00:00:399;0.49;-0.87;0.07;0.8679;0.426;-0.7512;0.05832;-30.22;1.93;99.73;6.72;99.51;0.8679;0.8655;0.002326;-0.616;-0.627;-26.334;0.75;175.56;
2019-10-11 18:01:24.91;0.00:00:00:415;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05829;-30.22;1.93;99.72;6.72;99.50;0.8679;0.8655;0.002403;-0.615;-0.627;-26.193;0.75;175.56;
2019-10-11 18:01:24.93;0.00:00:00:432;0.49;-0.87;0.07;0.8673;0.425;-0.7538;0.0593;-30.29;1.96;100.02;6.84;99.78;0.8673;0.8674;-0.0001518;-0.618;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.94;0.00:00:00:447;0.49;-0.87;0.07;0.8672;0.4249;-0.7539;0.05932;-30.30;1.96;100.02;6.84;99.79;0.8672;0.8674;-0.0002151;-0.619;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:24.96;0.00:00:00:463;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.0583;-30.22;1.93;99.73;6.72;99.50;0.8679;0.8655;0.002362;-0.615;-0.627;-26.267;0.75;175.56;
2019-10-11 18:01:24.97;0.00:00:00:479;0.49;-0.87;0.07;0.8679;0.4261;-0.7512;0.05829;-30.22;1.93;99.73;6.72;99.51;0.8679;0.8656;0.002317;-0.615;-0.627;-26.352;0.75;175.56;
2019-10-11 18:01:24.99;0.00:00:00:494;0.49;-0.87;0.07;0.8673;0.425;-0.7539;0.05931;-30.29;1.96;100.02;6.84;99.78;0.8673;0.8674;-0.0001596;-0.618;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:25.00;0.00:00:00:510;0.49;-0.87;0.07;0.8672;0.4249;-0.7539;0.05933;-30.30;1.96;100.03;6.84;99.79;0.8672;0.8675;-0.0002281;-0.619;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:25.02;0.00:00:00:526;0.49;-0.87;0.07;0.8679;0.4261;-0.7512;0.05832;-30.22;1.93;99.73;6.72;99.50;0.8679;0.8656;0.002359;-0.615;-0.627;-26.273;0.75;175.56;
2019-10-11 18:01:25.04;0.00:00:00:541;0.49;-0.87;0.07;0.8678;0.426;-0.7512;0.05832;-30.22;1.93;99.74;6.72;99.51;0.8678;0.8655;0.002299;-0.616;-0.627;-26.385;0.75;175.56;
2019-10-11 18:01:25.05;0.00:00:00:557;0.49;-0.87;0.07;0.8679;0.4261;-0.7511;0.05834;-30.22;1.93;99.72;6.72;99.50;0.8679;0.8655;0.002413;-0.615;-0.627;-26.174;0.75;175.56;
2019-10-11 18:01:25.07;0.00:00:00:572;0.49;-0.87;0.07;0.8673;0.425;-0.7539;0.05935;-30.29;1.96;100.02;6.84;99.78;0.8673;0.8675;-0.0001613;-0.618;-0.618;-99.990;0.74;175.50;
2019-10-11 18:01:25.08;0.00:00:00:588;0.49;-0.87;0.07;0.8672;0.4249;-0.7539;0.05934;-30.30;1.96;100.02;6.84;99.79;0.8672;0.8674;-0.000176;-0.619;-0.618;-99.990;0.74;175.50;
