Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 18:37:40.33;0.00:00:00:041;0.45;-0.89;0.10;0.000477;0.0002134;-0.0004243;4.789E-05;-31.65;2.88;100.06;10.04;99.56;0.000477;0.0004773;-2.938E-07;-33.215;-33.212;-99.990;0.72;173.56;
2019-10-11 18:37:40.35;0.00:00:00:056;0.45;-0.89;0.10;0.0004769;0.0002133;-0.0004243;4.789E-05;-31.65;2.88;100.07;10.04;99.57;0.0004769;0.0004773;-3.453E-07;-33.216;-33.212;-99.990;0.72;173.56;
2019-10-11 18:37:40.36;0.00:00:00:072;0.45;-0.89;0.10;0.000477;0.0002134;-0.0004242;4.787E-05;-31.65;2.88;100.06;10.04;99.55;0.000477;0.0004772;-2.628E-07;-33.215;-33.213;-99.990;0.72;173.56;
2019-10-11 18:37:40.38;0.00:00:00:088;0.44;-0.89;0.10;0.0004765;0.0002124;-0.0004255;4.879E-05;-31.74;2.93;100.33;10.24;99.80;0.0004765;0.000478;-1.549E-06;-33.219;-33.205;-99.990;0.72;173.46;
2019-10-11 18:37:40.39;0.00:00:00:103;0.44;-0.89;0.10;0.0004765;0.0002124;-0.0004254;4.877E-05;-31.74;2.93;100.32;10.24;99.79;0.0004765;0.000478;-1.512E-06;-33.220;-33.206;-99.990;0.72;173.46;
2019-10-11 18:37:40.41;0.00:00:00:119;0.45;-0.89;0.10;0.0004768;0.0002132;-0.0004241;4.79E-05;-31.65;2.88;100.07;10.05;99.56;0.0004768;0.0004771;-3.109E-07;-33.217;-33.214;-99.990;0.72;173.56;
2019-10-11 18:37:40.42;0.00:00:00:134;0.45;-0.89;0.10;0.0004768;0.0002133;-0.0004241;4.788E-05;-31.65;2.88;100.05;10.04;99.54;0.0004768;0.0004771;-2.275E-07;-33.216;-33.214;-99.990;0.72;173.56;
2019-10-11 18:37:40.44;0.00:00:00:150;0.44;-0.89;0.10;0.0004765;0.0002124;-0.0004255;4.878E-05;-31.73;2.93;100.33;10.24;99.81;0.0004765;0.000478;-1.57E-06;-33.220;-33.205;-99.990;0.72;173.46;
2019-10-11 18:37:40.46;0.00:00:00:166;0.44;-0.89;0.10;0.0004764;0.0002124;-0.0004254;4.878E-05;-31.73;2.93;100.32;10.24;99.79;0.0004764;0.0004779;-1.509E-06;-33.220;-33.206;-99.990;0.72;173.46;
2019-10-11 18:37:40.47;0.00:00:00:181;0.44;-0.89;0.10;0.0004765;0.0002124;-0.0004254;4.875E-05;-31.73;2.93;100.31;10.23;99.79;0.0004765;0.000478;-1.475E-06;-33.219;-33.206;-99.990;0.72;173.46;
2019-10-11 18:37:40.49;0.00:00:00:197;0.45;-0.89;0.10;0.0004767;0.0002132;-0.0004241;4.788E-05;-31.66;2.88;100.08;10.04;99.57;0.0004767;0.0004771;-3.757E-07;-33.217;-33.214;-99.990;0.72;173.56;
