Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 18:36:13.01;0.00:00:00:049;0.44;-0.89;0.10;0.0004738;0.0002105;-0.0004233;4.919E-05;-31.78;2.97;100.32;10.38;99.78;0.0004738;0.0004753;-1.498E-06;-33.244;-33.230;-99.990;0.72;173.37;
2019-10-11 18:36:13.03;0.00:00:00:065;0.44;-0.89;0.10;0.000474;0.0002106;-0.0004234;4.919E-05;-31.78;2.97;100.32;10.38;99.78;0.000474;0.0004755;-1.493E-06;-33.242;-33.229;-99.990;0.72;173.37;
2019-10-11 18:36:13.04;0.00:00:00:080;0.45;-0.89;0.10;0.0004743;0.0002114;-0.0004222;4.828E-05;-31.70;2.92;100.07;10.18;99.55;0.0004743;0.0004747;-3.325E-07;-33.239;-33.236;-99.990;0.72;173.48;
2019-10-11 18:36:13.06;0.00:00:00:096;0.45;-0.89;0.10;0.0004744;0.0002115;-0.0004223;4.832E-05;-31.70;2.92;100.08;10.18;99.56;0.0004744;0.0004748;-3.682E-07;-33.238;-33.235;-99.990;0.72;173.47;
2019-10-11 18:36:13.07;0.00:00:00:112;0.44;-0.89;0.10;0.000474;0.0002106;-0.0004235;4.92E-05;-31.78;2.97;100.32;10.38;99.78;0.000474;0.0004755;-1.523E-06;-33.242;-33.228;-99.990;0.72;173.37;
2019-10-11 18:36:13.09;0.00:00:00:127;0.44;-0.89;0.10;0.0004741;0.0002106;-0.0004236;4.922E-05;-31.78;2.97;100.32;10.38;99.79;0.0004741;0.0004756;-1.541E-06;-33.242;-33.228;-99.990;0.72;173.37;
2019-10-11 18:36:13.10;0.00:00:00:143;0.44;-0.89;0.10;0.000474;0.0002105;-0.0004235;4.922E-05;-31.78;2.97;100.32;10.38;99.78;0.000474;0.0004755;-1.507E-06;-33.242;-33.228;-99.990;0.72;173.37;
2019-10-11 18:36:13.12;0.00:00:00:159;0.45;-0.89;0.10;0.0004745;0.0002115;-0.0004223;4.833E-05;-31.70;2.92;100.06;10.19;99.54;0.0004745;0.0004748;-2.88E-07;-33.238;-33.235;-99.990;0.72;173.47;
2019-10-11 18:36:13.14;0.00:00:00:175;0.45;-0.89;0.10;0.0004745;0.0002115;-0.0004224;4.829E-05;-31.70;2.92;100.07;10.18;99.55;0.0004745;0.0004748;-3.25E-07;-33.237;-33.234;-99.990;0.72;173.48;
2019-10-11 18:36:13.15;0.00:00:00:191;0.44;-0.89;0.10;0.0004741;0.0002107;-0.0004237;4.918E-05;-31.78;2.97;100.34;10.37;99.81;0.0004741;0.0004758;-1.628E-06;-33.241;-33.226;-99.990;0.72;173.38;
