Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 18:41:22.34;0.00:00:00:025;0.47;-0.88;0.04;0.9057;0.4242;-0.8001;0.03419;-31.03;1.08;100.06;3.78;99.99;0.9057;0.9063;-0.000547;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.35;0.00:00:00:035;0.47;-0.88;0.04;0.9057;0.4243;-0.8001;0.03419;-31.03;1.08;100.06;3.78;99.99;0.9057;0.9063;-0.0005706;-0.430;-0.427;-99.990;0.73;177.55;
2019-10-11 18:41:22.36;0.00:00:00:044;0.47;-0.88;0.04;0.9058;0.4249;-0.7973;0.03284;-30.97;1.04;99.81;3.63;99.75;0.9058;0.904;0.001702;-0.430;-0.438;-27.690;0.74;177.64;
2019-10-11 18:41:22.37;0.00:00:00:053;0.47;-0.88;0.04;0.9057;0.4243;-0.8;0.03417;-31.03;1.08;100.05;3.77;99.98;0.9057;0.9061;-0.0004673;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.38;0.00:00:00:061;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03288;-30.97;1.04;99.81;3.63;99.75;0.9057;0.904;0.001689;-0.430;-0.438;-27.722;0.74;177.64;
2019-10-11 18:41:22.39;0.00:00:00:069;0.47;-0.88;0.04;0.9056;0.4242;-0.8;0.03418;-31.03;1.08;100.05;3.77;99.98;0.9056;0.9061;-0.0004945;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.40;0.00:00:00:079;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03284;-30.97;1.04;99.82;3.63;99.75;0.9057;0.9041;0.001628;-0.430;-0.438;-27.884;0.73;177.64;
2019-10-11 18:41:22.42;0.00:00:00:098;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03286;-30.97;1.04;99.82;3.63;99.75;0.9057;0.9041;0.001641;-0.430;-0.438;-27.848;0.74;177.64;
2019-10-11 18:41:22.43;0.00:00:00:106;0.47;-0.88;0.04;0.9057;0.4243;-0.8001;0.0342;-31.03;1.08;100.06;3.78;99.99;0.9057;0.9062;-0.0005298;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.44;0.00:00:00:125;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03289;-30.97;1.04;99.82;3.63;99.75;0.9057;0.9041;0.00166;-0.430;-0.438;-27.799;0.74;177.64;
2019-10-11 18:41:22.45;0.00:00:00:134;0.47;-0.88;0.04;0.9057;0.4242;-0.8001;0.03415;-31.03;1.08;100.06;3.77;99.99;0.9057;0.9062;-0.0005371;-0.430;-0.428;-99.990;0.73;177.56;
2019-10-11 18:41:22.46;0.00:00:00:144;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03288;-30.97;1.04;99.82;3.63;99.75;0.9057;0.904;0.001669;-0.430;-0.438;-27.777;0.74;177.64;
2019-10-11 18:41:22.47;0.00:00:00:154;0.47;-0.88;0.04;0.9057;0.4242;-0.8;0.03417;-31.03;1.08;100.06;3.77;99.99;0.9057;0.9062;-0.0005171;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.48;0.00:00:00:164;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03285;-30.97;1.04;99.81;3.63;99.75;0.9057;0.904;0.00171;-0.430;-0.438;-27.670;0.73;177.64;
2019-10-11 18:41:22.49;0.00:00:00:172;0.47;-0.88;0.04;0.9057;0.4242;-0.8;0.03418;-31.03;1.08;100.06;3.77;99.99;0.9057;0.9062;-0.0005226;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.50;0.00:00:00:181;0.47;-0.88;0.04;0.9057;0.4249;-0.7974;0.03289;-30.98;1.04;99.82;3.63;99.76;0.9057;0.9041;0.001617;-0.430;-0.438;-27.914;0.73;177.64;
2019-10-11 18:41:22.51;0.00:00:00:190;0.47;-0.88;0.04;0.9057;0.4243;-0.8001;0.03419;-31.03;1.08;100.06;3.78;99.99;0.9057;0.9062;-0.0005217;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.52;0.00:00:00:198;0.47;-0.88;0.04;0.9058;0.425;-0.7973;0.0329;-30.97;1.04;99.81;3.63;99.75;0.9058;0.9041;0.001682;-0.430;-0.438;-27.743;0.74;177.64;
2019-10-11 18:41:22.53;0.00:00:00:208;0.47;-0.88;0.04;0.9057;0.4243;-0.8001;0.0342;-31.03;1.08;100.06;3.78;99.99;0.9057;0.9063;-0.0005552;-0.430;-0.427;-99.990;0.73;177.55;
2019-10-11 18:41:22.54;0.00:00:00:217;0.47;-0.88;0.04;0.9058;0.4249;-0.7974;0.03286;-30.97;1.04;99.82;3.63;99.75;0.9058;0.9041;0.001658;-0.430;-0.438;-27.805;0.73;177.64;
2019-10-11 18:41:22.55;0.00:00:00:233;0.47;-0.88;0.04;0.9057;0.4243;-0.8001;0.03418;-31.03;1.08;100.06;3.77;99.99;0.9057;0.9063;-0.0005154;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.56;0.00:00:00:241;0.47;-0.88;0.04;0.9058;0.4249;-0.7974;0.03288;-30.97;1.04;99.83;3.63;99.76;0.9058;0.9042;0.001555;-0.430;-0.437;-28.082;0.73;177.64;
2019-10-11 18:41:22.57;0.00:00:00:249;0.47;-0.88;0.04;0.9057;0.4243;-0.8;0.03417;-31.03;1.08;100.05;3.77;99.98;0.9057;0.9062;-0.0004619;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.58;0.00:00:00:258;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03286;-30.97;1.04;99.81;3.63;99.75;0.9057;0.9041;0.001679;-0.430;-0.438;-27.751;0.74;177.64;
2019-10-11 18:41:22.59;0.00:00:00:267;0.47;-0.88;0.04;0.9057;0.4242;-0.8001;0.03417;-31.03;1.08;100.07;3.77;99.99;0.9057;0.9063;-0.0005923;-0.430;-0.427;-99.990;0.73;177.55;
2019-10-11 18:41:22.60;0.00:00:00:285;0.47;-0.88;0.04;0.9058;0.4249;-0.7973;0.03283;-30.97;1.04;99.81;3.62;99.75;0.9058;0.9041;0.001679;-0.430;-0.438;-27.751;0.74;177.64;
2019-10-11 18:41:22.61;0.00:00:00:295;0.47;-0.88;0.04;0.9057;0.4242;-0.8001;0.03419;-31.03;1.08;100.06;3.78;99.99;0.9057;0.9062;-0.0005135;-0.430;-0.428;-99.990;0.73;177.55;
2019-10-11 18:41:22.62;0.00:00:00:305;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03286;-30.97;1.04;99.81;3.63;99.75;0.9057;0.904;0.001677;-0.430;-0.438;-27.754;0.73;177.64;
2019-10-11 18:41:22.63;0.00:00:00:313;0.47;-0.88;0.04;0.9058;0.4243;-0.8001;0.03418;-31.03;1.08;100.06;3.77;99.99;0.9058;0.9063;-0.0005172;-0.430;-0.427;-99.990;0.73;177.55;
2019-10-11 18:41:22.64;0.00:00:00:323;0.47;-0.88;0.04;0.9057;0.4249;-0.7973;0.03283;-30.97;1.04;99.81;3.62;99.75;0.9057;0.904;0.00169;-0.430;-0.438;-27.722;0.74;177.64;
