Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 17:14:57.11;0.00:00:00:048;0.67;-0.74;0.04;0.9269;0.6182;-0.6881;0.03602;-24.03;1.12;99.87;3.89;99.79;0.9269;0.9257;0.001227;-0.329;-0.335;-29.112;0.83;177.00;
2019-10-11 17:14:57.12;0.00:00:00:063;0.67;-0.74;0.04;0.927;0.6182;-0.6882;0.03604;-24.03;1.12;99.87;3.89;99.80;0.927;0.9258;0.00118;-0.329;-0.335;-29.280;0.83;177.00;
2019-10-11 17:14:57.14;0.00:00:00:079;0.67;-0.74;0.04;0.9269;0.6184;-0.6904;0.03736;-24.08;1.15;100.07;4.03;99.99;0.9269;0.9276;-0.0006878;-0.330;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.16;0.00:00:00:094;0.67;-0.74;0.04;0.927;0.6184;-0.6904;0.03739;-24.07;1.16;100.07;4.03;99.99;0.927;0.9276;-0.0006405;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.17;0.00:00:00:110;0.67;-0.74;0.04;0.927;0.6182;-0.6882;0.03601;-24.03;1.11;99.87;3.88;99.79;0.927;0.9258;0.001202;-0.329;-0.335;-29.201;0.83;177.00;
2019-10-11 17:14:57.19;0.00:00:00:126;0.67;-0.74;0.04;0.927;0.6183;-0.6882;0.03606;-24.03;1.12;99.87;3.89;99.79;0.927;0.9258;0.001199;-0.329;-0.335;-29.211;0.83;177.00;
2019-10-11 17:14:57.20;0.00:00:00:142;0.67;-0.74;0.04;0.927;0.6182;-0.6881;0.03604;-24.03;1.12;99.87;3.89;99.79;0.927;0.9257;0.001209;-0.329;-0.335;-29.174;0.83;177.00;
2019-10-11 17:14:57.22;0.00:00:00:157;0.67;-0.74;0.04;0.9269;0.6184;-0.6904;0.03733;-24.07;1.15;100.07;4.03;99.99;0.9269;0.9275;-0.0006266;-0.330;-0.327;-99.990;0.83;176.90;
2019-10-11 17:14:57.23;0.00:00:00:173;0.67;-0.74;0.04;0.9269;0.6184;-0.6904;0.03736;-24.07;1.15;100.07;4.03;99.99;0.9269;0.9276;-0.0006414;-0.330;-0.327;-99.990;0.83;176.90;
2019-10-11 17:14:57.25;0.00:00:00:188;0.67;-0.74;0.04;0.927;0.6183;-0.6881;0.03603;-24.03;1.12;99.87;3.89;99.79;0.927;0.9258;0.001221;-0.329;-0.335;-29.133;0.83;177.00;
2019-10-11 17:14:57.27;0.00:00:00:204;0.67;-0.74;0.04;0.9269;0.6182;-0.6882;0.03605;-24.03;1.12;99.87;3.89;99.80;0.9269;0.9257;0.001187;-0.330;-0.335;-29.257;0.83;177.00;
2019-10-11 17:14:57.28;0.00:00:00:220;0.67;-0.74;0.04;0.9269;0.6184;-0.6905;0.03736;-24.08;1.15;100.08;4.03;100.00;0.9269;0.9277;-0.0007212;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.30;0.00:00:00:235;0.67;-0.74;0.04;0.927;0.6184;-0.6904;0.03736;-24.07;1.15;100.08;4.03;99.99;0.927;0.9277;-0.0007045;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.31;0.00:00:00:251;0.67;-0.74;0.04;0.9269;0.6184;-0.6904;0.03738;-24.07;1.15;100.07;4.03;99.98;0.9269;0.9276;-0.0006127;-0.329;-0.327;-99.990;0.83;176.90;
2019-10-11 17:14:57.33;0.00:00:00:267;0.67;-0.74;0.04;0.9269;0.6182;-0.6881;0.03604;-24.03;1.12;99.86;3.89;99.79;0.9269;0.9257;0.001254;-0.330;-0.335;-29.016;0.83;177.00;
2019-10-11 17:14:57.34;0.00:00:00:282;0.67;-0.74;0.04;0.927;0.6182;-0.6881;0.03604;-24.03;1.12;99.87;3.89;99.79;0.927;0.9257;0.001243;-0.329;-0.335;-29.056;0.83;177.00;
2019-10-11 17:14:57.36;0.00:00:00:298;0.67;-0.74;0.04;0.927;0.6184;-0.6904;0.03736;-24.08;1.15;100.07;4.03;99.99;0.927;0.9276;-0.0006517;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.38;0.00:00:00:314;0.67;-0.74;0.04;0.9269;0.6183;-0.6904;0.03737;-24.08;1.15;100.07;4.03;99.99;0.9269;0.9276;-0.0006813;-0.330;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.39;0.00:00:00:332;0.67;-0.74;0.04;0.927;0.6185;-0.6904;0.03734;-24.07;1.15;100.07;4.03;99.99;0.927;0.9276;-0.0006359;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.41;0.00:00:00:347;0.67;-0.74;0.04;0.927;0.6183;-0.6881;0.03604;-24.03;1.12;99.87;3.89;99.79;0.927;0.9258;0.001233;-0.329;-0.335;-29.089;0.83;177.00;
2019-10-11 17:14:57.46;0.00:00:00:394;0.67;-0.74;0.04;0.9269;0.6184;-0.6904;0.03737;-24.07;1.15;100.07;4.03;99.99;0.9269;0.9276;-0.0006655;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.47;0.00:00:00:410;0.67;-0.74;0.04;0.9269;0.6183;-0.6904;0.03738;-24.08;1.15;100.08;4.03;99.99;0.9269;0.9276;-0.000697;-0.330;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.49;0.00:00:00:426;0.67;-0.74;0.04;0.9269;0.6182;-0.6881;0.03604;-24.03;1.12;99.87;3.89;99.79;0.9269;0.9257;0.001215;-0.330;-0.335;-29.153;0.83;177.00;
2019-10-11 17:14:57.50;0.00:00:00:441;0.67;-0.74;0.04;0.9269;0.6181;-0.6881;0.03603;-24.03;1.12;99.87;3.89;99.79;0.9269;0.9257;0.001251;-0.330;-0.336;-29.029;0.83;177.00;
2019-10-11 17:14:57.52;0.00:00:00:457;0.67;-0.74;0.04;0.9269;0.6183;-0.6904;0.03735;-24.07;1.15;100.07;4.03;99.99;0.9269;0.9275;-0.0006359;-0.330;-0.327;-99.990;0.83;176.90;
2019-10-11 17:14:57.53;0.00:00:00:472;0.67;-0.74;0.04;0.9269;0.6184;-0.6904;0.03735;-24.07;1.15;100.07;4.03;99.99;0.9269;0.9276;-0.00066;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.55;0.00:00:00:488;0.67;-0.74;0.04;0.927;0.6182;-0.6881;0.03606;-24.03;1.12;99.87;3.89;99.79;0.927;0.9257;0.001212;-0.329;-0.335;-29.163;0.83;177.00;
2019-10-11 17:14:57.58;0.00:00:00:519;0.67;-0.74;0.04;0.9269;0.6183;-0.6903;0.03736;-24.08;1.15;100.07;4.03;99.99;0.9269;0.9275;-0.0006405;-0.330;-0.327;-99.990;0.83;176.90;
2019-10-11 17:14:57.60;0.00:00:00:535;0.67;-0.74;0.04;0.927;0.6184;-0.6904;0.03738;-24.07;1.15;100.07;4.03;99.98;0.927;0.9276;-0.0006118;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.61;0.00:00:00:551;0.67;-0.74;0.04;0.927;0.6184;-0.6904;0.03738;-24.07;1.15;100.07;4.03;99.99;0.927;0.9276;-0.0006758;-0.329;-0.326;-99.990;0.83;176.90;
2019-10-11 17:14:57.63;0.00:00:00:566;0.67;-0.74;0.04;0.927;0.6182;-0.688;0.03603;-24.03;1.12;99.86;3.89;99.78;0.927;0.9257;0.001299;-0.329;-0.335;-28.864;0.83;177.00;
