Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 15:20:20.27;0.00:00:00:034;0.53;-0.84;-0.10;0.9926;0.5234;-0.8338;-0.09452;-28.94;-2.74;99.64;9.52;99.18;0.9926;0.989;0.003581;-0.032;-0.048;-24.460;0.76;-173.53;
2019-10-11 15:20:20.30;0.00:00:00:071;0.53;-0.84;-0.09;0.9924;0.5239;-0.8369;-0.09375;-28.98;-2.71;99.94;9.45;99.49;0.9924;0.9918;0.0006026;-0.033;-0.036;-32.200;0.76;-173.61;
2019-10-11 15:20:20.32;0.00:00:00:086;0.53;-0.84;-0.10;0.9925;0.5234;-0.8337;-0.09453;-28.94;-2.74;99.64;9.52;99.18;0.9925;0.9889;0.003598;-0.033;-0.048;-24.440;0.76;-173.53;
2019-10-11 15:20:20.33;0.00:00:00:102;0.53;-0.84;-0.10;0.9926;0.5235;-0.8338;-0.09452;-28.94;-2.74;99.64;9.52;99.18;0.9926;0.989;0.003616;-0.032;-0.048;-24.418;0.76;-173.53;
2019-10-11 15:20:20.35;0.00:00:00:118;0.53;-0.84;-0.09;0.9924;0.5239;-0.8369;-0.09374;-28.98;-2.71;99.94;9.45;99.50;0.9924;0.9918;0.000568;-0.033;-0.036;-32.456;0.76;-173.61;
2019-10-11 15:20:20.36;0.00:00:00:133;0.53;-0.84;-0.09;0.9923;0.5239;-0.8369;-0.09377;-28.98;-2.71;99.95;9.45;99.50;0.9923;0.9918;0.0005371;-0.033;-0.036;-32.700;0.76;-173.61;
2019-10-11 15:20:20.38;0.00:00:00:149;0.53;-0.84;-0.09;0.9923;0.5239;-0.8369;-0.09374;-28.98;-2.71;99.94;9.45;99.49;0.9923;0.9918;0.0005722;-0.033;-0.036;-32.425;0.76;-173.61;
2019-10-11 15:20:20.40;0.00:00:00:165;0.53;-0.84;-0.10;0.9925;0.5233;-0.8338;-0.09454;-28.94;-2.74;99.65;9.53;99.19;0.9925;0.989;0.003523;-0.033;-0.048;-24.531;0.76;-173.53;
2019-10-11 15:20:20.41;0.00:00:00:180;0.53;-0.84;-0.10;0.9925;0.5233;-0.8338;-0.09452;-28.94;-2.74;99.64;9.52;99.19;0.9925;0.9889;0.00355;-0.033;-0.048;-24.498;0.76;-173.53;
2019-10-11 15:20:20.43;0.00:00:00:196;0.53;-0.84;-0.09;0.9924;0.5239;-0.8369;-0.09374;-28.98;-2.71;99.94;9.45;99.50;0.9924;0.9918;0.0005609;-0.033;-0.036;-32.511;0.76;-173.61;
2019-10-11 15:20:20.44;0.00:00:00:211;0.53;-0.84;-0.09;0.9923;0.5238;-0.837;-0.09376;-28.98;-2.71;99.95;9.45;99.50;0.9923;0.9918;0.0005182;-0.033;-0.036;-32.855;0.76;-173.61;
2019-10-11 15:20:20.46;0.00:00:00:227;0.53;-0.84;-0.10;0.9925;0.5233;-0.8338;-0.09451;-28.94;-2.74;99.64;9.52;99.19;0.9925;0.9889;0.003547;-0.033;-0.048;-24.501;0.76;-173.53;
2019-10-11 15:20:20.47;0.00:00:00:243;0.53;-0.84;-0.10;0.9926;0.5234;-0.8338;-0.09449;-28.94;-2.74;99.64;9.52;99.18;0.9926;0.989;0.003577;-0.032;-0.048;-24.465;0.76;-173.53;
2019-10-11 15:20:20.49;0.00:00:00:258;0.53;-0.84;-0.10;0.9925;0.5233;-0.8338;-0.0945;-28.94;-2.74;99.64;9.52;99.18;0.9925;0.9889;0.003582;-0.033;-0.048;-24.459;0.76;-173.53;
2019-10-11 15:20:20.50;0.00:00:00:274;0.53;-0.84;-0.09;0.9924;0.5238;-0.837;-0.09373;-28.98;-2.71;99.95;9.44;99.50;0.9924;0.9918;0.0005377;-0.033;-0.036;-32.695;0.76;-173.61;
2019-10-11 15:20:20.52;0.00:00:00:291;0.53;-0.84;-0.09;0.9924;0.5239;-0.8369;-0.0937;-28.98;-2.71;99.94;9.44;99.49;0.9924;0.9918;0.0005821;-0.033;-0.036;-32.350;0.76;-173.61;
2019-10-11 15:20:20.54;0.00:00:00:306;0.53;-0.84;-0.10;0.9926;0.5234;-0.8338;-0.09452;-28.94;-2.74;99.64;9.52;99.18;0.9926;0.989;0.003587;-0.032;-0.048;-24.453;0.76;-173.53;
2019-10-11 15:20:20.55;0.00:00:00:322;0.53;-0.84;-0.10;0.9924;0.5233;-0.8338;-0.09452;-28.94;-2.74;99.65;9.52;99.19;0.9924;0.9889;0.003516;-0.033;-0.048;-24.539;0.76;-173.53;
