Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 20:42:11.92;0.00:00:00:024;0.41;-0.91;0.09;0.677;0.2758;-0.6161;0.05932;-32.94;2.51;100.10;8.76;99.72;0.677;0.6777;-0.0007108;-1.694;-1.690;-99.990;0.70;174.50;
2019-10-11 20:42:11.93;0.00:00:00:032;0.41;-0.91;0.09;0.6775;0.2771;-0.6143;0.05827;-32.86;2.47;99.84;8.60;99.47;0.6775;0.6764;0.001094;-1.691;-1.698;-29.610;0.70;174.58;
2019-10-11 20:42:11.94;0.00:00:00:050;0.41;-0.91;0.09;0.6771;0.2761;-0.6162;0.05936;-32.93;2.51;100.11;8.77;99.72;0.6771;0.6778;-0.0007204;-1.694;-1.689;-99.990;0.70;174.50;
2019-10-11 20:42:11.95;0.00:00:00:060;0.41;-0.91;0.09;0.6776;0.2772;-0.6143;0.05828;-32.86;2.47;99.84;8.60;99.47;0.6776;0.6765;0.001056;-1.691;-1.697;-29.762;0.70;174.58;
2019-10-11 20:42:11.96;0.00:00:00:068;0.41;-0.91;0.09;0.6771;0.2762;-0.6161;0.05931;-32.93;2.51;100.10;8.76;99.72;0.6771;0.6778;-0.0007109;-1.694;-1.689;-99.990;0.70;174.50;
2019-10-11 20:42:11.97;0.00:00:00:075;0.41;-0.91;0.09;0.6775;0.2773;-0.6143;0.05821;-32.85;2.47;99.85;8.59;99.48;0.6775;0.6765;0.001009;-1.691;-1.697;-29.962;0.70;174.59;
2019-10-11 20:42:11.98;0.00:00:00:084;0.41;-0.91;0.09;0.677;0.2761;-0.6161;0.05929;-32.93;2.51;100.12;8.76;99.73;0.677;0.6778;-0.0007792;-1.694;-1.689;-99.990;0.70;174.50;
2019-10-11 20:42:11.99;0.00:00:00:099;0.41;-0.91;0.09;0.6775;0.2773;-0.6142;0.05819;-32.85;2.47;99.84;8.59;99.47;0.6775;0.6764;0.001097;-1.691;-1.698;-29.598;0.71;174.59;
2019-10-11 20:42:12.00;0.00:00:00:106;0.41;-0.91;0.09;0.677;0.2762;-0.6161;0.05925;-32.93;2.51;100.12;8.75;99.74;0.677;0.6778;-0.0008212;-1.694;-1.689;-99.990;0.70;174.51;
2019-10-11 20:42:12.01;0.00:00:00:114;0.41;-0.91;0.09;0.6775;0.2774;-0.6141;0.05809;-32.85;2.46;99.84;8.57;99.47;0.6775;0.6764;0.001112;-1.691;-1.698;-29.537;0.71;174.60;
2019-10-11 20:42:12.02;0.00:00:00:124;0.41;-0.91;0.09;0.6769;0.2762;-0.616;0.05915;-32.92;2.50;100.12;8.74;99.74;0.6769;0.6777;-0.0008109;-1.695;-1.690;-99.990;0.70;174.51;
2019-10-11 20:42:12.02;0.00:00:00:132;0.41;-0.91;0.09;0.6774;0.2774;-0.614;0.05803;-32.85;2.46;99.84;8.57;99.47;0.6774;0.6763;0.001087;-1.692;-1.699;-29.637;0.71;174.60;
2019-10-11 20:42:12.04;0.00:00:00:151;0.41;-0.91;0.09;0.6768;0.2762;-0.6159;0.05909;-32.92;2.50;100.11;8.73;99.73;0.6768;0.6776;-0.0007526;-1.695;-1.690;-99.990;0.70;174.52;
2019-10-11 20:42:12.05;0.00:00:00:161;0.41;-0.91;0.09;0.6773;0.2773;-0.614;0.05794;-32.85;2.46;99.84;8.55;99.47;0.6773;0.6762;0.001116;-1.692;-1.699;-29.522;0.71;174.61;
2019-10-11 20:42:12.06;0.00:00:00:170;0.41;-0.91;0.09;0.6768;0.2762;-0.6159;0.05897;-32.92;2.50;100.11;8.71;99.73;0.6768;0.6776;-0.0007533;-1.695;-1.690;-99.990;0.70;174.53;
2019-10-11 20:42:12.08;0.00:00:00:190;0.41;-0.91;0.09;0.6769;0.2763;-0.616;0.05888;-32.92;2.49;100.11;8.70;99.73;0.6769;0.6776;-0.0007642;-1.695;-1.690;-99.990;0.70;174.54;
2019-10-11 20:42:12.09;0.00:00:00:198;0.41;-0.91;0.09;0.6774;0.2773;-0.6141;0.05778;-32.85;2.45;99.84;8.53;99.48;0.6774;0.6763;0.001076;-1.692;-1.699;-29.683;0.71;174.62;
2019-10-11 20:42:12.10;0.00:00:00:206;0.41;-0.91;0.09;0.6769;0.2762;-0.616;0.05886;-32.92;2.49;100.11;8.70;99.73;0.6769;0.6777;-0.0007412;-1.695;-1.690;-99.990;0.70;174.54;
2019-10-11 20:42:12.11;0.00:00:00:216;0.41;-0.91;0.09;0.6775;0.2775;-0.6142;0.05771;-32.84;2.45;99.84;8.52;99.47;0.6775;0.6764;0.001108;-1.691;-1.698;-29.556;0.71;174.63;
2019-10-11 20:42:12.12;0.00:00:00:224;0.41;-0.91;0.09;0.677;0.2762;-0.616;0.05881;-32.92;2.49;100.10;8.69;99.72;0.677;0.6777;-0.0006898;-1.694;-1.690;-99.990;0.70;174.55;
2019-10-11 20:42:12.13;0.00:00:00:234;0.41;-0.91;0.09;0.6775;0.2773;-0.6142;0.05762;-32.85;2.44;99.84;8.50;99.47;0.6775;0.6764;0.001116;-1.691;-1.698;-29.522;0.71;174.64;
2019-10-11 20:42:12.14;0.00:00:00:244;0.41;-0.91;0.09;0.6771;0.2763;-0.6162;0.05873;-32.93;2.49;100.11;8.67;99.73;0.6771;0.6778;-0.0007191;-1.694;-1.689;-99.990;0.70;174.56;
2019-10-11 20:42:12.15;0.00:00:00:253;0.41;-0.91;0.09;0.6776;0.2774;-0.6144;0.0576;-32.85;2.44;99.84;8.50;99.48;0.6776;0.6765;0.001091;-1.690;-1.697;-29.623;0.70;174.64;
2019-10-11 20:42:12.16;0.00:00:00:271;0.41;-0.91;0.09;0.6771;0.2762;-0.6162;0.05865;-32.93;2.48;100.11;8.66;99.73;0.6771;0.6778;-0.0007407;-1.694;-1.689;-99.990;0.70;174.56;
2019-10-11 20:42:12.17;0.00:00:00:282;0.41;-0.91;0.09;0.6775;0.2772;-0.6144;0.05758;-32.86;2.44;99.85;8.50;99.48;0.6775;0.6765;0.00105;-1.691;-1.697;-29.788;0.70;174.65;
2019-10-11 20:42:12.18;0.00:00:00:292;0.41;-0.91;0.09;0.677;0.2761;-0.6163;0.05865;-32.94;2.48;100.11;8.66;99.74;0.677;0.6778;-0.0007671;-1.694;-1.689;-99.990;0.70;174.56;
2019-10-11 20:42:12.19;0.00:00:00:302;0.41;-0.91;0.09;0.6776;0.2772;-0.6144;0.05754;-32.86;2.44;99.84;8.49;99.47;0.6776;0.6764;0.001108;-1.691;-1.698;-29.556;0.70;174.65;
2019-10-11 20:42:12.23;0.00:00:00:333;0.41;-0.91;0.09;0.6775;0.277;-0.6144;0.05753;-32.87;2.44;99.84;8.49;99.48;0.6775;0.6764;0.001073;-1.691;-1.698;-29.696;0.70;174.65;
2019-10-11 20:42:12.23;0.00:00:00:342;0.41;-0.91;0.09;0.677;0.2759;-0.6162;0.05865;-32.94;2.48;100.10;8.66;99.73;0.677;0.6777;-0.0006979;-1.694;-1.690;-99.990;0.70;174.56;
2019-10-11 20:42:12.25;0.00:00:00:361;0.41;-0.91;0.09;0.6774;0.2769;-0.6143;0.05755;-32.87;2.44;99.83;8.50;99.47;0.6774;0.6763;0.001136;-1.692;-1.699;-29.447;0.70;174.65;
2019-10-11 20:42:12.26;0.00:00:00:369;0.41;-0.91;0.09;0.6768;0.2757;-0.6161;0.05865;-32.95;2.48;100.11;8.67;99.73;0.6768;0.6776;-0.0007276;-1.695;-1.690;-99.990;0.70;174.56;
2019-10-11 20:42:12.27;0.00:00:00:377;0.41;-0.91;0.09;0.6773;0.2768;-0.6143;0.05758;-32.87;2.44;99.84;8.50;99.47;0.6773;0.6762;0.001106;-1.692;-1.699;-29.561;0.70;174.65;
2019-10-11 20:42:12.28;0.00:00:00:385;0.41;-0.91;0.09;0.6769;0.2757;-0.6162;0.05877;-32.95;2.49;100.11;8.68;99.73;0.6769;0.6776;-0.0007189;-1.695;-1.690;-99.990;0.70;174.55;
2019-10-11 20:42:12.29;0.00:00:00:393;0.41;-0.91;0.09;0.6773;0.2767;-0.6143;0.05766;-32.87;2.45;99.84;8.51;99.48;0.6773;0.6762;0.001087;-1.692;-1.699;-29.636;0.70;174.64;
2019-10-11 20:42:12.30;0.00:00:00:411;0.41;-0.91;0.09;0.6769;0.2757;-0.6162;0.05879;-32.95;2.49;100.11;8.69;99.73;0.6769;0.6777;-0.0007602;-1.695;-1.690;-99.990;0.70;174.55;
2019-10-11 20:42:12.31;0.00:00:00:421;0.41;-0.91;0.09;0.6774;0.2768;-0.6143;0.05776;-32.87;2.45;99.83;8.53;99.46;0.6774;0.6762;0.00118;-1.691;-1.699;-29.280;0.70;174.63;
2019-10-11 20:42:12.32;0.00:00:00:430;0.41;-0.91;0.09;0.6768;0.2756;-0.6162;0.05886;-32.95;2.49;100.11;8.70;99.73;0.6768;0.6776;-0.0007519;-1.695;-1.690;-99.990;0.70;174.54;
2019-10-11 20:42:12.33;0.00:00:00:440;0.41;-0.91;0.09;0.6775;0.2768;-0.6144;0.05786;-32.87;2.45;99.84;8.54;99.47;0.6775;0.6764;0.001092;-1.691;-1.698;-29.618;0.70;174.62;
2019-10-11 20:42:12.37;0.00:00:00:473;0.41;-0.91;0.09;0.6775;0.2768;-0.6144;0.05797;-32.87;2.46;99.83;8.56;99.46;0.6775;0.6763;0.00116;-1.691;-1.699;-29.356;0.70;174.61;
2019-10-11 20:42:12.37;0.00:00:00:482;0.41;-0.91;0.09;0.677;0.2756;-0.6163;0.05907;-32.95;2.50;100.11;8.73;99.73;0.677;0.6777;-0.0007183;-1.694;-1.690;-99.990;0.70;174.53;
2019-10-11 20:42:12.39;0.00:00:00:501;0.41;-0.91;0.09;0.6775;0.2768;-0.6145;0.058;-32.88;2.46;99.84;8.56;99.48;0.6775;0.6764;0.001061;-1.691;-1.698;-29.742;0.70;174.61;
2019-10-11 20:42:12.40;0.00:00:00:510;0.41;-0.91;0.09;0.677;0.2757;-0.6163;0.05914;-32.95;2.50;100.10;8.73;99.72;0.677;0.6777;-0.0006838;-1.694;-1.689;-99.990;0.70;174.52;
2019-10-11 20:42:12.41;0.00:00:00:518;0.41;-0.91;0.09;0.6775;0.2768;-0.6144;0.05809;-32.87;2.46;99.83;8.57;99.47;0.6775;0.6764;0.001121;-1.691;-1.698;-29.503;0.70;174.60;
