Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 20:33:01.82;0.00:00:00:025;0.51;-0.86;-0.04;0.627;0.3165;-0.5404;-0.02441;-29.82;-1.12;99.97;3.89;99.89;0.627;0.6268;0.0002127;-2.027;-2.029;-36.723;0.75;-177.41;
2019-10-11 20:33:01.84;0.00:00:00:045;0.51;-0.86;-0.04;0.627;0.3165;-0.5403;-0.02443;-29.82;-1.12;99.95;3.90;99.88;0.627;0.6267;0.0002904;-2.027;-2.029;-35.370;0.75;-177.41;
2019-10-11 20:33:01.85;0.00:00:00:054;0.51;-0.86;-0.04;0.6265;0.316;-0.5385;-0.02488;-29.80;-1.14;99.73;3.97;99.66;0.6265;0.6248;0.001663;-2.031;-2.042;-27.792;0.75;-177.35;
2019-10-11 20:33:01.86;0.00:00:00:063;0.51;-0.86;-0.04;0.627;0.3166;-0.5404;-0.02442;-29.82;-1.12;99.96;3.89;99.88;0.627;0.6267;0.0002536;-2.027;-2.029;-35.959;0.75;-177.41;
2019-10-11 20:33:01.87;0.00:00:00:072;0.51;-0.86;-0.04;0.6265;0.316;-0.5384;-0.02489;-29.79;-1.14;99.73;3.97;99.65;0.6265;0.6248;0.00172;-2.031;-2.043;-27.644;0.75;-177.35;
2019-10-11 20:33:01.88;0.00:00:00:091;0.51;-0.86;-0.04;0.627;0.3166;-0.5403;-0.02443;-29.82;-1.12;99.96;3.90;99.89;0.627;0.6267;0.0002426;-2.028;-2.029;-36.150;0.75;-177.41;
2019-10-11 20:33:01.89;0.00:00:00:100;0.51;-0.86;-0.04;0.6265;0.3159;-0.5384;-0.02486;-29.80;-1.14;99.73;3.97;99.65;0.6265;0.6248;0.001681;-2.031;-2.043;-27.744;0.75;-177.36;
2019-10-11 20:33:01.90;0.00:00:00:108;0.51;-0.86;-0.04;0.6269;0.3165;-0.5403;-0.02441;-29.82;-1.12;99.96;3.89;99.88;0.6269;0.6266;0.0002777;-2.028;-2.030;-35.564;0.75;-177.41;
2019-10-11 20:33:01.91;0.00:00:00:116;0.51;-0.86;-0.04;0.6265;0.316;-0.5384;-0.02488;-29.80;-1.14;99.73;3.97;99.65;0.6265;0.6248;0.001675;-2.031;-2.043;-27.759;0.75;-177.35;
2019-10-11 20:33:01.92;0.00:00:00:124;0.51;-0.86;-0.04;0.6269;0.3165;-0.5403;-0.0244;-29.82;-1.12;99.96;3.89;99.89;0.6269;0.6267;0.000221;-2.028;-2.029;-36.555;0.75;-177.41;
2019-10-11 20:33:01.93;0.00:00:00:133;0.51;-0.86;-0.04;0.6264;0.3159;-0.5384;-0.02486;-29.80;-1.14;99.73;3.97;99.66;0.6264;0.6248;0.001663;-2.031;-2.043;-27.792;0.75;-177.36;
2019-10-11 20:33:01.94;0.00:00:00:143;0.50;-0.86;-0.04;0.6269;0.3164;-0.5403;-0.02441;-29.82;-1.12;99.97;3.89;99.89;0.6269;0.6266;0.0002125;-2.028;-2.030;-36.726;0.75;-177.41;
2019-10-11 20:33:01.95;0.00:00:00:162;0.51;-0.86;-0.04;0.6264;0.316;-0.5383;-0.02486;-29.80;-1.14;99.73;3.97;99.65;0.6264;0.6247;0.001693;-2.031;-2.043;-27.712;0.75;-177.36;
2019-10-11 20:33:01.97;0.00:00:00:177;0.51;-0.86;-0.04;0.6264;0.316;-0.5383;-0.02487;-29.79;-1.14;99.72;3.97;99.64;0.6264;0.6247;0.001746;-2.031;-2.043;-27.580;0.75;-177.36;
2019-10-11 20:33:01.98;0.00:00:00:185;0.51;-0.86;-0.04;0.6268;0.3165;-0.5403;-0.0244;-29.82;-1.12;99.96;3.89;99.89;0.6268;0.6266;0.0002453;-2.028;-2.030;-36.102;0.75;-177.41;
2019-10-11 20:33:01.99;0.00:00:00:194;0.51;-0.86;-0.04;0.6263;0.3159;-0.5384;-0.02487;-29.80;-1.14;99.74;3.97;99.66;0.6263;0.6247;0.001637;-2.032;-2.043;-27.859;0.75;-177.35;
2019-10-11 20:33:02.00;0.00:00:00:212;0.51;-0.86;-0.04;0.6268;0.3165;-0.5402;-0.0244;-29.82;-1.12;99.95;3.89;99.88;0.6268;0.6266;0.000283;-2.028;-2.030;-35.483;0.75;-177.41;
2019-10-11 20:33:02.02;0.00:00:00:222;0.51;-0.86;-0.04;0.6264;0.3159;-0.5383;-0.02488;-29.80;-1.14;99.73;3.97;99.65;0.6264;0.6247;0.001686;-2.032;-2.043;-27.732;0.75;-177.35;
2019-10-11 20:33:02.02;0.00:00:00:232;0.51;-0.86;-0.04;0.6269;0.3166;-0.5402;-0.02439;-29.81;-1.12;99.95;3.89;99.88;0.6269;0.6266;0.0002939;-2.028;-2.030;-35.318;0.75;-177.41;
2019-10-11 20:33:02.03;0.00:00:00:242;0.51;-0.86;-0.04;0.6264;0.3159;-0.5383;-0.02489;-29.79;-1.14;99.72;3.97;99.64;0.6264;0.6246;0.001743;-2.032;-2.044;-27.588;0.75;-177.35;
2019-10-11 20:33:02.04;0.00:00:00:251;0.51;-0.86;-0.04;0.6268;0.3165;-0.5402;-0.02442;-29.82;-1.12;99.95;3.90;99.88;0.6268;0.6266;0.0002916;-2.028;-2.030;-35.352;0.75;-177.41;
2019-10-11 20:33:02.05;0.00:00:00:259;0.51;-0.86;-0.04;0.6263;0.3159;-0.5383;-0.02488;-29.79;-1.14;99.73;3.97;99.65;0.6263;0.6246;0.00171;-2.032;-2.044;-27.669;0.75;-177.35;
2019-10-11 20:33:02.06;0.00:00:00:267;0.51;-0.86;-0.04;0.6268;0.3165;-0.5402;-0.0244;-29.82;-1.12;99.96;3.89;99.89;0.6268;0.6266;0.0002293;-2.029;-2.030;-36.396;0.75;-177.41;
2019-10-11 20:33:02.07;0.00:00:00:276;0.51;-0.86;-0.04;0.6264;0.316;-0.5383;-0.0249;-29.79;-1.14;99.73;3.97;99.65;0.6264;0.6247;0.001696;-2.032;-2.043;-27.706;0.75;-177.35;
2019-10-11 20:33:02.08;0.00:00:00:285;0.51;-0.86;-0.04;0.6268;0.3165;-0.5401;-0.02439;-29.82;-1.12;99.96;3.89;99.88;0.6268;0.6265;0.0002817;-2.029;-2.031;-35.502;0.75;-177.41;
