Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.0.1414.721
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;100
Operating Mode : ;0.5 revolutions for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2019-10-11 20:27:49.46;0.00:00:00:052;0.47;-0.88;0.04;0.8655;0.4086;-0.7606;0.03798;-30.88;1.26;99.85;4.39;99.75;0.8655;0.8642;0.001301;-0.627;-0.634;-28.858;0.74;177.14;
2019-10-11 20:27:49.48;0.00:00:00:068;0.47;-0.88;0.05;0.8656;0.4081;-0.763;0.03925;-30.93;1.30;100.07;4.53;99.96;0.8656;0.8662;-0.000573;-0.627;-0.624;-99.990;0.74;177.06;
2019-10-11 20:27:49.49;0.00:00:00:084;0.47;-0.88;0.05;0.8655;0.4079;-0.7632;0.03925;-30.94;1.30;100.09;4.54;99.98;0.8655;0.8662;-0.0007512;-0.627;-0.624;-99.990;0.74;177.06;
2019-10-11 20:27:49.51;0.00:00:00:099;0.47;-0.88;0.04;0.8655;0.4085;-0.7606;0.03802;-30.88;1.26;99.85;4.39;99.76;0.8655;0.8642;0.001255;-0.628;-0.634;-29.013;0.74;177.14;
2019-10-11 20:27:49.53;0.00:00:00:115;0.47;-0.88;0.04;0.8655;0.4085;-0.7606;0.03798;-30.88;1.26;99.85;4.39;99.76;0.8655;0.8642;0.001279;-0.627;-0.634;-28.933;0.74;177.14;
2019-10-11 20:27:49.54;0.00:00:00:131;0.47;-0.88;0.05;0.8655;0.408;-0.7631;0.03929;-30.93;1.30;100.09;4.54;99.98;0.8655;0.8663;-0.00074;-0.627;-0.623;-99.990;0.74;177.05;
2019-10-11 20:27:49.56;0.00:00:00:146;0.47;-0.88;0.05;0.8655;0.408;-0.7631;0.03924;-30.93;1.30;100.08;4.53;99.98;0.8655;0.8662;-0.0007123;-0.627;-0.624;-99.990;0.74;177.06;
2019-10-11 20:27:49.57;0.00:00:00:162;0.47;-0.88;0.04;0.8655;0.4086;-0.7605;0.03799;-30.88;1.26;99.85;4.39;99.75;0.8655;0.8641;0.001335;-0.627;-0.634;-28.745;0.74;177.14;
2019-10-11 20:27:49.59;0.00:00:00:177;0.47;-0.88;0.04;0.8655;0.4086;-0.7606;0.03796;-30.88;1.26;99.85;4.39;99.75;0.8655;0.8642;0.001322;-0.627;-0.634;-28.788;0.74;177.14;
2019-10-11 20:27:49.60;0.00:00:00:193;0.47;-0.88;0.05;0.8655;0.4079;-0.7632;0.03927;-30.94;1.30;100.09;4.54;99.99;0.8655;0.8662;-0.0007651;-0.627;-0.624;-99.990;0.74;177.05;
